time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-01-01 06:00:00",0,0,0,282401.03,282425.78,24.74,16070.94,2459.37,0.04,8017.87,297357.41,297765.69,408.29,0.01,0.26,0.27,0.05,347.05,186.34,0.32,60.01,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.52,54117.41,4.17,2.44,18.13,6148.97,7428.57,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115148.95,124816.45,55773.11,214.13,55.25,2195.41,0.00,0.01,0,0.11,0.16,0,0.11,0.16,0,0.04,0.06,1.00,482.23,279.85,279.03,278.98,279.85,0.15,0.39,0.58,0.01
"2021-01-01 06:15:00",0,0,0,282401.03,282425.78,24.74,16071.01,2459.37,0.04,8017.87,297357.47,297765.75,408.29,0.01,0.26,0.26,0.05,347.68,186.65,0.32,60.01,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.52,54117.41,4.17,2.44,18.13,6149.00,7428.61,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115148.98,124816.48,55773.11,214.13,55.25,2195.41,0.01,0.01,0,0.11,0.16,0,0.11,0.16,0,0.06,0.05,1.00,483.20,280.19,279.65,279.60,280.19,0.15,0.39,0.57,0.01
"2021-01-01 06:30:00",0,0,0,282401.03,282425.78,24.74,16071.07,2459.37,0.04,8017.87,297357.53,297765.81,408.29,0.01,0.26,0.26,0.04,347.93,186.80,0.32,60.02,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.52,54117.41,4.17,2.44,18.13,6149.03,7428.65,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115149.00,124816.52,55773.11,214.13,55.25,2195.41,0.00,0.01,0,0.11,0.15,0,0.11,0.15,0,0.03,0.05,1.00,483.51,280.46,279.81,279.78,280.46,0.15,0.40,0.57,0
"2021-01-01 06:45:00",0,0,0,282401.03,282425.78,24.74,16071.14,2459.37,0.04,8017.87,297357.59,297765.88,408.29,0.01,0.26,0.26,0.04,347.75,186.69,0.32,59.98,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.52,54117.41,4.17,2.44,18.13,6149.05,7428.69,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115149.02,124816.55,55773.11,214.13,55.25,2195.41,0.00,0.01,0,0.11,0.15,0,0.11,0.15,0,0.03,0.05,1.00,483.31,280.16,279.79,279.73,280.18,0.15,0.40,0.57,0
"2021-01-01 07:00:00",0,0,0,282401.03,282425.78,24.74,16071.20,2459.37,0.04,8017.87,297357.66,297765.94,408.29,0.01,0.26,0.26,0.05,347.83,186.74,0.32,60.02,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.52,54117.41,4.17,2.44,18.13,6149.08,7428.72,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115149.05,124816.60,55773.11,214.13,55.25,2195.41,0.00,0.01,0,0.11,0.16,0,0.11,0.16,0,0.03,0.05,1.00,483.36,280.36,279.82,279.77,280.37,0.15,0.40,0.57,0
"2021-01-01 07:15:00",0,0,0,282401.03,282425.78,24.74,16071.27,2459.37,0.04,8017.87,297357.72,297766.00,408.29,0.01,0.26,0.26,0.05,348.18,186.93,0.32,60.01,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.53,54117.41,4.17,2.44,18.13,6149.11,7428.76,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115149.08,124816.64,55773.11,214.13,55.25,2195.41,0.00,0.01,0,0.11,0.16,0,0.11,0.16,0,0.04,0.05,1.00,483.87,280.55,280.11,280.06,280.57,0.15,0.39,0.57,0
"2021-01-01 07:30:00",0,0,0,282401.03,282425.78,24.74,16071.34,2459.37,0.04,8017.87,297357.78,297766.06,408.29,0.01,0.26,0.26,0.05,348.80,187.25,0.31,60.01,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.53,54117.41,4.17,2.44,18.13,6149.13,7428.80,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115149.10,124816.68,55773.11,214.13,55.25,2195.41,0.01,0.01,0,0.11,0.15,0,0.11,0.15,0,0.06,0.04,1.00,484.78,281.11,280.52,280.48,281.12,0.15,0.38,0.56,0
"2021-01-01 07:45:00",0,0,0,282401.03,282425.78,24.74,16071.40,2459.37,0.04,8017.87,297357.84,297766.13,408.29,0.01,0.26,0.26,0.04,348.74,187.23,0.32,60.01,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.53,54117.41,4.17,2.44,18.13,6149.16,7428.84,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115149.13,124816.72,55773.11,214.13,55.25,2195.41,0.00,0.01,0,0.11,0.16,0,0.11,0.16,0,0.03,0.05,1.00,484.63,280.97,280.61,280.56,280.98,0.15,0.39,0.57,0
"2021-01-01 08:00:00",0,0,0,282401.03,282425.78,24.74,16071.47,2459.37,0.04,8017.87,297357.94,297766.22,408.29,0.01,0.27,0.26,0.04,348.33,187.02,0.32,60.02,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.53,54117.41,4.17,2.44,18.13,6149.19,7428.88,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115149.16,124816.76,55773.11,214.13,55.25,2195.41,0.00,0.01,0,0.11,0.16,0,0.11,0.16,0,0.03,0.06,1.00,484.00,280.72,280.09,280.04,280.73,0.15,0.40,0.57,0
"2021-01-01 08:15:00",0,0,0,282401.06,282425.81,24.74,16071.53,2459.37,0.04,8017.87,297358.00,297766.28,408.29,0.01,0.27,0.27,0.05,348.57,187.13,0.32,60.02,0.01,0.26,0.26,28.67,0.52,28.67,-15.96,-1.21,15.96,109784.84,118523.54,54117.41,4.17,2.44,18.13,6149.21,7428.92,2493.40,212.25,53.39,2193.74,0.01,0.01,0.01,3870.43,3419.89,727.54,115149.19,124816.79,55773.11,214.13,55.25,2195.41,0.00,0.01,0,0.11,0.16,0,0.11,0.16,0,0.04,0.05,1.00,484.46,280.98,280.29,280.23,280.99,0.15,0.40,0.57,0
