time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-08 21:00:00",0,0,0,283655.03,283679.78,24.76,16250.14,2459.82,0.04,8073.60,298770.78,299179.25,408.46,23.71,-1.16,23.69,1.00,489.13,282.28,29.40,59.88,7.82,-0.20,7.83,28.67,0.52,28.67,-15.96,-1.21,15.96,110348.13,119201.04,54130.63,4.19,2.44,18.13,6218.63,7538.06,2493.46,212.58,53.48,2193.75,0.01,0.01,0.01,3900.71,3444.99,727.90,115777.09,125588.79,55786.33,214.47,55.34,2195.43,7.47,8.85,7.38,-0.45,-0.43,-0.28,7.49,8.87,7.38,1.00,1.00,1.00,486.05,491.58,489.77,280.60,282.48,283.78,28.02,32.73,27.46
"2021-02-08 21:15:00",0,0,0,283658.84,283683.59,24.76,16250.14,2459.82,0.04,8073.78,298774.59,299183.06,408.46,19.26,-1.00,19.29,1.00,489.00,282.21,24.33,59.96,17.32,-0.83,17.34,28.67,0.52,28.67,-15.96,-1.21,15.96,110349.33,119202.46,54131.80,4.19,2.44,18.13,6218.63,7538.06,2493.46,212.58,53.48,2193.75,0.01,0.01,0.01,3900.79,3445.06,727.93,115778.30,125590.21,55787.51,214.47,55.34,2195.43,6.45,6.91,5.90,-0.41,-0.36,-0.22,6.46,6.92,5.90,1.00,1.00,1.00,485.88,491.18,489.96,280.88,282.10,283.65,24.47,26.07,22.44
"2021-02-08 21:30:00",0,0,0,283663.75,283688.50,24.76,16250.14,2459.82,0.04,8074.03,298779.50,299187.97,408.46,19.61,-1.01,19.64,1.00,488.56,281.95,24.73,60.01,17.49,-0.86,17.51,28.67,0.52,28.67,-15.96,-1.21,15.96,110350.89,119204.28,54133.33,4.19,2.44,18.13,6218.63,7538.06,2493.46,212.58,53.48,2193.75,0.01,0.01,0.01,3900.89,3445.15,727.99,115779.87,125592.03,55789.04,214.47,55.34,2195.43,6.24,7.37,6.00,-0.41,-0.37,-0.23,6.25,7.38,6.01,1.00,1.00,1.00,485.48,490.61,489.58,280.51,281.90,283.45,23.76,27.63,22.79
"2021-02-08 21:45:00",0,0,0,283667.56,283692.31,24.76,16250.15,2459.82,0.04,8074.21,298783.31,299191.78,408.46,12.13,-0.57,12.15,1.00,487.85,281.55,15.80,60.02,18.07,-0.89,18.09,28.67,0.52,28.67,-15.96,-1.21,15.96,110352.09,119205.70,54134.53,4.19,2.44,18.13,6218.63,7538.06,2493.46,212.58,53.48,2193.75,0.01,0.01,0.01,3900.97,3445.22,728.03,115781.07,125593.45,55790.23,214.47,55.34,2195.43,4.07,4.41,3.62,-0.24,-0.24,-0.09,4.03,4.42,3.69,1.00,1.00,1.00,484.60,490.28,488.69,280.16,281.47,283.01,15.46,17.68,14.26
"2021-02-08 22:00:00",0,0,0,283671.38,283696.13,24.76,16250.15,2459.82,0.04,8074.40,298787.13,299195.59,408.46,7.09,-0.16,7.09,1.00,487.01,281.06,9.29,60.01,15.02,-0.71,15.05,28.67,0.52,28.67,-15.96,-1.21,15.96,110353.27,119207.13,54135.71,4.19,2.44,18.13,6218.63,7538.06,2493.46,212.58,53.48,2193.75,0.01,0.01,0.01,3901.04,3445.29,728.07,115782.25,125594.88,55791.42,214.47,55.34,2195.43,2.23,2.60,2.26,-0.09,-0.09,0.03,2.23,2.60,2.26,1.00,1.00,1.00,483.83,489.37,487.84,279.66,280.88,282.64,8.51,10.76,8.60
"2021-02-08 22:15:00",0,0,0,283673.19,283697.94,24.76,16250.15,2459.82,0.04,8074.44,298788.97,299197.44,408.46,5.75,-0.02,5.75,1.00,486.51,280.77,7.44,60.01,11.59,-0.49,11.60,28.67,0.52,28.67,-15.96,-1.21,15.96,110353.84,119207.80,54136.29,4.19,2.44,18.13,6218.63,7538.06,2493.47,212.58,53.48,2193.75,0.01,0.01,0.01,3901.07,3445.30,728.07,115782.83,125595.55,55792.00,214.47,55.34,2195.43,1.80,2.16,1.79,-0.06,-0.00,0.04,1.80,2.16,1.79,1.00,1.00,1.00,483.48,488.57,487.47,279.32,280.60,282.38,7.05,8.27,7.01
"2021-02-08 22:30:00",0,0,0,283674.75,283699.50,24.76,16250.17,2459.82,0.04,8074.48,298790.53,299199.00,408.46,4.57,0.04,4.57,1.00,486.24,280.61,6.09,60.01,7.03,-0.13,7.04,28.67,0.52,28.67,-15.96,-1.21,15.96,110354.34,119208.40,54136.79,4.19,2.44,18.13,6218.63,7538.06,2493.48,212.58,53.48,2193.75,0.01,0.01,0.01,3901.09,3445.31,728.07,115783.32,125596.16,55792.49,214.47,55.34,2195.43,1.45,1.71,1.41,-0.04,0.02,0.06,1.45,1.71,1.41,1.00,1.00,1.00,482.98,488.59,487.15,279.21,280.37,282.27,5.85,6.72,5.69
"2021-02-08 22:45:00",0,0,0,283675.78,283700.53,24.76,16250.19,2459.82,0.04,8074.48,298791.53,299200.00,408.46,3.38,0.10,3.38,1.00,486.42,280.72,4.85,60.01,5.00,0.01,5.00,28.67,0.52,28.67,-15.96,-1.21,15.96,110354.66,119208.77,54137.10,4.19,2.44,18.13,6218.63,7538.07,2493.50,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115783.64,125596.53,55792.81,214.47,55.34,2195.43,1.06,1.27,1.06,-0.03,0.04,0.08,1.06,1.27,1.06,1.00,1.00,1.00,483.06,488.92,487.28,279.24,280.44,282.47,4.61,5.33,4.61
"2021-02-08 23:00:00",0,0,0,283676.41,283701.16,24.76,16250.23,2459.82,0.04,8074.49,298792.19,299200.66,408.46,1.88,0.19,1.89,1.00,486.12,280.54,3.39,59.98,3.40,0.10,3.40,28.67,0.52,28.67,-15.96,-1.21,15.96,110354.85,119209.02,54137.30,4.19,2.44,18.13,6218.63,7538.08,2493.52,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115783.84,125596.77,55793.01,214.47,55.34,2195.43,0.58,0.71,0.59,0.01,0.08,0.10,0.58,0.71,0.60,1.00,0.99,0.99,482.67,488.63,487.05,279.06,280.16,282.41,3.23,3.68,3.27
"2021-02-08 23:15:00",0,0,0,283676.81,283701.56,24.76,16250.28,2459.82,0.04,8074.49,298792.56,299201.03,408.46,1.32,0.22,1.34,0.99,485.29,280.06,2.89,60.01,1.97,0.18,1.98,28.67,0.52,28.67,-15.96,-1.21,15.96,110354.98,119209.16,54137.42,4.19,2.44,18.13,6218.63,7538.10,2493.55,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115783.96,125596.93,55793.13,214.47,55.34,2195.43,0.41,0.49,0.42,0.00,0.09,0.13,0.41,0.50,0.44,1.00,0.98,0.95,482.27,487.92,485.67,278.60,279.83,281.76,2.78,3.10,2.78
