time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-09 03:00:00",0,0,0,283677.69,283702.44,24.76,16251.68,2459.82,0.04,8074.49,298794.59,299203.06,408.47,0.02,0.42,0.42,0.04,483.90,279.27,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.23,119209.50,54137.70,4.19,2.44,18.13,6218.93,7538.62,2494.14,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.48,125597.66,55793.88,214.47,55.34,2195.43,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.03,0.04,0.04,480.43,486.94,485.65,278.21,279.00,281.35,0.39,0.56,0.61
"2021-02-09 03:15:00",0,0,0,283677.69,283702.44,24.76,16251.79,2459.82,0.04,8074.49,298794.69,299203.16,408.47,0.02,0.43,0.43,0.04,484.60,279.67,0.52,60.00,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.23,119209.51,54137.70,4.19,2.44,18.13,6218.95,7538.66,2494.18,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.51,125597.70,55793.91,214.47,55.34,2195.43,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.19,486.65,485.97,278.63,279.06,281.32,0.39,0.57,0.61
"2021-02-09 03:30:00",0,0,0,283677.69,283702.44,24.76,16251.89,2459.82,0.04,8074.49,298794.78,299203.25,408.47,0.02,0.43,0.43,0.05,484.93,279.86,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.24,119209.51,54137.70,4.19,2.44,18.13,6218.98,7538.69,2494.22,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.53,125597.74,55793.95,214.47,55.34,2195.43,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.04,481.06,487.57,486.17,278.59,279.27,281.73,0.39,0.57,0.62
"2021-02-09 03:45:00",0,0,0,283677.69,283702.44,24.76,16252.00,2459.82,0.04,8074.49,298794.91,299203.38,408.47,0.02,0.43,0.43,0.04,485.34,280.09,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.24,119209.51,54137.70,4.19,2.44,18.13,6219.01,7538.73,2494.26,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.56,125597.78,55794.00,214.47,55.34,2195.43,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.06,0.04,481.94,487.35,485.98,278.87,279.54,281.45,0.38,0.57,0.62
"2021-02-09 04:00:00",0,0,0,283677.69,283702.44,24.76,16252.11,2459.82,0.04,8074.49,298795.00,299203.47,408.47,0.02,0.43,0.43,0.04,485.60,280.24,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.24,119209.51,54137.70,4.19,2.44,18.13,6219.03,7538.77,2494.30,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.59,125597.81,55794.04,214.47,55.34,2195.43,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.06,0.02,482.00,488.05,486.74,278.89,279.78,282.06,0.40,0.58,0.60
"2021-02-09 04:15:00",0,0,0,283677.69,283702.44,24.76,16252.21,2459.82,0.04,8074.49,298795.09,299203.56,408.47,0.02,0.43,0.43,0.04,485.94,280.44,0.52,59.92,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.24,119209.52,54137.70,4.19,2.44,18.13,6219.06,7538.81,2494.34,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.62,125597.85,55794.08,214.47,55.34,2195.43,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.16,0.17,0.04,0.06,0.03,482.53,488.42,486.86,279.15,280.10,282.07,0.39,0.57,0.61
"2021-02-09 04:30:00",0,0,0,283677.69,283702.44,24.76,16252.32,2459.82,0.04,8074.49,298795.22,299203.69,408.47,0.02,0.43,0.43,0.04,486.52,280.78,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.24,119209.52,54137.70,4.19,2.44,18.13,6219.09,7538.85,2494.38,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.65,125597.89,55794.12,214.47,55.34,2195.43,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,482.62,489.09,487.86,279.46,280.20,282.67,0.39,0.57,0.61
"2021-02-09 04:45:00",0,0,0,283677.72,283702.47,24.76,16252.43,2459.82,0.04,8074.49,298795.31,299203.78,408.47,0.02,0.43,0.43,0.05,487.22,281.18,0.53,60.00,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.24,119209.52,54137.70,4.19,2.44,18.13,6219.11,7538.89,2494.43,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.67,125597.94,55794.17,214.47,55.34,2195.43,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,483.82,489.54,488.30,279.99,280.73,282.83,0.39,0.57,0.61
"2021-02-09 05:00:00",0,0,0,283677.72,283702.47,24.76,16252.54,2459.82,0.04,8074.49,298795.44,299203.91,408.47,0.02,0.43,0.43,0.05,486.44,280.73,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.24,119209.52,54137.70,4.19,2.44,18.13,6219.14,7538.93,2494.47,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.70,125597.98,55794.21,214.47,55.34,2195.43,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,482.75,489.03,487.33,279.31,280.29,282.47,0.39,0.57,0.61
"2021-02-09 05:15:00",0,0,0,283677.72,283702.47,24.76,16252.64,2459.82,0.04,8074.49,298795.53,299204.00,408.47,0.02,0.43,0.43,0.04,486.94,281.02,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.25,119209.52,54137.71,4.19,2.44,18.13,6219.17,7538.97,2494.51,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.73,125598.02,55794.25,214.47,55.34,2195.43,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,483.21,489.87,487.73,279.46,280.71,282.88,0.39,0.58,0.61
"2021-02-09 05:30:00",0,0,0,283677.72,283702.47,24.76,16252.75,2459.82,0.04,8074.49,298795.66,299204.13,408.47,0.02,0.43,0.43,0.04,486.86,280.97,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.25,119209.52,54137.71,4.19,2.44,18.13,6219.19,7539.01,2494.55,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.75,125598.05,55794.29,214.47,55.34,2195.43,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,483.45,489.05,488.07,279.86,280.46,282.60,0.39,0.57,0.61
"2021-02-09 05:45:00",0,0,0,283677.72,283702.47,24.76,16252.86,2459.82,0.04,8074.49,298795.78,299204.25,408.47,0.02,0.43,0.43,0.04,487.66,281.44,0.52,59.92,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.25,119209.52,54137.71,4.19,2.44,18.13,6219.22,7539.04,2494.59,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.77,125598.09,55794.34,214.47,55.34,2195.43,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,484.48,489.91,488.60,280.29,281.09,282.93,0.39,0.57,0.61
"2021-02-09 06:00:00",0,0,0,283677.72,283702.47,24.76,16252.97,2459.82,0.04,8074.49,298795.88,299204.34,408.47,0.02,0.43,0.43,0.05,488.82,282.11,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.25,119209.52,54137.71,4.19,2.44,18.13,6219.25,7539.08,2494.64,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.80,125598.13,55794.38,214.47,55.34,2195.43,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,485.50,491.01,490.16,281.07,281.57,283.79,0.39,0.58,0.61
"2021-02-09 06:15:00",0,0,0,283677.72,283702.47,24.76,16253.08,2459.82,0.04,8074.49,298795.97,299204.44,408.47,0.02,0.43,0.43,0.04,488.76,282.07,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.25,119209.53,54137.71,4.19,2.44,18.13,6219.27,7539.12,2494.68,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.83,125598.16,55794.42,214.47,55.34,2195.43,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,485.59,491.30,489.40,280.70,281.90,283.62,0.39,0.57,0.61
"2021-02-09 06:30:00",0,0,0,283677.75,283702.50,24.76,16253.18,2459.82,0.04,8074.49,298796.09,299204.56,408.47,0.02,0.43,0.43,0.04,488.98,282.19,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.25,119209.53,54137.71,4.19,2.44,18.13,6219.30,7539.16,2494.72,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.85,125598.20,55794.46,214.47,55.34,2195.43,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.06,0.03,485.54,491.22,490.17,280.99,281.69,283.91,0.39,0.57,0.61
"2021-02-09 06:45:00",0,0,0,283677.75,283702.50,24.76,16253.29,2459.82,0.04,8074.49,298796.19,299204.66,408.47,0.02,0.43,0.43,0.05,485.64,280.27,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.26,119209.53,54137.71,4.19,2.44,18.13,6219.33,7539.20,2494.76,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.88,125598.24,55794.50,214.47,55.34,2195.43,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.16,0.17,0.06,0.05,0.04,482.62,487.70,486.60,279.22,279.85,281.73,0.38,0.57,0.61
"2021-02-09 07:00:00",0,0,0,283677.75,283702.50,24.76,16253.40,2459.82,0.04,8074.49,298796.28,299204.75,408.47,0.01,0.43,0.43,0.03,486.08,280.52,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.26,119209.54,54137.71,4.19,2.44,18.13,6219.35,7539.24,2494.81,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.91,125598.29,55794.54,214.47,55.34,2195.43,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.01,482.88,488.29,487.07,279.25,280.20,282.12,0.40,0.57,0.60
"2021-02-09 07:15:00",0,0,0,283677.75,283702.50,24.76,16253.51,2459.82,0.04,8074.49,298796.41,299204.88,408.47,0.02,0.43,0.43,0.04,486.71,280.89,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.26,119209.54,54137.71,4.19,2.44,18.13,6219.38,7539.28,2494.85,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.93,125598.33,55794.59,214.47,55.34,2195.43,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.04,483.36,488.99,487.78,279.68,280.52,282.47,0.39,0.57,0.61
"2021-02-09 07:30:00",0,0,0,283677.75,283702.50,24.76,16253.61,2459.82,0.04,8074.49,298796.50,299204.97,408.47,0.02,0.43,0.43,0.05,485.83,280.38,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.26,119209.54,54137.71,4.19,2.44,18.13,6219.41,7539.32,2494.89,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.97,125598.37,55794.63,214.47,55.34,2195.43,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,482.34,488.28,486.88,279.03,279.95,282.16,0.39,0.57,0.60
"2021-02-09 07:45:00",0,0,0,283677.75,283702.50,24.76,16253.72,2459.82,0.04,8074.49,298796.63,299205.09,408.47,0.02,0.43,0.43,0.04,484.58,279.66,0.52,59.98,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.26,119209.54,54137.72,4.19,2.44,18.13,6219.43,7539.36,2494.93,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115784.99,125598.41,55794.67,214.47,55.34,2195.43,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.04,481.53,486.72,485.34,278.49,279.36,281.04,0.38,0.56,0.61
"2021-02-09 08:00:00",0,0,0,283677.75,283702.50,24.76,16253.83,2459.82,0.04,8074.49,298796.72,299205.19,408.47,0.01,0.43,0.43,0.03,485.00,279.90,0.52,59.93,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.26,119209.55,54137.72,4.19,2.44,18.13,6219.46,7539.40,2494.97,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.02,125598.44,55794.71,214.47,55.34,2195.43,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.01,482.03,487.08,485.90,278.68,279.62,281.40,0.40,0.58,0.59
"2021-02-09 08:15:00",0,0,0,283677.78,283702.53,24.76,16253.93,2459.82,0.04,8074.49,298796.81,299205.28,408.47,0.02,0.43,0.43,0.04,485.03,279.92,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.26,119209.55,54137.72,4.19,2.44,18.13,6219.49,7539.43,2495.01,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.05,125598.48,55794.75,214.47,55.34,2195.43,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.02,481.73,487.14,486.22,278.72,279.45,281.59,0.40,0.57,0.60
"2021-02-09 08:30:00",0,0,0,283677.78,283702.53,24.76,16254.04,2459.82,0.04,8074.49,298796.97,299205.44,408.47,0.01,0.43,0.43,0.03,484.88,279.83,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.27,119209.55,54137.72,4.19,2.44,18.13,6219.51,7539.47,2495.06,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.07,125598.52,55794.79,214.47,55.34,2195.43,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.05,0.02,482.10,486.83,485.77,278.71,279.64,281.18,0.40,0.57,0.58
"2021-02-09 08:45:00",0,0,0,283677.78,283702.53,24.76,16254.15,2459.82,0.04,8074.49,298797.06,299205.53,408.47,0.02,0.43,0.43,0.05,485.07,279.94,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.27,119209.55,54137.72,4.19,2.44,18.13,6219.54,7539.51,2495.10,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.09,125598.55,55794.84,214.47,55.34,2195.43,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.15,0.17,0.05,0.06,0.03,481.96,487.23,486.03,278.79,279.56,281.47,0.39,0.57,0.61
"2021-02-09 09:00:00",0,0,0,283677.78,283702.53,24.76,16254.25,2459.82,0.04,8074.49,298797.16,299205.63,408.47,0.02,0.43,0.43,0.03,485.68,280.29,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.27,119209.55,54137.72,4.19,2.44,18.13,6219.57,7539.55,2495.14,212.58,53.48,2193.75,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.13,125598.60,55794.88,214.47,55.34,2195.43,0.01,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.06,0.06,0.03,482.52,487.75,486.41,279.04,279.86,281.77,0.39,0.57,0.61
