time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-09 14:15:00",0,0,0,283677.88,283702.63,24.76,16256.47,2459.83,0.04,8074.49,298799.38,299207.84,408.47,0.02,0.42,0.42,0.04,480.72,277.43,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.30,119209.60,54137.75,4.19,2.44,18.13,6220.11,7540.36,2496.00,212.59,53.48,2193.76,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.67,125599.41,55795.74,214.47,55.34,2195.43,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.03,0.05,0.03,477.62,483.32,481.22,276.05,277.37,278.86,0.40,0.58,0.61
"2021-02-09 14:30:00",0,0,0,283677.88,283702.63,24.76,16256.57,2459.83,0.04,8074.49,298799.47,299207.94,408.47,0.02,0.42,0.42,0.04,480.96,277.57,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.30,119209.60,54137.75,4.19,2.44,18.13,6220.14,7540.39,2496.04,212.59,53.48,2193.76,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.70,125599.45,55795.78,214.47,55.34,2195.43,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.03,0.05,0.03,477.35,483.86,481.67,276.01,277.35,279.34,0.39,0.58,0.61
"2021-02-09 14:45:00",0,0,0,283677.88,283702.63,24.76,16256.68,2459.83,0.04,8074.49,298799.56,299208.03,408.47,0.02,0.42,0.42,0.04,480.66,277.39,0.53,59.98,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.30,119209.61,54137.75,4.19,2.44,18.13,6220.16,7540.43,2496.08,212.59,53.48,2193.76,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.73,125599.48,55795.82,214.47,55.34,2195.43,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.25,483.22,481.51,276.04,277.09,279.05,0.40,0.58,0.61
"2021-02-09 15:00:00",0,0,0,283677.88,283702.63,24.76,16256.78,2459.83,0.04,8074.49,298799.72,299208.19,408.47,0.02,0.42,0.42,0.04,482.72,278.58,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.30,119209.61,54137.75,4.19,2.44,18.13,6220.19,7540.47,2496.12,212.59,53.48,2193.76,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.75,125599.52,55795.86,214.47,55.34,2195.43,0.00,0.01,0.00,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.03,479.21,486.03,483.49,277.02,278.56,280.50,0.40,0.58,0.62
"2021-02-09 15:15:00",0,0,0,283677.91,283702.66,24.76,16256.87,2459.83,0.04,8074.49,298799.78,299208.25,408.47,0.18,0.25,0.31,0.57,483.31,278.92,2.21,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.30,119209.62,54137.76,4.19,2.44,18.13,6220.21,7540.50,2496.16,212.59,53.48,2193.76,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.77,125599.55,55795.90,214.47,55.34,2195.43,0.05,0.07,0.05,0.03,0.10,0.13,0.06,0.12,0.14,0.87,0.59,0.38,479.80,486.27,483.87,277.20,278.83,280.73,2.01,2.36,2.27
"2021-02-09 15:30:00",0,0,0,283677.97,283702.72,24.76,16256.93,2459.83,0.04,8074.49,298799.91,299208.38,408.47,0.45,0.24,0.51,0.88,482.57,278.50,2.25,60.02,0.17,0.27,0.33,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.33,119209.65,54137.78,4.19,2.44,18.13,6220.22,7540.53,2496.19,212.59,53.48,2193.76,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.79,125599.59,55795.94,214.47,55.34,2195.43,0.14,0.17,0.14,0.01,0.10,0.13,0.14,0.20,0.19,0.99,0.87,0.73,479.02,485.82,482.88,276.80,278.38,280.32,2.09,2.41,2.26
"2021-02-09 15:45:00",0,0,0,283678.16,283702.91,24.76,16257.00,2459.83,0.04,8074.49,298800.06,299208.53,408.47,0.93,0.23,0.95,0.97,482.01,278.17,2.51,59.93,0.42,0.26,0.50,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.38,119209.70,54137.83,4.19,2.44,18.13,6220.22,7540.55,2496.23,212.59,53.48,2193.76,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.84,125599.66,55796.00,214.47,55.34,2195.43,0.29,0.35,0.28,0.02,0.09,0.12,0.29,0.36,0.31,1.00,0.97,0.92,478.12,485.39,482.52,276.24,278.16,280.12,2.35,2.71,2.47
"2021-02-09 16:00:00",0,0,0,283678.47,283703.22,24.76,16257.04,2459.83,0.04,8074.49,298800.38,299208.84,408.47,1.06,0.21,1.09,0.98,482.76,278.61,2.66,60.02,0.95,0.22,0.98,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.47,119209.82,54137.93,4.19,2.44,18.13,6220.23,7540.56,2496.25,212.59,53.48,2193.76,0.01,0.01,0.01,3901.10,3445.31,728.07,115785.95,125599.77,55796.10,214.47,55.34,2195.43,0.33,0.40,0.33,0.02,0.06,0.13,0.33,0.41,0.36,1.00,0.99,0.93,478.59,485.93,483.31,276.83,278.20,280.53,2.52,2.90,2.59
"2021-02-09 16:15:00",0,0,0,283679.28,283704.03,24.76,16257.08,2459.83,0.04,8074.50,298801.22,299209.69,408.47,5.65,-0.04,5.65,1.00,483.14,278.82,7.31,60.01,1.35,0.19,1.37,28.67,0.52,28.67,-15.96,-1.21,15.96,110355.74,119210.13,54138.18,4.19,2.44,18.13,6220.23,7540.57,2496.27,212.59,53.48,2193.76,0.01,0.01,0.01,3901.11,3445.32,728.07,115786.20,125600.08,55796.36,214.47,55.34,2195.43,1.89,2.08,1.68,-0.06,-0.02,0.04,1.89,2.08,1.68,1.00,1.00,1.00,479.76,486.04,483.61,277.05,278.89,280.52,7.35,7.99,6.60
"2021-02-09 16:30:00",0,0,0,283680.47,283705.22,24.76,16257.09,2459.83,0.04,8074.51,298802.41,299210.88,408.47,3.06,0.10,3.07,1.00,483.07,278.79,4.46,60.02,5.30,-0.03,5.30,28.67,0.52,28.67,-15.96,-1.21,15.96,110356.12,119210.57,54138.56,4.19,2.44,18.13,6220.23,7540.57,2496.29,212.59,53.48,2193.76,0.01,0.01,0.01,3901.12,3445.32,728.07,115786.59,125600.52,55796.73,214.47,55.34,2195.43,0.95,1.15,0.96,-0.01,0.04,0.07,0.95,1.15,0.96,1.00,1.00,1.00,479.06,485.60,484.56,277.25,278.33,280.78,4.22,4.87,4.28
