time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-10 07:30:00",0,0,0,283748.81,283773.56,24.76,16260.45,2459.84,0.04,8077.21,298873.63,299282.09,408.47,0.02,0.43,0.43,0.04,486.68,280.87,0.52,59.92,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.18,54159.96,4.19,2.44,18.13,6220.96,7541.73,2497.75,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.61,125627.19,55819.31,214.48,55.34,2195.44,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,483.29,489.33,487.41,279.45,280.62,282.54,0.39,0.57,0.61
"2021-02-10 07:45:00",0,0,0,283748.81,283773.56,24.76,16260.56,2459.84,0.04,8077.21,298873.75,299282.22,408.47,0.02,0.43,0.43,0.04,487.11,281.12,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.19,54159.96,4.19,2.44,18.13,6220.99,7541.77,2497.79,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.63,125627.23,55819.36,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,483.83,489.48,488.02,279.86,280.76,282.74,0.39,0.57,0.61
"2021-02-10 08:00:00",0,0,0,283748.81,283773.56,24.76,16260.66,2459.84,0.04,8077.21,298873.84,299282.31,408.47,0.02,0.43,0.43,0.04,487.44,281.31,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.19,54159.97,4.19,2.44,18.13,6221.02,7541.81,2497.83,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.66,125627.27,55819.39,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.02,483.91,489.83,488.38,279.88,280.86,283.06,0.40,0.58,0.60
"2021-02-10 08:15:00",0,0,0,283748.81,283773.56,24.76,16260.77,2459.84,0.04,8077.21,298873.97,299282.44,408.47,0.02,0.43,0.43,0.04,487.05,281.08,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.19,54159.97,4.19,2.44,18.13,6221.04,7541.85,2497.88,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.69,125627.30,55819.44,214.48,55.34,2195.44,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,483.91,489.61,487.62,279.68,280.92,282.65,0.39,0.58,0.61
"2021-02-10 08:30:00",0,0,0,283748.84,283773.59,24.76,16260.88,2459.84,0.04,8077.21,298874.06,299282.53,408.47,0.02,0.43,0.43,0.04,486.59,280.82,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.19,54159.97,4.19,2.44,18.13,6221.07,7541.89,2497.92,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.71,125627.34,55819.48,214.48,55.34,2195.44,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.06,0.05,0.03,483.00,489.32,487.44,279.34,280.46,282.64,0.39,0.57,0.61
"2021-02-10 08:45:00",0,0,0,283748.84,283773.59,24.76,16260.99,2459.84,0.04,8077.21,298874.16,299282.63,408.47,0.02,0.43,0.43,0.04,487.02,281.07,0.52,59.88,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.20,54159.97,4.19,2.44,18.13,6221.10,7541.93,2497.96,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.73,125627.38,55819.52,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,483.78,489.41,487.87,279.76,280.77,282.67,0.40,0.57,0.60
"2021-02-10 09:00:00",0,0,0,283748.84,283773.59,24.76,16261.09,2459.84,0.04,8077.21,298874.31,299282.78,408.47,0.02,0.43,0.43,0.04,486.60,280.83,0.52,59.89,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.20,54159.97,4.19,2.44,18.13,6221.12,7541.97,2498.00,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.77,125627.42,55819.56,214.48,55.34,2195.44,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.90,489.33,487.57,279.32,280.46,282.69,0.39,0.57,0.61
"2021-02-10 09:15:00",0,0,0,283748.84,283773.59,24.76,16261.20,2459.84,0.04,8077.21,298874.41,299282.88,408.47,0.02,0.43,0.43,0.04,486.87,280.98,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.20,54159.97,4.19,2.44,18.13,6221.15,7542.01,2498.04,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.79,125627.46,55819.61,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,483.47,489.54,487.61,279.53,280.75,282.67,0.39,0.57,0.61
"2021-02-10 09:30:00",0,0,0,283748.84,283773.59,24.76,16261.31,2459.84,0.04,8077.21,298874.50,299282.97,408.47,0.01,0.43,0.43,0.03,486.71,280.89,0.52,59.97,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.20,54159.98,4.19,2.44,18.13,6221.18,7542.05,2498.09,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.81,125627.50,55819.65,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.03,0.05,0.02,483.19,489.00,487.96,279.64,280.38,282.65,0.40,0.57,0.60
"2021-02-10 09:45:00",0,0,0,283748.84,283773.59,24.76,16261.42,2459.84,0.04,8077.21,298874.63,299283.09,408.47,0.01,0.43,0.43,0.03,486.66,280.86,0.52,59.96,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.20,54159.98,4.19,2.44,18.13,6221.20,7542.08,2498.13,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.84,125627.54,55819.69,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.03,0.05,0.02,482.96,489.49,487.54,279.29,280.57,282.71,0.40,0.57,0.60
"2021-02-10 10:00:00",0,0,0,283748.84,283773.59,24.76,16261.52,2459.84,0.04,8077.21,298874.72,299283.19,408.47,0.02,0.43,0.43,0.04,486.00,280.48,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.20,54159.98,4.19,2.44,18.13,6221.23,7542.12,2498.17,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.87,125627.58,55819.73,214.48,55.34,2195.44,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.67,488.30,487.05,279.25,280.06,282.13,0.39,0.57,0.61
"2021-02-10 10:15:00",0,0,0,283748.88,283773.63,24.76,16261.63,2459.84,0.04,8077.21,298874.84,299283.31,408.47,0.02,0.43,0.43,0.04,486.26,280.63,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.20,54159.98,4.19,2.44,18.13,6221.26,7542.16,2498.21,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.89,125627.62,55819.77,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.02,482.76,488.44,487.16,279.22,280.14,282.27,0.40,0.58,0.60
"2021-02-10 10:30:00",0,0,0,283748.88,283773.63,24.76,16261.74,2459.84,0.04,8077.21,298874.94,299283.41,408.47,0.01,0.43,0.43,0.03,486.21,280.60,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.41,119236.21,54159.98,4.19,2.44,18.13,6221.28,7542.20,2498.25,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.92,125627.66,55819.82,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.02,0.05,0.02,482.64,488.55,487.43,279.29,280.14,282.36,0.40,0.57,0.60
"2021-02-10 10:45:00",0,0,0,283748.88,283773.63,24.76,16261.85,2459.84,0.04,8077.21,298875.03,299283.50,408.47,0.02,0.43,0.43,0.04,486.09,280.53,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.42,119236.21,54159.98,4.19,2.44,18.13,6221.31,7542.24,2498.30,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.95,125627.70,55819.86,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.54,488.73,487.01,279.10,280.19,282.30,0.39,0.57,0.61
"2021-02-10 11:00:00",0,0,0,283748.88,283773.63,24.76,16261.96,2459.84,0.04,8077.21,298875.16,299283.63,408.47,0.02,0.43,0.43,0.04,485.97,280.46,0.53,59.89,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.42,119236.21,54159.98,4.19,2.44,18.13,6221.34,7542.28,2498.34,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115808.98,125627.73,55819.90,214.48,55.34,2195.44,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,482.56,488.61,486.78,279.07,280.17,282.17,0.39,0.57,0.61
"2021-02-10 11:15:00",0,0,0,283748.88,283773.63,24.76,16262.06,2459.84,0.04,8077.21,298875.25,299283.72,408.47,0.02,0.43,0.43,0.04,485.63,280.26,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.42,119236.21,54159.99,4.19,2.44,18.13,6221.36,7542.32,2498.38,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.01,125627.77,55819.94,214.48,55.34,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.06,488.08,486.40,278.81,279.87,281.91,0.39,0.57,0.61
"2021-02-10 11:30:00",0,0,0,283748.88,283773.63,24.76,16262.17,2459.84,0.04,8077.21,298875.34,299283.81,408.47,0.02,0.42,0.42,0.05,485.09,279.96,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.42,119236.22,54159.99,4.19,2.44,18.13,6221.39,7542.36,2498.42,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.03,125627.81,55819.98,214.48,55.34,2195.44,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.05,481.49,487.88,485.91,278.57,279.63,281.66,0.38,0.56,0.62
"2021-02-10 11:45:00",0,0,0,283748.88,283773.63,24.76,16262.28,2459.84,0.04,8077.21,298875.47,299283.94,408.47,0.02,0.43,0.43,0.04,484.00,279.32,0.53,59.93,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.42,119236.22,54159.99,4.19,2.44,18.13,6221.42,7542.40,2498.46,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.05,125627.85,55820.02,214.48,55.34,2195.44,0.00,0.01,0.00,0.10,0.15,0.17,0.10,0.16,0.17,0.04,0.05,0.03,480.26,486.98,484.75,277.68,279.07,281.21,0.39,0.58,0.61
"2021-02-10 12:00:00",0,0,0,283748.88,283773.63,24.76,16262.38,2459.84,0.04,8077.21,298875.56,299284.03,408.47,0.02,0.42,0.42,0.05,482.76,278.61,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.42,119236.22,54159.99,4.19,2.44,18.13,6221.44,7542.43,2498.50,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.08,125627.88,55820.07,214.48,55.34,2195.44,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.03,479.36,485.39,483.54,277.24,278.31,280.27,0.39,0.57,0.62
"2021-02-10 12:15:00",0,0,0,283748.91,283773.66,24.76,16262.49,2459.84,0.04,8077.21,298875.69,299284.16,408.47,0.02,0.42,0.42,0.04,482.90,278.69,0.53,59.96,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.42,119236.22,54159.99,4.19,2.44,18.13,6221.47,7542.47,2498.55,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.11,125627.93,55820.11,214.48,55.34,2195.44,0.00,0.01,0.00,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.03,479.60,485.63,483.70,277.30,278.50,280.39,0.39,0.57,0.61
"2021-02-10 12:30:00",0,0,0,283748.91,283773.66,24.76,16262.59,2459.84,0.04,8077.21,298875.81,299284.28,408.47,0.02,0.42,0.42,0.04,481.55,277.90,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.42,119236.23,54159.99,4.19,2.44,18.13,6221.49,7542.51,2498.59,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.13,125627.97,55820.15,214.48,55.34,2195.44,0.01,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,478.13,484.16,482.35,276.54,277.58,279.59,0.39,0.58,0.61
"2021-02-10 12:45:00",0,0,0,283748.91,283773.66,24.76,16262.70,2459.84,0.04,8077.21,298875.91,299284.38,408.47,0.02,0.42,0.42,0.04,481.08,277.63,0.53,59.99,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.43,119236.23,54159.99,4.19,2.44,18.13,6221.52,7542.55,2498.63,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.16,125628.01,55820.19,214.48,55.34,2195.44,0.01,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,477.18,484.13,481.92,276.03,277.29,279.58,0.39,0.58,0.61
"2021-02-10 13:00:00",0,0,0,283748.91,283773.66,24.76,16262.80,2459.84,0.04,8077.21,298876.00,299284.47,408.47,0.02,0.42,0.42,0.04,481.08,277.64,0.53,59.96,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.43,119236.23,54160.00,4.19,2.44,18.13,6221.55,7542.59,2498.67,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.18,125628.05,55820.23,214.48,55.34,2195.44,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.49,483.77,481.98,276.23,277.27,279.40,0.39,0.58,0.61
"2021-02-10 13:15:00",0,0,0,283748.91,283773.66,24.76,16262.91,2459.84,0.04,8077.21,298876.09,299284.56,408.47,0.02,0.42,0.42,0.04,483.96,279.30,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110377.43,119236.23,54160.00,4.19,2.44,18.13,6221.57,7542.63,2498.71,212.59,53.49,2193.76,0.01,0.01,0.01,3902.32,3446.30,728.59,115809.21,125628.08,55820.27,214.48,55.34,2195.44,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.03,480.18,486.73,484.97,277.89,278.88,281.13,0.39,0.58,0.62
