time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-10 15:45:00",0,0,0,283751.31,283776.06,24.76,16263.74,2459.84,0.04,8077.22,298879.22,299287.69,408.47,5.90,-0.03,5.90,1.00,483.84,279.23,7.55,60.01,3.97,0.06,3.97,28.67,0.52,28.67,-15.96,-1.21,15.96,110378.18,119237.15,54160.74,4.19,2.44,18.13,6221.76,7542.92,2499.06,212.59,53.49,2193.76,0.01,0.01,0.01,3902.33,3446.30,728.59,115810.13,125629.24,55821.29,214.48,55.34,2195.44,1.87,2.22,1.80,-0.05,-0.03,0.05,1.88,2.22,1.80,1.00,1.00,1.00,479.28,487.10,485.16,277.42,278.85,281.43,7.25,8.46,6.94
"2021-02-10 16:00:00",0,0,0,283752.97,283777.72,24.76,16263.75,2459.84,0.04,8077.25,298880.84,299289.31,408.47,7.68,-0.15,7.69,1.00,484.56,279.65,9.85,60.02,5.72,-0.02,5.72,28.67,0.52,28.67,-15.96,-1.21,15.96,110378.72,119237.78,54161.22,4.19,2.44,18.13,6221.76,7542.92,2499.07,212.59,53.49,2193.76,0.01,0.01,0.01,3902.35,3446.31,728.59,115810.67,125629.88,55821.78,214.48,55.34,2195.44,2.41,2.87,2.41,-0.07,-0.11,0.04,2.41,2.87,2.41,1.00,1.00,1.00,480.51,488.02,485.16,277.82,279.52,281.59,9.12,11.42,9.01
"2021-02-10 16:15:00",0,0,0,283755.06,283779.81,24.76,16263.76,2459.84,0.04,8077.31,298882.97,299291.44,408.47,9.52,-0.33,9.53,1.00,485.18,280.01,12.40,60.02,7.44,-0.12,7.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110379.39,119238.56,54161.86,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.38,3446.34,728.59,115811.35,125630.66,55822.42,214.48,55.34,2195.44,2.97,3.58,2.97,-0.18,-0.12,-0.05,2.98,3.58,2.98,1.00,1.00,1.00,481.50,488.55,485.50,278.07,280.09,281.86,11.74,13.78,11.66
"2021-02-10 16:30:00",0,0,0,283757.56,283782.31,24.76,16263.76,2459.84,0.04,8077.40,298885.50,299293.97,408.47,10.98,-0.41,11.01,1.00,485.01,279.91,14.08,59.91,9.17,-0.31,9.17,28.67,0.52,28.67,-15.96,-1.21,15.96,110380.19,119239.50,54162.64,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.43,3446.37,728.60,115812.15,125631.60,55823.20,214.48,55.34,2195.44,3.47,4.09,3.43,-0.20,-0.15,-0.06,3.47,4.09,3.43,1.00,1.00,1.00,480.77,488.58,486.50,278.13,279.73,282.33,13.43,15.57,13.15
"2021-02-10 16:45:00",0,0,0,283760.44,283785.19,24.76,16263.76,2459.84,0.04,8077.51,298888.34,299296.81,408.47,11.84,-0.51,11.85,1.00,486.48,280.76,15.22,60.02,10.77,-0.39,10.78,28.67,0.52,28.67,-15.96,-1.21,15.96,110381.10,119240.59,54163.51,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.48,3446.42,728.62,115813.07,125632.69,55824.07,214.48,55.34,2195.44,3.84,4.56,3.43,-0.21,-0.26,-0.04,3.85,4.57,3.43,1.00,1.00,1.00,482.33,489.86,487.26,278.83,280.67,282.77,14.71,17.81,13.15
"2021-02-10 17:00:00",0,0,0,283763.63,283788.38,24.76,16263.76,2459.84,0.04,8077.65,298891.50,299299.97,408.47,13.20,-0.52,13.21,1.00,486.66,280.86,16.75,60.01,11.95,-0.49,11.96,28.67,0.52,28.67,-15.96,-1.21,15.96,110382.12,119241.80,54164.46,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.54,3446.48,728.63,115814.08,125633.89,55825.02,214.48,55.34,2195.44,4.25,4.98,3.97,-0.21,-0.26,-0.05,4.26,4.99,3.97,1.00,1.00,1.00,482.38,490.01,487.61,279.05,280.69,282.84,16.10,19.21,14.95
"2021-02-10 17:15:00",0,0,0,283767.06,283791.81,24.76,16263.76,2459.84,0.04,8077.80,298895.00,299303.47,408.47,14.67,-0.72,14.69,1.00,487.52,281.35,18.64,60.01,13.30,-0.57,13.31,28.67,0.52,28.67,-15.96,-1.21,15.96,110383.23,119243.12,54165.50,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.60,3446.55,728.66,115815.19,125635.21,55826.05,214.48,55.34,2195.44,4.62,5.54,4.52,-0.32,-0.27,-0.11,4.62,5.54,4.54,1.00,1.00,1.00,483.31,490.37,488.86,279.39,281.16,283.51,17.93,21.07,16.92
"2021-02-10 17:30:00",0,0,0,283770.84,283795.59,24.76,16263.76,2459.84,0.04,8077.99,298898.75,299307.22,408.47,15.06,-0.76,15.32,1.00,488.05,281.66,19.56,59.93,14.31,-0.68,14.33,28.67,0.52,28.67,-15.96,-1.21,15.96,110384.42,119244.54,54166.63,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.68,3446.62,728.69,115816.39,125636.64,55827.19,214.48,55.34,2195.44,4.93,5.68,4.45,-0.32,-0.29,-0.14,4.94,5.69,4.45,1.00,1.00,1.00,484.28,491.27,489.49,280.21,281.70,283.58,18.97,21.58,17.24
"2021-02-10 17:45:00",0,0,0,283774.81,283799.56,24.76,16263.76,2459.84,0.04,8078.20,298902.75,299311.22,408.47,16.37,-0.86,16.40,1.00,489.14,282.29,20.73,60.01,15.45,-0.80,15.47,28.67,0.52,28.67,-15.96,-1.21,15.96,110385.69,119246.05,54167.84,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.77,3446.70,728.73,115817.66,125638.16,55828.40,214.48,55.34,2195.44,5.20,6.25,4.92,-0.38,-0.32,-0.16,5.22,6.26,4.93,1.00,1.00,1.00,485.20,492.33,489.88,280.25,282.24,284.37,19.96,23.45,18.80
"2021-02-10 18:00:00",0,0,0,283779.03,283803.78,24.76,16263.76,2459.84,0.04,8078.41,298906.97,299315.44,408.47,17.55,-0.88,17.57,1.00,488.79,282.08,22.14,60.02,16.47,-0.84,16.49,28.67,0.52,28.67,-15.96,-1.21,15.96,110387.02,119247.66,54169.12,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.86,3446.78,728.78,115819.00,125639.76,55829.68,214.48,55.34,2195.44,5.50,6.57,5.48,-0.35,-0.33,-0.20,5.51,6.58,5.48,1.00,1.00,1.00,484.66,491.63,490.06,280.08,281.91,284.26,21.03,24.62,20.77
"2021-02-10 18:15:00",0,0,0,283783.56,283808.31,24.76,16263.76,2459.84,0.04,8078.64,298911.47,299319.94,408.47,19.25,-0.96,19.28,1.00,489.37,282.42,24.06,60.01,17.22,-0.87,17.24,28.67,0.52,28.67,-15.96,-1.21,15.96,110388.46,119249.38,54170.49,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3902.95,3446.86,728.83,115820.44,125641.48,55831.05,214.48,55.34,2195.44,6.14,7.27,5.90,-0.39,-0.34,-0.19,6.15,7.28,5.90,1.00,1.00,1.00,485.94,492.64,489.75,280.44,282.77,284.18,23.22,26.99,22.14
"2021-02-10 18:30:00",0,0,0,283788.28,283813.03,24.76,16263.76,2459.84,0.04,8078.87,298916.22,299324.69,408.47,19.22,-0.98,19.24,1.00,489.18,282.31,24.05,60.01,18.96,-0.94,18.98,28.67,0.52,28.67,-15.96,-1.21,15.96,110389.99,119251.18,54171.87,4.19,2.44,18.13,6221.76,7542.92,2499.08,212.59,53.49,2193.76,0.01,0.01,0.01,3903.05,3446.95,728.87,115821.98,125643.29,55832.43,214.48,55.34,2195.44,6.18,7.31,5.73,-0.40,-0.36,-0.21,6.19,7.31,5.74,1.00,1.00,1.00,485.55,491.98,490.00,280.34,282.53,284.07,23.37,27.13,21.65
