time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-11 00:00:00",0,0,0,283820.91,283845.66,24.76,16264.40,2459.84,0.04,8079.94,298948.97,299357.44,408.47,0.16,0.27,0.31,0.51,485.25,280.04,2.18,59.92,0.38,0.29,0.48,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.18,119263.44,54182.05,4.19,2.44,18.13,6221.81,7543.11,2499.48,212.59,53.49,2193.76,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.17,125655.59,55842.69,214.48,55.34,2195.44,0.05,0.07,0.05,0.03,0.11,0.14,0.05,0.13,0.15,0.87,0.53,0.32,481.79,487.71,486.25,278.67,279.64,281.82,2.00,2.33,2.21
"2021-02-11 00:15:00",0,0,0,283820.94,283845.69,24.76,16264.47,2459.84,0.04,8079.94,298949.06,299357.53,408.47,0.01,0.36,0.36,0.02,484.54,279.63,1.09,59.92,0.17,0.28,0.32,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.18,119263.45,54182.05,4.19,2.44,18.13,6221.82,7543.13,2499.51,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.19,125655.62,55842.72,214.48,55.35,2195.44,0.00,-0.00,0.01,0.11,0.09,0.17,0.11,0.09,0.17,0.02,-0.00,0.02,480.97,487.07,485.56,278.15,279.22,281.51,0.40,2.25,0.62
"2021-02-11 00:30:00",0,0,0,283820.94,283845.69,24.76,16264.57,2459.85,0.04,8079.94,298949.16,299357.63,408.47,0.02,0.42,0.42,0.04,483.78,279.19,0.53,59.98,0.02,0.35,0.35,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.18,119263.45,54182.05,4.19,2.44,18.13,6221.85,7543.16,2499.55,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.22,125655.64,55842.76,214.48,55.35,2195.44,0.00,0.01,0.00,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.06,0.03,480.17,486.23,484.94,277.84,278.69,281.05,0.39,0.58,0.61
"2021-02-11 00:45:00",0,0,0,283820.94,283845.69,24.76,16264.67,2459.85,0.04,8079.94,298949.25,299357.72,408.47,0.02,0.43,0.43,0.04,484.16,279.41,0.53,59.91,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.18,119263.45,54182.05,4.19,2.44,18.13,6221.88,7543.20,2499.60,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.24,125655.68,55842.80,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.02,480.59,486.57,485.31,278.05,278.92,281.26,0.40,0.58,0.61
"2021-02-11 01:00:00",0,0,0,283820.94,283845.69,24.76,16264.78,2459.85,0.04,8079.94,298949.34,299357.81,408.47,0.02,0.43,0.43,0.04,483.65,279.12,0.53,59.92,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.19,119263.45,54182.06,4.19,2.44,18.13,6221.90,7543.24,2499.64,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.27,125655.72,55842.84,214.48,55.35,2195.44,0.01,0.01,0.00,0.11,0.15,0.17,0.11,0.16,0.17,0.05,0.05,0.03,480.20,485.99,484.75,277.87,278.68,280.80,0.40,0.58,0.61
"2021-02-11 01:15:00",0,0,0,283820.94,283845.69,24.76,16264.88,2459.85,0.04,8079.94,298949.47,299357.94,408.47,0.02,0.42,0.42,0.04,483.79,279.20,0.53,59.98,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.19,119263.45,54182.06,4.19,2.44,18.13,6221.93,7543.28,2499.68,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.30,125655.76,55842.89,214.48,55.35,2195.44,0.00,0.01,0.01,0.10,0.15,0.17,0.11,0.15,0.16,0.04,0.05,0.03,480.39,485.82,485.15,278.12,278.65,280.83,0.40,0.58,0.61
"2021-02-11 01:30:00",0,0,0,283820.97,283845.72,24.76,16264.99,2459.85,0.04,8079.94,298949.56,299358.03,408.47,0.02,0.42,0.42,0.04,483.71,279.15,0.53,59.90,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.19,119263.45,54182.06,4.19,2.44,18.13,6221.96,7543.32,2499.72,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.33,125655.80,55842.93,214.48,55.35,2195.44,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.03,480.50,486.09,484.74,277.99,278.83,280.75,0.39,0.58,0.62
"2021-02-11 01:45:00",0,0,0,283820.97,283845.72,24.76,16265.10,2459.85,0.04,8079.94,298949.66,299358.13,408.47,0.02,0.43,0.43,0.05,484.50,279.61,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.19,119263.45,54182.06,4.19,2.44,18.13,6221.98,7543.35,2499.76,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.35,125655.83,55842.96,214.48,55.35,2195.44,0.00,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.05,0.06,0.04,481.23,487.16,485.11,278.31,279.39,281.13,0.38,0.58,0.61
"2021-02-11 02:00:00",0,0,0,283820.97,283845.72,24.76,16265.20,2459.85,0.04,8079.94,298949.78,299358.25,408.47,0.02,0.42,0.42,0.04,484.17,279.42,0.52,60.00,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.19,119263.45,54182.06,4.19,2.44,18.13,6222.01,7543.39,2499.80,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.38,125655.87,55843.01,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,480.84,486.72,484.95,278.06,279.19,281.01,0.39,0.57,0.60
"2021-02-11 02:15:00",0,0,0,283820.97,283845.72,24.76,16265.31,2459.85,0.04,8079.94,298949.88,299358.34,408.47,0.02,0.43,0.43,0.04,484.72,279.74,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.19,119263.46,54182.06,4.19,2.44,18.13,6222.03,7543.43,2499.84,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.41,125655.91,55843.05,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,480.85,487.70,485.59,278.13,279.43,281.64,0.39,0.57,0.61
"2021-02-11 02:30:00",0,0,0,283820.97,283845.72,24.76,16265.42,2459.85,0.04,8079.94,298949.97,299358.44,408.47,0.02,0.42,0.43,0.04,484.60,279.67,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.19,119263.46,54182.06,4.19,2.44,18.13,6222.06,7543.47,2499.89,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.43,125655.95,55843.09,214.48,55.35,2195.44,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.03,480.71,487.50,485.60,278.13,279.36,281.52,0.39,0.57,0.61
"2021-02-11 02:45:00",0,0,0,283820.97,283845.72,24.76,16265.52,2459.85,0.04,8079.94,298950.09,299358.56,408.47,0.02,0.43,0.43,0.04,484.94,279.86,0.52,59.95,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.19,119263.46,54182.07,4.19,2.44,18.13,6222.09,7543.51,2499.93,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.45,125655.99,55843.13,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.32,487.57,485.92,278.46,279.53,281.60,0.39,0.57,0.61
"2021-02-11 03:00:00",0,0,0,283820.97,283845.72,24.76,16265.63,2459.85,0.04,8079.94,298950.19,299358.66,408.47,0.02,0.42,0.42,0.04,484.06,279.36,0.52,59.93,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.20,119263.47,54182.07,4.19,2.44,18.13,6222.11,7543.55,2499.97,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.48,125656.03,55843.18,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.03,480.40,486.63,485.16,278.00,278.96,281.12,0.39,0.57,0.60
"2021-02-11 03:15:00",0,0,0,283820.97,283845.72,24.76,16265.74,2459.85,0.04,8079.94,298950.31,299358.78,408.47,0.01,0.43,0.43,0.03,484.90,279.84,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.20,119263.47,54182.07,4.19,2.44,18.13,6222.14,7543.59,2500.01,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.51,125656.06,55843.22,214.48,55.35,2195.44,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.16,0.03,0.04,0.01,481.06,487.36,486.28,278.46,279.33,281.73,0.40,0.57,0.60
"2021-02-11 03:30:00",0,0,0,283821.00,283845.75,24.76,16265.84,2459.85,0.04,8079.94,298950.44,299358.91,408.47,0.02,0.43,0.43,0.05,485.60,280.25,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.20,119263.47,54182.07,4.19,2.44,18.13,6222.17,7543.62,2500.05,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.53,125656.10,55843.26,214.48,55.35,2195.44,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.04,482.11,488.50,487.02,279.08,279.98,282.15,0.39,0.57,0.62
"2021-02-11 03:45:00",0,0,0,283821.00,283845.75,24.76,16265.95,2459.85,0.04,8079.94,298950.53,299359.00,408.47,0.02,0.43,0.43,0.04,485.77,280.35,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.20,119263.47,54182.07,4.19,2.44,18.13,6222.19,7543.66,2500.09,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115832.55,125656.14,55843.30,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.16,0.17,0.04,0.05,0.03,481.98,488.62,486.71,278.83,280.02,282.18,0.39,0.57,0.61
