time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-11 12:00:00",0,0,0,283821.13,283845.88,24.76,16269.45,2459.85,0.04,8079.94,298954.03,299362.50,408.47,0.01,0.43,0.43,0.03,483.35,278.95,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.23,119263.54,54182.11,4.19,2.44,18.13,6223.06,7544.93,2501.46,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.43,125657.41,55844.67,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.01,0.05,0.02,479.89,485.97,484.20,277.41,278.80,280.63,0.41,0.58,0.60
"2021-02-11 12:15:00",0,0,0,283821.13,283845.88,24.76,16269.56,2459.85,0.04,8079.94,298954.13,299362.59,408.47,0.02,0.43,0.43,0.04,482.90,278.69,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.23,119263.54,54182.11,4.19,2.44,18.13,6223.08,7544.97,2501.50,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.45,125657.45,55844.71,214.48,55.35,2195.44,0.01,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.05,0.05,0.03,479.81,485.50,483.40,277.26,278.52,280.27,0.39,0.58,0.61
"2021-02-11 12:30:00",0,0,0,283821.16,283845.91,24.76,16269.66,2459.85,0.04,8079.94,298954.22,299362.69,408.47,0.01,0.42,0.42,0.03,482.67,278.55,0.53,59.97,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.23,119263.54,54182.11,4.19,2.44,18.13,6223.11,7545.01,2501.54,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.48,125657.49,55844.75,214.48,55.35,2195.44,0.00,0.01,0.00,0.10,0.15,0.17,0.11,0.15,0.16,0.03,0.05,0.03,479.21,485.23,483.57,277.18,278.27,280.22,0.40,0.58,0.61
"2021-02-11 12:45:00",0,0,0,283821.16,283845.91,24.76,16269.77,2459.85,0.04,8079.94,298954.38,299362.84,408.47,0.02,0.42,0.42,0.04,480.97,277.58,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.23,119263.55,54182.11,4.19,2.44,18.13,6223.14,7545.05,2501.58,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.51,125657.53,55844.79,214.48,55.35,2195.44,0.00,0.01,0.00,0.10,0.15,0.16,0.11,0.15,0.16,0.03,0.05,0.02,477.67,484.28,481.80,276.07,277.64,279.49,0.40,0.58,0.60
"2021-02-11 13:00:00",0,0,0,283821.16,283845.91,24.76,16269.87,2459.85,0.04,8079.94,298954.47,299362.94,408.47,0.02,0.42,0.42,0.04,480.56,277.34,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.23,119263.55,54182.11,4.19,2.44,18.13,6223.16,7545.09,2501.62,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.53,125657.56,55844.83,214.48,55.35,2195.44,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.03,0.05,0.03,477.04,483.36,481.29,275.85,277.16,279.01,0.39,0.57,0.61
"2021-02-11 13:15:00",0,0,0,283821.16,283845.91,24.76,16269.98,2459.85,0.04,8079.94,298954.56,299363.03,408.47,0.02,0.42,0.42,0.04,480.54,277.32,0.52,60.00,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.23,119263.55,54182.11,4.19,2.44,18.13,6223.19,7545.12,2501.67,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.55,125657.61,55844.88,214.48,55.35,2195.44,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,476.71,483.44,481.46,275.78,277.00,279.19,0.39,0.57,0.61
"2021-02-11 13:30:00",0,0,0,283821.16,283845.91,24.76,16270.08,2459.85,0.04,8079.94,298954.66,299363.13,408.47,0.01,0.42,0.42,0.03,482.70,278.57,0.53,59.91,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.23,119263.55,54182.12,4.19,2.44,18.13,6223.21,7545.16,2501.71,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.58,125657.65,55844.91,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.03,479.18,485.59,483.32,276.98,278.46,280.27,0.40,0.58,0.60
"2021-02-11 13:45:00",0,0,0,283821.16,283845.91,24.76,16270.19,2459.85,0.04,8079.94,298954.78,299363.25,408.47,0.02,0.42,0.42,0.04,482.36,278.38,0.53,60.00,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.24,119263.55,54182.12,4.19,2.44,18.13,6223.24,7545.20,2501.75,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.62,125657.69,55844.95,214.48,55.35,2195.44,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.02,478.30,485.41,482.98,276.55,278.09,280.27,0.40,0.58,0.61
"2021-02-11 14:00:00",0,0,0,283821.16,283845.91,24.76,16270.29,2459.85,0.04,8079.94,298954.88,299363.34,408.47,0.02,0.42,0.42,0.05,480.37,277.23,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.24,119263.55,54182.12,4.19,2.44,18.13,6223.27,7545.24,2501.79,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.64,125657.72,55845.00,214.48,55.35,2195.44,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.06,0.06,0.04,476.59,483.41,481.11,275.62,276.93,279.13,0.39,0.58,0.61
"2021-02-11 14:15:00",0,0,0,283821.16,283845.91,24.76,16270.40,2459.85,0.04,8079.94,298954.97,299363.44,408.47,0.02,0.43,0.43,0.04,484.17,279.42,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110400.24,119263.55,54182.12,4.19,2.44,18.13,6223.29,7545.28,2501.83,212.59,53.49,2193.77,0.01,0.01,0.01,3903.51,3447.34,729.09,115833.66,125657.76,55845.04,214.48,55.35,2195.44,0.00,0.01,0.00,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.03,480.32,487.37,484.82,277.72,279.24,281.30,0.39,0.58,0.62
