time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-12 00:00:00",0,0,0,283843.16,283867.91,24.76,16272.40,2459.86,0.04,8080.07,298977.63,299386.09,408.47,0.25,0.34,0.41,0.58,486.23,280.61,2.01,60.01,0.57,0.30,0.65,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.69,119271.82,54189.41,4.19,2.44,18.13,6223.49,7546.10,2502.82,212.59,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.22,125666.28,55852.63,214.48,55.35,2195.44,0.06,0.10,0.08,0.04,0.15,0.15,0.08,0.17,0.17,0.84,0.55,0.49,482.32,488.91,487.27,279.04,280.16,282.50,1.96,1.90,2.18
"2021-02-12 00:15:00",0,0,0,283843.19,283867.94,24.76,16272.48,2459.86,0.04,8080.07,298977.69,299386.16,408.47,0.09,0.29,0.30,0.31,485.75,280.33,1.91,59.86,0.26,0.32,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.84,54189.42,4.19,2.44,18.13,6223.50,7546.13,2502.85,212.59,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.23,125666.32,55852.66,214.48,55.35,2195.44,0.02,0.04,0.03,0.03,0.13,0.13,0.03,0.14,0.14,0.62,0.30,0.24,481.98,488.38,486.90,278.86,279.90,282.24,1.87,1.80,2.08
"2021-02-12 00:30:00",0,0,0,283843.19,283867.94,24.76,16272.55,2459.86,0.04,8080.07,298977.78,299386.25,408.48,0.01,0.43,0.43,0.03,486.50,280.77,0.53,60.02,0.10,0.30,0.31,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.84,54189.42,4.19,2.44,18.13,6223.51,7546.16,2502.88,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.24,125666.35,55852.70,214.48,55.35,2195.45,0.00,0.00,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.01,0.03,0.04,482.63,488.78,488.11,279.62,280.20,282.48,0.39,0.57,0.63
"2021-02-12 00:45:00",0,0,0,283843.19,283867.94,24.76,16272.66,2459.86,0.04,8080.07,298977.88,299386.34,408.48,0.02,0.43,0.43,0.04,485.29,280.07,0.53,60.01,0.02,0.37,0.37,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.84,54189.42,4.19,2.44,18.13,6223.53,7546.20,2502.92,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.27,125666.39,55852.73,214.48,55.35,2195.45,0.00,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.04,0.07,0.01,481.88,487.98,486.02,278.58,279.81,281.81,0.38,0.61,0.61
"2021-02-12 01:00:00",0,0,0,283843.19,283867.94,24.76,16272.76,2459.86,0.04,8080.07,298977.97,299386.44,408.48,0.02,0.43,0.43,0.04,485.18,280.00,0.53,59.89,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.84,54189.42,4.19,2.44,18.13,6223.56,7546.24,2502.97,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.30,125666.43,55852.78,214.48,55.35,2195.45,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.03,480.94,488.15,486.07,278.31,279.58,281.91,0.39,0.58,0.62
"2021-02-12 01:15:00",0,0,0,283843.22,283867.97,24.76,16272.87,2459.86,0.04,8080.07,298978.09,299386.56,408.48,0.02,0.43,0.43,0.04,485.34,280.10,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.84,54189.43,4.19,2.44,18.13,6223.58,7546.28,2503.01,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.32,125666.47,55852.82,214.48,55.35,2195.45,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.03,481.33,488.15,486.55,278.63,279.66,282.00,0.39,0.58,0.62
"2021-02-12 01:30:00",0,0,0,283843.22,283867.97,24.76,16272.98,2459.86,0.04,8080.07,298978.19,299386.66,408.48,0.01,0.43,0.43,0.03,485.52,280.20,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.84,54189.43,4.19,2.44,18.13,6223.61,7546.32,2503.05,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.35,125666.51,55852.86,214.48,55.35,2195.45,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.01,0.05,0.01,481.42,488.06,487.09,278.76,279.66,282.18,0.41,0.58,0.60
"2021-02-12 01:45:00",0,0,0,283843.22,283867.97,24.76,16273.08,2459.87,0.04,8080.07,298978.31,299386.78,408.48,0.01,0.43,0.43,0.03,485.54,280.21,0.53,59.93,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.85,54189.43,4.19,2.44,18.13,6223.64,7546.36,2503.09,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.38,125666.54,55852.90,214.48,55.35,2195.45,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.02,481.17,488.83,486.64,278.44,279.86,282.34,0.40,0.57,0.61
"2021-02-12 02:00:00",0,0,0,283843.22,283867.97,24.76,16273.19,2459.87,0.04,8080.07,298978.44,299386.91,408.48,0.02,0.43,0.43,0.04,485.92,280.43,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.85,54189.43,4.19,2.44,18.13,6223.66,7546.40,2503.13,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.40,125666.58,55852.94,214.48,55.35,2195.45,0.00,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.05,0.06,0.03,481.44,489.24,487.01,278.62,280.01,282.62,0.39,0.57,0.61
"2021-02-12 02:15:00",0,0,0,283843.22,283867.97,24.76,16273.30,2459.87,0.04,8080.07,298978.53,299387.00,408.48,0.02,0.43,0.43,0.04,485.88,280.41,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.70,119271.85,54189.43,4.19,2.44,18.13,6223.69,7546.43,2503.17,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.43,125666.63,55852.99,214.48,55.35,2195.45,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.05,488.86,486.73,278.82,280.15,282.25,0.39,0.57,0.61
"2021-02-12 02:30:00",0,0,0,283843.22,283867.97,24.76,16273.41,2459.87,0.04,8080.07,298978.63,299387.09,408.48,0.02,0.43,0.43,0.04,486.42,280.72,0.53,60.00,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.71,119271.85,54189.43,4.19,2.44,18.13,6223.72,7546.47,2503.22,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.45,125666.66,55853.03,214.48,55.35,2195.45,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,481.87,489.86,487.52,278.85,280.32,282.98,0.39,0.58,0.61
"2021-02-12 02:45:00",0,0,0,283843.22,283867.97,24.76,16273.51,2459.87,0.04,8080.07,298978.75,299387.22,408.48,0.02,0.43,0.43,0.04,486.18,280.58,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.71,119271.86,54189.43,4.19,2.44,18.13,6223.74,7546.51,2503.26,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.48,125666.70,55853.07,214.48,55.35,2195.45,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.16,0.17,0.04,0.06,0.03,482.15,489.10,487.27,279.03,280.18,282.53,0.39,0.57,0.61
"2021-02-12 03:00:00",0,0,0,283843.22,283867.97,24.76,16273.62,2459.87,0.04,8080.07,298978.84,299387.31,408.48,0.02,0.43,0.43,0.04,486.65,280.85,0.53,59.97,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110406.71,119271.86,54189.43,4.19,2.44,18.13,6223.77,7546.55,2503.30,212.60,53.49,2193.77,0.01,0.01,0.01,3903.64,3447.34,729.09,115840.51,125666.74,55853.11,214.48,55.35,2195.45,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.06,0.06,0.04,482.16,489.70,486.96,278.84,280.40,282.67,0.38,0.58,0.62
