time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-13 06:45:00",0,0,0,283852.00,283876.75,24.76,16283.67,2459.89,0.04,8080.07,298995.81,299404.28,408.48,0.02,0.43,0.43,0.04,488.64,282.00,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.85,119275.59,54192.30,4.19,2.44,18.13,6226.01,7550.15,2507.51,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.61,125673.38,55859.36,214.50,55.35,2195.46,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,485.12,491.24,489.45,280.50,281.76,283.68,0.39,0.57,0.61
"2021-02-13 07:00:00",0,0,0,283852.00,283876.75,24.76,16283.77,2459.89,0.04,8080.07,298995.94,299404.41,408.48,0.02,0.43,0.43,0.04,488.98,282.20,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.85,119275.60,54192.30,4.19,2.44,18.13,6226.03,7550.19,2507.56,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.64,125673.42,55859.40,214.50,55.35,2195.46,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,485.04,491.45,490.46,280.84,281.58,284.16,0.39,0.57,0.61
"2021-02-13 07:15:00",0,0,0,283852.00,283876.75,24.76,16283.88,2459.89,0.04,8080.07,298996.03,299404.50,408.48,0.02,0.44,0.44,0.04,488.98,282.20,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.85,119275.60,54192.30,4.19,2.44,18.13,6226.06,7550.22,2507.60,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.66,125673.45,55859.45,214.50,55.35,2195.46,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,485.01,492.02,489.92,280.49,281.90,284.20,0.39,0.58,0.61
"2021-02-13 07:30:00",0,0,0,283852.00,283876.75,24.76,16283.99,2459.89,0.04,8080.07,298996.13,299404.59,408.48,0.02,0.43,0.43,0.05,489.12,282.28,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.86,119275.60,54192.30,4.19,2.44,18.13,6226.09,7550.26,2507.64,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.69,125673.49,55859.49,214.50,55.35,2195.46,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.06,0.06,0.03,485.40,492.11,489.84,280.59,282.07,284.17,0.39,0.57,0.61
"2021-02-13 07:45:00",0,0,0,283852.00,283876.75,24.76,16284.10,2459.89,0.04,8080.07,298996.25,299404.72,408.48,0.02,0.44,0.44,0.05,489.33,282.40,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.86,119275.60,54192.30,4.19,2.44,18.13,6226.11,7550.30,2507.68,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.72,125673.53,55859.53,214.50,55.35,2195.46,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.16,0.17,0.04,0.06,0.05,485.52,492.63,489.83,280.64,282.33,284.23,0.38,0.57,0.63
"2021-02-13 08:00:00",0,0,0,283852.00,283876.75,24.76,16284.21,2459.89,0.04,8080.07,298996.34,299404.81,408.48,0.01,0.44,0.44,0.03,489.85,282.70,0.52,60.01,0.02,0.43,0.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.86,119275.61,54192.30,4.19,2.44,18.13,6226.14,7550.34,2507.73,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.74,125673.57,55859.57,214.50,55.35,2195.46,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.03,0.05,0.02,486.10,492.54,491.10,281.22,282.38,284.62,0.40,0.57,0.60
"2021-02-13 08:15:00",0,0,0,283852.03,283876.78,24.76,16284.32,2459.89,0.04,8080.07,298996.47,299404.94,408.48,0.02,0.44,0.44,0.04,490.02,282.80,0.53,60.01,0.02,0.44,0.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.86,119275.61,54192.30,4.19,2.44,18.13,6226.17,7550.38,2507.77,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.77,125673.62,55859.61,214.50,55.35,2195.46,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.02,486.09,493.08,490.89,281.04,282.54,284.82,0.39,0.58,0.60
"2021-02-13 08:30:00",0,0,0,283852.03,283876.78,24.76,16284.43,2459.89,0.04,8080.07,298996.56,299405.03,408.48,0.02,0.44,0.44,0.04,489.90,282.73,0.53,60.01,0.02,0.44,0.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.86,119275.61,54192.31,4.19,2.44,18.13,6226.19,7550.42,2507.81,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.80,125673.66,55859.66,214.50,55.35,2195.46,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,485.86,492.84,490.99,281.07,282.36,284.76,0.39,0.57,0.61
"2021-02-13 08:45:00",0,0,0,283852.03,283876.78,24.76,16284.54,2459.89,0.04,8080.07,298996.66,299405.13,408.48,0.02,0.44,0.44,0.03,490.20,282.90,0.53,60.00,0.02,0.44,0.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.86,119275.61,54192.31,4.19,2.44,18.13,6226.22,7550.46,2507.85,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.82,125673.70,55859.70,214.50,55.35,2195.46,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.03,0.05,0.02,486.31,493.03,491.25,281.26,282.58,284.86,0.40,0.58,0.60
"2021-02-13 09:00:00",0,0,0,283852.03,283876.78,24.76,16284.64,2459.89,0.04,8080.07,298996.78,299405.25,408.48,0.02,0.43,0.44,0.04,489.28,282.37,0.53,59.92,0.02,0.44,0.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.86,119275.62,54192.31,4.19,2.44,18.13,6226.25,7550.50,2507.90,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115844.84,125673.73,55859.74,214.50,55.35,2195.46,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,485.34,492.34,489.83,280.56,282.18,284.19,0.39,0.57,0.61
