time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-13 18:45:00",0,0,0,283852.19,283876.94,24.76,16288.84,2459.89,0.04,8080.07,299001.00,299409.47,408.48,0.02,0.43,0.43,0.04,484.95,279.87,0.53,59.99,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.91,119275.69,54192.36,4.19,2.44,18.13,6227.28,7552.02,2509.53,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115845.88,125675.27,55861.38,214.50,55.35,2195.46,0.00,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.05,0.05,0.03,480.79,488.24,485.83,277.98,279.69,281.95,0.39,0.58,0.61
"2021-02-13 19:00:00",0,0,0,283852.19,283876.94,24.76,16288.94,2459.89,0.04,8080.07,299001.09,299409.56,408.48,0.02,0.42,0.42,0.04,485.06,279.94,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.91,119275.70,54192.36,4.19,2.44,18.13,6227.31,7552.06,2509.58,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115845.91,125675.30,55861.42,214.50,55.35,2195.46,0.01,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.17,0.06,0.05,0.03,481.41,487.96,485.82,278.33,279.86,281.62,0.39,0.57,0.62
"2021-02-13 19:15:00",0,0,0,283852.22,283876.97,24.76,16289.04,2459.89,0.04,8080.07,299001.19,299409.66,408.48,0.03,0.37,0.37,0.09,485.05,279.93,0.97,60.01,0.02,0.41,0.41,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.91,119275.70,54192.36,4.19,2.44,18.13,6227.33,7552.09,2509.62,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115845.93,125675.33,55861.46,214.50,55.35,2195.46,0.00,0.03,0.00,0.11,0.09,0.17,0.11,0.09,0.17,0.03,0.28,0.03,481.17,488.40,485.96,278.13,279.90,281.98,0.39,1.88,0.62
"2021-02-13 19:30:00",0,0,0,283852.22,283876.97,24.76,16289.12,2459.89,0.04,8080.07,299001.28,299409.75,408.48,0.04,0.38,0.38,0.10,486.49,280.76,0.95,60.01,0.03,0.37,0.37,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.91,119275.70,54192.36,4.19,2.44,18.13,6227.35,7552.11,2509.66,212.61,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115845.96,125675.35,55861.50,214.50,55.35,2195.46,0.00,0.03,0.00,0.11,0.10,0.17,0.11,0.11,0.17,0.02,0.31,0.02,482.39,489.39,487.69,279.07,280.50,282.70,0.40,1.84,0.61
"2021-02-13 19:45:00",0,0,0,283852.22,283876.97,24.76,16289.21,2459.89,0.04,8080.07,299001.38,299409.84,408.48,0.05,0.37,0.37,0.12,486.71,280.89,0.95,60.02,0.04,0.37,0.37,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.91,119275.71,54192.36,4.19,2.44,18.13,6227.38,7552.14,2509.70,212.62,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115845.98,125675.38,55861.55,214.50,55.35,2195.46,0.01,0.03,0.00,0.10,0.10,0.17,0.10,0.10,0.17,0.06,0.34,0.03,483.25,489.67,487.21,279.17,280.85,282.64,0.39,1.83,0.62
"2021-02-13 20:00:00",0,0,0,283852.25,283877.00,24.76,16289.29,2459.90,0.04,8080.07,299001.47,299409.94,408.48,0.10,0.27,0.28,0.35,487.45,281.31,1.88,60.00,0.04,0.36,0.37,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.91,119275.72,54192.36,4.19,2.44,18.13,6227.39,7552.16,2509.74,212.62,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.00,125675.40,55861.59,214.50,55.35,2195.46,0.03,0.04,0.03,0.02,0.10,0.14,0.04,0.11,0.14,0.75,0.39,0.20,483.77,490.88,487.69,279.34,281.50,283.10,1.68,2.01,1.94
"2021-02-13 20:15:00",0,0,0,283852.25,283877.00,24.76,16289.36,2459.90,0.04,8080.07,299001.53,299410.00,408.48,0.13,0.27,0.30,0.42,486.74,280.90,1.80,60.02,0.08,0.28,0.29,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.92,119275.73,54192.37,4.19,2.44,18.13,6227.40,7552.19,2509.77,212.62,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.01,125675.43,55861.62,214.50,55.35,2195.46,0.03,0.05,0.03,0.03,0.10,0.13,0.04,0.12,0.13,0.68,0.46,0.25,483.17,489.82,487.88,279.30,280.91,282.87,1.60,1.93,1.89
"2021-02-13 20:30:00",0,0,0,283852.28,283877.03,24.76,16289.42,2459.90,0.04,8080.07,299001.59,299410.06,408.48,0.38,0.28,0.47,0.80,487.81,281.52,1.98,60.01,0.11,0.26,0.29,28.67,0.52,28.67,-15.96,-1.21,15.96,110408.93,119275.75,54192.38,4.19,2.44,18.13,6227.41,7552.21,2509.81,212.62,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.02,125675.46,55861.66,214.50,55.35,2195.46,0.29,0.06,0.03,0.04,0.11,0.13,0.29,0.13,0.13,0.99,0.51,0.21,484.03,490.76,488.64,279.91,281.38,283.27,2.06,1.97,1.90
"2021-02-13 20:45:00",0,0,0,283852.38,283877.13,24.76,16289.49,2459.90,0.04,8080.07,299001.72,299410.19,408.48,0.31,0.26,0.40,0.76,487.60,281.40,1.99,59.94,0.24,0.27,0.37,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.00,119275.76,54192.39,4.19,2.44,18.13,6227.41,7552.24,2509.84,212.62,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.09,125675.48,55861.69,214.50,55.35,2195.46,0.25,0.04,0.02,0.04,0.10,0.12,0.25,0.11,0.12,0.99,0.37,0.13,483.74,490.52,488.55,279.76,281.18,283.27,2.01,2.00,1.96
"2021-02-13 21:00:00",0,0,0,283852.44,283877.19,24.76,16289.56,2459.90,0.04,8080.07,299001.78,299410.25,408.48,0.09,0.26,0.27,0.35,487.36,281.26,1.84,60.01,0.33,0.27,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.04,119275.77,54192.39,4.19,2.44,18.13,6227.42,7552.26,2509.87,212.62,53.50,2193.78,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.13,125675.52,55861.72,214.50,55.35,2195.46,0.03,0.04,0.02,0.02,0.10,0.13,0.04,0.11,0.14,0.74,0.42,0.17,483.58,490.06,488.43,279.71,280.98,283.10,1.65,1.93,1.92
