time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-14 03:00:00",0,0,0,283852.63,283877.38,24.76,16291.74,2459.97,0.04,8080.07,299004.03,299412.53,408.49,0.01,0.43,0.43,0.03,486.23,280.61,0.53,59.94,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.86,54192.44,4.19,2.44,18.13,6227.92,7552.99,2510.83,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.64,125676.26,55862.68,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.02,0.05,0.02,482.33,489.22,487.15,278.91,280.41,282.51,0.40,0.58,0.61
"2021-02-14 03:15:00",0,0,0,283852.63,283877.38,24.76,16291.84,2459.98,0.04,8080.07,299004.16,299412.66,408.49,0.02,0.43,0.43,0.05,486.32,280.66,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.86,54192.44,4.19,2.44,18.13,6227.95,7553.03,2510.87,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.66,125676.30,55862.72,214.52,55.41,2195.47,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.06,0.06,0.03,482.56,489.61,487.32,279.06,280.58,282.65,0.39,0.58,0.62
"2021-02-14 03:30:00",0,0,0,283852.63,283877.38,24.76,16291.95,2459.98,0.04,8080.07,299004.25,299412.75,408.49,0.02,0.43,0.43,0.04,486.38,280.70,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.86,54192.44,4.19,2.44,18.13,6227.97,7553.07,2510.91,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.69,125676.34,55862.76,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.16,0.17,0.03,0.05,0.03,482.34,489.63,487.19,278.89,280.50,282.70,0.39,0.57,0.61
"2021-02-14 03:45:00",0,0,0,283852.63,283877.38,24.76,16292.06,2459.98,0.04,8080.07,299004.34,299412.84,408.49,0.02,0.43,0.43,0.05,487.02,281.07,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.86,54192.44,4.19,2.44,18.13,6228.00,7553.11,2510.95,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.72,125676.38,55862.81,214.52,55.41,2195.47,0.01,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.07,0.06,0.02,483.31,490.32,487.44,279.20,281.00,282.99,0.39,0.59,0.61
"2021-02-14 04:00:00",0,0,0,283852.63,283877.38,24.76,16292.16,2459.98,0.04,8080.07,299004.47,299412.97,408.49,0.01,0.43,0.43,0.03,487.24,281.19,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.87,54192.44,4.19,2.44,18.13,6228.02,7553.15,2510.99,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.74,125676.41,55862.85,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.02,0.05,0.02,483.40,489.81,488.50,279.73,280.81,283.03,0.40,0.57,0.61
"2021-02-14 04:15:00",0,0,0,283852.63,283877.38,24.76,16292.27,2459.98,0.04,8080.07,299004.56,299413.06,408.49,0.01,0.43,0.43,0.03,487.30,281.23,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.87,54192.44,4.19,2.44,18.13,6228.05,7553.18,2511.04,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.77,125676.45,55862.89,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.15,0.17,0.02,0.04,0.04,483.91,490.26,487.73,279.72,281.26,282.71,0.39,0.56,0.62
"2021-02-14 04:30:00",0,0,0,283852.63,283877.38,24.76,16292.38,2459.98,0.04,8080.07,299004.69,299413.19,408.49,0.01,0.43,0.44,0.02,487.65,281.43,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.87,54192.44,4.19,2.44,18.13,6228.08,7553.22,2511.08,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.79,125676.48,55862.93,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.02,0.04,0.01,483.71,490.61,488.63,279.63,281.23,283.43,0.42,0.58,0.59
"2021-02-14 04:45:00",0,0,0,283852.66,283877.41,24.76,16292.49,2459.98,0.04,8080.07,299004.78,299413.28,408.49,0.02,0.43,0.43,0.04,487.30,281.23,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.87,54192.45,4.19,2.44,18.13,6228.10,7553.26,2511.12,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.81,125676.52,55862.97,214.52,55.41,2195.47,0.01,0.01,0.00,0.10,0.16,0.17,0.11,0.16,0.17,0.06,0.05,0.02,483.50,490.03,488.39,279.65,280.86,283.18,0.39,0.58,0.60
"2021-02-14 05:00:00",0,0,0,283852.66,283877.41,24.76,16292.59,2459.98,0.04,8080.07,299004.88,299413.38,408.49,0.01,0.44,0.44,0.03,488.06,281.67,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.88,54192.45,4.19,2.44,18.13,6228.13,7553.30,2511.16,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.84,125676.56,55863.02,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.01,484.20,490.96,489.02,279.98,281.39,283.63,0.40,0.58,0.60
"2021-02-14 05:15:00",0,0,0,283852.66,283877.41,24.76,16292.70,2459.98,0.04,8080.07,299005.03,299413.53,408.49,0.02,0.43,0.43,0.05,488.08,281.68,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.09,119275.88,54192.45,4.19,2.44,18.13,6228.16,7553.34,2511.21,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115846.87,125676.61,55863.06,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.03,0.05,0.02,484.21,491.14,488.91,280.02,281.43,283.59,0.39,0.57,0.61
