time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-14 12:00:00",0,0,0,283852.81,283877.56,24.76,16295.62,2459.98,0.04,8080.07,299007.94,299416.44,408.49,0.02,0.43,0.43,0.04,486.83,280.96,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.94,54192.48,4.19,2.44,18.13,6228.88,7554.40,2512.34,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.59,125677.67,55864.20,214.52,55.41,2195.47,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,483.38,489.43,487.68,279.55,280.74,282.58,0.39,0.57,0.61
"2021-02-14 12:15:00",0,0,0,283852.81,283877.56,24.76,16295.73,2459.98,0.04,8080.07,299008.03,299416.53,408.49,0.02,0.43,0.43,0.05,486.58,280.81,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.94,54192.48,4.19,2.44,18.13,6228.90,7554.44,2512.38,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.63,125677.70,55864.24,214.52,55.41,2195.47,0.00,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.05,0.06,0.03,482.88,489.60,487.28,279.17,280.64,282.63,0.39,0.57,0.62
"2021-02-14 12:30:00",0,0,0,283852.81,283877.56,24.76,16295.83,2459.98,0.04,8080.07,299008.16,299416.66,408.49,0.02,0.43,0.43,0.04,486.46,280.74,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.95,54192.48,4.19,2.44,18.13,6228.93,7554.48,2512.43,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.65,125677.74,55864.28,214.52,55.41,2195.47,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.15,0.17,0.03,0.05,0.03,483.02,489.06,487.29,279.31,280.55,282.36,0.39,0.57,0.61
"2021-02-14 12:45:00",0,0,0,283852.81,283877.56,24.76,16295.94,2459.98,0.04,8080.07,299008.25,299416.75,408.49,0.02,0.43,0.43,0.04,486.13,280.55,0.53,59.91,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.95,54192.48,4.19,2.44,18.13,6228.96,7554.52,2512.47,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.67,125677.78,55864.32,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.52,488.72,487.15,279.11,280.24,282.31,0.40,0.58,0.61
"2021-02-14 13:00:00",0,0,0,283852.81,283877.56,24.76,16296.05,2459.98,0.04,8080.07,299008.34,299416.84,408.49,0.02,0.43,0.43,0.04,485.04,279.92,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.95,54192.49,4.19,2.44,18.13,6228.98,7554.56,2512.51,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.70,125677.82,55864.36,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.54,487.57,486.01,278.54,279.62,281.60,0.39,0.57,0.61
"2021-02-14 13:15:00",0,0,0,283852.81,283877.56,24.76,16296.15,2459.98,0.04,8080.07,299008.47,299416.97,408.49,0.02,0.43,0.43,0.04,484.97,279.88,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.95,54192.49,4.19,2.44,18.13,6229.01,7554.59,2512.55,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.73,125677.86,55864.40,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.19,487.83,485.90,278.30,279.59,281.76,0.39,0.57,0.61
"2021-02-14 13:30:00",0,0,0,283852.81,283877.56,24.76,16296.26,2459.98,0.04,8080.07,299008.56,299417.06,408.49,0.02,0.43,0.43,0.04,485.19,280.01,0.53,59.92,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.95,54192.49,4.19,2.44,18.13,6229.04,7554.63,2512.59,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.75,125677.90,55864.45,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.03,481.44,488.35,485.96,278.32,279.90,281.91,0.39,0.57,0.61
"2021-02-14 13:45:00",0,0,0,283852.81,283877.56,24.76,16296.37,2459.98,0.04,8080.07,299008.66,299417.16,408.49,0.02,0.43,0.43,0.04,484.74,279.75,0.53,59.97,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.95,54192.49,4.19,2.44,18.13,6229.06,7554.67,2512.63,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.78,125677.95,55864.49,214.52,55.41,2195.47,0.00,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.04,0.05,0.03,480.98,488.13,485.12,277.85,279.77,281.64,0.39,0.58,0.61
"2021-02-14 14:00:00",0,0,0,283852.84,283877.59,24.76,16296.47,2459.98,0.04,8080.07,299008.78,299417.28,408.49,0.01,0.43,0.43,0.03,485.16,279.99,0.53,59.93,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.95,54192.49,4.19,2.44,18.13,6229.09,7554.71,2512.68,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.80,125677.98,55864.53,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.02,0.05,0.01,481.46,487.98,486.04,278.33,279.80,281.84,0.41,0.58,0.60
"2021-02-14 14:15:00",0,0,0,283852.84,283877.59,24.76,16296.58,2459.98,0.04,8080.07,299008.88,299417.38,408.49,0.02,0.43,0.43,0.04,484.90,279.84,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.13,119275.95,54192.49,4.19,2.44,18.13,6229.11,7554.75,2512.72,212.63,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115847.83,125678.02,55864.57,214.52,55.41,2195.47,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,481.47,487.70,485.54,278.26,279.71,281.56,0.39,0.58,0.61
