time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-14 21:00:00",0,0,0,283855.66,283880.41,24.76,16298.98,2459.99,0.04,8080.07,299013.44,299421.94,408.49,0.94,0.27,0.98,0.96,486.27,280.63,2.31,60.02,0.97,0.26,1.01,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.48,119278.11,54192.82,4.19,2.44,18.13,6229.64,7555.56,2513.78,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.58,125680.76,55865.75,214.52,55.41,2195.48,0.14,0.69,0.12,0.06,0.07,0.13,0.15,0.69,0.18,0.91,0.99,0.67,482.61,488.54,487.65,279.04,280.46,282.39,1.71,3.21,1.99
"2021-02-14 21:15:00",0,0,0,283855.91,283880.66,24.76,16299.04,2459.99,0.04,8080.07,299013.72,299422.22,408.49,0.83,0.27,0.87,0.95,486.43,280.72,2.29,60.07,0.98,0.26,1.01,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.51,119278.30,54192.86,4.19,2.44,18.13,6229.65,7555.58,2513.81,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.63,125680.95,55865.80,214.52,55.41,2195.48,0.12,0.60,0.11,0.05,0.07,0.15,0.13,0.61,0.18,0.94,0.99,0.58,482.95,489.21,487.12,279.11,280.72,282.34,1.80,3.04,2.02
"2021-02-14 21:30:00",0,0,0,283856.09,283880.84,24.76,16299.11,2459.99,0.04,8080.07,299013.91,299422.41,408.49,0.72,0.27,0.77,0.94,486.25,280.62,2.21,60.01,0.88,0.26,0.92,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.54,119278.43,54192.88,4.19,2.44,18.13,6229.67,7555.60,2513.85,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.66,125681.09,55865.84,214.52,55.41,2195.48,0.12,0.53,0.08,0.05,0.09,0.14,0.13,0.53,0.16,0.92,0.99,0.51,482.56,488.78,487.41,279.06,280.44,282.36,1.77,2.85,2.02
"2021-02-14 21:45:00",0,0,0,283856.28,283881.03,24.76,16299.18,2459.99,0.04,8080.07,299014.09,299422.59,408.49,0.73,0.28,0.78,0.93,486.13,280.55,2.16,60.01,0.73,0.28,0.78,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.57,119278.55,54192.90,4.19,2.44,18.13,6229.68,7555.62,2513.88,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.68,125681.21,55865.88,214.52,55.41,2195.48,0.12,0.53,0.08,0.05,0.10,0.13,0.13,0.54,0.15,0.93,0.98,0.53,482.19,488.33,487.48,278.89,280.18,282.36,1.74,2.77,1.98
"2021-02-14 22:00:00",0,0,0,283856.44,283881.19,24.76,16299.26,2459.99,0.04,8080.07,299014.28,299422.78,408.49,0.56,0.29,0.63,0.89,485.42,280.14,2.08,60.03,0.69,0.29,0.75,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.59,119278.68,54192.91,4.19,2.44,18.13,6229.69,7555.65,2513.92,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.71,125681.34,55865.92,214.52,55.41,2195.48,0.10,0.40,0.06,0.03,0.11,0.15,0.10,0.42,0.17,0.95,0.97,0.36,481.97,488.33,485.95,278.48,280.11,281.83,1.75,2.53,1.97
"2021-02-14 22:15:00",0,0,0,283856.56,283881.31,24.76,16299.33,2459.99,0.04,8080.07,299014.44,299422.94,408.49,0.44,0.28,0.52,0.85,485.66,280.28,2.08,60.01,0.58,0.29,0.65,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.61,119278.77,54192.93,4.19,2.44,18.13,6229.70,7555.67,2513.96,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.73,125681.43,55865.96,214.52,55.41,2195.48,0.07,0.33,0.05,0.03,0.11,0.14,0.07,0.35,0.15,0.91,0.95,0.32,481.68,488.22,487.07,278.79,279.86,282.19,1.76,2.45,2.04
"2021-02-14 22:30:00",0,0,0,283856.66,283881.41,24.76,16299.40,2459.99,0.04,8080.07,299014.56,299423.06,408.49,0.48,0.30,0.57,0.85,485.63,280.26,2.03,60.01,0.44,0.29,0.52,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.63,119278.84,54192.94,4.19,2.44,18.13,6229.71,7555.70,2513.99,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.75,125681.52,55866.00,214.52,55.41,2195.48,0.06,0.36,0.06,0.03,0.11,0.15,0.07,0.38,0.16,0.87,0.95,0.37,481.77,488.33,486.77,278.59,280.11,282.08,1.67,2.45,1.99
"2021-02-14 22:45:00",0,0,0,283856.75,283881.50,24.76,16299.47,2459.99,0.04,8080.07,299014.66,299423.16,408.49,0.24,0.28,0.37,0.65,485.23,280.03,1.94,59.88,0.43,0.29,0.52,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.65,119278.91,54192.95,4.19,2.44,18.13,6229.72,7555.73,2514.03,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.77,125681.59,55866.04,214.52,55.41,2195.48,0.02,0.21,0.01,0.03,0.11,0.13,0.03,0.24,0.13,0.58,0.88,0.09,481.33,488.24,486.12,278.26,279.93,281.91,1.66,2.20,1.96
"2021-02-14 23:00:00",0,0,0,283856.81,283881.56,24.76,16299.54,2459.99,0.04,8080.07,299014.75,299423.25,408.49,0.15,0.27,0.31,0.47,485.43,280.15,2.00,60.01,0.27,0.28,0.39,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.65,119278.97,54192.95,4.19,2.44,18.13,6229.72,7555.76,2514.06,212.64,53.55,2193.80,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.77,125681.65,55866.06,214.52,55.41,2195.48,0.00,0.14,0.00,0.01,0.13,0.14,0.01,0.19,0.14,0.32,0.75,0.01,481.75,488.61,485.93,278.41,280.13,281.90,1.77,2.21,2.01
"2021-02-14 23:15:00",0,0,0,283856.84,283881.59,24.76,16299.62,2460.00,0.04,8080.07,299014.84,299423.34,408.49,0.11,0.41,0.43,0.26,485.26,280.05,1.04,59.97,0.16,0.29,0.33,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.65,119278.99,54192.95,4.19,2.44,18.13,6229.74,7555.79,2514.09,212.64,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115848.78,125681.70,55866.09,214.53,55.41,2195.49,0.00,0.11,0.00,0.11,0.14,0.17,0.11,0.18,0.17,0.02,0.61,0.01,481.46,487.98,486.34,278.41,279.86,281.88,0.40,2.11,0.61
