time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-15 02:15:00",0,0,0,283856.94,283881.69,24.76,16300.86,2460.01,0.04,8080.07,299016.09,299424.59,408.49,0.02,0.42,0.42,0.05,482.72,278.59,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.08,54192.96,4.19,2.44,18.13,6230.05,7556.23,2514.59,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.09,125682.15,55866.59,214.53,55.41,2195.49,0.00,0.01,0.01,0.10,0.15,0.18,0.10,0.15,0.18,0.04,0.06,0.06,479.02,485.75,483.40,277.04,278.49,280.23,0.38,0.55,0.65
"2021-02-15 02:30:00",0,0,0,283856.97,283881.72,24.76,16300.96,2460.01,0.04,8080.07,299016.22,299424.72,408.49,0.01,0.42,0.42,0.01,483.39,278.97,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.08,54192.96,4.19,2.44,18.13,6230.07,7556.27,2514.63,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.12,125682.18,55866.63,214.53,55.41,2195.49,-0.00,0.00,0.00,0.11,0.15,0.17,0.11,0.15,0.17,-0.00,0.03,0.01,478.96,486.49,484.72,277.23,278.66,281.02,0.39,0.56,0.61
"2021-02-15 02:45:00",0,0,0,283856.97,283881.72,24.77,16301.07,2460.01,0.04,8080.07,299016.31,299424.81,408.49,0.02,0.42,0.42,0.04,483.30,278.92,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.08,54192.96,4.19,2.44,18.13,6230.10,7556.30,2514.67,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.14,125682.22,55866.68,214.53,55.41,2195.49,0.00,0.01,0.01,0.10,0.16,0.17,0.10,0.15,0.17,0.04,0.05,0.03,479.56,486.23,484.11,277.29,278.76,280.70,0.39,0.57,0.61
"2021-02-15 03:00:00",0,0,0,283856.97,283881.72,24.77,16301.17,2460.01,0.04,8080.07,299016.41,299424.91,408.49,0.02,0.43,0.43,0.04,483.40,278.98,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.08,54192.97,4.19,2.44,18.13,6230.12,7556.34,2514.71,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.17,125682.27,55866.71,214.53,55.41,2195.49,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.02,479.53,486.17,484.49,277.30,278.67,280.95,0.40,0.59,0.60
"2021-02-15 03:15:00",0,0,0,283856.97,283881.72,24.77,16301.28,2460.01,0.04,8080.07,299016.53,299425.03,408.49,0.02,0.42,0.42,0.06,483.41,278.98,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.08,54192.97,4.19,2.44,18.13,6230.15,7556.38,2514.75,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.20,125682.30,55866.76,214.53,55.41,2195.49,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.07,0.06,0.05,479.51,486.24,484.50,277.52,278.60,280.83,0.38,0.56,0.63
"2021-02-15 03:30:00",0,0,0,283856.97,283881.72,24.77,16301.38,2460.02,0.04,8080.07,299016.63,299425.13,408.49,0.02,0.43,0.42,0.04,484.05,279.35,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.09,54192.97,4.19,2.44,18.13,6230.17,7556.42,2514.79,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.22,125682.34,55866.80,214.54,55.41,2195.49,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.06,0.05,0.03,479.78,486.77,484.58,277.38,278.93,281.15,0.39,0.58,0.61
"2021-02-15 03:45:00",0,0,0,283856.97,283881.72,24.77,16301.49,2460.02,0.04,8080.07,299016.72,299425.22,408.49,0.02,0.43,0.43,0.04,484.05,279.35,0.53,59.99,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.09,54192.97,4.19,2.44,18.13,6230.20,7556.46,2514.83,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.24,125682.38,55866.84,214.54,55.41,2195.49,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.03,480.09,486.88,485.17,277.75,279.04,281.26,0.39,0.57,0.61
"2021-02-15 04:00:00",0,0,0,283856.97,283881.72,24.77,16301.60,2460.02,0.04,8080.07,299016.84,299425.34,408.49,0.02,0.42,0.42,0.04,484.11,279.39,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.09,54192.97,4.19,2.44,18.13,6230.23,7556.50,2514.87,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.28,125682.41,55866.88,214.54,55.41,2195.49,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.03,480.18,486.88,485.12,277.78,279.08,281.21,0.39,0.57,0.61
"2021-02-15 04:15:00",0,0,0,283856.97,283881.72,24.77,16301.70,2460.02,0.04,8080.07,299016.97,299425.47,408.49,0.01,0.42,0.42,0.03,484.21,279.45,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.66,119279.09,54192.97,4.19,2.44,18.13,6230.25,7556.53,2514.92,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.30,125682.45,55866.92,214.54,55.41,2195.49,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.01,0.05,0.02,480.41,486.82,485.41,277.98,279.22,281.14,0.40,0.57,0.60
"2021-02-15 04:30:00",0,0,0,283857.00,283881.75,24.77,16301.81,2460.02,0.04,8080.07,299017.06,299425.56,408.49,0.02,0.43,0.43,0.04,484.46,279.59,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.67,119279.09,54192.98,4.19,2.44,18.13,6230.28,7556.57,2514.96,212.65,53.55,2193.81,0.01,0.01,0.01,3903.64,3447.34,729.09,115849.33,125682.49,55866.96,214.54,55.41,2195.49,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.17,0.05,0.05,0.03,481.06,487.08,485.25,278.06,279.46,281.24,0.40,0.58,0.61
