time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-15 13:30:00",0,0,0,283857.16,283881.91,24.77,16305.67,2460.03,0.04,8080.07,299020.94,299429.44,408.49,0.02,0.42,0.42,0.04,482.43,278.42,0.53,59.98,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.71,119279.16,54193.02,4.19,2.44,18.13,6231.23,7557.98,2516.46,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.28,125683.90,55868.47,214.54,55.41,2195.49,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.03,478.99,485.50,482.80,276.79,278.44,280.02,0.39,0.58,0.62
"2021-02-15 13:45:00",0,0,0,283857.16,283881.91,24.77,16305.77,2460.03,0.04,8080.07,299021.06,299429.56,408.49,0.01,0.42,0.42,0.03,481.12,277.66,0.53,59.97,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.71,119279.16,54193.02,4.19,2.44,18.13,6231.25,7558.02,2516.50,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.30,125683.94,55868.51,214.54,55.41,2195.49,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.05,0.02,477.68,483.89,481.79,276.15,277.55,279.28,0.40,0.58,0.61
"2021-02-15 14:00:00",0,0,0,283857.16,283881.91,24.77,16305.88,2460.03,0.04,8080.07,299021.16,299429.66,408.49,0.02,0.42,0.42,0.04,481.31,277.77,0.53,59.90,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.71,119279.16,54193.02,4.19,2.44,18.13,6231.28,7558.05,2516.55,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.34,125683.98,55868.55,214.54,55.41,2195.49,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,477.73,484.06,482.15,276.29,277.54,279.48,0.40,0.58,0.61
"2021-02-15 14:15:00",0,0,0,283857.16,283881.91,24.77,16305.98,2460.03,0.04,8080.07,299021.25,299429.75,408.49,0.02,0.42,0.42,0.04,481.85,278.08,0.53,59.92,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.71,119279.17,54193.02,4.19,2.44,18.13,6231.31,7558.09,2516.59,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.36,125684.02,55868.59,214.54,55.41,2195.49,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,478.42,484.84,482.77,276.67,278.01,279.84,0.40,0.58,0.61
"2021-02-15 14:30:00",0,0,0,283857.16,283881.91,24.77,16306.09,2460.03,0.04,8080.07,299021.34,299429.84,408.49,0.02,0.42,0.42,0.04,480.63,277.37,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.71,119279.17,54193.03,4.19,2.44,18.13,6231.33,7558.13,2516.63,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.38,125684.05,55868.63,214.54,55.41,2195.49,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.03,0.05,0.03,476.81,483.58,481.49,275.80,277.15,279.17,0.39,0.58,0.61
"2021-02-15 14:45:00",0,0,0,283857.16,283881.91,24.77,16306.19,2460.03,0.04,8080.07,299021.47,299429.97,408.49,0.02,0.43,0.43,0.04,484.27,279.48,0.53,59.89,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.71,119279.17,54193.03,4.19,2.44,18.13,6231.36,7558.17,2516.67,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.41,125684.09,55868.68,214.54,55.41,2195.49,0.00,0.01,0.00,0.10,0.15,0.17,0.10,0.16,0.17,0.04,0.05,0.03,480.25,487.52,485.03,277.69,279.31,281.43,0.39,0.58,0.61
"2021-02-15 15:00:00",0,0,0,283857.16,283881.91,24.77,16306.30,2460.03,0.04,8080.07,299021.56,299430.06,408.49,0.02,0.43,0.43,0.04,484.22,279.45,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.71,119279.17,54193.03,4.19,2.44,18.13,6231.38,7558.21,2516.71,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.44,125684.13,55868.72,214.54,55.41,2195.49,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,480.35,487.35,484.97,277.75,279.27,281.33,0.40,0.58,0.62
"2021-02-15 15:15:00",0,0,0,283857.16,283881.91,24.77,16306.41,2460.03,0.04,8080.07,299021.66,299430.16,408.49,0.02,0.42,0.42,0.05,483.67,279.13,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.72,119279.18,54193.03,4.19,2.44,18.13,6231.41,7558.25,2516.75,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.46,125684.16,55868.76,214.54,55.41,2195.49,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.03,480.46,486.41,484.14,277.70,279.09,280.61,0.39,0.58,0.62
"2021-02-15 15:30:00",0,0,0,283857.19,283881.94,24.77,16306.51,2460.03,0.04,8080.07,299021.78,299430.28,408.49,0.03,0.42,0.42,0.06,483.42,278.99,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.72,119279.18,54193.03,4.19,2.44,18.13,6231.44,7558.28,2516.79,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.48,125684.20,55868.80,214.54,55.41,2195.50,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.08,0.06,0.05,479.76,486.62,483.88,277.33,278.83,280.79,0.38,0.57,0.63
"2021-02-15 15:45:00",0,0,0,283857.19,283881.94,24.77,16306.62,2460.03,0.04,8080.07,299021.88,299430.38,408.49,0.02,0.42,0.42,0.05,483.74,279.17,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110409.72,119279.18,54193.03,4.19,2.44,18.13,6231.46,7558.32,2516.83,212.66,53.55,2193.82,0.01,0.01,0.01,3903.64,3447.34,729.09,115850.51,125684.24,55868.84,214.54,55.41,2195.50,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.05,479.63,486.85,484.73,277.64,278.79,281.08,0.38,0.56,0.64
