time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-16 02:15:00",0,0,0,283863.97,283888.75,24.77,16309.58,2460.07,0.04,8080.08,299030.38,299438.88,408.49,0.02,0.42,0.42,0.05,483.93,279.28,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.38,119282.99,54194.38,4.19,2.44,18.13,6231.98,7559.28,2518.32,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.51,125688.56,55871.10,214.56,55.41,2195.51,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.03,0.04,0.04,479.65,487.17,485.48,277.83,278.86,281.46,0.38,0.56,0.61
"2021-02-16 02:30:00",0,0,0,283863.97,283888.75,24.77,16309.69,2460.07,0.04,8080.08,299030.47,299438.97,408.49,0.02,0.43,0.43,0.04,484.01,279.33,0.52,60.02,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.38,119282.99,54194.38,4.19,2.44,18.13,6232.01,7559.32,2518.36,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.53,125688.61,55871.14,214.56,55.41,2195.51,0.01,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.05,0.06,0.03,480.19,486.64,485.20,277.94,278.87,281.18,0.39,0.57,0.61
"2021-02-16 02:45:00",0,0,0,283863.97,283888.75,24.77,16309.79,2460.07,0.04,8080.08,299030.59,299439.09,408.49,0.02,0.42,0.42,0.05,483.39,278.97,0.52,60.02,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.38,119283.00,54194.38,4.19,2.44,18.13,6232.04,7559.36,2518.40,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.56,125688.64,55871.18,214.56,55.41,2195.51,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.06,0.05,479.16,486.51,484.50,277.39,278.51,281.01,0.38,0.56,0.62
"2021-02-16 03:00:00",0,0,0,283863.97,283888.75,24.77,16309.90,2460.07,0.04,8080.08,299030.69,299439.19,408.49,0.01,0.43,0.43,0.03,484.42,279.56,0.53,60.00,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.38,119283.00,54194.38,4.19,2.44,18.13,6232.06,7559.39,2518.44,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.59,125688.68,55871.22,214.56,55.41,2195.51,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.06,0.02,480.15,487.30,485.81,277.97,279.04,281.69,0.40,0.58,0.60
"2021-02-16 03:15:00",0,0,0,283863.97,283888.75,24.77,16310.00,2460.07,0.04,8080.08,299030.78,299439.28,408.49,0.01,0.43,0.43,0.03,484.42,279.57,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.39,119283.00,54194.38,4.19,2.44,18.13,6232.09,7559.43,2518.48,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.62,125688.72,55871.26,214.56,55.41,2195.51,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.02,0.05,0.03,480.45,487.48,485.38,277.97,279.34,281.41,0.39,0.57,0.61
"2021-02-16 03:30:00",0,0,0,283863.97,283888.75,24.77,16310.11,2460.07,0.04,8080.08,299030.91,299439.41,408.49,0.02,0.43,0.43,0.04,485.19,280.01,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.39,119283.00,54194.38,4.19,2.44,18.13,6232.12,7559.47,2518.52,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.65,125688.76,55871.31,214.56,55.41,2195.51,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,480.97,488.08,486.52,278.49,279.49,282.04,0.39,0.57,0.61
"2021-02-16 03:45:00",0,0,0,283864.00,283888.78,24.77,16310.22,2460.07,0.04,8080.08,299031.00,299439.50,408.49,0.02,0.43,0.43,0.04,485.00,279.90,0.52,59.99,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.39,119283.01,54194.38,4.19,2.44,18.13,6232.14,7559.51,2518.57,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.67,125688.80,55871.35,214.56,55.41,2195.51,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.43,487.72,485.86,278.46,279.67,281.58,0.39,0.57,0.60
"2021-02-16 04:00:00",0,0,0,283864.00,283888.78,24.77,16310.33,2460.07,0.04,8080.08,299031.09,299439.59,408.49,0.02,0.43,0.43,0.04,485.88,280.41,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.39,119283.01,54194.38,4.19,2.44,18.13,6232.17,7559.55,2518.61,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.70,125688.84,55871.39,214.56,55.41,2195.51,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,481.87,488.74,487.03,278.89,279.98,282.35,0.39,0.57,0.61
"2021-02-16 04:15:00",0,0,0,283864.00,283888.78,24.77,16310.43,2460.07,0.04,8080.08,299031.22,299439.72,408.49,0.02,0.43,0.43,0.04,485.98,280.46,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.39,119283.01,54194.39,4.19,2.44,18.13,6232.19,7559.59,2518.65,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.73,125688.87,55871.43,214.56,55.41,2195.51,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.02,0.05,0.04,482.03,488.96,486.91,278.90,280.19,282.28,0.39,0.57,0.61
"2021-02-16 04:30:00",0,0,0,283864.00,283888.78,24.77,16310.54,2460.07,0.04,8080.08,299031.31,299439.81,408.49,0.02,0.43,0.43,0.04,486.66,280.86,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.39,119283.01,54194.39,4.19,2.44,18.13,6232.22,7559.63,2518.69,212.67,53.56,2193.84,0.01,0.01,0.01,3903.64,3447.35,729.09,115852.75,125688.91,55871.47,214.56,55.41,2195.51,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.02,483.02,489.84,487.11,279.09,280.83,282.65,0.39,0.58,0.61
