time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-16 14:15:00",0,0,0,283864.16,283888.94,24.77,16314.64,2460.09,0.04,8080.08,299035.44,299443.94,408.49,0.01,0.42,0.42,0.03,482.66,278.55,0.53,59.93,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.44,119283.09,54194.43,4.19,2.44,18.13,6233.23,7561.13,2520.29,212.69,53.56,2193.85,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.76,125690.41,55873.07,214.57,55.41,2195.52,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.05,0.02,479.23,485.32,483.42,277.10,278.41,280.13,0.40,0.58,0.61
"2021-02-16 14:30:00",0,0,0,283864.16,283888.94,24.77,16314.75,2460.10,0.04,8080.08,299035.53,299444.03,408.49,0.00,0.43,0.43,0.01,484.01,279.33,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.44,119283.09,54194.43,4.19,2.44,18.13,6233.26,7561.17,2520.33,212.69,53.56,2193.85,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.78,125690.45,55873.11,214.57,55.41,2195.53,-0.00,0.01,-0.00,0.11,0.16,0.16,0.11,0.16,0.16,-0.00,0.04,-0.02,479.93,486.88,485.21,277.61,279.08,281.29,0.42,0.58,0.59
"2021-02-16 14:45:00",0,0,0,283864.19,283888.97,24.77,16314.85,2460.10,0.04,8080.08,299035.69,299444.19,408.49,0.02,0.42,0.42,0.05,483.17,278.84,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.44,119283.09,54194.43,4.19,2.44,18.13,6233.28,7561.20,2520.37,212.69,53.56,2193.85,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.80,125690.49,55873.15,214.57,55.41,2195.53,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.16,0.17,0.06,0.06,0.04,479.42,486.55,483.53,277.03,278.81,280.69,0.39,0.58,0.62
"2021-02-16 15:00:00",0,0,0,283864.19,283888.97,24.77,16314.95,2460.10,0.04,8080.08,299035.78,299444.28,408.49,0.02,0.42,0.42,0.06,482.81,278.64,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.44,119283.09,54194.44,4.19,2.44,18.13,6233.31,7561.24,2520.41,212.69,53.56,2193.86,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.83,125690.52,55873.19,214.58,55.41,2195.53,0.01,0.01,0.01,0.10,0.14,0.17,0.10,0.15,0.17,0.06,0.07,0.04,478.83,486.25,483.35,276.97,278.47,280.48,0.38,0.55,0.64
"2021-02-16 15:15:00",0,0,0,283864.19,283888.97,24.77,16315.05,2460.11,0.04,8080.08,299035.88,299444.38,408.49,0.01,0.42,0.42,0.01,483.02,278.76,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.44,119283.09,54194.44,4.19,2.44,18.13,6233.33,7561.28,2520.44,212.69,53.56,2193.86,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.85,125690.56,55873.22,214.58,55.41,2195.54,0.00,0.00,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.01,0.01,478.58,486.55,483.95,276.85,278.62,280.80,0.40,0.56,0.60
"2021-02-16 15:30:00",0,0,0,283864.19,283888.97,24.77,16315.15,2460.11,0.04,8080.08,299036.00,299444.50,408.49,0.01,0.43,0.43,0.02,482.39,278.39,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.44,119283.09,54194.44,4.19,2.44,18.14,6233.35,7561.32,2520.48,212.69,53.56,2193.86,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.88,125690.61,55873.26,214.58,55.41,2195.54,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.05,0.05,478.30,485.53,483.33,276.51,278.27,280.38,0.41,0.59,0.59
"2021-02-16 15:45:00",0,0,0,283864.19,283888.97,24.77,16315.25,2460.12,0.04,8080.08,299036.09,299444.59,408.49,0.06,0.36,0.36,0.16,482.90,278.69,1.04,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.45,119283.10,54194.44,4.19,2.44,18.14,6233.38,7561.35,2520.52,212.70,53.56,2193.87,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.90,125690.64,55873.30,214.58,55.41,2195.54,0.00,0.05,0.01,0.10,0.08,0.17,0.10,0.10,0.17,0.02,0.51,0.04,478.57,486.30,483.84,276.93,278.45,280.68,0.38,2.10,0.64
"2021-02-16 16:00:00",0,0,0,283864.22,283889.00,24.77,16315.33,2460.13,0.04,8080.08,299036.19,299444.69,408.49,0.06,0.33,0.33,0.19,482.85,278.66,1.51,60.02,0.05,0.38,0.38,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.45,119283.12,54194.44,4.19,2.44,18.14,6233.40,7561.38,2520.56,212.70,53.56,2193.87,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.92,125690.67,55873.34,214.59,55.41,2195.54,-0.00,0.06,0.00,0.11,0.10,0.12,0.11,0.12,0.12,-0.02,0.53,0.03,478.57,485.96,484.04,276.86,278.44,280.68,0.41,2.11,2.02
"2021-02-16 16:15:00",0,0,0,283864.22,283889.00,24.77,16315.41,2460.13,0.04,8080.08,299036.25,299444.75,408.49,0.11,0.38,0.40,0.27,482.76,278.61,1.05,60.01,0.08,0.35,0.35,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.45,119283.13,54194.44,4.19,2.44,18.14,6233.42,7561.40,2520.59,212.70,53.56,2193.87,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.95,125690.70,55873.38,214.59,55.41,2195.55,0.00,0.10,0.00,0.10,0.11,0.17,0.10,0.15,0.17,0.03,0.68,0.03,478.86,485.85,483.56,276.89,278.46,280.46,0.39,2.12,0.63
"2021-02-16 16:30:00",0,0,0,283864.31,283889.09,24.77,16315.48,2460.13,0.04,8080.08,299036.38,299444.88,408.49,0.60,0.26,0.67,0.92,483.79,279.20,2.13,60.02,0.15,0.34,0.40,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.46,119283.18,54194.46,4.19,2.44,18.14,6233.43,7561.42,2520.63,212.70,53.56,2193.87,0.01,0.01,0.01,3903.64,3447.35,729.09,115853.98,125690.76,55873.41,214.59,55.41,2195.55,0.14,0.34,0.12,0.04,0.08,0.14,0.15,0.35,0.18,0.97,0.97,0.66,479.88,487.18,484.71,277.38,279.20,281.26,1.81,2.50,2.06
"2021-02-16 16:45:00",0,0,0,283864.44,283889.22,24.77,16315.55,2460.13,0.04,8080.08,299036.53,299445.03,408.49,0.69,0.24,0.73,0.95,485.49,280.18,2.16,60.02,0.43,0.27,0.51,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.50,119283.26,54194.49,4.19,2.44,18.14,6233.44,7561.44,2520.66,212.70,53.56,2193.87,0.01,0.01,0.01,3903.64,3447.35,729.09,115854.02,125690.84,55873.46,214.59,55.41,2195.55,0.20,0.34,0.15,0.02,0.07,0.14,0.20,0.35,0.21,0.99,0.98,0.73,481.38,488.76,486.25,278.50,279.98,282.02,1.93,2.52,2.08
"2021-02-16 17:00:00",0,0,0,283864.72,283889.50,24.77,16315.60,2460.13,0.04,8080.08,299036.78,299445.28,408.49,1.22,0.20,1.24,0.99,484.85,279.81,2.56,60.01,0.76,0.24,0.80,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.56,119283.38,54194.54,4.19,2.44,18.14,6233.45,7561.46,2520.69,212.70,53.56,2193.87,0.01,0.01,0.01,3903.64,3447.35,729.09,115854.09,125690.95,55873.52,214.59,55.41,2195.55,0.34,0.59,0.29,0.03,0.06,0.12,0.34,0.59,0.32,1.00,1.00,0.93,481.01,488.00,485.54,277.97,279.77,281.69,2.27,3.07,2.33
"2021-02-16 17:15:00",0,0,0,283865.06,283889.84,24.77,16315.65,2460.13,0.04,8080.08,299037.16,299445.66,408.49,1.96,0.15,1.96,1.00,485.50,280.18,3.18,60.01,1.12,0.21,1.15,28.67,0.52,28.67,-15.96,-1.21,15.96,110411.67,119283.54,54194.63,4.19,2.44,18.14,6233.45,7561.47,2520.72,212.70,53.56,2193.87,0.01,0.01,0.01,3903.65,3447.35,729.09,115854.19,125691.12,55873.61,214.59,55.41,2195.55,0.59,0.89,0.48,-0.00,0.05,0.10,0.59,0.89,0.49,1.00,1.00,0.98,481.64,488.77,486.08,278.19,280.19,282.18,2.93,3.86,2.75
