time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-16 20:15:00",0,0,0,283876.00,283900.78,24.77,16316.01,2460.13,0.04,8080.29,299048.09,299456.59,408.49,6.10,-0.13,6.11,1.00,485.10,279.96,7.99,60.02,5.58,-0.08,5.59,28.67,0.52,28.67,-15.96,-1.21,15.96,110414.91,119289.30,54196.57,4.19,2.44,18.14,6233.46,7561.52,2521.04,212.70,53.56,2193.87,0.01,0.01,0.01,3903.75,3447.46,729.09,115857.43,125696.88,55875.59,214.59,55.41,2195.55,1.72,3.28,1.10,-0.09,-0.13,0.09,1.73,3.28,1.10,1.00,1.00,1.00,481.96,488.32,485.03,278.07,280.57,281.23,6.75,12.59,4.62
"2021-02-16 20:30:00",0,0,0,283877.63,283902.41,24.77,16316.03,2460.13,0.04,8080.34,299049.72,299458.22,408.49,6.94,-0.19,6.95,1.00,485.45,280.16,8.99,60.02,6.01,-0.10,6.01,28.67,0.52,28.67,-15.96,-1.21,15.96,110415.38,119290.15,54196.88,4.19,2.44,18.14,6233.46,7561.52,2521.05,212.70,53.56,2193.87,0.01,0.01,0.01,3903.77,3447.49,729.09,115857.90,125697.73,55875.91,214.59,55.41,2195.55,1.97,3.57,1.42,-0.09,-0.16,0.08,1.97,3.57,1.41,1.00,1.00,1.00,482.08,488.79,485.49,278.21,280.68,281.60,7.58,13.78,5.62
"2021-02-16 20:45:00",0,0,0,283879.56,283904.34,24.77,16316.05,2460.13,0.04,8080.41,299051.69,299460.19,408.49,9.28,-0.39,9.29,1.00,487.02,281.07,12.14,60.01,6.89,-0.15,6.89,28.67,0.52,28.67,-15.96,-1.21,15.96,110415.94,119291.13,54197.29,4.19,2.44,18.14,6233.46,7561.52,2521.07,212.70,53.56,2193.87,0.01,0.01,0.01,3903.79,3447.53,729.09,115858.46,125698.71,55876.31,214.59,55.41,2195.55,2.71,4.54,2.03,-0.20,-0.23,0.03,2.72,4.55,2.03,1.00,1.00,1.00,483.89,489.32,487.85,279.24,281.53,282.42,10.86,17.80,7.77
"2021-02-16 21:00:00",0,0,0,283881.75,283906.53,24.77,16316.06,2460.13,0.04,8080.49,299053.88,299462.38,408.49,9.37,-0.38,9.38,1.00,487.16,281.15,12.16,60.01,8.41,-0.24,8.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110416.59,119292.18,54197.79,4.19,2.44,18.14,6233.46,7561.52,2521.08,212.70,53.56,2193.87,0.01,0.01,0.01,3903.83,3447.57,729.09,115859.12,125699.77,55876.82,214.59,55.41,2195.55,2.80,4.40,2.16,-0.20,-0.21,0.03,2.81,4.41,2.16,1.00,1.00,1.00,484.30,489.42,487.76,279.43,281.68,282.33,11.14,17.13,8.20
"2021-02-16 21:15:00",0,0,0,283884.00,283908.78,24.77,16316.07,2460.13,0.04,8080.58,299056.09,299464.59,408.49,10.66,-0.46,10.68,1.00,486.87,280.98,13.68,60.02,8.70,-0.29,8.70,28.67,0.52,28.67,-15.96,-1.21,15.96,110417.27,119293.19,54198.32,4.19,2.44,18.14,6233.46,7561.52,2521.09,212.70,53.56,2193.87,0.01,0.01,0.01,3903.87,3447.62,729.09,115859.79,125700.78,55877.34,214.59,55.41,2195.55,3.28,4.73,2.65,-0.23,-0.26,0.02,3.29,4.74,2.65,1.00,1.00,1.00,483.87,489.61,487.14,279.20,281.46,282.27,12.84,18.32,9.89
"2021-02-16 21:30:00",0,0,0,283886.69,283911.47,24.77,16316.07,2460.13,0.04,8080.71,299058.78,299467.28,408.49,10.91,-0.55,10.93,1.00,487.02,281.06,14.30,59.97,9.86,-0.42,9.87,28.67,0.52,28.67,-15.96,-1.21,15.96,110418.09,119294.36,54199.01,4.19,2.44,18.14,6233.46,7561.52,2521.09,212.70,53.56,2193.87,0.01,0.01,0.01,3903.92,3447.69,729.10,115860.62,125701.95,55878.04,214.59,55.41,2195.55,3.33,4.71,2.91,-0.25,-0.30,-0.03,3.33,4.70,2.90,1.00,1.00,1.00,484.30,489.59,487.17,279.34,281.48,282.38,13.00,18.38,11.53
"2021-02-16 21:45:00",0,0,0,283889.38,283914.16,24.77,16316.07,2460.13,0.04,8080.84,299061.50,299470.00,408.49,10.62,-0.52,10.64,1.00,487.14,281.13,13.96,60.01,10.95,-0.54,10.96,28.67,0.52,28.67,-15.96,-1.21,15.96,110418.90,119295.51,54199.75,4.19,2.44,18.14,6233.46,7561.52,2521.09,212.70,53.56,2193.87,0.01,0.01,0.01,3903.98,3447.75,729.11,115861.43,125703.10,55878.78,214.59,55.41,2195.55,3.18,4.41,3.04,-0.22,-0.24,-0.07,3.18,4.42,3.04,1.00,1.00,1.00,484.25,489.67,487.51,279.26,281.56,282.58,12.48,17.41,11.99
"2021-02-16 22:00:00",0,0,0,283891.22,283916.00,24.77,16316.08,2460.13,0.04,8080.91,299063.34,299471.84,408.49,2.86,0.07,2.86,1.00,486.73,280.90,4.22,59.97,10.62,-0.50,10.64,28.67,0.52,28.67,-15.96,-1.21,15.96,110419.45,119296.29,54200.29,4.19,2.44,18.14,6233.46,7561.52,2521.09,212.70,53.56,2193.87,0.01,0.01,0.01,3904.01,3447.78,729.12,115861.98,125703.87,55879.32,214.59,55.41,2195.55,0.86,1.14,0.86,-0.03,0.02,0.08,0.86,1.14,0.86,1.00,1.00,1.00,483.62,489.08,487.50,279.50,280.78,282.42,3.89,4.82,3.95
"2021-02-16 22:15:00",0,0,0,283893.25,283918.03,24.77,16316.08,2460.13,0.04,8080.99,299065.38,299473.88,408.49,11.75,-0.55,11.76,1.00,487.98,281.62,15.20,59.93,4.51,-0.02,4.52,28.67,0.52,28.67,-15.96,-1.21,15.96,110420.04,119297.11,54200.89,4.19,2.44,18.14,6233.46,7561.52,2521.10,212.70,53.56,2193.87,0.01,0.01,0.01,3904.05,3447.82,729.13,115862.56,125704.70,55879.92,214.59,55.41,2195.55,3.47,4.74,3.54,-0.24,-0.25,-0.07,3.48,4.75,3.54,1.00,1.00,1.00,484.85,490.31,488.79,279.94,281.78,283.15,13.46,18.49,13.64
"2021-02-16 22:30:00",0,0,0,283895.91,283920.69,24.77,16316.09,2460.13,0.04,8081.11,299068.03,299476.53,408.49,7.50,-0.19,7.53,1.00,487.30,281.22,9.57,60.01,11.58,-0.55,11.59,28.67,0.52,28.67,-15.96,-1.21,15.96,110420.84,119298.16,54201.69,4.19,2.44,18.14,6233.46,7561.52,2521.10,212.70,53.56,2193.87,0.01,0.01,0.01,3904.10,3447.87,729.15,115863.37,125705.76,55880.72,214.59,55.41,2195.55,2.27,2.95,2.28,-0.10,-0.10,0.01,2.27,2.95,2.28,1.00,1.00,1.00,484.13,489.66,487.74,279.55,281.30,282.61,8.58,11.45,8.59
