time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-17 01:30:00",0,0,0,283907.81,283932.59,24.77,16316.59,2460.14,0.04,8081.45,299080.31,299488.81,408.50,0.01,0.42,0.42,0.03,484.85,279.81,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.50,119302.72,54205.38,4.19,2.44,18.14,6233.56,7561.69,2521.34,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.12,125710.45,55884.57,214.59,55.42,2195.55,0.01,0.01,0.00,0.10,0.16,0.16,0.11,0.15,0.16,0.02,0.04,0.02,481.76,486.89,485.89,278.73,279.64,281.05,0.40,0.56,0.61
"2021-02-17 01:45:00",0,0,0,283907.81,283932.59,24.77,16316.69,2460.14,0.04,8081.45,299080.41,299488.91,408.50,0.02,0.43,0.43,0.04,484.34,279.52,0.52,59.89,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.50,119302.72,54205.38,4.19,2.44,18.14,6233.59,7561.72,2521.38,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.14,125710.48,55884.61,214.59,55.42,2195.55,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.16,0.16,0.04,0.05,0.03,481.40,486.30,485.31,278.50,279.23,280.82,0.39,0.57,0.61
"2021-02-17 02:00:00",0,0,0,283907.81,283932.59,24.77,16316.80,2460.14,0.04,8081.45,299080.50,299489.00,408.50,0.02,0.43,0.43,0.05,484.56,279.64,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.50,119302.73,54205.38,4.19,2.44,18.14,6233.61,7561.76,2521.42,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.17,125710.52,55884.65,214.59,55.42,2195.55,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.06,0.06,0.03,481.10,487.07,485.49,278.26,279.34,281.33,0.39,0.59,0.61
"2021-02-17 02:15:00",0,0,0,283907.81,283932.59,24.77,16316.91,2460.14,0.04,8081.45,299080.63,299489.13,408.50,0.02,0.43,0.43,0.04,484.57,279.65,0.52,59.88,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.50,119302.73,54205.38,4.19,2.44,18.14,6233.64,7561.80,2521.47,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.20,125710.55,55884.69,214.59,55.42,2195.55,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.17,0.04,0.06,0.03,481.04,486.89,485.79,278.44,279.22,281.30,0.39,0.57,0.60
"2021-02-17 02:30:00",0,0,0,283907.81,283932.59,24.77,16317.01,2460.14,0.04,8081.45,299080.72,299489.22,408.50,0.02,0.42,0.43,0.04,484.95,279.87,0.52,59.89,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.50,119302.73,54205.38,4.19,2.44,18.14,6233.67,7561.84,2521.51,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.22,125710.60,55884.73,214.59,55.42,2195.55,0.00,0.01,0.01,0.10,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.71,487.20,486.18,278.83,279.51,281.41,0.39,0.57,0.61
"2021-02-17 02:45:00",0,0,0,283907.84,283932.63,24.77,16317.12,2460.14,0.04,8081.45,299080.81,299489.31,408.50,0.02,0.42,0.42,0.04,484.15,279.41,0.52,60.01,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.51,119302.73,54205.38,4.19,2.44,18.14,6233.69,7561.88,2521.55,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.24,125710.64,55884.77,214.59,55.42,2195.55,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.03,480.48,486.58,485.40,278.15,278.96,281.12,0.39,0.57,0.61
"2021-02-17 03:00:00",0,0,0,283907.84,283932.63,24.77,16317.22,2460.14,0.04,8081.45,299080.97,299489.47,408.50,0.02,0.43,0.43,0.04,485.26,280.05,0.52,59.97,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.51,119302.73,54205.38,4.19,2.44,18.14,6233.72,7561.92,2521.59,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.28,125710.68,55884.82,214.59,55.42,2195.55,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,481.57,488.10,486.11,278.54,279.81,281.80,0.39,0.57,0.61
"2021-02-17 03:15:00",0,0,0,283907.84,283932.63,24.77,16317.33,2460.14,0.04,8081.45,299081.06,299489.56,408.50,0.02,0.43,0.43,0.05,485.17,280.00,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.51,119302.73,54205.38,4.19,2.44,18.14,6233.74,7561.96,2521.63,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.30,125710.72,55884.86,214.59,55.42,2195.55,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.04,481.75,487.72,486.04,278.70,279.74,281.56,0.39,0.57,0.61
"2021-02-17 03:30:00",0,0,0,283907.84,283932.63,24.77,16317.44,2460.14,0.04,8081.45,299081.16,299489.66,408.50,0.02,0.43,0.43,0.04,486.09,280.53,0.53,59.97,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.51,119302.73,54205.38,4.19,2.44,18.14,6233.77,7561.99,2521.67,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.33,125710.76,55884.90,214.59,55.42,2195.55,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.94,488.25,487.29,279.49,280.20,282.03,0.40,0.57,0.61
"2021-02-17 03:45:00",0,0,0,283907.84,283932.63,24.77,16317.54,2460.14,0.04,8081.45,299081.28,299489.78,408.50,0.02,0.43,0.43,0.04,485.86,280.40,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.51,119302.73,54205.38,4.19,2.44,18.14,6233.80,7562.03,2521.71,212.70,53.56,2193.87,0.01,0.01,0.01,3904.28,3447.99,729.17,115867.36,125710.79,55884.94,214.59,55.42,2195.55,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,482.25,488.34,486.98,279.10,280.01,282.08,0.39,0.57,0.61
