time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-17 13:30:00",0,0,0,283908.03,283932.81,24.77,16321.71,2460.16,0.04,8081.45,299085.47,299493.97,408.50,0.02,0.43,0.43,0.05,480.83,277.49,0.54,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.55,119302.82,54205.43,4.19,2.44,18.14,6234.82,7563.55,2523.33,212.72,53.56,2193.89,0.01,0.01,0.01,3904.28,3447.99,729.17,115868.38,125712.32,55886.55,214.60,55.42,2195.56,0.01,0.01,0.00,0.10,0.15,0.17,0.11,0.15,0.17,0.10,0.10,0.02,477.30,483.30,481.89,276.18,277.06,279.23,0.38,0.64,0.61
"2021-02-17 13:45:00",0,0,0,283908.03,283932.81,24.77,16321.81,2460.16,0.04,8081.45,299085.56,299494.06,408.50,0.02,0.42,0.42,0.04,483.93,279.28,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.55,119302.82,54205.43,4.19,2.44,18.14,6234.85,7563.59,2523.37,212.72,53.56,2193.89,0.01,0.01,0.01,3904.28,3447.99,729.17,115868.41,125712.35,55886.59,214.60,55.42,2195.56,0.00,0.01,0.01,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,480.94,485.98,484.88,278.24,279.03,280.58,0.40,0.57,0.61
"2021-02-17 14:00:00",0,0,0,283908.03,283932.81,24.77,16321.92,2460.16,0.04,8081.45,299085.66,299494.16,408.50,0.02,0.42,0.42,0.04,482.04,278.19,0.53,59.89,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.55,119302.82,54205.43,4.19,2.44,18.14,6234.88,7563.63,2523.41,212.72,53.56,2193.89,0.01,0.01,0.01,3904.28,3447.99,729.17,115868.44,125712.39,55886.64,214.60,55.42,2195.56,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.03,478.44,484.67,483.01,276.82,277.87,279.88,0.39,0.58,0.62
"2021-02-17 14:15:00",0,0,0,283908.03,283932.81,24.77,16322.02,2460.17,0.04,8081.45,299085.75,299494.25,408.50,0.01,0.43,0.43,0.02,482.20,278.28,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.55,119302.82,54205.44,4.19,2.44,18.14,6234.90,7563.67,2523.45,212.72,53.56,2193.89,0.01,0.01,0.01,3904.28,3447.99,729.17,115868.46,125712.43,55886.68,214.60,55.42,2195.57,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.01,0.05,0.00,478.44,484.74,483.41,276.76,278.01,280.07,0.42,0.59,0.58
"2021-02-17 14:30:00",0,0,0,283908.03,283932.81,24.77,16322.12,2460.17,0.04,8081.45,299085.88,299494.38,408.50,0.02,0.42,0.42,0.04,481.62,277.95,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.55,119302.83,54205.44,4.19,2.44,18.14,6234.93,7563.71,2523.49,212.72,53.56,2193.89,0.01,0.01,0.01,3904.28,3447.99,729.17,115868.48,125712.47,55886.71,214.60,55.42,2195.57,0.00,0.01,0.00,0.11,0.16,0.16,0.10,0.15,0.17,0.04,0.05,0.04,477.97,484.22,482.67,276.68,277.64,279.53,0.39,0.56,0.63
"2021-02-17 14:45:00",0,0,0,283908.03,283932.81,24.77,16322.22,2460.17,0.04,8081.45,299085.97,299494.47,408.50,0.02,0.43,0.43,0.05,489.93,282.74,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.56,119302.83,54205.44,4.19,2.44,18.14,6234.95,7563.74,2523.53,212.72,53.56,2193.89,0.01,0.01,0.01,3904.28,3447.99,729.17,115868.51,125712.50,55886.75,214.60,55.42,2195.57,0.01,0.01,0.01,0.10,0.15,0.18,0.10,0.15,0.18,0.06,0.05,0.04,486.46,492.96,490.35,281.30,282.65,284.27,0.38,0.57,0.65
"2021-02-17 15:00:00",0,0,0,283908.06,283932.84,24.77,16322.32,2460.17,0.04,8081.45,299086.09,299494.59,408.50,1.05,0.28,1.08,0.97,489.42,282.45,2.49,60.01,0.03,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.57,119302.84,54205.45,4.19,2.44,18.14,6234.97,7563.78,2523.57,212.72,53.56,2193.89,0.01,0.01,0.01,3904.28,3447.99,729.17,115868.54,125712.55,55886.79,214.61,55.42,2195.57,0.35,0.40,0.30,0.04,0.13,0.11,0.35,0.42,0.32,0.99,0.95,0.94,485.55,491.83,490.87,280.98,282.08,284.28,2.49,2.41,2.58
"2021-02-17 15:15:00",0,0,0,283908.56,283933.34,24.77,16322.37,2460.17,0.04,8081.45,299086.59,299495.09,408.50,2.75,0.15,2.76,1.00,489.33,282.40,4.01,60.09,0.74,0.31,0.91,28.67,0.52,28.67,-15.96,-1.21,15.96,110424.73,119303.02,54205.59,4.19,2.44,18.14,6234.97,7563.80,2523.59,212.72,53.56,2193.89,0.01,0.01,0.01,3904.29,3447.99,729.17,115868.70,125712.73,55886.94,214.61,55.42,2195.57,0.92,1.03,0.80,-0.01,0.07,0.10,0.92,1.04,0.81,1.00,1.00,0.99,485.69,492.32,489.97,280.87,282.20,284.12,4.09,4.21,3.74
"2021-02-17 15:30:00",0,0,0,283909.44,283934.22,24.77,16322.40,2460.17,0.04,8081.46,299087.44,299495.94,408.50,4.29,0.06,4.29,1.00,487.71,281.46,5.67,60.01,2.66,0.16,2.66,28.67,0.52,28.67,-15.96,-1.21,15.96,110425.03,119303.35,54205.86,4.19,2.44,18.14,6234.97,7563.82,2523.61,212.72,53.56,2193.89,0.01,0.01,0.01,3904.29,3447.99,729.17,115869.00,125713.06,55887.20,214.61,55.42,2195.57,1.41,1.61,1.27,-0.03,0.04,0.05,1.41,1.61,1.27,1.00,1.00,1.00,483.59,490.22,488.62,279.55,281.11,283.33,5.69,6.13,5.21
"2021-02-17 15:45:00",0,0,0,283910.69,283935.47,24.77,16322.42,2460.17,0.04,8081.47,299088.72,299497.22,408.50,5.77,-0.02,5.77,1.00,489.05,282.24,7.35,59.90,4.20,0.08,4.20,28.67,0.52,28.67,-15.96,-1.21,15.96,110425.45,119303.82,54206.22,4.19,2.44,18.14,6234.97,7563.82,2523.63,212.72,53.56,2193.89,0.01,0.01,0.01,3904.30,3447.99,729.17,115869.41,125713.52,55887.57,214.61,55.42,2195.57,1.93,2.17,1.67,-0.07,-0.00,0.05,1.93,2.17,1.67,1.00,1.00,1.00,484.88,492.27,489.82,280.36,282.01,284.23,7.45,8.07,6.47
