time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-17 18:00:00",0,0,0,283938.47,283963.25,24.77,16322.44,2460.17,0.04,8082.66,299116.50,299525.00,408.50,18.03,-0.92,18.06,1.00,490.23,282.92,22.75,60.01,17.04,-0.87,17.07,28.67,0.52,28.67,-15.96,-1.21,15.96,110434.41,119314.24,54214.61,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3904.83,3448.45,729.38,115878.38,125723.97,55895.96,214.61,55.42,2195.57,5.77,6.82,5.44,-0.37,-0.35,-0.20,5.78,6.83,5.45,1.00,1.00,1.00,486.62,492.97,491.11,281.26,282.86,284.64,22.07,25.46,20.73
"2021-02-17 18:15:00",0,0,0,283943.06,283967.84,24.77,16322.44,2460.17,0.04,8082.90,299121.13,299529.63,408.50,19.03,-0.96,19.06,1.00,490.29,282.95,23.92,60.01,18.14,-0.93,18.16,28.67,0.52,28.67,-15.96,-1.21,15.96,110435.87,119315.98,54216.01,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3904.93,3448.54,729.43,115879.86,125725.70,55897.36,214.61,55.42,2195.57,6.00,7.05,5.98,-0.38,-0.36,-0.23,6.01,7.06,5.99,1.00,1.00,1.00,486.80,493.37,490.70,281.11,283.05,284.70,22.91,26.27,22.58
"2021-02-17 18:30:00",0,0,0,283947.81,283972.59,24.77,16322.44,2460.17,0.04,8083.14,299125.88,299534.38,408.50,19.47,-1.04,19.50,1.00,490.30,282.96,24.43,59.89,18.56,-0.95,18.59,28.67,0.52,28.67,-15.96,-1.21,15.96,110437.39,119317.77,54217.44,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3905.02,3448.63,729.49,115881.38,125727.50,55898.79,214.61,55.42,2195.57,6.15,7.32,5.98,-0.40,-0.38,-0.24,6.16,7.32,6.01,1.00,1.00,1.00,486.92,492.88,491.09,281.23,283.00,284.64,23.44,27.17,22.69
"2021-02-17 18:45:00",0,0,0,283952.72,283977.50,24.77,16322.44,2460.17,0.04,8083.40,299130.78,299539.28,408.50,19.80,-1.04,19.82,1.00,491.33,283.55,24.81,59.94,19.34,-1.00,19.36,28.67,0.52,28.67,-15.96,-1.21,15.96,110438.94,119319.63,54218.92,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3905.12,3448.73,729.54,115882.93,125729.35,55900.28,214.61,55.42,2195.57,6.30,7.51,5.99,-0.40,-0.39,-0.24,6.32,7.52,5.99,1.00,1.00,1.00,487.91,493.79,492.31,281.89,283.59,285.18,23.95,27.84,22.65
"2021-02-17 19:00:00",0,0,0,283957.69,283982.47,24.77,16322.44,2460.17,0.04,8083.65,299135.78,299544.28,408.50,20.14,-0.94,20.16,1.00,488.11,281.69,25.38,60.02,19.76,-1.01,19.78,28.67,0.52,28.67,-15.96,-1.21,15.96,110440.54,119321.52,54220.43,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3905.22,3448.83,729.60,115884.53,125731.26,55901.79,214.61,55.42,2195.57,6.47,7.66,6.02,-0.37,-0.38,-0.19,6.48,7.67,6.02,1.00,1.00,1.00,484.55,491.13,488.63,279.89,281.89,283.30,24.68,28.57,22.88
"2021-02-17 19:15:00",0,0,0,283962.78,283987.56,24.77,16322.44,2460.17,0.04,8083.90,299140.84,299549.34,408.50,20.27,-0.99,20.29,1.00,488.06,281.66,25.49,60.02,20.16,-1.00,20.18,28.67,0.52,28.67,-15.96,-1.21,15.96,110442.16,119323.45,54221.96,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3905.32,3448.92,729.65,115886.15,125733.18,55903.32,214.61,55.42,2195.57,6.51,7.76,5.99,-0.39,-0.37,-0.22,6.53,7.77,5.99,1.00,1.00,1.00,484.89,489.98,489.31,280.28,281.75,282.97,24.78,28.88,22.82
"2021-02-17 19:30:00",0,0,0,283967.94,283992.72,24.77,16322.44,2460.17,0.04,8084.15,299146.03,299554.53,408.50,21.04,-1.00,21.06,1.00,489.41,282.45,26.30,60.09,20.39,-0.98,20.41,28.67,0.52,28.67,-15.96,-1.21,15.96,110443.80,119325.41,54223.54,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3905.42,3449.02,729.71,115887.80,125735.14,55904.89,214.61,55.42,2195.57,6.61,7.91,6.54,-0.40,-0.36,-0.23,6.63,7.91,6.52,1.00,1.00,1.00,485.92,491.74,490.58,280.84,282.33,284.16,25.09,29.31,24.51
"2021-02-17 19:45:00",0,0,0,283973.19,283997.97,24.77,16322.44,2460.17,0.04,8084.40,299151.25,299559.75,408.50,20.17,-1.00,20.20,1.00,488.80,282.09,25.38,60.02,20.92,-1.01,20.95,28.67,0.52,28.67,-15.96,-1.21,15.96,110445.44,119327.38,54225.14,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3905.52,3449.11,729.77,115889.44,125737.12,55906.50,214.61,55.42,2195.57,6.48,7.83,5.86,-0.41,-0.40,-0.19,6.49,7.84,5.87,1.00,1.00,1.00,485.78,491.18,489.45,280.69,282.17,283.43,24.68,29.14,22.31
"2021-02-17 20:00:00",0,0,0,283978.31,284003.09,24.77,16322.44,2460.17,0.04,8084.65,299156.41,299564.91,408.50,20.83,-0.98,20.86,1.00,488.90,282.15,26.13,59.87,20.59,-1.01,20.62,28.67,0.52,28.67,-15.96,-1.21,15.96,110447.05,119329.31,54226.74,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3905.62,3449.20,729.82,115891.06,125739.05,55908.10,214.61,55.42,2195.57,6.49,7.81,6.52,-0.38,-0.37,-0.23,6.51,7.82,6.53,1.00,1.00,1.00,485.60,491.17,489.92,280.55,282.10,283.79,24.73,29.06,24.61
"2021-02-17 20:15:00",0,0,0,283983.47,284008.25,24.77,16322.44,2460.17,0.04,8084.90,299161.56,299570.06,408.50,20.21,-0.99,20.23,1.00,488.81,282.10,25.43,60.01,20.77,-1.02,20.79,28.67,0.52,28.67,-15.96,-1.21,15.96,110448.66,119331.25,54228.33,4.19,2.44,18.14,6234.97,7563.82,2523.64,212.72,53.56,2193.89,0.01,0.01,0.01,3905.72,3449.30,729.88,115892.67,125741.00,55909.69,214.61,55.42,2195.57,6.38,7.71,6.13,-0.40,-0.37,-0.22,6.39,7.71,6.13,1.00,1.00,1.00,485.40,490.95,490.07,280.59,282.00,283.70,24.35,28.69,23.26
