time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-18 00:45:00",0,0,0,284033.44,284058.22,24.77,16322.87,2460.17,0.04,8087.31,299211.69,299620.19,408.50,0.15,0.30,0.33,0.44,484.51,279.61,2.27,60.01,0.79,0.28,0.86,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.32,119350.05,54243.88,4.19,2.44,18.14,6235.01,7564.01,2523.85,212.72,53.56,2193.89,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.37,125759.84,55925.29,214.61,55.42,2195.57,0.04,0.06,0.04,0.02,0.14,0.14,0.05,0.15,0.14,0.86,0.42,0.28,481.44,486.62,485.45,278.51,279.33,280.99,2.26,2.08,2.48
"2021-02-18 01:00:00",0,0,0,284033.47,284058.25,24.77,16322.96,2460.18,0.04,8087.31,299211.78,299620.28,408.50,0.02,0.42,0.42,0.04,484.30,279.49,0.53,59.94,0.15,0.30,0.34,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.32,119350.05,54243.88,4.19,2.44,18.14,6235.03,7564.05,2523.88,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.38,125759.88,55925.33,214.61,55.42,2195.57,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,481.14,486.28,485.47,278.45,279.08,280.94,0.40,0.58,0.62
"2021-02-18 01:15:00",0,0,0,284033.47,284058.25,24.77,16323.06,2460.18,0.04,8087.31,299211.88,299620.38,408.50,0.03,0.42,0.42,0.06,483.39,278.97,0.53,60.02,0.02,0.41,0.41,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.33,119350.05,54243.88,4.19,2.44,18.14,6235.06,7564.08,2523.92,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.41,125759.92,55925.37,214.61,55.42,2195.57,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.04,480.33,485.65,484.19,277.94,278.53,280.43,0.38,0.58,0.65
"2021-02-18 01:30:00",0,0,0,284033.47,284058.25,24.77,16323.17,2460.18,0.04,8087.31,299212.00,299620.50,408.50,0.02,0.42,0.42,0.05,482.67,278.55,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.33,119350.05,54243.88,4.19,2.44,18.14,6235.08,7564.12,2523.96,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.43,125759.96,55925.41,214.61,55.42,2195.57,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.04,0.02,479.25,484.59,484.36,277.56,278.00,280.20,0.41,0.58,0.60
"2021-02-18 01:45:00",0,0,0,284033.47,284058.25,24.77,16323.27,2460.18,0.04,8087.31,299212.09,299620.59,408.50,0.02,0.42,0.42,0.05,482.05,278.20,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.33,119350.05,54243.88,4.19,2.44,18.14,6235.11,7564.16,2524.00,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.46,125760.00,55925.45,214.61,55.42,2195.57,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.07,0.06,0.04,478.91,484.63,482.62,276.90,278.03,279.66,0.38,0.57,0.62
"2021-02-18 02:00:00",0,0,0,284033.47,284058.25,24.77,16323.38,2460.18,0.04,8087.31,299212.19,299620.69,408.50,0.02,0.42,0.42,0.04,482.43,278.42,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.33,119350.06,54243.88,4.19,2.44,18.14,6235.14,7564.20,2524.04,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.48,125760.04,55925.49,214.61,55.42,2195.57,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.03,479.33,484.98,482.98,277.10,278.33,279.83,0.39,0.57,0.61
"2021-02-18 02:15:00",0,0,0,284033.47,284058.25,24.77,16323.48,2460.18,0.04,8087.31,299212.31,299620.81,408.50,0.02,0.42,0.42,0.04,482.77,278.61,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.33,119350.06,54243.88,4.19,2.44,18.14,6235.16,7564.24,2524.09,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.51,125760.07,55925.54,214.61,55.42,2195.57,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,479.35,485.17,483.79,277.36,278.26,280.22,0.39,0.57,0.61
"2021-02-18 02:30:00",0,0,0,284033.47,284058.25,24.77,16323.59,2460.18,0.04,8087.31,299212.41,299620.91,408.50,0.02,0.42,0.42,0.04,482.45,278.43,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.33,119350.06,54243.88,4.19,2.44,18.14,6235.19,7564.27,2524.13,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.53,125760.11,55925.57,214.61,55.42,2195.57,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,479.24,484.69,483.43,277.27,278.11,279.90,0.39,0.57,0.61
"2021-02-18 02:45:00",0,0,0,284033.50,284058.28,24.77,16323.69,2460.18,0.04,8087.31,299212.50,299621.00,408.50,0.02,0.42,0.42,0.04,482.38,278.38,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.33,119350.06,54243.88,4.19,2.44,18.14,6235.21,7564.31,2524.17,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.56,125760.15,55925.61,214.61,55.42,2195.57,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.04,479.03,484.86,483.25,277.14,278.12,279.90,0.39,0.57,0.61
"2021-02-18 03:00:00",0,0,0,284033.50,284058.28,24.77,16323.80,2460.18,0.04,8087.31,299212.63,299621.13,408.50,0.02,0.42,0.42,0.04,481.55,277.91,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.34,119350.07,54243.89,4.19,2.44,18.14,6235.24,7564.35,2524.21,212.72,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115908.59,125760.19,55925.66,214.61,55.42,2195.57,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.02,477.98,484.35,482.31,276.40,277.72,279.60,0.39,0.57,0.60
