time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-18 12:45:00",0,0,0,284033.66,284058.44,24.77,16327.92,2460.19,0.04,8087.31,299216.75,299625.25,408.50,0.01,0.42,0.42,0.03,482.73,278.59,0.53,59.96,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.15,54243.93,4.19,2.44,18.14,6236.26,7565.85,2525.81,212.73,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.61,125761.69,55927.26,214.61,55.42,2195.58,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.05,0.03,479.09,485.02,483.73,277.24,278.15,280.18,0.40,0.58,0.61
"2021-02-18 13:00:00",0,0,0,284033.66,284058.44,24.77,16328.03,2460.19,0.04,8087.31,299216.84,299625.34,408.50,0.02,0.42,0.42,0.05,481.51,277.89,0.53,59.95,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.15,54243.93,4.19,2.44,18.14,6236.28,7565.89,2525.85,212.73,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.64,125761.73,55927.30,214.61,55.42,2195.58,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.04,478.39,483.69,482.46,276.81,277.53,279.32,0.39,0.57,0.62
"2021-02-18 13:15:00",0,0,0,284033.66,284058.44,24.77,16328.13,2460.19,0.04,8087.31,299216.97,299625.47,408.50,0.02,0.42,0.42,0.04,480.54,277.32,0.53,59.96,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.15,54243.93,4.19,2.44,18.14,6236.31,7565.93,2525.89,212.73,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.66,125761.77,55927.34,214.61,55.42,2195.58,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.28,482.90,481.42,276.10,277.05,278.81,0.39,0.57,0.61
"2021-02-18 13:30:00",0,0,0,284033.66,284058.44,24.77,16328.23,2460.19,0.04,8087.31,299217.09,299625.59,408.50,0.02,0.42,0.42,0.01,481.44,277.84,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.15,54243.94,4.19,2.44,18.14,6236.34,7565.96,2525.93,212.73,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.69,125761.80,55927.38,214.61,55.42,2195.58,0.00,0.01,0.01,0.10,0.14,0.17,0.10,0.15,0.17,0.04,0.04,0.05,478.02,483.70,482.24,276.65,277.54,279.14,0.39,0.55,0.63
"2021-02-18 13:45:00",0,0,0,284033.69,284058.47,24.77,16328.34,2460.19,0.04,8087.31,299217.19,299625.69,408.50,0.02,0.42,0.42,0.04,480.82,277.49,0.53,59.91,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.16,54243.94,4.19,2.44,18.14,6236.36,7566.00,2525.97,212.73,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.71,125761.84,55927.42,214.61,55.42,2195.58,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.50,483.53,481.28,275.99,277.41,278.98,0.39,0.58,0.61
"2021-02-18 14:00:00",0,0,0,284033.69,284058.47,24.77,16328.44,2460.19,0.04,8087.31,299217.28,299625.78,408.50,0.02,0.42,0.42,0.04,480.82,277.48,0.53,60.00,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.16,54243.94,4.19,2.44,18.14,6236.39,7566.04,2526.02,212.73,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.74,125761.88,55927.46,214.61,55.42,2195.58,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,477.55,483.48,481.42,276.06,277.34,279.05,0.39,0.58,0.61
"2021-02-18 14:15:00",0,0,0,284033.69,284058.47,24.77,16328.55,2460.19,0.04,8087.31,299217.38,299625.88,408.50,0.02,0.42,0.42,0.04,479.22,276.56,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.16,54243.94,4.19,2.44,18.14,6236.41,7566.08,2526.06,212.73,53.56,2193.90,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.77,125761.92,55927.50,214.61,55.42,2195.58,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,475.61,481.82,480.23,275.20,276.18,278.31,0.39,0.57,0.61
"2021-02-18 14:30:00",0,0,0,284033.69,284058.47,24.77,16328.65,2460.19,0.04,8087.31,299217.50,299626.00,408.50,0.03,0.42,0.42,0.04,479.41,276.67,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.16,54243.94,4.19,2.44,18.14,6236.44,7566.12,2526.09,212.73,53.56,2193.91,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.79,125761.96,55927.54,214.61,55.42,2195.58,0.01,0.01,0.01,0.09,0.15,0.17,0.10,0.15,0.17,0.09,0.06,0.05,476.72,482.56,479.75,275.46,276.80,278.23,0.37,0.58,0.64
"2021-02-18 14:45:00",0,0,0,284033.69,284058.47,24.77,16328.75,2460.19,0.04,8087.31,299217.59,299626.09,408.50,0.02,0.42,0.42,0.05,482.81,278.64,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.16,54243.94,4.19,2.44,18.14,6236.46,7566.15,2526.13,212.73,53.56,2193.91,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.81,125762.00,55927.58,214.61,55.42,2195.58,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.04,479.02,485.76,483.34,276.96,278.41,280.35,0.39,0.58,0.62
"2021-02-18 15:00:00",0,0,0,284033.69,284058.47,24.77,16328.86,2460.20,0.04,8087.31,299217.69,299626.19,408.50,0.03,0.37,0.37,0.07,483.00,278.74,1.05,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110464.38,119350.16,54243.95,4.19,2.44,18.14,6236.49,7566.19,2526.17,212.73,53.56,2193.91,0.01,0.01,0.01,3906.69,3450.21,730.41,115909.84,125762.03,55927.62,214.61,55.42,2195.58,-0.00,0.02,0.00,0.11,0.09,0.16,0.11,0.10,0.16,-0.01,0.24,0.02,479.40,485.59,484.01,277.33,278.56,280.34,0.41,2.14,0.60
