time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-18 18:45:00",0,0,0,284043.72,284068.50,24.77,16329.42,2460.20,0.04,8087.38,299227.78,299636.28,408.50,5.82,-0.04,5.82,1.00,485.35,280.10,7.44,60.01,4.51,0.03,4.51,28.67,0.52,28.67,-15.96,-1.21,15.96,110467.49,119353.91,54247.08,4.19,2.44,18.14,6236.52,7566.36,2526.53,212.73,53.56,2193.91,0.01,0.01,0.01,3906.76,3450.21,730.41,115912.96,125765.81,55930.81,214.62,55.42,2195.58,1.82,2.18,1.82,-0.08,-0.01,0.06,1.82,2.18,1.83,1.00,1.00,1.00,481.50,488.01,485.66,278.14,279.73,281.92,7.06,8.28,7.02
"2021-02-18 19:00:00",0,0,0,284045.09,284069.88,24.77,16329.43,2460.20,0.04,8087.40,299229.16,299637.66,408.50,5.66,-0.03,5.66,1.00,484.89,279.84,7.27,60.05,5.54,-0.02,5.54,28.67,0.52,28.67,-15.96,-1.21,15.96,110467.92,119354.44,54247.52,4.19,2.44,18.14,6236.52,7566.36,2526.55,212.73,53.56,2193.91,0.01,0.01,0.01,3906.77,3450.21,730.41,115913.39,125766.34,55931.25,214.62,55.42,2195.58,1.77,2.12,1.78,-0.07,-0.02,0.07,1.77,2.12,1.78,1.00,1.00,1.00,481.20,488.01,485.46,278.11,279.64,281.76,6.89,8.08,6.84
"2021-02-18 19:15:00",0,0,0,284046.31,284071.09,24.77,16329.45,2460.20,0.04,8087.41,299230.38,299638.88,408.50,4.86,0.02,4.86,1.00,484.97,279.88,6.37,60.01,5.44,-0.01,5.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110468.30,119354.88,54247.89,4.19,2.44,18.14,6236.52,7566.36,2526.56,212.73,53.56,2193.91,0.01,0.01,0.01,3906.78,3450.21,730.41,115913.77,125766.78,55931.63,214.62,55.42,2195.58,1.52,1.81,1.53,-0.04,-0.00,0.06,1.52,1.81,1.54,1.00,1.00,1.00,481.21,487.63,486.07,278.18,279.63,281.83,6.02,7.02,6.05
"2021-02-18 19:30:00",0,0,0,284047.41,284072.19,24.77,16329.47,2460.20,0.04,8087.42,299231.44,299639.94,408.50,4.04,0.04,4.04,1.00,485.52,280.20,5.43,60.01,4.53,0.02,4.53,28.67,0.52,28.67,-15.96,-1.21,15.96,110468.64,119355.30,54248.23,4.19,2.44,18.14,6236.52,7566.36,2526.58,212.73,53.56,2193.91,0.01,0.01,0.01,3906.79,3450.21,730.41,115914.11,125767.19,55931.96,214.62,55.42,2195.58,1.26,1.52,1.27,-0.05,0.01,0.08,1.26,1.52,1.28,1.00,1.00,1.00,481.90,487.98,485.98,278.48,279.81,281.91,5.17,6.01,5.19
"2021-02-18 19:45:00",0,0,0,284048.53,284073.31,24.77,16329.49,2460.20,0.04,8087.43,299232.59,299641.09,408.50,4.94,-0.00,4.93,1.00,486.61,280.83,6.42,60.01,4.27,0.03,4.27,28.67,0.52,28.67,-15.96,-1.21,15.96,110469.00,119355.73,54248.60,4.19,2.44,18.14,6236.52,7566.37,2526.60,212.73,53.56,2193.91,0.01,0.01,0.01,3906.81,3450.21,730.41,115914.46,125767.63,55932.33,214.62,55.42,2195.58,1.53,1.85,1.55,-0.05,0.00,0.04,1.53,1.85,1.55,1.00,1.00,1.00,482.93,488.52,487.87,279.23,280.33,282.63,6.04,7.11,6.09
"2021-02-18 20:00:00",0,0,0,284049.81,284074.59,24.77,16329.50,2460.20,0.04,8087.45,299233.88,299642.38,408.50,4.35,0.04,4.35,1.00,486.47,280.75,5.75,60.03,5.02,-0.00,5.02,28.67,0.52,28.67,-15.96,-1.21,15.96,110469.40,119356.21,54249.01,4.19,2.44,18.14,6236.52,7566.37,2526.61,212.73,53.56,2193.91,0.01,0.01,0.01,3906.82,3450.22,730.41,115914.87,125768.11,55932.74,214.62,55.42,2195.58,1.36,1.63,1.37,-0.03,0.00,0.07,1.36,1.63,1.37,1.00,1.00,1.00,482.98,488.66,487.78,279.46,280.37,282.42,5.44,6.36,5.45
"2021-02-18 20:15:00",0,0,0,284050.75,284075.53,24.77,16329.52,2460.20,0.04,8087.46,299234.84,299643.34,408.50,3.15,0.08,3.15,1.00,485.29,280.07,4.44,60.01,4.63,0.02,4.63,28.67,0.52,28.67,-15.96,-1.21,15.96,110469.69,119356.56,54249.30,4.19,2.44,18.14,6236.52,7566.37,2526.63,212.73,53.56,2193.91,0.01,0.01,0.01,3906.83,3450.22,730.41,115915.16,125768.45,55933.03,214.62,55.42,2195.58,0.98,1.18,1.00,-0.04,0.01,0.11,0.98,1.18,1.00,1.00,1.00,0.99,481.47,488.23,486.30,278.61,279.69,281.97,4.21,4.88,4.22
"2021-02-18 20:30:00",0,0,0,284051.53,284076.31,24.77,16329.55,2460.20,0.04,8087.46,299235.59,299644.09,408.50,2.89,0.12,2.89,1.00,486.00,280.48,4.15,59.95,3.26,0.08,3.26,28.67,0.52,28.67,-15.96,-1.21,15.96,110469.92,119356.84,54249.54,4.19,2.44,18.14,6236.52,7566.38,2526.65,212.73,53.56,2193.91,0.01,0.01,0.01,3906.83,3450.22,730.41,115915.39,125768.74,55933.27,214.62,55.42,2195.58,0.90,1.09,0.90,-0.01,0.04,0.09,0.90,1.09,0.91,1.00,1.00,1.00,482.64,488.39,486.97,278.98,280.26,282.19,3.93,4.54,3.99
"2021-02-18 20:45:00",0,0,0,284052.25,284077.03,24.77,16329.58,2460.20,0.04,8087.47,299236.31,299644.81,408.50,3.14,0.08,3.15,1.00,485.39,280.13,4.44,60.01,2.91,0.10,2.92,28.67,0.52,28.67,-15.96,-1.21,15.96,110470.15,119357.13,54249.77,4.19,2.44,18.14,6236.52,7566.38,2526.67,212.73,53.56,2193.91,0.01,0.01,0.01,3906.84,3450.22,730.41,115915.63,125769.02,55933.50,214.62,55.42,2195.58,0.98,1.18,0.99,-0.03,0.02,0.09,0.98,1.18,0.99,1.00,1.00,1.00,481.85,487.69,486.63,278.78,279.75,281.84,4.21,4.88,4.23
"2021-02-18 21:00:00",0,0,0,284053.22,284078.00,24.77,16329.61,2460.20,0.04,8087.48,299237.31,299645.81,408.50,4.59,0.02,4.59,1.00,485.84,280.38,6.02,59.87,3.26,0.08,3.26,28.67,0.52,28.67,-15.96,-1.21,15.96,110470.45,119357.48,54250.07,4.19,2.44,18.14,6236.52,7566.39,2526.69,212.73,53.56,2193.91,0.01,0.01,0.01,3906.85,3450.22,730.41,115915.92,125769.38,55933.81,214.62,55.42,2195.58,1.43,1.72,1.44,-0.05,0.01,0.06,1.43,1.72,1.44,1.00,1.00,1.00,482.02,488.83,486.66,278.58,280.23,282.33,5.70,6.65,5.69
