time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-19 00:00:00",0,0,0,284063.34,284088.13,24.77,16329.94,2460.20,0.04,8087.57,299247.41,299655.91,408.50,0.72,0.26,0.76,0.94,484.65,279.70,2.28,60.01,1.60,0.19,1.61,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.59,119361.26,54253.26,4.19,2.44,18.14,6236.53,7566.47,2526.94,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.07,125773.16,55937.02,214.62,55.42,2195.58,0.20,0.25,0.26,0.03,0.10,0.13,0.21,0.27,0.29,0.99,0.93,0.90,481.38,487.03,485.54,278.36,279.42,281.32,2.08,2.42,2.32
"2021-02-19 00:15:00",0,0,0,284063.50,284088.28,24.77,16330.01,2460.20,0.04,8087.57,299247.59,299656.09,408.50,0.36,0.29,0.46,0.78,484.21,279.45,2.12,60.00,0.89,0.24,0.92,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.64,119361.31,54253.32,4.19,2.44,18.14,6236.54,7566.49,2526.97,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.11,125773.21,55937.08,214.62,55.42,2195.58,0.09,0.12,0.14,0.04,0.11,0.14,0.10,0.16,0.20,0.91,0.76,0.72,480.98,486.42,485.24,278.20,279.11,281.03,1.94,2.26,2.18
"2021-02-19 00:30:00",0,0,0,284063.66,284088.44,24.77,16330.07,2460.20,0.04,8087.57,299247.78,299656.28,408.50,0.52,0.26,0.58,0.89,484.74,279.75,2.21,60.01,0.51,0.28,0.59,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.69,119361.38,54253.38,4.19,2.44,18.14,6236.55,7566.52,2527.00,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.16,125773.28,55937.15,214.62,55.42,2195.58,0.14,0.18,0.20,0.04,0.10,0.13,0.14,0.20,0.24,0.97,0.88,0.85,481.63,486.66,485.92,278.66,279.34,281.24,2.00,2.34,2.28
"2021-02-19 00:45:00",0,0,0,284063.69,284088.47,24.77,16330.14,2460.20,0.04,8087.57,299247.84,299656.34,408.50,0.02,0.32,0.32,0.05,484.20,279.44,1.51,60.01,0.51,0.26,0.60,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.69,119361.38,54253.39,4.19,2.44,18.14,6236.56,7566.54,2527.04,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.16,125773.31,55937.19,214.62,55.42,2195.58,0.00,0.00,0.01,0.11,0.09,0.13,0.11,0.09,0.13,0.02,0.01,0.10,480.84,486.22,485.43,278.31,278.94,281.00,0.40,2.08,2.04
"2021-02-19 01:00:00",0,0,0,284063.69,284088.47,24.77,16330.24,2460.20,0.04,8087.57,299247.94,299656.44,408.50,0.02,0.42,0.42,0.04,483.63,279.11,0.53,60.02,0.03,0.32,0.33,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.38,54253.39,4.19,2.44,18.14,6236.58,7566.58,2527.08,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.19,125773.34,55937.23,214.62,55.42,2195.58,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.02,480.15,485.94,484.80,277.85,278.72,280.75,0.40,0.58,0.61
"2021-02-19 01:15:00",0,0,0,284063.69,284088.47,24.77,16330.34,2460.20,0.04,8087.57,299248.06,299656.56,408.50,0.02,0.42,0.42,0.04,484.03,279.34,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.39,54253.40,4.19,2.44,18.14,6236.61,7566.61,2527.12,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.22,125773.38,55937.27,214.62,55.42,2195.58,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,480.39,486.44,485.28,278.08,278.87,281.08,0.40,0.58,0.61
"2021-02-19 01:30:00",0,0,0,284063.69,284088.47,24.77,16330.45,2460.20,0.04,8087.57,299248.16,299656.66,408.50,0.02,0.42,0.42,0.05,482.83,278.65,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.39,54253.40,4.19,2.44,18.14,6236.64,7566.65,2527.16,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.24,125773.42,55937.31,214.62,55.42,2195.59,0.00,0.01,0.01,0.10,0.14,0.17,0.10,0.14,0.17,0.03,0.05,0.05,479.12,485.12,484.26,277.60,278.10,280.25,0.39,0.55,0.64
"2021-02-19 01:45:00",0,0,0,284063.72,284088.50,24.77,16330.55,2460.20,0.04,8087.57,299248.25,299656.75,408.50,0.02,0.42,0.42,0.05,483.31,278.92,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.39,54253.40,4.19,2.44,18.14,6236.66,7566.69,2527.20,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.27,125773.46,55937.35,214.62,55.42,2195.59,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.06,0.02,479.58,485.61,484.36,277.53,278.41,280.62,0.39,0.57,0.60
"2021-02-19 02:00:00",0,0,0,284063.72,284088.50,24.77,16330.66,2460.20,0.04,8087.57,299248.38,299656.88,408.50,0.02,0.42,0.42,0.05,484.37,279.54,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.39,54253.40,4.19,2.44,18.14,6236.69,7566.73,2527.24,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.30,125773.50,55937.39,214.62,55.42,2195.59,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.05,480.66,487.08,485.36,278.18,279.20,281.23,0.38,0.56,0.61
"2021-02-19 02:15:00",0,0,0,284063.72,284088.50,24.77,16330.77,2460.20,0.04,8087.57,299248.47,299656.97,408.50,0.02,0.42,0.42,0.04,484.77,279.77,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.40,54253.40,4.19,2.44,18.14,6236.72,7566.77,2527.28,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.33,125773.53,55937.43,214.62,55.42,2195.59,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.04,481.05,487.25,486.00,278.50,279.33,281.47,0.39,0.56,0.61
"2021-02-19 02:30:00",0,0,0,284063.72,284088.50,24.77,16330.87,2460.20,0.04,8087.57,299248.56,299657.06,408.50,0.02,0.42,0.42,0.04,483.90,279.26,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.40,54253.40,4.19,2.44,18.14,6236.74,7566.81,2527.32,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.35,125773.57,55937.48,214.62,55.42,2195.59,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.03,480.17,486.30,485.21,278.03,278.73,281.03,0.39,0.57,0.61
"2021-02-19 02:45:00",0,0,0,284063.72,284088.50,24.77,16330.98,2460.20,0.04,8087.57,299248.66,299657.16,408.50,0.02,0.42,0.43,0.05,484.43,279.57,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.40,54253.41,4.19,2.44,18.14,6236.77,7566.85,2527.36,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.38,125773.62,55937.52,214.62,55.42,2195.59,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.03,480.41,487.02,485.87,278.23,278.96,281.52,0.39,0.57,0.61
"2021-02-19 03:00:00",0,0,0,284063.72,284088.50,24.77,16331.08,2460.20,0.04,8087.57,299248.78,299657.28,408.50,0.02,0.43,0.43,0.04,484.65,279.70,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.40,54253.41,4.19,2.44,18.14,6236.79,7566.88,2527.41,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.41,125773.66,55937.56,214.62,55.42,2195.59,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.16,0.17,0.04,0.05,0.02,481.14,487.29,485.53,278.29,279.45,281.37,0.39,0.57,0.60
"2021-02-19 03:15:00",0,0,0,284063.72,284088.50,24.77,16331.19,2460.20,0.04,8087.57,299248.88,299657.38,408.50,0.03,0.43,0.43,0.06,484.73,279.74,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.41,54253.41,4.19,2.44,18.14,6236.82,7566.92,2527.45,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.43,125773.70,55937.60,214.62,55.42,2195.59,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.07,0.07,0.05,481.30,487.65,485.23,278.29,279.62,281.33,0.38,0.58,0.62
"2021-02-19 03:30:00",0,0,0,284063.72,284088.50,24.77,16331.30,2460.20,0.04,8087.57,299249.00,299657.50,408.50,0.02,0.43,0.43,0.04,485.00,279.90,0.52,59.93,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.41,54253.41,4.19,2.44,18.14,6236.85,7566.96,2527.49,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.45,125773.73,55937.64,214.62,55.42,2195.59,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.03,487.46,486.51,278.61,279.26,281.83,0.39,0.57,0.60
"2021-02-19 03:45:00",0,0,0,284063.75,284088.53,24.77,16331.40,2460.20,0.04,8087.57,299249.13,299657.63,408.50,0.02,0.43,0.43,0.04,486.47,280.75,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.41,54253.41,4.19,2.44,18.14,6236.87,7567.00,2527.53,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.48,125773.77,55937.68,214.62,55.42,2195.59,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.85,489.74,487.41,279.21,280.68,282.70,0.39,0.57,0.61
"2021-02-19 04:00:00",0,0,0,284063.75,284088.53,24.77,16331.51,2460.20,0.04,8087.57,299249.22,299657.72,408.50,0.02,0.43,0.43,0.04,485.78,280.35,0.52,60.00,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.41,54253.41,4.19,2.44,18.14,6236.90,7567.04,2527.57,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.51,125773.80,55937.72,214.62,55.42,2195.59,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.06,0.02,481.96,488.15,487.23,279.08,279.76,282.22,0.39,0.57,0.60
"2021-02-19 04:15:00",0,0,0,284063.75,284088.53,24.77,16331.62,2460.20,0.04,8087.57,299249.34,299657.84,408.50,0.02,0.43,0.43,0.04,486.25,280.62,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.70,119361.41,54253.41,4.19,2.44,18.14,6236.93,7567.08,2527.61,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.53,125773.84,55937.77,214.62,55.42,2195.59,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.06,0.03,482.63,488.76,487.37,279.31,280.22,282.35,0.39,0.57,0.61
"2021-02-19 04:30:00",0,0,0,284063.75,284088.53,24.77,16331.72,2460.20,0.04,8087.57,299249.44,299657.94,408.50,0.01,0.43,0.43,0.03,487.25,281.20,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.71,119361.41,54253.41,4.19,2.44,18.14,6236.95,7567.12,2527.66,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115919.55,125773.88,55937.81,214.62,55.42,2195.59,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.02,0.05,0.01,483.63,489.86,488.27,279.73,280.88,282.99,0.41,0.58,0.59
