time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-19 10:30:00",0,0,0,284063.84,284088.63,24.77,16334.31,2460.20,0.04,8087.57,299252.03,299660.53,408.50,0.02,0.43,0.43,0.04,485.94,280.45,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.73,119361.46,54253.44,4.19,2.44,18.14,6237.59,7568.05,2528.66,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.20,125774.82,55938.82,214.62,55.42,2195.59,0.01,0.01,0.01,0.10,0.15,0.17,0.11,0.15,0.17,0.05,0.06,0.04,482.79,488.05,487.19,279.41,280.00,282.05,0.39,0.57,0.61
"2021-02-19 10:45:00",0,0,0,284063.88,284088.66,24.77,16334.42,2460.20,0.04,8087.57,299252.13,299660.63,408.50,0.02,0.43,0.43,0.04,486.37,280.69,0.52,59.91,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.73,119361.46,54253.45,4.19,2.44,18.14,6237.62,7568.09,2528.70,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.23,125774.86,55938.86,214.62,55.42,2195.59,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,483.08,488.82,487.21,279.35,280.40,282.32,0.39,0.57,0.61
"2021-02-19 11:00:00",0,0,0,284063.88,284088.66,24.77,16334.52,2460.20,0.04,8087.57,299252.22,299660.72,408.50,0.02,0.43,0.43,0.05,485.71,280.31,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.73,119361.47,54253.45,4.19,2.44,18.14,6237.65,7568.13,2528.74,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.25,125774.90,55938.90,214.62,55.42,2195.59,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.16,0.17,0.07,0.06,0.04,482.68,488.35,486.09,278.93,280.17,281.82,0.38,0.57,0.62
"2021-02-19 11:15:00",0,0,0,284063.88,284088.66,24.77,16334.63,2460.21,0.04,8087.57,299252.34,299660.84,408.50,0.02,0.43,0.43,0.04,485.25,280.04,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.73,119361.47,54253.45,4.19,2.44,18.14,6237.67,7568.17,2528.78,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.28,125774.95,55938.94,214.62,55.42,2195.59,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.05,0.05,0.03,482.13,487.51,486.11,278.82,279.75,281.56,0.39,0.57,0.61
"2021-02-19 11:30:00",0,0,0,284063.88,284088.66,24.77,16334.73,2460.21,0.04,8087.57,299252.44,299660.94,408.50,0.02,0.43,0.43,0.04,485.53,280.21,0.52,60.03,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.74,119361.47,54253.45,4.19,2.44,18.14,6237.70,7568.21,2528.83,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.31,125774.98,55938.98,214.62,55.42,2195.59,0.00,0.01,0.01,0.10,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,482.46,488.04,486.10,278.86,280.08,281.69,0.39,0.57,0.61
"2021-02-19 11:45:00",0,0,0,284063.88,284088.66,24.77,16334.84,2460.21,0.04,8087.57,299252.53,299661.03,408.50,0.02,0.43,0.43,0.04,484.46,279.59,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.74,119361.47,54253.45,4.19,2.44,18.14,6237.72,7568.25,2528.87,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.34,125775.02,55939.02,214.62,55.42,2195.59,0.00,0.01,0.00,0.10,0.15,0.17,0.10,0.16,0.17,0.05,0.05,0.03,480.86,486.59,484.86,278.03,279.12,280.99,0.39,0.58,0.61
"2021-02-19 12:00:00",0,0,0,284063.88,284088.66,24.77,16334.94,2460.21,0.04,8087.57,299252.66,299661.16,408.50,0.00,0.43,0.43,0.01,484.12,279.39,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.74,119361.48,54253.45,4.19,2.44,18.14,6237.75,7568.29,2528.91,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.36,125775.05,55939.06,214.62,55.42,2195.59,-0.00,0.01,-0.00,0.11,0.16,0.16,0.11,0.16,0.16,-0.03,0.04,-0.00,481.02,486.21,485.14,278.10,279.22,280.87,0.41,0.59,0.59
"2021-02-19 12:15:00",0,0,0,284063.88,284088.66,24.77,16335.05,2460.21,0.04,8087.57,299252.75,299661.25,408.50,0.02,0.43,0.43,0.05,483.61,279.09,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.74,119361.48,54253.45,4.19,2.44,18.14,6237.77,7568.33,2528.95,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.38,125775.09,55939.10,214.62,55.42,2195.59,0.01,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.06,0.05,0.03,480.50,486.17,484.15,277.67,278.88,280.74,0.39,0.59,0.61
"2021-02-19 12:30:00",0,0,0,284063.91,284088.69,24.77,16335.15,2460.21,0.04,8087.57,299252.84,299661.34,408.50,0.02,0.42,0.42,0.04,482.45,278.43,0.53,59.93,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.74,119361.48,54253.45,4.19,2.44,18.14,6237.80,7568.36,2528.99,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.41,125775.13,55939.14,214.62,55.42,2195.59,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,479.06,484.69,483.60,277.24,278.03,280.01,0.40,0.58,0.61
"2021-02-19 12:45:00",0,0,0,284063.91,284088.69,24.77,16335.26,2460.21,0.04,8087.57,299253.00,299661.50,408.50,0.02,0.42,0.42,0.04,482.05,278.20,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110473.74,119361.48,54253.45,4.19,2.44,18.14,6237.83,7568.40,2529.03,212.73,53.56,2193.91,0.01,0.01,0.01,3906.93,3450.22,730.41,115920.44,125775.17,55939.18,214.62,55.42,2195.59,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,478.83,484.79,482.54,276.74,278.17,279.68,0.39,0.58,0.61
