time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-20 18:45:00",0,0,0,284131.09,284155.88,24.77,16343.81,2460.23,0.04,8089.27,299327.16,299735.66,408.51,21.64,-1.02,21.66,1.00,487.83,281.54,26.52,60.01,20.39,-0.96,20.41,28.67,0.52,28.67,-15.96,-1.21,15.96,110494.40,119386.55,54274.95,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3907.80,3450.82,730.65,115942.79,125802.74,55963.48,214.63,55.42,2195.60,6.85,8.07,6.71,-0.40,-0.39,-0.23,6.86,8.08,6.72,1.00,1.00,1.00,484.69,490.57,488.24,279.82,281.95,282.84,25.37,29.48,24.71
"2021-02-20 19:00:00",0,0,0,284136.44,284161.22,24.77,16343.81,2460.23,0.04,8089.53,299332.50,299741.00,408.51,21.11,-1.02,21.13,1.00,488.04,281.65,25.90,60.02,21.23,-1.01,21.25,28.67,0.52,28.67,-15.96,-1.21,15.96,110496.09,119388.55,54276.58,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3907.91,3450.92,730.70,115944.48,125804.75,55965.10,214.63,55.42,2195.60,6.71,7.91,6.49,-0.41,-0.39,-0.23,6.72,7.92,6.49,1.00,1.00,1.00,484.71,490.99,488.40,279.64,282.10,283.22,24.91,28.87,23.92
"2021-02-20 19:15:00",0,0,0,284141.53,284166.31,24.77,16343.81,2460.23,0.04,8089.78,299337.63,299746.13,408.51,18.25,-0.91,18.27,1.00,487.35,281.26,22.60,60.01,21.17,-1.02,21.19,28.67,0.52,28.67,-15.96,-1.21,15.96,110497.73,119390.48,54278.13,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3908.01,3451.01,730.76,115946.13,125806.69,55966.66,214.63,55.42,2195.60,5.86,6.93,5.58,-0.37,-0.35,-0.19,5.87,6.94,5.59,1.00,1.00,1.00,483.76,489.87,488.44,279.55,281.39,282.85,21.81,25.31,20.69
"2021-02-20 19:30:00",0,0,0,284145.53,284170.31,24.77,16343.81,2460.23,0.04,8089.97,299341.59,299750.09,408.51,6.18,-0.04,6.18,1.00,486.04,280.50,7.66,60.02,19.89,-0.98,19.91,28.67,0.52,28.67,-15.96,-1.21,15.96,110498.98,119391.95,54279.38,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3908.09,3451.08,730.80,115947.38,125808.15,55967.90,214.63,55.42,2195.60,1.94,2.31,1.93,-0.05,-0.01,0.03,1.94,2.31,1.93,1.00,1.00,1.00,482.80,488.78,486.56,278.82,280.73,281.96,7.30,8.46,7.24
"2021-02-20 19:45:00",0,0,0,284147.94,284172.72,24.77,16343.81,2460.23,0.04,8090.05,299344.03,299752.53,408.51,20.85,-1.01,20.87,1.00,488.29,281.80,25.64,60.00,10.01,-0.36,10.02,28.67,0.52,28.67,-15.96,-1.21,15.96,110499.76,119392.83,54280.14,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3908.13,3451.11,730.81,115948.16,125809.04,55968.67,214.63,55.42,2195.60,6.68,7.53,6.64,-0.42,-0.36,-0.24,6.69,7.54,6.64,1.00,1.00,1.00,484.68,491.30,488.89,279.83,282.02,283.55,24.83,27.59,24.48
"2021-02-20 20:00:00",0,0,0,284153.13,284177.91,24.77,16343.81,2460.23,0.04,8090.31,299349.19,299757.69,408.51,18.00,-0.92,18.02,1.00,488.47,281.91,22.32,60.01,16.27,-0.74,16.29,28.67,0.52,28.67,-15.96,-1.21,15.96,110501.39,119394.75,54281.75,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3908.23,3451.20,730.87,115949.80,125810.96,55970.27,214.63,55.42,2195.60,5.69,6.74,5.56,-0.36,-0.34,-0.21,5.71,6.75,5.57,1.00,1.00,1.00,485.03,491.03,489.36,280.03,282.13,283.56,21.35,24.81,20.80
"2021-02-20 20:15:00",0,0,0,284157.34,284182.13,24.77,16343.81,2460.23,0.04,8090.52,299353.41,299761.91,408.51,17.02,-0.88,17.05,1.00,488.62,281.99,21.19,60.01,18.83,-0.95,18.85,28.67,0.52,28.67,-15.96,-1.21,15.96,110502.71,119396.36,54283.05,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3908.31,3451.29,730.92,115951.12,125812.56,55971.58,214.63,55.42,2195.60,5.52,6.41,5.03,-0.37,-0.33,-0.18,5.53,6.42,5.03,1.00,1.00,1.00,485.25,491.22,489.40,280.31,282.24,283.42,20.85,23.76,18.97
"2021-02-20 20:30:00",0,0,0,284161.91,284186.69,24.77,16343.81,2460.23,0.04,8090.74,299358.00,299766.50,408.51,12.81,-0.60,12.83,1.00,487.87,281.55,16.03,59.98,15.45,-0.77,15.47,28.67,0.52,28.67,-15.96,-1.21,15.96,110504.18,119398.09,54284.43,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3908.41,3451.37,730.97,115952.59,125814.30,55972.96,214.63,55.42,2195.60,4.09,4.80,3.92,-0.23,-0.26,-0.11,4.10,4.81,3.92,1.00,1.00,1.00,484.39,490.81,488.39,279.66,281.81,283.20,15.33,18.10,14.65
"2021-02-20 20:45:00",0,0,0,284165.81,284190.59,24.77,16343.81,2460.23,0.04,8090.93,299361.91,299770.41,408.51,7.60,-0.18,7.60,1.00,487.01,281.06,9.50,60.05,21.79,-1.07,21.82,28.67,0.52,28.67,-15.96,-1.21,15.96,110505.42,119399.55,54285.64,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3908.48,3451.44,731.00,115953.84,125815.77,55974.17,214.63,55.42,2195.60,2.40,2.82,2.37,-0.09,-0.10,0.01,2.40,2.82,2.37,1.00,1.00,1.00,483.55,489.96,487.52,279.29,281.17,282.72,8.94,10.77,8.79
"2021-02-20 21:00:00",0,0,0,284170.13,284194.91,24.77,16343.82,2460.23,0.04,8091.13,299366.19,299774.69,408.51,22.83,-1.14,22.86,1.00,488.85,282.12,28.01,60.01,10.54,-0.44,10.55,28.67,0.52,28.67,-15.96,-1.21,15.96,110506.78,119401.14,54286.97,4.19,2.44,18.14,6239.67,7571.45,2532.69,212.74,53.56,2193.92,0.01,0.01,0.01,3908.56,3451.52,731.05,115955.20,125817.35,55975.50,214.63,55.42,2195.60,7.19,8.50,7.14,-0.44,-0.44,-0.26,7.21,8.51,7.14,1.00,1.00,1.00,485.68,491.60,489.28,280.35,282.48,283.54,26.70,31.06,26.27
