time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-21 01:30:00",0,0,0,284207.78,284232.56,24.77,16344.28,2460.23,0.04,8092.73,299404.16,299812.66,408.51,0.02,0.43,0.43,0.06,484.74,279.75,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.20,54298.74,4.19,2.44,18.14,6239.74,7571.63,2532.91,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.11,125831.53,55987.38,214.63,55.42,2195.60,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.07,0.06,0.04,481.84,487.13,485.25,278.47,279.68,281.10,0.38,0.58,0.62
"2021-02-21 01:45:00",0,0,0,284207.78,284232.56,24.77,16344.39,2460.23,0.04,8092.73,299404.28,299812.78,408.51,0.02,0.43,0.43,0.04,485.38,280.12,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.20,54298.74,4.19,2.44,18.14,6239.77,7571.67,2532.95,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.13,125831.56,55987.42,214.63,55.42,2195.60,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.56,488.03,486.54,278.62,279.79,281.94,0.39,0.57,0.61
"2021-02-21 02:00:00",0,0,0,284207.78,284232.56,24.77,16344.49,2460.23,0.04,8092.73,299404.38,299812.88,408.51,0.02,0.43,0.43,0.04,484.65,279.70,0.52,60.00,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.21,54298.74,4.19,2.44,18.14,6239.80,7571.71,2532.99,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.16,125831.61,55987.46,214.63,55.42,2195.60,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.05,0.05,0.03,481.14,486.89,485.93,278.44,279.28,281.37,0.39,0.57,0.61
"2021-02-21 02:15:00",0,0,0,284207.81,284232.59,24.77,16344.60,2460.23,0.04,8092.73,299404.47,299812.97,408.51,0.02,0.43,0.43,0.04,485.41,280.14,0.52,59.93,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.21,54298.75,4.19,2.44,18.14,6239.82,7571.75,2533.03,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.19,125831.65,55987.51,214.63,55.42,2195.60,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,481.72,488.24,486.26,278.53,280.00,281.88,0.39,0.57,0.61
"2021-02-21 02:30:00",0,0,0,284207.81,284232.59,24.77,16344.71,2460.23,0.04,8092.73,299404.59,299813.09,408.51,0.02,0.43,0.43,0.04,485.92,280.43,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.21,54298.75,4.19,2.44,18.14,6239.85,7571.79,2533.07,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.21,125831.69,55987.55,214.63,55.42,2195.60,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,482.48,488.77,486.51,278.84,280.43,282.03,0.39,0.57,0.61
"2021-02-21 02:45:00",0,0,0,284207.81,284232.59,24.77,16344.81,2460.23,0.04,8092.73,299404.69,299813.19,408.51,0.02,0.43,0.43,0.04,485.97,280.46,0.53,59.88,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.21,54298.75,4.19,2.44,18.14,6239.88,7571.82,2533.11,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.23,125831.73,55987.59,214.63,55.42,2195.60,0.01,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,482.61,488.52,486.78,279.04,280.22,282.13,0.39,0.58,0.61
"2021-02-21 03:00:00",0,0,0,284207.81,284232.59,24.77,16344.92,2460.23,0.04,8092.73,299404.78,299813.28,408.51,0.02,0.43,0.43,0.06,485.44,280.15,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.22,54298.75,4.19,2.44,18.14,6239.90,7571.86,2533.15,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.27,125831.77,55987.63,214.63,55.42,2195.60,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.16,0.17,0.08,0.06,0.04,482.49,487.84,485.98,278.92,279.95,281.59,0.37,0.59,0.63
"2021-02-21 03:15:00",0,0,0,284207.81,284232.59,24.77,16345.03,2460.23,0.04,8092.73,299404.94,299813.44,408.51,0.02,0.42,0.42,0.05,486.19,280.59,0.52,60.05,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.22,54298.75,4.19,2.44,18.14,6239.93,7571.90,2533.20,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.30,125831.80,55987.67,214.63,55.42,2195.60,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.06,0.05,483.03,488.66,486.88,279.31,280.39,282.06,0.38,0.56,0.62
"2021-02-21 03:30:00",0,0,0,284207.81,284232.59,24.77,16345.13,2460.23,0.04,8092.73,299405.03,299813.53,408.51,0.02,0.43,0.43,0.05,486.32,280.66,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.22,54298.75,4.19,2.44,18.14,6239.95,7571.94,2533.24,212.74,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.32,125831.84,55987.71,214.63,55.42,2195.60,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.04,482.87,488.70,487.38,279.42,280.27,282.29,0.39,0.57,0.62
"2021-02-21 03:45:00",0,0,0,284207.81,284232.59,24.77,16345.24,2460.23,0.04,8092.73,299405.13,299813.63,408.51,0.02,0.43,0.43,0.04,486.35,280.68,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.22,54298.75,4.19,2.44,18.14,6239.98,7571.98,2533.28,212.75,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.34,125831.88,55987.75,214.63,55.42,2195.60,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,482.74,488.91,487.41,279.27,280.31,282.47,0.39,0.57,0.61
"2021-02-21 04:00:00",0,0,0,284207.84,284232.63,24.77,16345.35,2460.23,0.04,8092.73,299405.25,299813.75,408.51,0.02,0.43,0.43,0.05,486.52,280.78,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.63,119415.23,54298.75,4.19,2.44,18.14,6240.01,7572.02,2533.32,212.75,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.38,125831.92,55987.79,214.63,55.42,2195.60,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.05,483.53,489.03,487.00,279.52,280.71,282.11,0.38,0.56,0.63
"2021-02-21 04:15:00",0,0,0,284207.84,284232.63,24.77,16345.45,2460.23,0.04,8092.73,299405.34,299813.84,408.51,0.02,0.43,0.43,0.05,486.86,280.97,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.64,119415.23,54298.75,4.19,2.44,18.14,6240.03,7572.06,2533.36,212.75,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.40,125831.96,55987.84,214.63,55.42,2195.60,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.08,0.03,0.05,483.56,489.26,487.77,279.71,280.52,282.69,0.38,0.58,0.63
"2021-02-21 04:30:00",0,0,0,284207.84,284232.63,24.77,16345.56,2460.23,0.04,8092.73,299405.44,299813.94,408.51,0.02,0.43,0.43,0.04,487.01,281.06,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.64,119415.23,54298.76,4.19,2.44,18.14,6240.06,7572.10,2533.40,212.75,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.42,125832.00,55987.88,214.63,55.42,2195.60,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,484.02,489.01,488.02,279.97,280.71,282.51,0.39,0.57,0.61
"2021-02-21 04:45:00",0,0,0,284207.84,284232.63,24.77,16345.67,2460.23,0.04,8092.73,299405.56,299814.06,408.51,0.02,0.43,0.43,0.04,488.02,281.64,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.64,119415.23,54298.76,4.19,2.44,18.14,6240.09,7572.14,2533.45,212.75,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.45,125832.04,55987.92,214.63,55.42,2195.60,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.03,484.63,490.38,489.04,280.42,281.32,283.18,0.38,0.56,0.61
"2021-02-21 05:00:00",0,0,0,284207.84,284232.63,24.77,16345.77,2460.23,0.04,8092.73,299405.66,299814.16,408.51,0.02,0.43,0.43,0.06,487.86,281.55,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110518.64,119415.23,54298.76,4.19,2.44,18.14,6240.11,7572.17,2533.49,212.75,53.56,2193.93,0.01,0.01,0.01,3909.25,3452.12,731.36,115967.48,125832.08,55987.96,214.63,55.42,2195.60,0.00,0.01,0.01,0.11,0.15,0.17,0.10,0.16,0.17,0.07,0.06,0.04,484.93,490.00,488.65,280.42,281.27,282.96,0.38,0.57,0.62
