time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-21 18:45:00",0,0,0,284221.97,284246.75,24.77,16350.65,2460.24,0.04,8093.04,299424.13,299832.63,408.51,4.61,0.04,4.61,1.00,486.20,280.59,5.91,60.01,3.84,0.08,3.84,28.67,0.52,28.67,-15.96,-1.21,15.96,110523.10,119420.51,54303.18,4.19,2.44,18.14,6241.23,7573.96,2535.45,212.75,53.56,2193.93,0.01,0.01,0.01,3909.41,3452.22,731.41,115972.99,125838.90,55994.09,214.63,55.42,2195.61,1.43,1.73,1.44,-0.03,0.03,0.05,1.43,1.73,1.45,1.00,1.00,1.00,482.34,489.13,487.12,278.83,280.38,282.56,5.55,6.58,5.60
"2021-02-21 19:00:00",0,0,0,284223.13,284247.91,24.77,16350.67,2460.24,0.04,8093.05,299425.25,299833.75,408.51,4.67,0.02,4.67,1.00,486.16,280.57,5.98,60.01,4.38,0.05,4.38,28.67,0.52,28.67,-15.96,-1.21,15.96,110523.45,119420.94,54303.53,4.19,2.44,18.14,6241.23,7573.97,2535.47,212.75,53.56,2193.93,0.01,0.01,0.01,3909.42,3452.22,731.41,115973.34,125839.33,55994.45,214.63,55.42,2195.61,1.45,1.74,1.47,-0.04,-0.00,0.07,1.45,1.74,1.47,1.00,1.00,1.00,482.70,489.29,486.50,278.90,280.54,282.28,5.63,6.64,5.66
"2021-02-21 19:15:00",0,0,0,284224.31,284249.09,24.77,16350.69,2460.24,0.04,8093.06,299426.44,299834.94,408.51,4.75,0.04,4.74,1.00,486.16,280.57,6.05,60.01,4.58,0.04,4.58,28.67,0.52,28.67,-15.96,-1.21,15.96,110523.82,119421.38,54303.90,4.19,2.44,18.14,6241.23,7573.97,2535.48,212.75,53.56,2193.93,0.01,0.01,0.01,3909.43,3452.22,731.41,115973.71,125839.77,55994.82,214.63,55.42,2195.61,1.48,1.79,1.48,-0.03,0.03,0.04,1.49,1.79,1.48,1.00,1.00,1.00,482.76,488.43,487.62,279.20,280.31,282.39,5.71,6.75,5.72
"2021-02-21 19:30:00",0,0,0,284225.84,284250.63,24.77,16350.70,2460.24,0.04,8093.08,299428.00,299836.50,408.51,7.61,-0.16,7.61,1.00,487.01,281.06,9.54,60.02,4.89,0.02,4.89,28.67,0.52,28.67,-15.96,-1.21,15.96,110524.31,119421.96,54304.39,4.19,2.44,18.14,6241.23,7573.97,2535.49,212.75,53.56,2193.93,0.01,0.01,0.01,3909.45,3452.23,731.41,115974.20,125840.34,55995.30,214.63,55.42,2195.61,2.38,2.84,2.39,-0.08,-0.09,0.01,2.39,2.84,2.39,1.00,1.00,1.00,483.54,489.32,488.15,279.46,280.76,282.95,8.86,10.92,8.84
"2021-02-21 19:45:00",0,0,0,284227.44,284252.22,24.77,16350.70,2460.24,0.04,8093.11,299429.56,299838.06,408.51,5.84,-0.03,5.84,1.00,486.78,280.93,7.32,60.01,6.88,-0.10,6.88,28.67,0.52,28.67,-15.96,-1.21,15.96,110524.80,119422.54,54304.88,4.19,2.44,18.14,6241.23,7573.97,2535.50,212.75,53.56,2193.93,0.01,0.01,0.01,3909.46,3452.24,731.41,115974.69,125840.93,55995.79,214.63,55.42,2195.61,1.82,2.19,1.83,-0.06,-0.00,0.03,1.82,2.19,1.83,1.00,1.00,1.00,483.12,489.27,487.96,279.41,280.64,282.74,6.90,8.17,6.90
"2021-02-21 20:00:00",0,0,0,284228.69,284253.47,24.77,16350.72,2460.24,0.04,8093.12,299430.81,299839.31,408.51,4.10,0.05,4.10,1.00,487.20,281.17,5.34,59.98,5.80,-0.02,5.80,28.67,0.52,28.67,-15.96,-1.21,15.96,110525.19,119423.02,54305.27,4.19,2.44,18.14,6241.23,7573.98,2535.51,212.75,53.56,2193.93,0.01,0.01,0.01,3909.48,3452.24,731.41,115975.09,125841.40,55996.19,214.63,55.42,2195.61,1.28,1.54,1.28,-0.03,0.03,0.06,1.28,1.54,1.28,1.00,1.00,1.00,483.34,489.82,488.78,279.70,280.73,283.28,5.04,5.92,5.06
"2021-02-21 20:15:00",0,0,0,284229.50,284254.28,24.77,16350.75,2460.24,0.04,8093.12,299431.66,299840.16,408.51,2.93,0.11,2.94,1.00,485.94,280.44,4.04,60.01,4.20,0.05,4.20,28.67,0.52,28.67,-15.96,-1.21,15.96,110525.45,119423.33,54305.54,4.19,2.44,18.14,6241.23,7573.99,2535.53,212.75,53.56,2193.93,0.01,0.01,0.01,3909.48,3452.24,731.41,115975.34,125841.72,55996.45,214.63,55.42,2195.61,0.91,1.10,0.92,-0.01,0.05,0.08,0.91,1.10,0.92,1.00,1.00,1.00,482.64,488.79,486.41,278.74,280.56,282.05,3.80,4.45,3.89
"2021-02-21 20:30:00",0,0,0,284230.25,284255.03,24.77,16350.78,2460.24,0.04,8093.13,299432.34,299840.84,408.51,2.66,0.13,2.66,1.00,487.35,281.26,3.79,60.02,3.01,0.11,3.01,28.67,0.52,28.67,-15.96,-1.21,15.96,110525.67,119423.59,54305.75,4.19,2.44,18.14,6241.23,7574.00,2535.55,212.75,53.56,2193.93,0.01,0.01,0.01,3909.48,3452.24,731.41,115975.56,125841.98,55996.67,214.63,55.42,2195.61,0.83,1.00,0.83,-0.00,0.06,0.07,0.83,1.00,0.84,1.00,1.00,1.00,483.64,489.55,488.87,279.79,280.92,283.07,3.56,4.14,3.69
"2021-02-21 20:45:00",0,0,0,284230.81,284255.59,24.77,16350.82,2460.24,0.04,8093.13,299432.97,299841.47,408.51,2.58,0.13,2.58,1.00,487.28,281.22,3.68,59.96,2.66,0.13,2.66,28.67,0.52,28.67,-15.96,-1.21,15.96,110525.85,119423.81,54305.94,4.19,2.44,18.14,6241.23,7574.02,2535.57,212.75,53.56,2193.93,0.01,0.01,0.01,3909.48,3452.24,731.41,115975.75,125842.20,55996.86,214.63,55.42,2195.61,0.81,0.97,0.80,-0.01,0.05,0.09,0.81,0.97,0.81,1.00,1.00,0.99,483.25,489.99,488.60,279.61,280.79,283.24,3.49,4.02,3.54
"2021-02-21 21:00:00",0,0,0,284231.44,284256.22,24.77,16350.85,2460.24,0.04,8093.13,299433.56,299842.06,408.51,2.00,0.18,2.01,1.00,486.61,280.83,3.10,60.01,2.38,0.14,2.38,28.67,0.52,28.67,-15.96,-1.21,15.96,110526.05,119424.04,54306.13,4.19,2.44,18.14,6241.24,7574.03,2535.59,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115975.93,125842.43,55997.05,214.63,55.42,2195.61,0.62,0.76,0.63,0.00,0.07,0.09,0.62,0.76,0.64,1.00,1.00,0.99,482.91,489.54,487.39,278.95,280.72,282.81,2.91,3.35,3.03
"2021-02-21 21:15:00",0,0,0,284231.88,284256.66,24.77,16350.90,2460.24,0.04,8093.13,299434.00,299842.50,408.51,1.84,0.18,1.85,1.00,485.93,280.44,2.96,60.01,2.16,0.16,2.16,28.67,0.52,28.67,-15.96,-1.21,15.96,110526.19,119424.21,54306.27,4.19,2.44,18.14,6241.24,7574.05,2535.61,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115976.08,125842.61,55997.20,214.63,55.42,2195.61,0.57,0.70,0.58,0.01,0.09,0.09,0.57,0.70,0.59,1.00,0.99,0.99,482.24,488.35,487.37,278.86,280.12,282.43,2.79,3.19,2.92
"2021-02-21 21:30:00",0,0,0,284232.34,284257.13,24.77,16350.94,2460.24,0.04,8093.13,299434.50,299843.00,408.51,2.08,0.16,2.08,1.00,485.93,280.44,3.17,60.02,1.82,0.18,1.83,28.67,0.52,28.67,-15.96,-1.21,15.96,110526.34,119424.39,54306.42,4.19,2.44,18.14,6241.24,7574.07,2535.63,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115976.22,125842.78,55997.34,214.63,55.42,2195.61,0.65,0.78,0.65,0.01,0.08,0.08,0.65,0.78,0.65,1.00,1.00,0.99,482.28,488.26,487.25,278.84,280.17,282.30,2.98,3.44,3.10
"2021-02-21 21:45:00",0,0,0,284232.81,284257.59,24.77,16350.99,2460.24,0.04,8093.13,299434.94,299843.44,408.51,1.58,0.19,1.59,0.99,485.93,280.44,2.74,60.01,1.91,0.18,1.91,28.67,0.52,28.67,-15.96,-1.21,15.96,110526.47,119424.55,54306.56,4.19,2.44,18.14,6241.24,7574.09,2535.66,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115976.37,125842.95,55997.49,214.63,55.42,2195.61,0.49,0.60,0.50,0.01,0.08,0.10,0.49,0.60,0.50,1.00,0.99,0.98,482.52,488.61,486.66,278.87,280.34,282.09,2.58,2.96,2.69
"2021-02-21 22:00:00",0,0,0,284233.22,284258.00,24.77,16351.04,2460.24,0.04,8093.13,299435.34,299843.84,408.51,1.47,0.22,1.48,0.99,486.30,280.65,2.68,60.02,1.66,0.19,1.67,28.67,0.52,28.67,-15.96,-1.21,15.96,110526.59,119424.71,54306.69,4.19,2.44,18.14,6241.25,7574.11,2535.68,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115976.48,125843.11,55997.61,214.63,55.42,2195.61,0.46,0.56,0.46,0.01,0.09,0.11,0.46,0.56,0.47,1.00,0.99,0.98,482.68,488.80,487.41,279.06,280.40,282.49,2.53,2.86,2.65
"2021-02-21 22:15:00",0,0,0,284233.56,284258.34,24.77,16351.09,2460.24,0.04,8093.13,299435.72,299844.22,408.51,1.46,0.20,1.48,0.99,486.94,281.02,2.65,60.00,1.50,0.21,1.52,28.67,0.52,28.67,-15.96,-1.21,15.96,110526.71,119424.84,54306.80,4.19,2.44,18.14,6241.25,7574.13,2535.71,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115976.59,125843.24,55997.73,214.63,55.42,2195.61,0.45,0.55,0.46,0.02,0.08,0.10,0.45,0.56,0.47,1.00,0.99,0.98,483.50,489.04,488.29,279.75,280.59,282.73,2.48,2.84,2.63
