time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-22 00:45:00",0,0,0,284235.47,284260.25,24.77,16351.79,2460.24,0.04,8093.13,299437.81,299846.31,408.51,0.02,0.42,0.43,0.05,485.36,280.11,0.52,60.01,0.04,0.35,0.35,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.55,54307.38,4.19,2.44,18.14,6241.36,7574.42,2536.02,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.21,125844.05,55998.43,214.63,55.42,2195.61,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.05,0.04,481.86,487.82,486.40,278.74,279.79,281.80,0.38,0.57,0.62
"2021-02-22 01:00:00",0,0,0,284235.47,284260.25,24.77,16351.90,2460.24,0.04,8093.13,299437.91,299846.41,408.51,0.02,0.42,0.42,0.04,484.19,279.43,0.52,60.00,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.56,54307.38,4.19,2.44,18.14,6241.38,7574.46,2536.06,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.24,125844.09,55998.48,214.63,55.42,2195.61,0.00,0.01,0.01,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,481.15,485.69,485.73,278.55,278.90,280.84,0.39,0.57,0.60
"2021-02-22 01:15:00",0,0,0,284235.47,284260.25,24.77,16352.00,2460.24,0.04,8093.13,299438.03,299846.53,408.51,0.02,0.42,0.42,0.05,484.39,279.55,0.52,59.88,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.56,54307.39,4.19,2.44,18.14,6241.41,7574.49,2536.10,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.27,125844.13,55998.52,214.63,55.42,2195.61,0.00,0.01,0.01,0.10,0.16,0.16,0.10,0.16,0.16,0.05,0.06,0.03,481.55,486.29,485.32,278.45,279.33,280.86,0.39,0.57,0.61
"2021-02-22 01:30:00",0,0,0,284235.47,284260.25,24.77,16352.11,2460.25,0.04,8093.13,299438.13,299846.63,408.51,0.01,0.43,0.43,0.03,484.05,279.35,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.56,54307.39,4.19,2.44,18.14,6241.43,7574.53,2536.14,212.75,53.56,2193.93,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.30,125844.17,55998.55,214.63,55.42,2195.61,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.04,0.02,480.71,486.00,485.45,278.10,278.97,280.99,0.41,0.58,0.59
"2021-02-22 01:45:00",0,0,0,284235.47,284260.25,24.77,16352.21,2460.25,0.04,8093.13,299438.22,299846.72,408.51,0.01,0.43,0.43,0.03,484.37,279.53,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.56,54307.39,4.19,2.44,18.14,6241.46,7574.57,2536.18,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.32,125844.21,55998.59,214.64,55.42,2195.61,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.02,0.05,0.02,481.14,486.17,485.79,278.37,279.17,281.06,0.41,0.58,0.58
"2021-02-22 02:00:00",0,0,0,284235.47,284260.25,24.77,16352.32,2460.25,0.04,8093.13,299438.38,299846.88,408.51,0.01,0.43,0.43,0.02,484.58,279.66,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.57,54307.39,4.19,2.44,18.14,6241.49,7574.61,2536.22,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.35,125844.24,55998.64,214.64,55.42,2195.61,0.00,0.01,0.00,0.11,0.16,0.15,0.11,0.16,0.15,0.03,0.05,0.00,481.21,486.03,485.97,278.42,279.13,281.11,0.42,0.57,0.57
"2021-02-22 02:15:00",0,0,0,284235.50,284260.28,24.77,16352.42,2460.25,0.04,8093.13,299438.47,299846.97,408.51,0.03,0.42,0.42,0.06,483.76,279.18,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.57,54307.39,4.19,2.44,18.14,6241.51,7574.65,2536.26,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.38,125844.29,55998.68,214.64,55.42,2195.61,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.07,0.07,0.05,480.53,485.89,484.86,278.05,278.76,280.74,0.38,0.57,0.63
"2021-02-22 02:30:00",0,0,0,284235.50,284260.28,24.77,16352.53,2460.25,0.04,8093.13,299438.56,299847.06,408.51,0.01,0.43,0.43,0.03,484.46,279.59,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.57,54307.39,4.19,2.44,18.14,6241.54,7574.69,2536.30,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.40,125844.33,55998.72,214.64,55.42,2195.61,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.05,0.02,481.28,486.66,485.42,278.17,279.44,281.14,0.41,0.59,0.59
"2021-02-22 02:45:00",0,0,0,284235.50,284260.28,24.77,16352.63,2460.25,0.04,8093.13,299438.69,299847.19,408.51,0.01,0.42,0.42,0.03,484.78,279.77,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.57,54307.39,4.19,2.44,18.14,6241.56,7574.73,2536.34,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.42,125844.37,55998.76,214.64,55.42,2195.61,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.02,0.04,0.02,481.17,487.15,486.02,278.40,279.54,281.37,0.39,0.56,0.60
"2021-02-22 03:00:00",0,0,0,284235.50,284260.28,24.77,16352.74,2460.25,0.04,8093.13,299438.78,299847.28,408.51,0.03,0.42,0.43,0.06,484.76,279.76,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.30,119425.58,54307.39,4.19,2.44,18.14,6241.59,7574.76,2536.38,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115977.45,125844.41,55998.80,214.64,55.42,2195.61,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.02,481.60,487.16,485.52,278.47,279.51,281.30,0.37,0.58,0.62
