time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-22 13:30:00",0,0,0,284235.69,284260.47,24.77,16357.21,2460.26,0.04,8093.13,299443.25,299851.75,408.51,0.02,0.42,0.42,0.04,479.37,276.65,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.35,119425.67,54307.45,4.19,2.44,18.14,6242.70,7576.39,2538.12,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115978.56,125846.04,56000.54,214.64,55.42,2195.62,0.00,0.01,0.00,0.11,0.16,0.15,0.11,0.16,0.15,0.03,0.05,0.03,476.55,481.23,480.33,275.50,276.46,277.98,0.42,0.59,0.58
"2021-02-22 13:45:00",0,0,0,284235.69,284260.47,24.77,16357.32,2460.26,0.04,8093.13,299443.38,299851.88,408.51,0.02,0.42,0.42,0.05,483.23,278.88,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.36,119425.67,54307.45,4.19,2.44,18.14,6242.73,7576.43,2538.16,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115978.59,125846.07,56000.58,214.64,55.42,2195.62,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.17,0.05,0.06,0.04,480.53,485.39,483.77,277.77,278.79,280.06,0.39,0.57,0.61
"2021-02-22 14:00:00",0,0,0,284235.69,284260.47,24.77,16357.42,2460.26,0.04,8093.13,299443.47,299851.97,408.51,0.03,0.42,0.42,0.06,483.13,278.82,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.36,119425.67,54307.45,4.19,2.44,18.14,6242.75,7576.47,2538.20,212.75,53.56,2193.94,0.01,0.01,0.01,3909.49,3452.24,731.41,115978.62,125846.11,56000.62,214.64,55.42,2195.62,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.08,0.05,0.06,480.74,485.54,483.12,277.62,278.85,279.99,0.37,0.57,0.63
"2021-02-22 14:15:00",0,0,0,284235.72,284260.50,24.77,16357.53,2460.26,0.04,8093.13,299443.59,299852.09,408.51,0.03,0.42,0.42,0.06,483.08,278.79,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.36,119425.68,54307.45,4.19,2.44,18.14,6242.78,7576.51,2538.24,212.75,53.56,2193.95,0.01,0.01,0.01,3909.49,3452.24,731.41,115978.64,125846.15,56000.66,214.64,55.42,2195.62,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.08,0.07,0.04,480.31,485.55,483.39,277.57,278.69,280.12,0.38,0.58,0.63
"2021-02-22 14:30:00",0,0,0,284235.72,284260.50,24.77,16357.63,2460.26,0.04,8093.13,299443.69,299852.19,408.51,0.02,0.42,0.42,0.04,483.51,279.04,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.36,119425.68,54307.45,4.19,2.44,18.14,6242.80,7576.55,2538.28,212.75,53.56,2193.95,0.01,0.01,0.01,3909.49,3452.24,731.41,115978.67,125846.19,56000.70,214.64,55.42,2195.62,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.04,480.25,485.60,484.68,277.97,278.70,280.45,0.39,0.56,0.62
"2021-02-22 14:45:00",0,0,0,284235.75,284260.53,24.77,16357.73,2460.26,0.04,8093.13,299443.81,299852.31,408.51,0.37,0.30,0.48,0.78,482.61,278.52,2.08,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.37,119425.70,54307.46,4.19,2.44,18.14,6242.82,7576.58,2538.32,212.75,53.56,2193.95,0.01,0.01,0.01,3909.49,3452.24,731.41,115978.70,125846.23,56000.74,214.64,55.42,2195.62,0.12,0.15,0.12,0.03,0.10,0.15,0.12,0.18,0.19,0.96,0.82,0.64,479.38,484.63,483.82,277.40,278.16,280.00,1.91,2.24,2.09
"2021-02-22 15:00:00",0,0,0,284236.13,284260.91,24.77,16357.77,2460.26,0.04,8093.13,299444.19,299852.69,408.51,2.69,0.11,2.69,1.00,482.97,278.73,3.94,60.01,0.44,0.30,0.58,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.48,119425.84,54307.59,4.19,2.44,18.14,6242.83,7576.59,2538.35,212.75,53.56,2193.95,0.01,0.01,0.01,3909.49,3452.24,731.41,115978.81,125846.38,56000.87,214.64,55.42,2195.62,0.84,1.03,0.82,-0.01,0.03,0.09,0.84,1.03,0.83,1.00,1.00,0.99,479.93,485.52,483.46,277.29,278.56,280.34,3.74,4.35,3.73
"2021-02-22 15:15:00",0,0,0,284237.16,284261.94,24.77,16357.79,2460.26,0.04,8093.14,299445.22,299853.72,408.51,5.75,-0.04,5.75,1.00,483.19,278.85,7.38,60.02,2.74,0.11,2.75,28.67,0.52,28.67,-15.96,-1.21,15.96,110527.80,119426.23,54307.90,4.19,2.44,18.14,6242.83,7576.60,2538.37,212.75,53.56,2193.95,0.01,0.01,0.01,3909.50,3452.24,731.41,115979.13,125846.77,56001.18,214.64,55.42,2195.62,1.79,2.17,1.79,-0.06,-0.03,0.05,1.79,2.17,1.79,1.00,1.00,1.00,480.04,485.35,484.18,277.58,278.65,280.33,6.95,8.27,6.90
"2021-02-22 15:30:00",0,0,0,284238.78,284263.56,24.77,16357.80,2460.26,0.04,8093.17,299446.88,299855.38,408.51,6.35,-0.06,6.35,1.00,483.36,278.95,8.08,60.02,5.25,-0.02,5.25,28.67,0.52,28.67,-15.96,-1.21,15.96,110528.33,119426.84,54308.41,4.19,2.44,18.14,6242.83,7576.60,2538.38,212.75,53.56,2193.95,0.01,0.01,0.01,3909.51,3452.25,731.41,115979.65,125847.39,56001.70,214.64,55.42,2195.62,2.00,2.38,1.97,-0.07,-0.03,0.04,2.00,2.38,1.98,1.00,1.00,1.00,480.06,485.33,484.69,277.68,278.58,280.59,7.67,9.00,7.56
"2021-02-22 15:45:00",0,0,0,284240.31,284265.09,24.77,16357.81,2460.26,0.04,8093.20,299448.38,299856.88,408.51,4.74,-0.00,4.74,1.00,483.62,279.10,6.23,60.10,6.45,-0.08,6.45,28.67,0.52,28.67,-15.96,-1.21,15.96,110528.80,119427.41,54308.88,4.19,2.44,18.14,6242.83,7576.60,2538.39,212.75,53.56,2193.95,0.01,0.01,0.01,3909.53,3452.26,731.41,115980.12,125847.96,56002.16,214.64,55.42,2195.62,1.45,1.76,1.50,-0.05,-0.01,0.05,1.45,1.76,1.50,1.00,1.00,1.00,480.59,485.45,484.35,277.78,278.72,280.53,5.78,6.85,5.95
