time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-23 01:30:00",0,0,0,284326.09,284350.88,24.77,16358.29,2460.27,0.04,8096.72,299534.44,299942.97,408.52,0.02,0.42,0.42,0.04,483.75,279.18,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.84,119459.34,54335.68,4.19,2.44,18.14,6242.89,7576.72,2538.68,212.75,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.28,125880.00,56029.07,214.64,55.42,2195.63,0.00,0.01,0.01,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,480.79,485.44,485.02,278.33,278.71,280.50,0.39,0.57,0.61
"2021-02-23 01:45:00",0,0,0,284326.09,284350.88,24.77,16358.40,2460.27,0.04,8096.72,299534.53,299943.06,408.52,0.02,0.42,0.42,0.05,484.44,279.58,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.84,119459.34,54335.68,4.19,2.44,18.14,6242.92,7576.76,2538.72,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.30,125880.04,56029.11,214.64,55.42,2195.63,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,481.55,486.10,485.69,278.77,279.07,280.89,0.39,0.57,0.61
"2021-02-23 02:00:00",0,0,0,284326.09,284350.88,24.77,16358.50,2460.27,0.04,8096.72,299534.66,299943.19,408.52,0.02,0.42,0.42,0.04,483.80,279.21,0.52,59.97,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.84,119459.35,54335.68,4.19,2.44,18.14,6242.94,7576.80,2538.76,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.33,125880.08,56029.16,214.64,55.42,2195.63,0.00,0.01,0.01,0.11,0.15,0.16,0.11,0.15,0.16,0.05,0.06,0.03,480.96,485.62,484.81,278.27,278.86,280.48,0.39,0.57,0.60
"2021-02-23 02:15:00",0,0,0,284326.09,284350.88,24.77,16358.61,2460.27,0.04,8096.72,299534.75,299943.28,408.52,0.02,0.43,0.43,0.05,484.18,279.43,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.84,119459.35,54335.68,4.19,2.44,18.14,6242.97,7576.84,2538.80,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.35,125880.12,56029.20,214.64,55.42,2195.63,0.01,0.01,0.01,0.10,0.16,0.16,0.10,0.16,0.17,0.07,0.07,0.03,481.25,486.18,485.12,278.38,279.02,280.88,0.39,0.59,0.61
"2021-02-23 02:30:00",0,0,0,284326.09,284350.88,24.77,16358.71,2460.27,0.04,8096.72,299534.84,299943.38,408.52,0.02,0.43,0.43,0.04,484.15,279.41,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.84,119459.35,54335.68,4.19,2.44,18.14,6243.00,7576.88,2538.84,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.38,125880.16,56029.24,214.64,55.42,2195.63,0.00,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.03,0.05,0.04,480.91,485.77,485.76,278.62,278.80,280.81,0.39,0.57,0.62
"2021-02-23 02:45:00",0,0,0,284326.13,284350.91,24.77,16358.82,2460.27,0.04,8096.72,299534.97,299943.50,408.52,0.02,0.42,0.42,0.04,483.59,279.09,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.84,119459.35,54335.68,4.19,2.44,18.14,6243.02,7576.92,2538.88,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.41,125880.19,56029.28,214.64,55.42,2195.63,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,480.11,485.87,484.53,277.79,278.68,280.64,0.39,0.57,0.60
"2021-02-23 03:00:00",0,0,0,284326.13,284350.91,24.77,16358.92,2460.27,0.04,8096.72,299535.06,299943.59,408.52,0.02,0.42,0.42,0.04,484.31,279.50,0.52,59.99,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.85,119459.36,54335.68,4.19,2.44,18.14,6243.05,7576.95,2538.92,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.43,125880.23,56029.32,214.64,55.42,2195.63,0.01,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.05,0.06,0.03,480.82,486.32,485.79,278.47,278.87,281.17,0.39,0.57,0.60
"2021-02-23 03:15:00",0,0,0,284326.13,284350.91,24.77,16359.03,2460.27,0.04,8096.72,299535.16,299943.69,408.52,0.01,0.42,0.42,0.03,484.63,279.69,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.85,119459.36,54335.68,4.19,2.44,18.14,6243.08,7576.99,2538.96,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.46,125880.27,56029.36,214.64,55.42,2195.63,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.04,0.01,481.44,486.31,486.16,278.73,279.14,281.20,0.40,0.57,0.58
"2021-02-23 03:30:00",0,0,0,284326.13,284350.91,24.77,16359.14,2460.27,0.04,8096.72,299535.28,299943.81,408.52,0.02,0.43,0.43,0.05,484.22,279.45,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.85,119459.36,54335.69,4.19,2.44,18.14,6243.10,7577.03,2539.00,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.48,125880.31,56029.40,214.64,55.42,2195.63,0.01,0.01,0.00,0.10,0.16,0.17,0.10,0.16,0.17,0.06,0.06,0.03,481.27,486.32,485.06,278.36,279.11,280.87,0.39,0.58,0.61
"2021-02-23 03:45:00",0,0,0,284326.13,284350.91,24.77,16359.24,2460.27,0.04,8096.72,299535.38,299943.91,408.52,0.02,0.42,0.42,0.04,484.32,279.51,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.85,119459.37,54335.69,4.19,2.44,18.14,6243.13,7577.07,2539.05,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116007.51,125880.35,56029.45,214.64,55.42,2195.63,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.06,0.04,480.88,486.17,485.42,278.42,278.87,280.96,0.38,0.57,0.61
