time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-23 13:30:00",0,0,0,284326.31,284351.09,24.77,16363.40,2460.28,0.04,8096.72,299539.56,299948.09,408.52,0.02,0.42,0.42,0.05,483.27,278.90,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.90,119459.45,54335.74,4.19,2.44,18.14,6244.16,7578.58,2540.66,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116008.54,125881.86,56031.06,214.64,55.42,2195.63,0.01,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,480.23,485.37,484.21,277.80,278.58,280.32,0.40,0.58,0.61
"2021-02-23 13:45:00",0,0,0,284326.31,284351.09,24.77,16363.50,2460.28,0.04,8096.72,299539.66,299948.19,408.52,0.02,0.42,0.42,0.04,482.13,278.24,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.90,119459.45,54335.74,4.19,2.44,18.14,6244.18,7578.62,2540.70,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116008.56,125881.90,56031.10,214.64,55.42,2195.63,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.06,0.03,479.59,484.58,482.95,277.21,278.30,279.64,0.40,0.58,0.61
"2021-02-23 14:00:00",0,0,0,284326.31,284351.09,24.77,16363.61,2460.28,0.04,8096.72,299539.78,299948.31,408.52,0.03,0.42,0.42,0.06,480.74,277.44,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.90,119459.45,54335.74,4.19,2.44,18.14,6244.21,7578.66,2540.74,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116008.59,125881.94,56031.14,214.64,55.42,2195.63,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.07,0.07,0.05,477.92,483.15,481.15,276.32,277.26,278.74,0.37,0.57,0.63
"2021-02-23 14:15:00",0,0,0,284326.31,284351.09,24.77,16363.71,2460.28,0.04,8096.72,299539.88,299948.41,408.52,0.02,0.42,0.42,0.04,481.44,277.85,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.90,119459.45,54335.74,4.19,2.44,18.14,6244.24,7578.69,2540.78,212.76,53.57,2193.95,0.01,0.01,0.01,3911.16,3453.67,731.89,116008.63,125881.98,56031.18,214.65,55.42,2195.63,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.03,478.61,483.44,482.27,276.89,277.61,279.04,0.39,0.56,0.62
"2021-02-23 14:30:00",0,0,0,284326.34,284351.13,24.77,16363.80,2460.28,0.04,8096.72,299539.97,299948.50,408.52,0.34,0.31,0.46,0.74,480.73,277.43,2.06,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.91,119459.46,54335.75,4.19,2.44,18.14,6244.25,7578.73,2540.82,212.76,53.57,2193.96,0.01,0.01,0.01,3911.16,3453.67,731.89,116008.65,125882.02,56031.22,214.65,55.42,2195.63,0.10,0.14,0.10,0.04,0.12,0.14,0.11,0.18,0.18,0.92,0.74,0.59,477.32,483.17,481.70,275.94,277.18,279.17,1.86,2.21,2.09
"2021-02-23 14:45:00",0,0,0,284326.56,284351.34,24.77,16363.87,2460.28,0.04,8096.72,299540.22,299948.75,408.52,1.56,0.19,1.57,0.99,481.00,277.59,2.89,60.01,0.29,0.31,0.46,28.67,0.52,28.67,-15.96,-1.21,15.96,110555.99,119459.55,54335.82,4.19,2.44,18.14,6244.26,7578.75,2540.85,212.76,53.57,2193.96,0.01,0.01,0.01,3911.16,3453.67,731.89,116008.72,125882.10,56031.31,214.65,55.42,2195.63,0.52,0.56,0.47,0.01,0.06,0.12,0.52,0.56,0.49,1.00,0.99,0.97,477.48,483.22,481.78,276.21,277.31,278.95,2.82,3.05,2.77
"2021-02-23 15:00:00",0,0,0,284327.06,284351.84,24.77,16363.91,2460.28,0.04,8096.73,299540.69,299949.22,408.52,1.09,0.25,1.12,0.97,482.56,278.49,2.45,60.01,1.50,0.20,1.51,28.67,0.52,28.67,-15.96,-1.21,15.96,110556.15,119459.73,54335.98,4.19,2.44,18.14,6244.26,7578.76,2540.88,212.76,53.57,2193.96,0.01,0.01,0.01,3911.16,3453.67,731.89,116008.88,125882.29,56031.46,214.65,55.42,2195.63,0.29,0.43,0.36,0.04,0.09,0.12,0.30,0.44,0.38,0.99,0.98,0.95,479.67,485.05,482.96,276.89,278.67,279.92,2.17,2.68,2.49
"2021-02-23 15:15:00",0,0,0,284327.91,284352.69,24.77,16363.94,2460.28,0.04,8096.73,299541.56,299950.09,408.52,4.46,0.04,4.46,1.00,484.24,279.46,5.87,60.04,2.41,0.14,2.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110556.41,119460.05,54336.23,4.19,2.44,18.14,6244.26,7578.77,2540.90,212.76,53.57,2193.96,0.01,0.01,0.01,3911.17,3453.67,731.89,116009.15,125882.61,56031.71,214.65,55.42,2195.63,1.43,1.73,1.30,-0.05,0.00,0.09,1.43,1.73,1.31,1.00,1.00,1.00,480.99,486.78,484.93,278.12,279.33,280.93,5.68,6.70,5.22
"2021-02-23 15:30:00",0,0,0,284329.44,284354.22,24.77,16363.95,2460.28,0.04,8096.76,299543.06,299951.59,408.52,8.34,-0.17,8.34,1.00,485.18,280.00,10.55,59.99,4.28,0.04,4.28,28.67,0.52,28.67,-15.96,-1.21,15.96,110556.89,119460.64,54336.69,4.19,2.44,18.14,6244.26,7578.77,2540.92,212.76,53.57,2193.96,0.01,0.01,0.01,3911.19,3453.68,731.89,116009.63,125883.19,56032.18,214.65,55.42,2195.63,2.63,3.17,2.54,-0.11,-0.09,0.03,2.63,3.18,2.54,1.00,1.00,1.00,481.82,487.57,486.15,278.42,279.81,281.77,9.85,12.34,9.47
"2021-02-23 15:45:00",0,0,0,284331.06,284355.84,24.77,16363.96,2460.28,0.04,8096.79,299544.72,299953.25,408.52,6.07,-0.07,6.07,1.00,484.67,279.71,7.71,59.91,7.23,-0.12,7.23,28.67,0.52,28.67,-15.96,-1.21,15.96,110557.41,119461.25,54337.20,4.19,2.44,18.14,6244.26,7578.77,2540.93,212.76,53.57,2193.96,0.01,0.01,0.01,3911.21,3453.70,731.89,116010.14,125883.81,56032.69,214.65,55.42,2195.63,1.90,2.23,1.91,-0.08,-0.03,0.04,1.90,2.23,1.91,1.00,1.00,1.00,481.42,487.25,485.46,278.22,279.66,281.32,7.29,8.44,7.29
