time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-23 19:30:00",0,0,0,284385.06,284409.84,24.77,16363.99,2460.28,0.04,8099.35,299598.78,300007.31,408.52,22.78,-1.10,22.80,1.00,488.85,282.12,28.13,60.01,11.28,-0.42,11.29,28.67,0.52,28.67,-15.96,-1.21,15.96,110574.50,119481.48,54353.87,4.19,2.44,18.14,6244.26,7578.77,2540.96,212.76,53.57,2193.96,0.01,0.01,0.01,3912.31,3454.65,732.39,116027.27,125904.06,56049.36,214.65,55.42,2195.63,7.41,8.79,6.57,-0.44,-0.41,-0.24,7.42,8.80,6.58,1.00,1.00,1.00,485.90,491.07,489.59,280.60,282.50,283.27,27.62,32.22,24.56
"2021-02-23 19:45:00",0,0,0,284389.72,284414.50,24.77,16363.99,2460.28,0.04,8099.56,299603.44,300011.97,408.52,27.12,-1.24,27.21,1.00,490.22,282.92,33.18,60.01,18.32,-0.83,18.34,28.67,0.52,28.67,-15.96,-1.21,15.96,110575.98,119483.21,54355.33,4.19,2.44,18.14,6244.26,7578.77,2540.96,212.76,53.57,2193.96,0.01,0.01,0.01,3912.40,3454.73,732.44,116028.75,125905.80,56050.82,214.65,55.42,2195.63,8.79,9.95,8.39,-0.49,-0.45,-0.30,8.80,9.96,8.39,1.00,1.00,1.00,487.60,492.52,491.02,281.49,283.26,284.26,32.39,36.17,30.75
"2021-02-23 20:00:00",0,0,0,284393.66,284418.44,24.77,16364.00,2460.28,0.04,8099.74,299607.38,300015.91,408.52,5.01,-0.02,5.01,1.00,486.33,280.67,6.48,60.01,17.85,-0.80,17.87,28.67,0.52,28.67,-15.96,-1.21,15.96,110577.25,119484.67,54356.54,4.19,2.44,18.14,6244.26,7578.77,2540.96,212.76,53.57,2193.96,0.01,0.01,0.01,3912.47,3454.79,732.48,116030.02,125907.26,56052.04,214.65,55.42,2195.63,1.59,1.89,1.53,-0.06,-0.01,0.06,1.59,1.89,1.53,1.00,1.00,1.00,483.19,488.43,487.37,279.39,280.48,282.13,6.19,7.25,5.99
"2021-02-23 20:15:00",0,0,0,284395.63,284420.41,24.77,16364.01,2460.28,0.04,8099.80,299609.34,300017.88,408.52,8.42,-0.24,8.42,1.00,487.00,281.05,10.58,59.99,11.27,-0.41,11.29,28.67,0.52,28.67,-15.96,-1.21,15.96,110577.85,119485.40,54357.14,4.19,2.44,18.14,6244.26,7578.77,2540.97,212.76,53.57,2193.96,0.01,0.01,0.01,3912.50,3454.81,732.49,116030.63,125907.98,56052.64,214.65,55.42,2195.63,2.85,3.03,2.54,-0.14,-0.11,0.02,2.85,3.03,2.54,1.00,1.00,1.00,484.22,488.67,488.11,280.11,280.73,282.32,10.60,11.68,9.47
"2021-02-23 20:30:00",0,0,0,284400.06,284424.84,24.77,16364.01,2460.28,0.04,8100.00,299613.78,300022.31,408.52,22.19,-1.11,22.22,1.00,489.99,282.78,27.39,60.02,9.10,-0.26,9.11,28.67,0.52,28.67,-15.96,-1.21,15.96,110579.26,119487.08,54358.52,4.19,2.44,18.14,6244.26,7578.77,2540.98,212.76,53.57,2193.96,0.01,0.01,0.01,3912.58,3454.89,732.53,116032.04,125909.66,56054.02,214.65,55.42,2195.63,6.98,8.29,6.92,-0.45,-0.41,-0.25,6.99,8.30,6.93,1.00,1.00,1.00,486.98,492.70,490.27,280.97,283.01,284.35,26.14,30.38,25.66
"2021-02-23 20:45:00",0,0,0,284405.47,284430.25,24.77,16364.01,2460.28,0.04,8100.28,299619.19,300027.72,408.52,21.50,-1.12,21.52,1.00,490.10,282.84,26.61,60.02,21.64,-1.07,21.67,28.67,0.52,28.67,-15.96,-1.21,15.96,110580.97,119489.09,54360.21,4.19,2.44,18.14,6244.26,7578.77,2540.98,212.76,53.57,2193.96,0.01,0.01,0.01,3912.69,3454.99,732.60,116033.74,125911.69,56055.71,214.65,55.42,2195.63,6.79,8.03,6.68,-0.47,-0.41,-0.25,6.80,8.04,6.69,1.00,1.00,1.00,487.01,492.55,490.20,281.03,282.94,284.24,25.52,29.54,24.87
"2021-02-23 21:00:00",0,0,0,284409.78,284434.56,24.77,16364.01,2460.28,0.04,8100.49,299623.56,300032.09,408.52,8.23,-0.31,8.23,1.00,488.08,281.67,10.81,60.01,21.49,-1.09,21.52,28.67,0.52,28.67,-15.96,-1.21,15.96,110582.33,119490.71,54361.55,4.19,2.44,18.14,6244.26,7578.77,2540.98,212.76,53.57,2193.96,0.01,0.01,0.01,3912.78,3455.07,732.65,116035.11,125913.30,56057.05,214.65,55.42,2195.63,2.61,3.08,2.54,-0.17,-0.10,-0.03,2.62,3.08,2.54,1.00,1.00,1.00,485.25,489.94,489.04,280.50,281.56,282.96,10.42,11.83,10.19
"2021-02-23 21:15:00",0,0,0,284414.91,284439.69,24.77,16364.01,2460.28,0.04,8100.74,299628.63,300037.16,408.52,20.75,-1.06,20.78,1.00,490.66,283.17,25.76,60.02,16.38,-0.78,16.40,28.67,0.52,28.67,-15.96,-1.21,15.96,110583.93,119492.62,54363.14,4.19,2.44,18.14,6244.26,7578.77,2540.98,212.76,53.57,2193.96,0.01,0.01,0.01,3912.88,3455.16,732.71,116036.72,125915.20,56058.64,214.65,55.42,2195.63,6.53,7.75,6.47,-0.42,-0.38,-0.27,6.55,7.76,6.48,1.00,1.00,1.00,487.52,492.83,491.62,281.55,283.28,284.66,24.53,28.54,24.19
"2021-02-23 21:30:00",0,0,0,284419.78,284444.56,24.77,16364.01,2460.28,0.04,8100.99,299633.50,300042.03,408.52,20.60,-1.06,20.62,1.00,490.29,282.95,25.61,60.00,21.02,-1.07,21.04,28.67,0.52,28.67,-15.96,-1.21,15.96,110585.46,119494.43,54364.66,4.19,2.44,18.14,6244.26,7578.77,2540.98,212.76,53.57,2193.96,0.01,0.01,0.01,3912.98,3455.25,732.77,116038.25,125917.03,56060.16,214.65,55.42,2195.63,6.48,7.70,6.43,-0.41,-0.43,-0.23,6.49,7.70,6.43,1.00,1.00,1.00,487.08,493.08,490.71,281.17,283.13,284.56,24.42,28.41,23.99
"2021-02-23 21:45:00",0,0,0,284423.97,284448.75,24.77,16364.01,2460.28,0.04,8101.21,299637.72,300046.25,408.52,19.62,-1.01,19.64,1.00,490.16,282.88,24.50,60.01,18.64,-0.97,18.67,28.67,0.52,28.67,-15.96,-1.21,15.96,110586.78,119496.00,54365.96,4.19,2.44,18.14,6244.26,7578.77,2540.98,212.76,53.57,2193.96,0.01,0.01,0.01,3913.07,3455.33,732.81,116039.57,125918.60,56061.47,214.65,55.42,2195.63,6.17,7.34,6.11,-0.39,-0.36,-0.26,6.18,7.35,6.11,1.00,1.00,1.00,487.32,492.10,491.36,281.37,283.08,284.36,23.31,27.16,23.00
