time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-24 10:30:00",0,0,0,284444.84,284469.63,24.77,16368.37,2460.28,0.04,8102.01,299662.53,300071.06,408.52,0.01,0.43,0.43,0.03,484.30,279.50,0.52,59.94,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.82,54372.45,4.19,2.44,18.14,6245.28,7580.34,2542.74,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.10,125927.84,56069.53,214.65,55.42,2195.63,0.01,0.01,0.01,0.10,0.15,0.17,0.11,0.16,0.16,0.04,0.05,0.02,481.51,486.21,485.18,278.36,279.27,280.85,0.40,0.58,0.59
"2021-02-24 10:45:00",0,0,0,284444.84,284469.63,24.77,16368.47,2460.28,0.04,8102.01,299662.63,300071.16,408.52,0.01,0.42,0.42,0.03,484.74,279.75,0.51,60.01,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.83,54372.45,4.19,2.44,18.14,6245.31,7580.38,2542.78,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.13,125927.88,56069.57,214.65,55.42,2195.63,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.05,0.02,481.72,486.29,486.20,278.85,279.22,281.17,0.39,0.57,0.58
"2021-02-24 11:00:00",0,0,0,284444.84,284469.63,24.77,16368.58,2460.28,0.04,8102.01,299662.75,300071.28,408.52,0.02,0.42,0.42,0.05,483.58,279.08,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.83,54372.45,4.19,2.44,18.14,6245.34,7580.42,2542.83,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.15,125927.92,56069.61,214.65,55.42,2195.63,0.01,0.01,0.00,0.10,0.16,0.16,0.10,0.16,0.16,0.07,0.06,0.02,480.70,485.64,484.40,277.91,278.80,280.54,0.39,0.58,0.60
"2021-02-24 11:15:00",0,0,0,284444.84,284469.63,24.77,16368.68,2460.28,0.04,8102.01,299662.84,300071.38,408.52,0.02,0.42,0.42,0.05,483.65,279.12,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.83,54372.45,4.19,2.44,18.14,6245.36,7580.45,2542.87,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.17,125927.95,56069.65,214.65,55.42,2195.63,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.06,0.03,480.91,485.66,484.37,278.02,278.94,280.40,0.39,0.57,0.61
"2021-02-24 11:30:00",0,0,0,284444.84,284469.63,24.77,16368.79,2460.29,0.04,8102.01,299662.94,300071.47,408.52,0.02,0.42,0.42,0.04,483.60,279.09,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.83,54372.46,4.19,2.44,18.14,6245.39,7580.49,2542.91,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.20,125927.99,56069.69,214.65,55.42,2195.63,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,480.74,485.10,484.71,278.17,278.61,280.35,0.39,0.57,0.60
"2021-02-24 11:45:00",0,0,0,284444.84,284469.63,24.77,16368.89,2460.29,0.04,8102.01,299663.03,300071.56,408.52,0.02,0.42,0.42,0.04,481.89,278.10,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.84,54372.46,4.19,2.44,18.14,6245.41,7580.53,2542.95,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.23,125928.03,56069.73,214.65,55.42,2195.63,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,478.88,483.78,482.99,277.08,277.68,279.54,0.39,0.57,0.61
"2021-02-24 12:00:00",0,0,0,284444.88,284469.66,24.77,16369.00,2460.29,0.04,8102.01,299663.16,300071.69,408.52,0.01,0.42,0.42,0.04,480.84,277.50,0.52,59.97,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.84,54372.46,4.19,2.44,18.14,6245.44,7580.57,2542.99,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.25,125928.07,56069.77,214.65,55.42,2195.63,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.02,478.05,482.53,481.94,276.50,277.15,278.84,0.40,0.58,0.59
"2021-02-24 12:15:00",0,0,0,284444.88,284469.66,24.77,16369.10,2460.29,0.04,8102.01,299663.25,300071.78,408.52,0.02,0.42,0.42,0.05,481.10,277.65,0.52,60.00,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.84,54372.46,4.19,2.44,18.14,6245.47,7580.61,2543.03,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.28,125928.11,56069.81,214.65,55.42,2195.63,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.04,478.02,483.20,482.07,276.51,277.30,279.12,0.39,0.57,0.61
"2021-02-24 12:30:00",0,0,0,284444.88,284469.66,24.77,16369.21,2460.29,0.04,8102.01,299663.34,300071.88,408.52,0.02,0.42,0.42,0.05,480.24,277.15,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.84,54372.46,4.19,2.44,18.14,6245.49,7580.64,2543.07,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.31,125928.14,56069.85,214.65,55.42,2195.63,0.00,0.01,0.00,0.11,0.16,0.15,0.10,0.16,0.16,0.08,0.06,0.03,477.45,482.68,480.57,275.90,277.06,278.49,0.37,0.58,0.61
"2021-02-24 12:45:00",0,0,0,284444.88,284469.66,24.77,16369.31,2460.29,0.04,8102.01,299663.47,300072.00,408.52,0.02,0.42,0.42,0.04,482.28,278.33,0.52,60.00,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110593.34,119503.84,54372.46,4.19,2.44,18.14,6245.52,7580.68,2543.11,212.76,53.57,2193.96,0.01,0.01,0.01,3913.45,3455.62,732.94,116047.34,125928.18,56069.89,214.65,55.42,2195.63,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,479.11,484.38,483.35,277.25,277.97,279.77,0.39,0.57,0.61
