time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-24 16:30:00",0,0,0,284457.16,284481.94,24.77,16370.24,2460.29,0.04,8102.34,299676.50,300085.03,408.52,12.82,-0.58,12.83,1.00,488.81,282.10,16.31,59.98,11.09,-0.42,11.10,28.67,0.52,28.67,-15.96,-1.21,15.96,110597.20,119508.46,54376.28,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3913.62,3455.74,732.97,116051.38,125933.07,56074.02,214.65,55.42,2195.63,4.03,4.79,4.01,-0.23,-0.25,-0.09,4.04,4.80,4.01,1.00,1.00,1.00,485.38,491.49,489.58,280.41,282.07,283.82,15.29,18.51,15.12
"2021-02-24 16:45:00",0,0,0,284460.53,284485.31,24.77,16370.24,2460.29,0.04,8102.49,299679.91,300088.44,408.52,14.17,-0.64,14.22,1.00,490.12,282.85,17.91,60.01,12.67,-0.56,12.68,28.67,0.52,28.67,-15.96,-1.21,15.96,110598.26,119509.73,54377.34,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3913.68,3455.81,733.00,116052.44,125934.34,56075.07,214.65,55.42,2195.63,4.47,5.31,4.39,-0.25,-0.29,-0.10,4.47,5.32,4.40,1.00,1.00,1.00,486.35,492.79,490.21,280.85,282.71,284.43,16.85,20.36,16.44
"2021-02-24 17:00:00",0,0,0,284464.25,284489.03,24.77,16370.24,2460.29,0.04,8102.68,299683.66,300092.19,408.52,15.64,-0.80,15.66,1.00,489.49,282.49,20.02,60.02,14.08,-0.63,14.09,28.67,0.52,28.67,-15.96,-1.21,15.96,110599.43,119511.12,54378.49,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3913.76,3455.88,733.04,116053.62,125935.73,56076.23,214.65,55.42,2195.63,4.91,5.86,4.87,-0.36,-0.31,-0.13,4.93,5.86,4.88,1.00,1.00,1.00,485.89,492.23,490.35,280.90,282.27,284.31,19.05,22.25,18.76
"2021-02-24 17:15:00",0,0,0,284468.31,284493.09,24.77,16370.24,2460.29,0.04,8102.88,299687.72,300096.25,408.52,16.87,-0.85,16.89,1.00,490.11,282.85,21.39,60.01,15.48,-0.80,15.50,28.67,0.52,28.67,-15.96,-1.21,15.96,110600.71,119512.64,54379.75,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3913.85,3455.95,733.08,116054.89,125937.26,56077.49,214.65,55.42,2195.63,5.31,6.31,5.25,-0.36,-0.30,-0.19,5.33,6.32,5.25,1.00,1.00,1.00,486.59,492.70,491.02,281.18,282.88,284.48,20.40,23.78,20.00
"2021-02-24 17:30:00",0,0,0,284472.63,284497.41,24.77,16370.24,2460.29,0.04,8103.10,299692.03,300100.56,408.52,17.89,-0.87,17.91,1.00,489.56,282.53,22.57,60.02,16.73,-0.84,16.76,28.67,0.52,28.67,-15.96,-1.21,15.96,110602.08,119514.26,54381.11,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3913.94,3456.03,733.13,116056.26,125938.88,56078.84,214.65,55.42,2195.63,5.64,6.69,5.57,-0.38,-0.32,-0.17,5.65,6.70,5.57,1.00,1.00,1.00,485.98,492.15,490.56,280.62,282.55,284.43,21.53,25.07,21.12
"2021-02-24 17:45:00",0,0,0,284477.22,284502.00,24.77,16370.24,2460.29,0.04,8103.32,299696.63,300105.16,408.52,18.70,-0.92,18.72,1.00,488.91,282.15,23.44,59.89,17.75,-0.87,17.77,28.67,0.52,28.67,-15.96,-1.21,15.96,110603.52,119515.97,54382.53,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3914.03,3456.11,733.18,116057.71,125940.59,56080.27,214.65,55.42,2195.63,5.92,6.99,5.78,-0.39,-0.33,-0.20,5.94,7.00,5.79,1.00,1.00,1.00,485.37,491.93,489.42,280.18,282.39,283.90,22.47,26.06,21.78
"2021-02-24 18:00:00",0,0,0,284482.03,284506.81,24.77,16370.24,2460.29,0.04,8103.56,299701.41,300109.94,408.52,19.49,-0.97,19.52,1.00,490.37,283.00,24.31,60.01,18.67,-0.92,18.69,28.67,0.52,28.67,-15.96,-1.21,15.96,110605.03,119517.76,54384.02,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3914.13,3456.20,733.23,116059.22,125942.38,56081.75,214.65,55.42,2195.63,6.15,7.28,6.06,-0.39,-0.36,-0.23,6.16,7.29,6.06,1.00,1.00,1.00,487.07,492.92,491.13,281.07,283.19,284.74,23.21,26.99,22.74
"2021-02-24 18:15:00",0,0,0,284486.94,284511.72,24.77,16370.24,2460.29,0.04,8103.80,299706.38,300114.91,408.52,20.00,-1.00,20.02,1.00,489.99,282.78,24.92,60.01,19.43,-0.96,19.45,28.67,0.52,28.67,-15.96,-1.21,15.96,110606.59,119519.61,54385.55,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3914.23,3456.29,733.29,116060.79,125944.23,56083.29,214.65,55.42,2195.63,6.35,7.47,6.18,-0.41,-0.37,-0.23,6.36,7.48,6.19,1.00,1.00,1.00,486.90,492.59,490.47,280.91,283.01,284.41,23.92,27.66,23.17
"2021-02-24 18:30:00",0,0,0,284492.00,284516.78,24.77,16370.24,2460.29,0.04,8104.05,299711.41,300119.94,408.52,19.94,-0.99,19.96,1.00,490.73,283.21,24.83,60.01,19.99,-0.99,20.02,28.67,0.52,28.67,-15.96,-1.21,15.96,110608.20,119521.49,54387.11,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3914.33,3456.38,733.35,116062.40,125946.12,56084.85,214.65,55.42,2195.63,6.46,7.63,5.77,-0.41,-0.37,-0.21,6.48,7.63,5.85,1.00,1.00,1.00,487.49,493.43,491.28,281.54,283.61,284.48,24.28,28.21,22.00
"2021-02-24 18:45:00",0,0,0,284497.13,284521.91,24.77,16370.24,2460.29,0.04,8104.30,299716.53,300125.06,408.52,20.83,-1.01,20.85,1.00,490.65,283.16,25.86,60.02,20.27,-0.99,20.29,28.67,0.52,28.67,-15.96,-1.21,15.96,110609.82,119523.41,54388.68,4.19,2.44,18.14,6245.72,7581.02,2543.50,212.76,53.57,2193.96,0.01,0.01,0.01,3914.43,3456.47,733.40,116064.03,125948.05,56086.42,214.65,55.42,2195.63,6.59,7.78,6.45,-0.43,-0.37,-0.21,6.61,7.79,6.45,1.00,1.00,1.00,487.58,493.29,491.09,281.49,283.30,284.70,24.77,28.79,24.03
