time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-25 00:00:00",0,0,0,284583.56,284608.34,24.77,16370.25,2460.29,0.04,8108.32,299803.06,300211.59,408.52,5.35,-0.00,5.35,1.00,483.18,278.85,7.02,59.88,6.79,-0.11,6.80,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.10,119556.04,54415.22,4.19,2.44,18.14,6245.72,7581.02,2543.51,212.76,53.57,2193.96,0.01,0.01,0.01,3916.12,3457.97,734.23,116091.36,125980.70,56112.98,214.65,55.42,2195.63,1.69,2.03,1.63,-0.06,0.01,0.05,1.69,2.03,1.63,1.00,1.00,1.00,480.21,485.03,484.31,277.74,278.51,280.30,6.72,7.87,6.46
"2021-02-25 00:15:00",0,0,0,284584.63,284609.41,24.77,16370.27,2460.29,0.04,8108.33,299804.16,300212.69,408.52,3.27,0.09,3.27,1.00,482.92,278.70,4.69,59.99,5.50,-0.01,5.50,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.44,119556.45,54415.56,4.19,2.44,18.14,6245.72,7581.02,2543.53,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116091.70,125981.11,56113.31,214.65,55.42,2195.63,1.01,1.23,1.03,-0.02,0.04,0.08,1.01,1.23,1.03,1.00,1.00,1.00,479.93,484.67,484.15,277.68,278.27,280.14,4.43,5.15,4.49
"2021-02-25 00:30:00",0,0,0,284585.34,284610.13,24.77,16370.30,2460.29,0.04,8108.34,299804.84,300213.38,408.52,2.07,0.16,2.08,1.00,482.94,278.71,3.45,59.98,3.52,0.09,3.52,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.66,119556.71,54415.77,4.19,2.44,18.14,6245.72,7581.04,2543.55,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116091.91,125981.38,56113.53,214.65,55.42,2195.63,0.65,0.77,0.64,-0.00,0.07,0.10,0.65,0.78,0.65,1.00,1.00,0.99,479.79,485.07,484.49,277.68,278.32,280.44,3.27,3.71,3.34
"2021-02-25 00:45:00",0,0,0,284585.63,284610.41,24.77,16370.36,2460.29,0.04,8108.34,299805.16,300213.69,408.52,0.38,0.32,0.50,0.76,482.28,278.33,2.25,60.01,2.22,0.16,2.22,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.75,119556.81,54415.86,4.19,2.44,18.14,6245.72,7581.06,2543.58,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.01,125981.48,56113.62,214.65,55.42,2195.63,0.11,0.15,0.12,0.05,0.13,0.14,0.12,0.19,0.18,0.90,0.76,0.65,479.21,484.06,483.56,277.40,277.83,279.75,2.06,2.40,2.30
"2021-02-25 01:00:00",0,0,0,284585.66,284610.44,24.77,16370.44,2460.29,0.04,8108.34,299805.25,300213.78,408.52,0.02,0.42,0.42,0.04,481.74,278.01,0.53,59.94,0.53,0.29,0.62,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.76,119556.83,54415.88,4.19,2.44,18.14,6245.74,7581.09,2543.61,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.02,125981.52,56113.66,214.65,55.42,2195.63,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,478.84,483.32,483.05,277.19,277.48,279.37,0.39,0.58,0.61
"2021-02-25 01:15:00",0,0,0,284585.66,284610.44,24.77,16370.54,2460.29,0.04,8108.34,299805.34,300213.88,408.52,0.01,0.42,0.42,0.04,481.39,277.81,0.52,60.01,0.05,0.36,0.37,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.76,119556.83,54415.88,4.19,2.44,18.14,6245.76,7581.13,2543.65,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.05,125981.55,56113.70,214.65,55.42,2195.63,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,478.65,482.68,482.83,277.15,277.25,279.04,0.40,0.57,0.60
"2021-02-25 01:30:00",0,0,0,284585.69,284610.47,24.77,16370.65,2460.29,0.04,8108.34,299805.47,300214.00,408.52,0.02,0.42,0.42,0.04,479.64,276.81,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.76,119556.83,54415.88,4.19,2.44,18.14,6245.79,7581.17,2543.69,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.08,125981.60,56113.74,214.65,55.42,2195.63,0.01,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,476.67,481.24,481.03,276.01,276.27,278.15,0.39,0.57,0.61
"2021-02-25 01:45:00",0,0,0,284585.69,284610.47,24.77,16370.75,2460.29,0.04,8108.34,299805.56,300214.09,408.52,0.02,0.42,0.42,0.04,480.60,277.36,0.52,59.92,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.77,119556.84,54415.88,4.19,2.44,18.14,6245.81,7581.21,2543.73,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.10,125981.64,56113.78,214.65,55.42,2195.64,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.50,482.23,482.06,276.54,276.74,278.80,0.39,0.57,0.60
"2021-02-25 02:00:00",0,0,0,284585.69,284610.47,24.77,16370.86,2460.29,0.04,8108.34,299805.66,300214.19,408.52,0.02,0.42,0.42,0.04,480.44,277.27,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.77,119556.84,54415.88,4.19,2.44,18.14,6245.84,7581.24,2543.77,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.13,125981.67,56113.82,214.65,55.42,2195.64,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,477.42,482.26,481.63,276.34,276.79,278.67,0.39,0.57,0.60
"2021-02-25 02:15:00",0,0,0,284585.69,284610.47,24.77,16370.96,2460.29,0.04,8108.34,299805.75,300214.28,408.52,0.02,0.42,0.42,0.04,480.40,277.24,0.52,60.00,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.77,119556.84,54415.88,4.19,2.44,18.14,6245.87,7581.28,2543.81,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.15,125981.71,56113.86,214.65,55.42,2195.64,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,477.09,482.35,481.76,276.25,276.66,278.82,0.38,0.57,0.60
"2021-02-25 02:30:00",0,0,0,284585.69,284610.47,24.77,16371.07,2460.29,0.04,8108.34,299805.88,300214.41,408.52,0.02,0.42,0.42,0.05,483.51,279.04,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.77,119556.84,54415.88,4.19,2.44,18.14,6245.89,7581.32,2543.85,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.18,125981.75,56113.90,214.65,55.42,2195.64,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.08,0.07,0.03,480.63,485.55,484.08,277.93,278.69,280.34,0.38,0.57,0.61
"2021-02-25 02:45:00",0,0,0,284585.69,284610.47,24.77,16371.17,2460.29,0.04,8108.34,299805.97,300214.50,408.52,0.02,0.42,0.42,0.04,484.35,279.53,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.77,119556.84,54415.88,4.19,2.44,18.14,6245.92,7581.36,2543.89,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116092.20,125981.79,56113.94,214.65,55.42,2195.64,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.03,0.05,0.04,481.36,485.99,485.70,278.77,279.01,280.80,0.39,0.56,0.61
