time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-25 10:30:00",0,0,0,284585.84,284610.63,24.77,16374.48,2460.29,0.04,8108.34,299809.31,300217.84,408.52,0.01,0.43,0.43,0.05,486.00,280.48,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.80,119556.91,54415.92,4.19,2.44,18.14,6246.74,7582.56,2545.18,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.03,125982.99,56115.23,214.65,55.42,2195.64,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.05,0.02,482.97,488.40,487.46,279.37,280.24,282.30,0.41,0.57,0.59
"2021-02-25 10:45:00",0,0,0,284585.84,284610.63,24.77,16374.59,2460.29,0.04,8108.34,299809.41,300217.94,408.52,0.02,0.42,0.42,0.05,486.20,280.59,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.80,119556.91,54415.92,4.19,2.44,18.14,6246.77,7582.60,2545.22,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.05,125983.03,56115.27,214.65,55.42,2195.64,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.05,0.05,483.25,488.47,486.89,279.46,280.40,281.92,0.38,0.55,0.62
"2021-02-25 11:00:00",0,0,0,284585.84,284610.63,24.77,16374.70,2460.29,0.04,8108.34,299809.50,300218.03,408.52,0.02,0.43,0.43,0.04,485.42,280.15,0.53,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.80,119556.91,54415.93,4.19,2.44,18.14,6246.79,7582.64,2545.26,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.08,125983.07,56115.32,214.65,55.42,2195.64,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.06,0.01,482.35,487.56,486.36,278.88,279.81,281.74,0.40,0.59,0.59
"2021-02-25 11:15:00",0,0,0,284585.84,284610.63,24.77,16374.80,2460.29,0.04,8108.34,299809.63,300218.16,408.52,0.02,0.43,0.43,0.04,485.91,280.42,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.80,119556.91,54415.93,4.19,2.44,18.14,6246.82,7582.68,2545.31,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.11,125983.11,56115.36,214.65,55.42,2195.64,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,482.83,488.16,486.74,279.17,280.18,281.93,0.39,0.57,0.60
"2021-02-25 11:30:00",0,0,0,284585.84,284610.63,24.77,16374.91,2460.29,0.04,8108.34,299809.72,300218.25,408.52,0.02,0.43,0.43,0.04,485.93,280.44,0.52,59.96,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.80,119556.91,54415.93,4.19,2.44,18.14,6246.85,7582.72,2545.35,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.13,125983.15,56115.40,214.65,55.42,2195.64,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,483.17,487.98,486.79,279.37,280.20,281.82,0.39,0.57,0.61
"2021-02-25 11:45:00",0,0,0,284585.88,284610.66,24.77,16375.02,2460.29,0.04,8108.34,299809.81,300218.34,408.52,0.02,0.42,0.42,0.05,484.16,279.41,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.81,119556.91,54415.93,4.19,2.44,18.14,6246.87,7582.76,2545.39,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.16,125983.18,56115.44,214.65,55.42,2195.64,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.06,0.04,481.60,486.15,484.72,278.36,279.27,280.62,0.39,0.57,0.61
"2021-02-25 12:00:00",0,0,0,284585.88,284610.66,24.77,16375.12,2460.29,0.04,8108.34,299809.94,300218.47,408.52,0.02,0.42,0.42,0.04,483.97,279.30,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.81,119556.92,54415.93,4.19,2.44,18.14,6246.90,7582.79,2545.43,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.18,125983.22,56115.48,214.65,55.42,2195.64,0.00,0.01,0.01,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.05,0.03,481.03,485.74,485.13,278.34,278.90,280.66,0.40,0.57,0.61
"2021-02-25 12:15:00",0,0,0,284585.88,284610.66,24.77,16375.23,2460.29,0.04,8108.34,299810.03,300218.56,408.52,0.01,0.42,0.42,0.03,483.86,279.24,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.81,119556.92,54415.93,4.19,2.44,18.14,6246.92,7582.83,2545.47,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.21,125983.27,56115.52,214.65,55.42,2195.64,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.05,0.03,480.97,485.60,484.99,278.21,278.90,280.60,0.40,0.58,0.60
"2021-02-25 12:30:00",0,0,0,284585.88,284610.66,24.77,16375.33,2460.29,0.04,8108.34,299810.13,300218.66,408.52,0.02,0.42,0.42,0.04,482.71,278.58,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.81,119556.92,54415.93,4.19,2.44,18.14,6246.95,7582.87,2545.51,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.23,125983.30,56115.56,214.65,55.42,2195.64,0.00,0.00,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.03,0.03,0.05,479.86,485.12,483.81,277.64,278.53,279.95,0.39,0.56,0.63
"2021-02-25 12:45:00",0,0,0,284585.88,284610.66,24.77,16375.44,2460.29,0.04,8108.34,299810.28,300218.81,408.52,0.02,0.42,0.42,0.05,481.66,277.97,0.53,60.00,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110637.81,119556.92,54415.93,4.19,2.44,18.14,6246.98,7582.91,2545.55,212.76,53.57,2193.96,0.01,0.01,0.01,3916.13,3457.97,734.23,116093.26,125983.34,56115.60,214.65,55.42,2195.64,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.17,0.05,0.06,0.04,478.77,483.59,482.61,277.02,277.60,279.29,0.39,0.57,0.61
