time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-25 16:30:00",0,0,0,284592.06,284616.84,24.77,16376.61,2460.30,0.04,8108.54,299817.44,300225.97,408.52,12.87,-0.61,12.88,1.00,487.45,281.31,16.38,60.01,10.35,-0.41,10.36,28.67,0.52,28.67,-15.96,-1.21,15.96,110639.77,119559.29,54417.81,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.23,3458.06,734.26,116095.46,125986.05,56117.88,214.65,55.42,2195.64,4.05,4.82,3.99,-0.26,-0.24,-0.10,4.06,4.82,3.99,1.00,1.00,1.00,483.56,490.32,488.47,279.44,281.15,283.35,15.38,18.63,15.12
"2021-02-25 16:45:00",0,0,0,284595.38,284620.16,24.77,16376.61,2460.30,0.04,8108.70,299820.69,300229.22,408.52,13.49,-0.66,13.50,1.00,488.63,281.99,17.05,60.01,12.29,-0.57,12.31,28.67,0.52,28.67,-15.96,-1.21,15.96,110640.81,119560.52,54418.80,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.30,3458.12,734.28,116096.50,125987.29,56118.87,214.65,55.42,2195.64,4.40,5.22,3.87,-0.29,-0.26,-0.11,4.41,5.22,3.87,1.00,1.00,1.00,485.38,490.94,489.56,280.43,282.09,283.46,16.58,19.96,14.62
"2021-02-25 17:00:00",0,0,0,284598.94,284623.72,24.77,16376.61,2460.30,0.04,8108.88,299824.31,300232.84,408.52,15.24,-0.85,15.26,1.00,488.24,281.77,19.49,60.02,13.54,-0.63,13.55,28.67,0.52,28.67,-15.96,-1.21,15.96,110641.96,119561.88,54419.91,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.38,3458.19,734.31,116097.66,125988.65,56119.97,214.65,55.42,2195.64,4.78,5.71,4.75,-0.36,-0.30,-0.19,4.80,5.72,4.75,1.00,1.00,1.00,484.76,490.90,489.06,279.97,281.78,283.55,18.55,21.65,18.29
"2021-02-25 17:15:00",0,0,0,284602.91,284627.69,24.77,16376.61,2460.30,0.04,8109.10,299828.28,300236.81,408.52,16.48,-0.90,16.50,1.00,488.23,281.76,20.90,60.01,15.04,-0.82,15.06,28.67,0.52,28.67,-15.96,-1.21,15.96,110643.20,119563.37,54421.14,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.47,3458.27,734.36,116098.90,125990.13,56121.20,214.65,55.42,2195.64,5.17,6.17,5.14,-0.39,-0.32,-0.19,5.18,6.18,5.14,1.00,1.00,1.00,485.06,491.14,488.48,279.89,281.93,283.48,19.89,23.23,19.59
"2021-02-25 17:30:00",0,0,0,284607.16,284631.94,24.77,16376.61,2460.30,0.04,8109.32,299832.53,300241.06,408.52,17.72,-0.91,17.75,1.00,489.18,282.31,22.32,60.01,16.33,-0.87,16.35,28.67,0.52,28.67,-15.96,-1.21,15.96,110644.54,119564.96,54422.46,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.56,3458.35,734.41,116100.24,125991.73,56122.53,214.65,55.42,2195.64,5.59,6.63,5.51,-0.36,-0.34,-0.22,5.60,6.63,5.52,1.00,1.00,1.00,486.20,491.74,490.68,281.00,282.47,284.09,21.22,24.81,20.87
"2021-02-25 17:45:00",0,0,0,284611.69,284636.47,24.77,16376.61,2460.30,0.04,8109.56,299837.09,300245.63,408.52,18.56,-1.00,18.59,1.00,489.65,282.58,23.28,59.91,17.49,-0.92,17.51,28.67,0.52,28.67,-15.96,-1.21,15.96,110645.97,119566.65,54423.87,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.66,3458.44,734.46,116101.67,125993.42,56123.93,214.65,55.42,2195.64,5.85,6.93,5.79,-0.40,-0.37,-0.23,5.86,6.93,5.79,1.00,1.00,1.00,486.31,492.31,490.32,280.75,282.66,284.34,22.18,25.84,21.80
"2021-02-25 18:00:00",0,0,0,284616.41,284641.19,24.77,16376.61,2460.30,0.04,8109.81,299841.78,300250.31,408.52,19.22,-0.99,19.25,1.00,489.15,282.29,24.06,60.01,18.45,-0.97,18.47,28.67,0.52,28.67,-15.96,-1.21,15.96,110647.45,119568.41,54425.33,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.76,3458.53,734.52,116103.16,125995.18,56125.40,214.65,55.42,2195.64,6.07,7.19,5.97,-0.41,-0.36,-0.22,6.08,7.19,5.98,1.00,1.00,1.00,485.72,491.66,490.07,280.58,282.28,284.01,22.96,26.78,22.45
"2021-02-25 18:15:00",0,0,0,284621.34,284646.13,24.77,16376.61,2460.30,0.04,8110.06,299846.75,300255.28,408.52,20.01,-1.04,20.04,1.00,489.29,282.38,25.02,60.02,19.20,-1.00,19.22,28.67,0.52,28.67,-15.96,-1.21,15.96,110649.02,119570.25,54426.87,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.86,3458.62,734.58,116104.73,125997.03,56126.94,214.65,55.42,2195.64,6.34,7.50,6.17,-0.45,-0.37,-0.22,6.36,7.51,6.17,1.00,1.00,1.00,485.87,492.15,489.18,280.27,282.51,283.96,23.98,27.88,23.13
"2021-02-25 18:30:00",0,0,0,284626.59,284651.38,24.77,16376.61,2460.30,0.04,8110.33,299852.00,300260.53,408.52,22.04,-1.14,22.07,1.00,489.49,282.49,27.21,60.11,20.15,-1.05,20.18,28.67,0.52,28.67,-15.96,-1.21,15.96,110650.68,119572.21,54428.50,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3916.97,3458.72,734.64,116106.39,125998.99,56128.57,214.65,55.42,2195.64,6.96,8.22,6.85,-0.44,-0.42,-0.26,6.98,8.23,6.86,1.00,1.00,1.00,486.20,492.33,489.93,280.56,282.78,284.12,26.03,30.20,25.41
"2021-02-25 18:45:00",0,0,0,284631.97,284656.75,24.77,16376.61,2460.30,0.04,8110.61,299857.38,300265.91,408.52,21.51,-1.09,21.54,1.00,490.06,282.82,26.61,60.01,21.46,-1.08,21.49,28.67,0.52,28.67,-15.96,-1.21,15.96,110652.38,119574.22,54430.17,4.19,2.44,18.14,6247.24,7583.33,2546.05,212.77,53.57,2193.97,0.01,0.01,0.01,3917.08,3458.82,734.71,116108.09,126001.00,56130.24,214.65,55.42,2195.64,6.80,8.04,6.67,-0.44,-0.39,-0.26,6.82,8.05,6.68,1.00,1.00,1.00,486.99,492.96,490.23,280.98,283.12,284.36,25.50,29.54,24.80
