time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-25 22:30:00",0,0,0,284696.81,284721.59,24.77,16376.64,2460.30,0.04,8113.77,299922.31,300330.84,408.52,5.14,-0.04,5.14,1.00,486.38,280.69,6.67,60.02,7.30,-0.20,7.31,28.67,0.52,28.67,-15.96,-1.21,15.96,110672.80,119598.39,54450.41,4.19,2.44,18.14,6247.24,7583.33,2546.07,212.77,53.57,2193.97,0.01,0.01,0.01,3918.39,3459.98,735.40,116128.55,126025.20,56150.50,214.65,55.42,2195.64,1.61,1.93,1.59,-0.09,0.01,0.04,1.61,1.93,1.60,1.00,1.00,1.00,483.59,488.26,487.30,279.41,280.58,282.09,6.31,7.43,6.27
"2021-02-25 22:45:00",0,0,0,284699.69,284724.47,24.77,16376.64,2460.30,0.04,8113.90,299925.19,300333.72,408.52,9.61,-0.46,9.63,1.00,487.26,281.21,12.51,60.02,8.05,-0.26,8.06,28.67,0.52,28.67,-15.96,-1.21,15.96,110673.70,119599.48,54451.30,4.19,2.44,18.14,6247.24,7583.33,2546.08,212.77,53.57,2193.97,0.01,0.01,0.01,3918.45,3460.04,735.42,116129.45,126026.30,56151.38,214.65,55.42,2195.64,3.00,3.60,3.02,-0.22,-0.17,-0.06,3.01,3.60,3.02,1.00,1.00,1.00,484.42,489.19,488.18,279.94,281.07,282.60,11.81,13.88,11.84
"2021-02-25 23:00:00",0,0,0,284702.03,284726.81,24.77,16376.64,2460.30,0.04,8114.00,299927.50,300336.03,408.52,9.69,-0.44,9.70,1.00,487.10,281.11,12.62,60.01,10.33,-0.47,10.34,28.67,0.52,28.67,-15.96,-1.21,15.96,110674.41,119600.36,54452.04,4.19,2.44,18.14,6247.24,7583.33,2546.08,212.77,53.57,2193.97,0.01,0.01,0.01,3918.50,3460.08,735.43,116130.18,126027.17,56152.12,214.65,55.42,2195.64,2.92,3.66,3.12,-0.21,-0.17,-0.07,2.92,3.66,3.12,1.00,1.00,1.00,484.08,489.21,488.01,279.73,281.00,282.60,11.56,14.11,12.19
"2021-02-25 23:15:00",0,0,0,284702.78,284727.56,24.77,16376.67,2460.30,0.04,8114.01,299928.28,300336.81,408.52,1.78,0.16,1.79,1.00,484.88,279.83,3.27,60.01,7.31,-0.24,7.32,28.67,0.52,28.67,-15.96,-1.21,15.96,110674.66,119600.66,54452.28,4.19,2.44,18.14,6247.24,7583.34,2546.10,212.77,53.57,2193.97,0.01,0.01,0.01,3918.50,3460.08,735.43,116130.41,126027.46,56152.37,214.65,55.42,2195.64,0.70,0.86,0.62,-0.01,0.04,0.10,0.71,0.86,0.25,1.00,1.00,0.87,481.78,486.69,486.16,278.81,279.48,281.19,3.39,3.91,2.50
"2021-02-25 23:30:00",0,0,0,284704.41,284729.19,24.77,16376.69,2460.30,0.04,8114.07,299929.91,300338.44,408.52,11.47,-0.57,11.51,1.00,488.08,281.68,14.87,60.01,2.84,0.09,2.84,28.67,0.52,28.67,-15.96,-1.21,15.96,110675.17,119601.28,54452.76,4.19,2.44,18.14,6247.24,7583.34,2546.11,212.77,53.57,2193.97,0.01,0.01,0.01,3918.53,3460.10,735.44,116130.95,126028.09,56152.85,214.65,55.42,2195.64,3.64,4.34,3.49,-0.24,-0.25,-0.08,3.65,4.35,3.49,1.00,1.00,1.00,484.72,489.87,488.76,280.09,281.40,283.03,14.02,17.13,13.41
"2021-02-25 23:45:00",0,0,0,284705.97,284730.75,24.77,16376.70,2460.30,0.04,8114.11,299931.44,300339.97,408.52,8.17,-0.22,8.17,1.00,487.06,281.09,10.39,60.01,7.95,-0.27,7.96,28.67,0.52,28.67,-15.96,-1.21,15.96,110675.66,119601.84,54453.25,4.19,2.44,18.14,6247.24,7583.34,2546.12,212.77,53.57,2193.97,0.01,0.01,0.01,3918.56,3460.12,735.44,116131.43,126028.66,56153.34,214.65,55.42,2195.64,2.59,2.99,2.59,-0.11,-0.13,0.01,2.59,2.99,2.59,1.00,1.00,1.00,484.01,489.33,487.85,279.68,280.99,282.60,9.73,11.79,9.65
"2021-02-26 00:00:00",0,0,0,284707.16,284731.94,24.77,16376.71,2460.30,0.04,8114.14,299932.66,300341.19,408.52,2.60,0.11,2.60,1.00,485.20,280.02,3.92,59.91,5.62,-0.07,5.63,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.04,119602.30,54453.63,4.19,2.44,18.14,6247.24,7583.34,2546.13,212.77,53.57,2193.97,0.01,0.01,0.01,3918.57,3460.13,735.44,116131.80,126029.11,56153.72,214.65,55.42,2195.64,0.82,0.96,0.82,-0.02,0.04,0.09,0.82,0.96,0.83,1.00,1.00,0.99,482.32,486.95,486.34,278.97,279.65,281.43,3.74,4.22,3.80
"2021-02-26 00:15:00",0,0,0,284707.78,284732.56,24.77,16376.75,2460.30,0.04,8114.14,299933.28,300341.81,408.52,1.55,0.18,1.56,0.99,485.25,280.04,2.96,59.98,3.37,0.06,3.38,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.23,119602.52,54453.82,4.19,2.44,18.14,6247.24,7583.35,2546.16,212.77,53.57,2193.97,0.01,0.01,0.01,3918.57,3460.13,735.44,116132.00,126029.34,56153.91,214.65,55.42,2195.64,0.48,0.58,0.48,0.01,0.06,0.11,0.48,0.59,0.50,1.00,0.99,0.97,482.34,486.88,486.53,279.10,279.61,281.42,2.80,3.18,2.90
"2021-02-26 00:30:00",0,0,0,284708.38,284733.16,24.77,16376.79,2460.30,0.04,8114.14,299933.84,300342.38,408.52,1.17,0.23,1.19,0.98,485.25,280.04,2.65,60.01,2.45,0.12,2.45,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.41,119602.74,54454.01,4.19,2.44,18.14,6247.24,7583.36,2546.18,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.17,126029.55,56154.10,214.65,55.42,2195.64,0.36,0.43,0.37,0.02,0.08,0.13,0.36,0.44,0.39,1.00,0.98,0.94,482.03,487.51,486.67,278.94,279.67,281.78,2.50,2.83,2.63
"2021-02-26 00:45:00",0,0,0,284708.84,284733.63,24.77,16376.83,2460.30,0.04,8114.15,299934.34,300342.88,408.52,1.32,0.20,1.34,0.99,485.10,279.95,2.78,60.00,2.37,0.13,2.37,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.55,119602.92,54454.16,4.19,2.44,18.14,6247.24,7583.37,2546.21,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.33,126029.74,56154.25,214.65,55.42,2195.64,0.40,0.50,0.42,0.01,0.06,0.12,0.40,0.50,0.44,1.00,0.99,0.96,482.20,486.78,486.31,279.04,279.54,281.28,2.61,2.98,2.76
