time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-26 04:30:00",0,0,0,284709.03,284733.81,24.77,16378.36,2460.31,0.04,8114.15,299935.97,300344.50,408.52,0.01,0.42,0.43,0.02,486.08,280.52,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.60,119603.00,54454.20,4.19,2.44,18.14,6247.61,7583.93,2546.82,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.73,126030.32,56154.87,214.66,55.43,2195.65,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.04,0.00,483.01,487.74,487.53,279.61,280.04,281.95,0.40,0.57,0.58
"2021-02-26 04:45:00",0,0,0,284709.03,284733.81,24.77,16378.47,2460.31,0.04,8114.15,299936.06,300344.59,408.52,0.02,0.43,0.43,0.05,486.60,280.82,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.60,119603.00,54454.21,4.19,2.44,18.14,6247.64,7583.97,2546.86,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.75,126030.36,56154.91,214.66,55.43,2195.65,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.05,0.06,0.04,483.48,488.76,487.56,279.72,280.47,282.28,0.39,0.57,0.61
"2021-02-26 05:00:00",0,0,0,284709.03,284733.81,24.77,16378.58,2460.31,0.04,8114.15,299936.16,300344.69,408.52,0.02,0.43,0.43,0.05,486.24,280.62,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.60,119603.00,54454.21,4.19,2.44,18.14,6247.67,7584.01,2546.90,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.78,126030.40,56154.95,214.66,55.43,2195.65,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.16,0.17,0.06,0.06,0.04,483.11,488.54,487.07,279.47,280.30,282.09,0.38,0.57,0.61
"2021-02-26 05:15:00",0,0,0,284709.03,284733.81,24.77,16378.68,2460.31,0.04,8114.15,299936.28,300344.81,408.52,0.02,0.43,0.43,0.05,486.35,280.68,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.61,119603.00,54454.21,4.19,2.44,18.14,6247.69,7584.05,2546.94,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.80,126030.44,56155.00,214.66,55.43,2195.65,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,483.02,488.25,487.76,279.73,280.05,282.24,0.39,0.57,0.61
"2021-02-26 05:30:00",0,0,0,284709.03,284733.81,24.77,16378.79,2460.31,0.04,8114.15,299936.38,300344.91,408.52,0.02,0.43,0.43,0.04,486.90,280.99,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.61,119603.01,54454.21,4.19,2.44,18.14,6247.72,7584.08,2546.99,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.83,126030.48,56155.04,214.66,55.43,2195.65,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,484.04,489.05,487.94,280.00,280.73,282.45,0.39,0.58,0.61
"2021-02-26 05:45:00",0,0,0,284709.03,284733.81,24.77,16378.90,2460.31,0.04,8114.15,299936.47,300345.00,408.52,0.02,0.43,0.43,0.04,487.26,281.20,0.52,59.97,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.61,119603.01,54454.21,4.19,2.44,18.14,6247.75,7584.12,2547.03,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.86,126030.51,56155.08,214.66,55.43,2195.65,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,484.18,489.18,488.41,280.22,280.74,282.64,0.39,0.57,0.61
"2021-02-26 06:00:00",0,0,0,284709.06,284733.84,24.77,16379.01,2460.31,0.04,8114.15,299936.59,300345.13,408.52,0.02,0.43,0.43,0.04,488.14,281.71,0.53,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.61,119603.01,54454.21,4.19,2.44,18.14,6247.77,7584.16,2547.07,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.88,126030.55,56155.12,214.66,55.43,2195.65,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.02,485.02,490.26,489.14,280.54,281.37,283.23,0.40,0.58,0.60
"2021-02-26 06:15:00",0,0,0,284709.06,284733.84,24.77,16379.11,2460.31,0.04,8114.15,299936.69,300345.22,408.52,0.02,0.43,0.43,0.05,488.44,281.89,0.52,60.12,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.61,119603.01,54454.21,4.19,2.44,18.14,6247.80,7584.20,2547.11,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.91,126030.59,56155.16,214.66,55.43,2195.65,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.04,485.49,490.29,489.56,280.93,281.41,283.33,0.39,0.57,0.61
"2021-02-26 06:30:00",0,0,0,284709.06,284733.84,24.77,16379.22,2460.31,0.04,8114.15,299936.78,300345.31,408.52,0.01,0.43,0.43,0.03,488.22,281.76,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.61,119603.02,54454.21,4.19,2.44,18.14,6247.83,7584.24,2547.15,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.95,126030.63,56155.21,214.66,55.43,2195.65,0.00,0.01,0.00,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.04,0.02,485.06,490.26,489.34,280.60,281.37,283.30,0.40,0.57,0.60
"2021-02-26 06:45:00",0,0,0,284709.06,284733.84,24.77,16379.33,2460.31,0.04,8114.15,299936.94,300345.47,408.52,0.02,0.43,0.43,0.04,488.51,281.92,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.61,119603.02,54454.21,4.19,2.44,18.14,6247.85,7584.28,2547.19,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116132.97,126030.67,56155.25,214.66,55.43,2195.65,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,485.44,490.60,489.47,280.79,281.52,283.46,0.39,0.57,0.61
