time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-26 10:30:00",0,0,0,284709.13,284733.91,24.77,16380.93,2460.31,0.04,8114.15,299938.53,300347.06,408.52,0.02,0.43,0.43,0.04,485.20,280.02,0.52,59.96,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.64,119603.05,54454.23,4.19,2.44,18.14,6248.25,7584.86,2547.82,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.37,126031.26,56155.87,214.66,55.43,2195.65,0.01,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.05,0.06,0.03,482.46,486.87,486.28,279.14,279.55,281.37,0.39,0.57,0.60
"2021-02-26 10:45:00",0,0,0,284709.13,284733.91,24.77,16381.04,2460.31,0.04,8114.15,299938.63,300347.16,408.52,0.02,0.43,0.43,0.04,485.73,280.32,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.64,119603.05,54454.24,4.19,2.44,18.14,6248.28,7584.90,2547.86,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.39,126031.30,56155.91,214.66,55.43,2195.65,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,483.20,487.30,486.67,279.48,279.94,281.54,0.39,0.57,0.60
"2021-02-26 11:00:00",0,0,0,284709.16,284733.94,24.77,16381.14,2460.31,0.04,8114.15,299938.75,300347.28,408.52,0.02,0.42,0.42,0.04,484.70,279.73,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.64,119603.05,54454.24,4.19,2.44,18.14,6248.30,7584.94,2547.90,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.41,126031.33,56155.95,214.66,55.43,2195.65,0.01,0.01,0.01,0.11,0.15,0.17,0.11,0.15,0.17,0.05,0.06,0.03,482.06,486.37,485.68,278.86,279.34,280.99,0.39,0.57,0.60
"2021-02-26 11:15:00",0,0,0,284709.16,284733.94,24.77,16381.25,2460.31,0.04,8114.15,299938.84,300347.38,408.52,0.02,0.42,0.42,0.04,484.91,279.85,0.52,59.96,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.64,119603.05,54454.24,4.19,2.44,18.14,6248.33,7584.98,2547.94,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.45,126031.37,56156.00,214.66,55.43,2195.65,0.00,0.01,0.01,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.06,0.03,482.19,486.63,485.87,278.92,279.46,281.15,0.39,0.57,0.60
"2021-02-26 11:30:00",0,0,0,284709.16,284733.94,24.77,16381.35,2460.31,0.04,8114.15,299938.94,300347.47,408.52,0.02,0.42,0.42,0.04,484.44,279.58,0.52,60.02,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.64,119603.05,54454.24,4.19,2.44,18.14,6248.36,7585.02,2547.98,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.47,126031.41,56156.04,214.66,55.43,2195.65,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,481.39,486.29,485.63,278.56,279.08,281.09,0.39,0.57,0.60
"2021-02-26 11:45:00",0,0,0,284709.16,284733.94,24.77,16381.46,2460.31,0.04,8114.15,299939.06,300347.59,408.52,0.01,0.42,0.42,0.03,482.91,278.69,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.65,119603.05,54454.24,4.19,2.44,18.14,6248.38,7585.05,2548.02,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.49,126031.45,56156.08,214.66,55.43,2195.65,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.04,0.03,480.08,484.60,484.05,277.72,278.32,280.04,0.40,0.57,0.59
"2021-02-26 12:00:00",0,0,0,284709.16,284733.94,24.77,16381.57,2460.31,0.04,8114.15,299939.16,300347.69,408.52,0.01,0.42,0.42,0.03,482.62,278.53,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.65,119603.05,54454.24,4.19,2.44,18.14,6248.41,7585.09,2548.06,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.52,126031.48,56156.12,214.66,55.43,2195.65,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.02,0.04,0.03,479.81,484.25,483.81,277.61,278.15,279.82,0.40,0.57,0.60
"2021-02-26 12:15:00",0,0,0,284709.16,284733.94,24.77,16381.67,2460.31,0.04,8114.15,299939.25,300347.78,408.52,0.02,0.42,0.42,0.05,482.13,278.24,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.65,119603.06,54454.25,4.19,2.44,18.14,6248.44,7585.13,2548.10,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.55,126031.52,56156.16,214.66,55.43,2195.65,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.17,0.05,0.06,0.04,479.17,484.14,483.08,277.20,277.84,279.69,0.39,0.57,0.61
"2021-02-26 12:30:00",0,0,0,284709.16,284733.94,24.77,16381.78,2460.31,0.04,8114.15,299939.34,300347.88,408.52,0.02,0.42,0.42,0.04,481.71,278.00,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.65,119603.06,54454.25,4.19,2.44,18.14,6248.46,7585.17,2548.15,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.57,126031.55,56156.20,214.66,55.43,2195.65,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,479.04,483.56,482.53,277.07,277.70,279.23,0.39,0.57,0.61
"2021-02-26 12:45:00",0,0,0,284709.19,284733.97,24.77,16381.88,2460.31,0.04,8114.15,299939.47,300348.00,408.52,0.01,0.42,0.42,0.02,481.45,277.85,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110676.65,119603.06,54454.25,4.19,2.44,18.14,6248.49,7585.21,2548.19,212.77,53.57,2193.97,0.01,0.01,0.01,3918.58,3460.13,735.44,116133.59,126031.60,56156.24,214.66,55.43,2195.65,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.01,0.04,0.02,478.18,483.34,482.82,276.81,277.40,279.33,0.40,0.57,0.59
