time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-26 16:30:00",0,0,0,284714.03,284738.81,24.77,16383.04,2460.33,0.04,8114.28,299945.31,300353.84,408.53,13.14,-0.64,13.15,1.00,489.08,282.25,16.69,60.01,6.77,-0.17,6.78,28.67,0.52,28.67,-15.96,-1.21,15.96,110678.50,119604.66,54455.66,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3918.66,3460.16,735.45,116135.68,126033.55,56158.05,214.66,55.43,2195.66,4.20,4.76,4.19,-0.24,-0.27,-0.12,4.20,4.76,4.19,1.00,1.00,1.00,485.95,490.95,490.00,280.71,282.07,283.78,15.88,18.42,15.79
"2021-02-26 16:45:00",0,0,0,284717.53,284742.31,24.77,16383.04,2460.33,0.04,8114.46,299948.84,300357.38,408.53,14.72,-0.87,14.74,1.00,488.61,281.98,18.98,60.04,12.44,-0.58,12.46,28.67,0.52,28.67,-15.96,-1.21,15.96,110679.61,119605.97,54456.76,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3918.73,3460.24,735.49,116136.78,126034.87,56159.15,214.66,55.43,2195.66,4.61,5.51,4.60,-0.39,-0.32,-0.17,4.63,5.52,4.60,1.00,1.00,1.00,485.80,491.35,488.69,280.24,282.27,283.44,18.04,21.03,17.86
"2021-02-26 17:00:00",0,0,0,284721.41,284746.19,24.77,16383.04,2460.33,0.04,8114.68,299952.69,300361.22,408.53,16.15,-0.92,16.17,1.00,489.62,282.57,20.56,60.01,14.64,-0.80,14.66,28.67,0.52,28.67,-15.96,-1.21,15.96,110680.82,119607.41,54457.96,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3918.82,3460.32,735.54,116137.99,126036.31,56160.35,214.66,55.43,2195.66,5.08,6.05,5.02,-0.37,-0.32,-0.23,5.09,6.06,5.02,1.00,1.00,1.00,486.29,492.43,490.14,280.78,282.89,284.03,19.59,22.84,19.25
"2021-02-26 17:15:00",0,0,0,284725.50,284750.28,24.77,16383.04,2460.33,0.04,8114.90,299956.78,300365.31,408.53,17.54,-0.98,17.57,1.00,489.41,282.44,22.14,60.02,16.05,-0.90,16.07,28.67,0.52,28.67,-15.96,-1.21,15.96,110682.10,119608.95,54459.24,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3918.91,3460.40,735.59,116139.29,126037.84,56161.63,214.66,55.43,2195.66,5.54,6.58,5.42,-0.37,-0.37,-0.24,5.55,6.59,5.43,1.00,1.00,1.00,486.23,492.66,490.25,280.83,282.86,284.17,21.19,24.58,20.61
"2021-02-26 17:30:00",0,0,0,284730.06,284754.84,24.77,16383.04,2460.33,0.04,8115.15,299961.34,300369.88,408.53,18.69,-1.03,18.71,1.00,489.52,282.51,23.42,60.01,16.91,-0.94,16.93,28.67,0.52,28.67,-15.96,-1.21,15.96,110683.52,119610.64,54460.66,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3919.01,3460.49,735.65,116140.71,126039.55,56163.05,214.66,55.43,2195.66,5.86,6.98,5.85,-0.42,-0.36,-0.25,5.87,6.99,5.85,1.00,1.00,1.00,486.25,491.98,490.32,280.77,282.63,284.12,22.28,25.92,22.06
"2021-02-26 17:45:00",0,0,0,284734.81,284759.59,24.77,16383.04,2460.33,0.04,8115.41,299966.13,300374.66,408.53,19.60,-1.07,19.63,1.00,490.24,282.92,24.44,60.01,18.61,-1.01,18.64,28.67,0.52,28.67,-15.96,-1.21,15.96,110685.03,119612.43,54462.16,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3919.11,3460.58,735.71,116142.21,126041.34,56164.55,214.66,55.43,2195.66,6.15,7.32,6.14,-0.40,-0.40,-0.26,6.16,7.33,6.14,1.00,1.00,1.00,486.72,492.22,491.78,281.34,282.74,284.69,23.22,27.06,23.03
"2021-02-26 18:00:00",0,0,0,284739.81,284764.59,24.77,16383.04,2460.33,0.04,8115.68,299971.13,300379.66,408.53,20.21,-1.04,20.24,1.00,490.80,283.24,25.16,60.02,19.50,-1.05,19.53,28.67,0.52,28.67,-15.96,-1.21,15.96,110686.59,119614.30,54463.71,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3919.22,3460.68,735.78,116143.79,126043.20,56166.11,214.66,55.43,2195.66,6.39,7.57,6.26,-0.42,-0.39,-0.24,6.40,7.58,6.26,1.00,1.00,1.00,487.57,493.32,491.50,281.58,283.37,284.78,24.09,27.95,23.43
"2021-02-26 18:15:00",0,0,0,284744.97,284769.75,24.77,16383.04,2460.33,0.04,8115.95,299976.31,300384.84,408.53,20.99,-1.05,21.02,1.00,489.88,282.72,26.08,60.01,20.22,-1.07,20.25,28.67,0.52,28.67,-15.96,-1.21,15.96,110688.23,119616.22,54465.32,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3919.32,3460.78,735.85,116145.42,126045.14,56167.71,214.66,55.43,2195.66,6.62,7.84,6.53,-0.41,-0.38,-0.25,6.63,7.85,6.54,1.00,1.00,1.00,486.61,491.96,491.08,281.24,282.72,284.18,24.89,28.92,24.42
"2021-02-26 18:30:00",0,0,0,284750.31,284775.09,24.77,16383.04,2460.33,0.04,8116.23,299981.63,300390.16,408.53,21.60,-1.17,21.64,1.00,490.83,283.26,26.73,60.02,20.91,-1.10,20.94,28.67,0.52,28.67,-15.96,-1.21,15.96,110689.90,119618.21,54466.97,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3919.43,3460.88,735.92,116147.10,126047.13,56169.37,214.66,55.43,2195.66,6.81,8.08,6.71,-0.44,-0.42,-0.30,6.82,8.09,6.72,1.00,1.00,1.00,487.73,493.22,491.28,281.34,283.53,284.77,25.50,29.64,25.00
"2021-02-26 18:45:00",0,0,0,284755.78,284780.56,24.77,16383.04,2460.33,0.04,8116.52,299987.13,300395.66,408.53,21.84,-1.17,21.88,1.00,490.97,283.35,26.99,60.01,21.56,-1.14,21.59,28.67,0.52,28.67,-15.96,-1.21,15.96,110691.64,119620.26,54468.68,4.19,2.44,18.14,6248.73,7585.64,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3919.54,3460.99,735.99,116148.83,126049.19,56171.08,214.66,55.43,2195.66,6.89,8.17,6.79,-0.43,-0.44,-0.30,6.90,8.18,6.79,1.00,1.00,1.00,487.75,493.40,491.77,281.54,283.57,284.94,25.76,29.96,25.26
