time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-26 22:30:00",0,0,0,284834.47,284859.25,24.77,16383.04,2460.33,0.04,8120.60,300065.91,300474.44,408.53,16.43,-0.93,16.46,1.00,488.58,281.96,20.95,59.91,17.83,-1.00,17.86,28.67,0.52,28.67,-15.96,-1.21,15.96,110716.40,119649.66,54493.21,4.19,2.44,18.14,6248.73,7585.65,2548.67,212.77,53.57,2193.99,0.01,0.01,0.01,3921.11,3462.49,737.00,116173.65,126078.63,56195.63,214.66,55.43,2195.66,5.19,6.14,5.11,-0.38,-0.34,-0.21,5.20,6.15,5.11,1.00,1.00,1.00,485.71,490.87,489.15,280.41,282.18,283.29,20.03,23.14,19.67
"2021-02-26 22:45:00",0,0,0,284837.19,284861.97,24.77,16383.05,2460.33,0.04,8120.74,300068.63,300477.16,408.53,2.33,0.10,2.34,1.00,486.07,280.52,3.70,60.07,16.33,-0.90,16.35,28.67,0.52,28.67,-15.96,-1.21,15.96,110717.24,119650.66,54494.05,4.19,2.44,18.14,6248.73,7585.65,2548.68,212.77,53.57,2193.99,0.01,0.01,0.01,3921.17,3462.54,737.03,116174.49,126079.63,56196.48,214.66,55.43,2195.66,0.73,0.87,0.73,-0.02,0.04,0.08,0.73,0.87,0.73,1.00,1.00,0.99,483.44,488.53,486.24,279.26,280.58,281.71,3.53,4.01,3.56
"2021-02-26 23:00:00",0,0,0,284840.50,284865.28,24.77,16383.05,2460.33,0.04,8120.91,300071.97,300480.50,408.53,13.16,-0.68,13.18,1.00,487.54,281.36,16.81,60.01,9.93,-0.44,9.95,28.67,0.52,28.67,-15.96,-1.21,15.96,110718.29,119651.91,54495.09,4.19,2.44,18.14,6248.73,7585.65,2548.68,212.77,53.57,2193.99,0.01,0.01,0.01,3921.23,3462.61,737.07,116175.53,126080.88,56197.52,214.66,55.43,2195.66,4.14,4.91,4.12,-0.26,-0.30,-0.12,4.14,4.92,4.12,1.00,1.00,1.00,484.92,489.63,488.06,279.95,281.56,282.58,15.73,19.08,15.62
"2021-02-26 23:15:00",0,0,0,284843.59,284868.38,24.77,16383.05,2460.33,0.04,8121.07,300075.03,300483.56,408.53,11.44,-0.58,11.46,1.00,487.85,281.54,14.87,59.94,13.27,-0.69,13.29,28.67,0.52,28.67,-15.96,-1.21,15.96,110719.24,119653.06,54496.05,4.19,2.44,18.14,6248.73,7585.65,2548.68,212.77,53.57,2193.99,0.01,0.01,0.01,3921.29,3462.68,737.10,116176.50,126082.03,56198.48,214.66,55.43,2195.66,3.59,4.26,3.59,-0.23,-0.26,-0.09,3.60,4.27,3.59,1.00,1.00,1.00,484.83,490.10,488.62,280.08,281.56,283.00,13.87,16.94,13.80
"2021-02-26 23:30:00",0,0,0,284846.19,284870.97,24.77,16383.05,2460.33,0.04,8121.19,300077.66,300486.19,408.53,9.82,-0.49,9.83,1.00,487.02,281.06,12.81,60.05,11.63,-0.58,11.65,28.67,0.52,28.67,-15.96,-1.21,15.96,110720.06,119654.03,54496.87,4.19,2.44,18.14,6248.73,7585.65,2548.68,212.77,53.57,2193.99,0.01,0.01,0.01,3921.34,3462.73,737.12,116177.33,126083.01,56199.29,214.66,55.43,2195.66,3.07,3.67,3.08,-0.23,-0.19,-0.07,3.08,3.67,3.08,1.00,1.00,1.00,484.21,489.26,487.59,279.64,281.02,282.53,12.16,14.15,12.10
"2021-02-26 23:45:00",0,0,0,284848.41,284873.19,24.77,16383.05,2460.33,0.04,8121.28,300079.88,300488.41,408.53,8.05,-0.27,8.06,1.00,486.30,280.65,10.48,59.86,9.74,-0.44,9.75,28.67,0.52,28.67,-15.96,-1.21,15.96,110720.76,119654.86,54497.57,4.19,2.44,18.14,6248.73,7585.65,2548.68,212.77,53.57,2193.99,0.01,0.01,0.01,3921.39,3462.76,737.13,116178.02,126083.84,56199.99,214.66,55.43,2195.66,2.51,3.01,2.53,-0.16,-0.11,-0.00,2.52,3.01,2.53,1.00,1.00,1.00,483.39,488.02,487.48,279.54,280.40,282.01,10.24,11.72,9.48
"2021-02-27 00:00:00",0,0,0,284850.19,284874.97,24.77,16383.06,2460.33,0.04,8121.33,300081.66,300490.19,408.53,6.21,-0.09,6.21,1.00,487.14,281.13,7.91,60.01,8.17,-0.28,8.17,28.67,0.52,28.67,-15.96,-1.21,15.96,110721.32,119655.52,54498.13,4.19,2.44,18.14,6248.73,7585.65,2548.68,212.77,53.57,2193.99,0.01,0.01,0.01,3921.41,3462.78,737.13,116178.58,126084.50,56200.55,214.66,55.43,2195.66,1.94,2.32,1.95,-0.07,-0.04,0.03,1.94,2.32,1.95,1.00,1.00,1.00,483.93,489.28,488.21,279.86,280.88,282.66,7.48,8.79,7.46
"2021-02-27 00:15:00",0,0,0,284851.47,284876.25,24.77,16383.07,2460.33,0.04,8121.35,300082.91,300491.44,408.53,4.63,-0.01,4.63,1.00,486.93,281.01,6.14,59.86,6.08,-0.09,6.08,28.67,0.52,28.67,-15.96,-1.21,15.96,110721.71,119656.00,54498.52,4.19,2.44,18.14,6248.73,7585.65,2548.69,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116178.98,126084.98,56200.95,214.66,55.43,2195.66,1.45,1.74,1.45,-0.05,-0.01,0.04,1.45,1.74,1.45,1.00,1.00,1.00,483.81,489.09,487.80,279.70,280.81,282.47,5.81,6.78,5.82
"2021-02-27 00:30:00",0,0,0,284852.19,284876.97,24.77,16383.10,2460.33,0.04,8121.35,300083.69,300492.22,408.53,2.17,0.14,2.18,1.00,486.40,280.71,3.57,60.01,4.66,-0.01,4.66,28.67,0.52,28.67,-15.96,-1.21,15.96,110721.94,119656.28,54498.75,4.19,2.44,18.14,6248.73,7585.66,2548.71,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116179.20,126085.26,56201.18,214.66,55.43,2195.66,0.67,0.82,0.68,0.00,0.05,0.09,0.67,0.83,0.69,1.00,1.00,0.99,483.16,488.54,487.52,279.50,280.40,282.23,3.36,3.88,3.46
"2021-02-27 00:45:00",0,0,0,284852.34,284877.13,24.77,16383.16,2460.33,0.04,8121.35,300083.84,300492.38,408.53,0.32,0.28,0.43,0.75,485.64,280.27,2.17,60.01,1.65,0.17,1.67,28.67,0.52,28.67,-15.96,-1.21,15.96,110721.99,119656.34,54498.80,4.19,2.44,18.14,6248.74,7585.68,2548.74,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116179.25,126085.31,56201.24,214.66,55.43,2195.66,0.10,0.13,0.10,0.05,0.10,0.13,0.11,0.16,0.16,0.90,0.77,0.60,482.69,487.67,486.57,279.15,280.08,281.58,2.00,2.31,2.21
"2021-02-27 01:00:00",0,0,0,284852.38,284877.16,24.77,16383.23,2460.33,0.04,8121.35,300083.94,300492.47,408.53,-0.00,0.24,0.24,-0.01,485.08,279.94,2.09,60.01,0.36,0.28,0.46,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.01,119656.36,54498.82,4.19,2.44,18.14,6248.75,7585.71,2548.77,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116179.27,126085.35,56201.27,214.66,55.43,2195.66,0.00,0.00,-0.00,0.02,0.09,0.12,0.03,0.09,0.12,0.09,-0.00,-0.03,481.92,487.38,485.93,278.65,279.80,281.38,1.91,2.22,2.15
