time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-27 13:30:00",0,0,0,284852.59,284877.38,24.77,16388.52,2460.34,0.04,8121.35,300089.22,300497.75,408.53,0.02,0.42,0.42,0.04,483.20,278.86,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.06,119656.46,54498.88,4.19,2.44,18.14,6250.06,7587.63,2550.84,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.58,126087.28,56203.34,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.06,0.02,479.87,485.14,484.57,277.70,278.37,280.51,0.40,0.57,0.59
"2021-02-27 13:45:00",0,0,0,284852.59,284877.38,24.77,16388.63,2460.34,0.04,8121.35,300089.34,300497.88,408.53,0.02,0.42,0.42,0.04,482.34,278.36,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.06,119656.46,54498.88,4.19,2.44,18.14,6250.08,7587.67,2550.88,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.61,126087.31,56203.38,214.66,55.43,2195.67,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,478.80,484.78,483.42,277.00,278.00,280.09,0.39,0.57,0.60
"2021-02-27 14:00:00",0,0,0,284852.59,284877.38,24.77,16388.73,2460.34,0.04,8121.35,300089.44,300497.97,408.53,0.02,0.42,0.42,0.05,481.81,278.06,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.07,119656.46,54498.88,4.19,2.44,18.14,6250.11,7587.71,2550.92,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.63,126087.35,56203.42,214.66,55.43,2195.67,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.07,0.06,0.03,478.86,484.32,482.24,276.65,277.98,279.54,0.38,0.57,0.61
"2021-02-27 14:15:00",0,0,0,284852.63,284877.41,24.77,16388.84,2460.34,0.04,8121.35,300089.53,300498.06,408.53,0.01,0.42,0.42,0.03,482.24,278.30,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.07,119656.46,54498.88,4.19,2.44,18.14,6250.13,7587.74,2550.96,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.66,126087.39,56203.46,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.02,479.01,484.60,483.11,276.88,278.12,279.90,0.40,0.57,0.58
"2021-02-27 14:30:00",0,0,0,284852.63,284877.41,24.77,16388.94,2460.34,0.04,8121.35,300089.63,300498.16,408.53,0.01,0.42,0.42,0.03,481.00,277.59,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.07,119656.47,54498.88,4.19,2.44,18.14,6250.16,7587.78,2551.00,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.69,126087.43,56203.50,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.02,0.05,0.02,477.63,483.42,481.96,276.18,277.37,279.22,0.39,0.57,0.59
"2021-02-27 14:45:00",0,0,0,284852.69,284877.47,24.77,16389.03,2460.34,0.04,8121.35,300089.72,300498.25,408.53,0.35,0.33,0.49,0.73,484.69,279.72,1.91,60.00,0.03,0.39,0.39,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.09,119656.48,54498.89,4.19,2.44,18.14,6250.17,7587.82,2551.04,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.70,126087.46,56203.54,214.66,55.43,2195.67,0.13,0.13,0.09,0.05,0.14,0.14,0.14,0.19,0.17,0.92,0.69,0.54,481.32,487.52,485.21,278.03,279.76,281.36,1.76,2.05,1.91
"2021-02-27 15:00:00",0,0,0,284852.81,284877.59,24.77,16389.10,2460.34,0.04,8121.35,300089.91,300498.44,408.53,0.80,0.28,0.85,0.94,484.84,279.81,2.16,60.02,0.31,0.32,0.45,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.13,119656.53,54498.93,4.19,2.44,18.14,6250.18,7587.85,2551.07,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.76,126087.52,56203.59,214.66,55.43,2195.67,0.28,0.29,0.23,0.04,0.11,0.13,0.28,0.31,0.26,0.99,0.94,0.86,481.27,487.62,485.64,278.26,279.68,281.49,2.08,2.33,2.08
"2021-02-27 15:15:00",0,0,0,284853.06,284877.84,24.77,16389.17,2460.34,0.04,8121.35,300090.16,300498.69,408.53,1.25,0.24,1.28,0.98,485.06,279.93,2.49,60.01,0.75,0.28,0.81,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.22,119656.63,54499.00,4.19,2.44,18.14,6250.19,7587.87,2551.10,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.84,126087.63,56203.68,214.66,55.43,2195.67,0.45,0.45,0.36,0.02,0.10,0.13,0.45,0.46,0.39,1.00,0.98,0.94,481.54,488.09,485.55,278.16,279.88,281.76,2.51,2.64,2.33
"2021-02-27 15:30:00",0,0,0,284853.44,284878.22,24.77,16389.22,2460.34,0.04,8121.35,300090.56,300499.09,408.53,1.82,0.19,1.83,0.99,485.16,279.99,2.99,60.01,1.22,0.25,1.25,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.36,119656.77,54499.11,4.19,2.44,18.14,6250.19,7587.90,2551.13,212.77,53.57,2193.99,0.01,0.01,0.01,3921.43,3462.79,737.13,116180.98,126087.77,56203.79,214.66,55.43,2195.67,0.63,0.66,0.53,0.01,0.08,0.11,0.63,0.67,0.54,1.00,0.99,0.98,481.73,488.07,485.67,278.37,279.99,281.62,3.02,3.19,2.76
"2021-02-27 15:45:00",0,0,0,284853.97,284878.75,24.77,16389.27,2460.34,0.04,8121.35,300091.09,300499.63,408.53,2.60,0.15,2.60,1.00,486.69,280.88,3.71,60.02,1.76,0.20,1.77,28.67,0.52,28.67,-15.96,-1.21,15.96,110722.55,119656.97,54499.26,4.19,2.44,18.14,6250.19,7587.92,2551.16,212.77,53.57,2193.99,0.01,0.01,0.01,3921.44,3462.79,737.13,116181.17,126087.96,56203.94,214.66,55.43,2195.67,0.91,0.94,0.75,-0.00,0.06,0.09,0.91,0.94,0.76,1.00,1.00,0.99,483.15,489.55,487.37,279.17,280.94,282.52,3.83,3.95,3.37
