time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-27 18:45:00",0,0,0,284899.19,284923.97,24.77,16389.31,2460.34,0.04,8123.42,300136.38,300544.91,408.53,21.22,-1.01,21.25,1.00,491.36,283.57,26.05,60.02,20.62,-0.99,20.65,28.67,0.52,28.67,-15.96,-1.21,15.96,110736.92,119673.81,54513.26,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3922.30,3463.57,737.56,116195.57,126104.83,56217.94,214.66,55.43,2195.67,6.69,7.93,6.60,-0.41,-0.36,-0.23,6.71,7.94,6.61,1.00,1.00,1.00,487.90,493.73,492.46,281.96,283.54,285.22,24.80,29.02,24.33
"2021-02-27 19:00:00",0,0,0,284904.28,284929.06,24.77,16389.31,2460.34,0.04,8123.66,300141.44,300549.97,408.53,20.96,-1.01,20.98,1.00,490.72,283.20,25.77,59.96,20.63,-0.99,20.65,28.67,0.52,28.67,-15.96,-1.21,15.96,110738.52,119675.71,54514.84,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3922.40,3463.66,737.61,116197.17,126106.73,56219.52,214.66,55.43,2195.67,6.60,7.82,6.53,-0.42,-0.38,-0.23,6.63,7.83,6.52,1.00,1.00,1.00,487.87,493.37,490.91,281.34,283.57,284.68,24.59,28.65,24.07
"2021-02-27 19:15:00",0,0,0,284909.47,284934.25,24.77,16389.31,2460.34,0.04,8123.91,300146.63,300555.16,408.53,20.31,-0.99,20.33,1.00,491.37,283.58,25.00,60.01,20.83,-1.00,20.85,28.67,0.52,28.67,-15.96,-1.21,15.96,110740.16,119677.65,54516.45,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3922.49,3463.75,737.67,116198.81,126108.66,56221.14,214.66,55.43,2195.67,6.39,7.59,6.33,-0.39,-0.37,-0.23,6.40,7.60,6.34,1.00,1.00,1.00,487.92,494.07,492.12,281.93,283.71,285.09,23.76,27.87,23.37
"2021-02-27 19:30:00",0,0,0,284914.72,284939.50,24.77,16389.31,2460.34,0.04,8124.17,300151.88,300560.41,408.53,20.36,-1.01,20.38,1.00,491.42,283.61,25.07,60.02,20.46,-0.99,20.48,28.67,0.52,28.67,-15.96,-1.21,15.96,110741.81,119679.60,54518.09,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3922.59,3463.85,737.73,116200.47,126110.63,56222.77,214.66,55.43,2195.67,6.40,7.60,6.36,-0.40,-0.37,-0.24,6.41,7.61,6.36,1.00,1.00,1.00,488.36,493.92,491.98,282.04,283.74,285.04,23.82,27.91,23.48
"2021-02-27 19:45:00",0,0,0,284919.84,284944.63,24.77,16389.31,2460.34,0.04,8124.41,300157.03,300565.56,408.53,20.53,-0.98,20.55,1.00,490.36,283.00,25.31,60.01,20.98,-1.01,21.01,28.67,0.52,28.67,-15.96,-1.21,15.96,110743.42,119681.51,54519.69,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3922.69,3463.94,737.79,116202.09,126112.54,56224.38,214.66,55.43,2195.67,6.45,7.67,6.41,-0.39,-0.35,-0.24,6.46,7.67,6.42,1.00,1.00,1.00,487.05,492.69,491.35,281.41,283.03,284.56,24.03,28.18,23.71
"2021-02-27 20:00:00",0,0,0,284925.16,284949.94,24.77,16389.31,2460.34,0.04,8124.67,300162.34,300570.88,408.53,21.48,-1.02,21.50,1.00,491.38,283.58,26.34,59.89,20.58,-0.99,20.60,28.67,0.52,28.67,-15.96,-1.21,15.96,110745.10,119683.49,54521.35,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3922.79,3464.03,737.85,116203.77,126114.52,56226.04,214.66,55.43,2195.67,6.79,8.03,6.67,-0.39,-0.39,-0.25,6.80,8.04,6.67,1.00,1.00,1.00,488.22,493.73,492.19,281.97,283.72,285.07,25.12,29.35,24.54
"2021-02-27 20:15:00",0,0,0,284930.41,284955.19,24.77,16389.31,2460.34,0.04,8124.92,300167.59,300576.13,408.53,20.28,-0.95,20.30,1.00,491.26,283.52,24.98,60.01,21.45,-1.02,21.47,28.67,0.52,28.67,-15.96,-1.21,15.96,110746.75,119685.45,54522.98,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3922.89,3464.12,737.90,116205.41,126116.48,56227.67,214.66,55.43,2195.67,6.37,7.57,6.34,-0.36,-0.38,-0.22,6.38,7.58,6.34,1.00,1.00,1.00,487.75,494.11,491.92,281.90,283.59,285.05,23.70,27.87,23.36
"2021-02-27 20:30:00",0,0,0,284935.50,284960.28,24.77,16389.31,2460.34,0.04,8125.17,300172.66,300581.19,408.53,21.63,-1.06,21.66,1.00,491.44,283.62,26.55,60.01,20.42,-0.99,20.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110748.35,119687.35,54524.57,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3922.99,3464.22,737.96,116207.02,126118.38,56229.26,214.66,55.43,2195.67,6.83,8.10,6.70,-0.41,-0.41,-0.24,6.85,8.11,6.70,1.00,1.00,1.00,488.10,493.92,492.31,281.92,283.74,285.20,25.34,29.65,24.68
"2021-02-27 20:45:00",0,0,0,284940.75,284965.53,24.77,16389.31,2460.34,0.04,8125.43,300177.94,300586.47,408.53,21.08,-1.00,21.10,1.00,488.71,282.04,26.12,60.01,20.98,-1.03,21.01,28.67,0.52,28.67,-15.96,-1.21,15.96,110750.01,119689.31,54526.21,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3923.09,3464.31,738.02,116208.68,126120.34,56230.90,214.66,55.43,2195.67,6.63,7.85,6.60,-0.39,-0.36,-0.25,6.64,7.85,6.61,1.00,1.00,1.00,485.31,490.84,489.97,280.53,282.00,283.60,24.80,29.01,24.54
"2021-02-27 21:00:00",0,0,0,284945.75,284970.53,24.77,16389.31,2460.34,0.04,8125.66,300182.94,300591.47,408.53,21.15,-1.05,21.17,1.00,488.22,281.76,26.18,60.02,20.92,-1.01,20.94,28.67,0.52,28.67,-15.96,-1.21,15.96,110751.59,119691.17,54527.77,4.19,2.44,18.14,6250.19,7587.93,2551.19,212.77,53.57,2193.99,0.01,0.01,0.01,3923.18,3464.40,738.08,116210.27,126122.21,56232.46,214.66,55.43,2195.67,6.65,7.89,6.57,-0.40,-0.36,-0.21,6.68,7.91,6.58,1.00,1.00,1.00,485.32,490.85,488.48,279.87,282.16,283.24,24.96,29.13,24.45
