time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-28 01:30:00",0,0,0,284988.09,285012.88,24.77,16389.78,2460.34,0.04,8127.58,300225.56,300634.09,408.53,0.03,0.43,0.43,0.07,481.85,278.08,0.54,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.86,119707.01,54541.01,4.19,2.44,18.14,6250.26,7588.11,2551.41,212.77,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.61,126138.14,56245.81,214.66,55.43,2195.67,0.01,0.01,0.00,0.10,0.17,0.16,0.10,0.17,0.16,0.09,0.09,0.02,478.77,483.88,482.89,277.02,277.57,279.65,0.38,0.62,0.61
"2021-02-28 01:45:00",0,0,0,284988.09,285012.88,24.77,16389.88,2460.34,0.04,8127.58,300225.66,300634.19,408.53,0.02,0.41,0.41,0.04,481.89,278.10,0.51,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.86,119707.01,54541.01,4.19,2.44,18.14,6250.29,7588.15,2551.45,212.77,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.63,126138.18,56245.85,214.66,55.43,2195.67,0.01,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.06,0.04,0.03,478.73,484.07,482.87,276.87,277.72,279.72,0.37,0.56,0.60
"2021-02-28 02:00:00",0,0,0,284988.09,285012.88,24.77,16389.99,2460.34,0.04,8127.58,300225.75,300634.28,408.53,0.02,0.42,0.42,0.04,481.43,277.84,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.86,119707.02,54541.01,4.19,2.44,18.14,6250.31,7588.19,2551.49,212.77,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.66,126138.22,56245.89,214.66,55.43,2195.67,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,477.94,483.43,482.91,276.74,277.24,279.53,0.39,0.57,0.60
"2021-02-28 02:15:00",0,0,0,284988.09,285012.88,24.77,16390.10,2460.34,0.04,8127.58,300225.88,300634.41,408.53,0.02,0.42,0.42,0.05,481.97,278.15,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.86,119707.02,54541.01,4.19,2.44,18.14,6250.34,7588.22,2551.53,212.77,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.69,126138.26,56245.93,214.66,55.43,2195.67,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.04,478.81,484.29,482.80,276.92,277.91,279.62,0.39,0.56,0.61
"2021-02-28 02:30:00",0,0,0,284988.09,285012.88,24.77,16390.20,2460.34,0.04,8127.58,300225.97,300634.50,408.53,0.02,0.42,0.42,0.05,481.97,278.15,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.87,119707.02,54541.02,4.19,2.44,18.14,6250.37,7588.26,2551.57,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.71,126138.30,56245.97,214.66,55.43,2195.67,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.06,0.04,478.64,484.72,482.55,276.70,278.00,279.76,0.38,0.57,0.61
"2021-02-28 02:45:00",0,0,0,284988.09,285012.88,24.77,16390.30,2460.34,0.04,8127.58,300226.06,300634.59,408.53,0.01,0.42,0.42,0.03,482.06,278.20,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.87,119707.02,54541.02,4.19,2.44,18.14,6250.39,7588.30,2551.61,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.73,126138.34,56246.01,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.02,0.04,0.02,478.95,483.97,483.26,277.12,277.88,279.62,0.40,0.56,0.60
"2021-02-28 03:00:00",0,0,0,284988.13,285012.91,24.77,16390.41,2460.34,0.04,8127.58,300226.16,300634.69,408.53,0.02,0.42,0.42,0.04,482.03,278.19,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.87,119707.02,54541.02,4.19,2.44,18.14,6250.42,7588.34,2551.65,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.76,126138.38,56246.05,214.66,55.43,2195.67,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,478.67,484.36,483.07,276.89,277.82,279.85,0.39,0.57,0.60
"2021-02-28 03:15:00",0,0,0,284988.13,285012.91,24.77,16390.51,2460.34,0.04,8127.58,300226.31,300634.84,408.53,0.02,0.42,0.42,0.04,482.76,278.61,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.87,119707.02,54541.02,4.19,2.44,18.14,6250.44,7588.38,2551.70,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.78,126138.41,56246.09,214.66,55.43,2195.67,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,479.70,484.96,483.79,277.46,278.31,280.15,0.39,0.57,0.60
"2021-02-28 03:30:00",0,0,0,284988.13,285012.91,24.77,16390.62,2460.34,0.04,8127.58,300226.41,300634.94,408.53,0.02,0.42,0.42,0.04,482.78,278.62,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.87,119707.02,54541.02,4.19,2.44,18.14,6250.47,7588.41,2551.74,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.81,126138.45,56246.13,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,479.53,484.69,484.11,277.54,278.09,280.22,0.39,0.57,0.60
"2021-02-28 03:45:00",0,0,0,284988.13,285012.91,24.77,16390.72,2460.34,0.04,8127.58,300226.50,300635.03,408.53,0.02,0.42,0.42,0.04,483.29,278.91,0.52,59.94,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.87,119707.02,54541.02,4.19,2.44,18.14,6250.50,7588.45,2551.78,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116223.84,126138.48,56246.18,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,480.19,485.20,484.46,277.82,278.49,280.42,0.39,0.57,0.60
