time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-28 13:30:00",0,0,0,284988.31,285013.09,24.77,16394.89,2460.34,0.04,8127.58,300230.69,300639.22,408.53,0.01,0.43,0.43,0.02,485.41,280.14,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.91,119707.11,54541.07,4.19,2.44,18.14,6251.53,7589.97,2553.40,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116224.87,126140.01,56247.79,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.02,0.04,0.01,482.36,487.15,486.72,279.05,279.74,281.62,0.41,0.58,0.58
"2021-02-28 13:45:00",0,0,0,284988.31,285013.09,24.77,16395.00,2460.34,0.04,8127.58,300230.78,300639.31,408.53,0.02,0.43,0.43,0.05,484.72,279.74,0.52,59.95,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.92,119707.11,54541.07,4.19,2.44,18.14,6251.56,7590.01,2553.44,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116224.90,126140.05,56247.84,214.66,55.43,2195.67,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,481.86,486.78,485.51,278.59,279.51,281.12,0.39,0.58,0.61
"2021-02-28 14:00:00",0,0,0,284988.31,285013.09,24.77,16395.11,2460.34,0.04,8127.58,300230.88,300639.41,408.53,0.01,0.42,0.42,0.03,484.54,279.63,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.92,119707.11,54541.07,4.19,2.44,18.14,6251.58,7590.05,2553.48,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116224.92,126140.08,56247.88,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.02,0.04,0.02,481.00,486.58,485.87,278.29,279.14,281.36,0.41,0.58,0.58
"2021-02-28 14:15:00",0,0,0,284988.31,285013.09,24.77,16395.21,2460.34,0.04,8127.58,300231.00,300639.53,408.53,0.02,0.42,0.42,0.04,484.26,279.47,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.92,119707.11,54541.07,4.19,2.44,18.14,6251.61,7590.08,2553.52,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116224.95,126140.12,56247.92,214.66,55.43,2195.67,0.00,0.01,0.01,0.10,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,481.21,486.41,485.13,278.27,279.19,280.94,0.39,0.57,0.60
"2021-02-28 14:30:00",0,0,0,284988.31,285013.09,24.77,16395.32,2460.34,0.04,8127.58,300231.09,300639.63,408.53,0.02,0.43,0.43,0.04,484.11,279.39,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.92,119707.12,54541.07,4.19,2.44,18.14,6251.63,7590.12,2553.56,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116224.98,126140.16,56247.96,214.66,55.43,2195.67,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.05,0.06,0.03,481.17,486.36,484.81,278.03,279.21,280.92,0.39,0.59,0.59
"2021-02-28 14:45:00",0,0,0,284988.34,285013.13,24.77,16395.39,2460.34,0.04,8127.58,300231.19,300639.72,408.53,0.31,0.29,0.42,0.73,484.69,279.72,1.94,59.99,0.04,0.38,0.38,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.93,119707.13,54541.09,4.19,2.44,18.14,6251.65,7590.15,2553.60,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116225.00,126140.19,56248.00,214.66,55.43,2195.67,0.10,0.12,0.09,0.05,0.11,0.13,0.11,0.17,0.16,0.90,0.74,0.56,481.32,487.38,485.38,278.20,279.55,281.41,1.75,2.09,1.98
"2021-02-28 15:00:00",0,0,0,284988.44,285013.22,24.77,16395.46,2460.34,0.04,8127.58,300231.28,300639.81,408.53,0.45,0.30,0.54,0.83,484.47,279.59,1.97,60.01,0.26,0.28,0.39,28.67,0.52,28.67,-15.96,-1.21,15.96,110764.97,119707.16,54541.11,4.19,2.44,18.14,6251.66,7590.18,2553.63,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.13,738.45,116225.02,126140.23,56248.04,214.66,55.43,2195.67,0.14,0.18,0.14,0.05,0.12,0.14,0.15,0.20,0.20,0.93,0.85,0.71,481.12,486.91,485.38,278.18,279.37,281.24,1.78,2.13,2.01
"2021-02-28 15:15:00",0,0,0,284988.91,285013.69,24.77,16395.52,2460.34,0.04,8127.58,300231.75,300640.28,408.53,4.97,-0.00,4.97,1.00,485.13,279.98,6.38,60.01,0.45,0.29,0.54,28.67,0.52,28.67,-15.96,-1.21,15.96,110765.10,119707.34,54541.24,4.19,2.44,18.14,6251.66,7590.20,2553.66,212.78,53.57,2193.99,0.01,0.01,0.01,3923.99,3465.14,738.45,116225.16,126140.41,56248.17,214.66,55.43,2195.67,1.59,1.92,1.46,-0.05,-0.00,0.05,1.59,1.92,1.46,1.00,1.00,1.00,481.93,487.97,485.83,278.41,280.11,281.59,6.17,7.29,5.70
"2021-02-28 15:30:00",0,0,0,284990.06,285014.84,24.77,16395.53,2460.34,0.04,8127.59,300232.91,300641.44,408.53,5.27,-0.03,5.27,1.00,485.24,280.04,6.71,60.02,3.58,0.08,3.59,28.67,0.52,28.67,-15.96,-1.21,15.96,110765.46,119707.77,54541.59,4.19,2.44,18.14,6251.66,7590.20,2553.67,212.78,53.57,2193.99,0.01,0.01,0.01,3924.00,3465.14,738.45,116225.52,126140.84,56248.53,214.66,55.43,2195.67,1.61,1.98,1.68,-0.07,-0.01,0.05,1.61,1.98,1.68,1.00,1.00,1.00,481.89,488.13,485.69,278.32,279.90,281.89,6.23,7.48,6.42
"2021-02-28 15:45:00",0,0,0,284991.84,285016.63,24.77,16395.54,2460.34,0.04,8127.64,300234.69,300643.22,408.53,7.47,-0.18,7.47,1.00,486.02,280.49,9.42,60.01,5.19,-0.01,5.19,28.67,0.52,28.67,-15.96,-1.21,15.96,110766.03,119708.45,54542.14,4.19,2.44,18.14,6251.66,7590.20,2553.68,212.78,53.57,2193.99,0.01,0.01,0.01,3924.03,3465.16,738.45,116226.09,126141.52,56249.07,214.66,55.43,2195.67,2.51,2.86,2.10,-0.08,-0.12,0.03,2.51,2.86,2.10,1.00,1.00,1.00,482.72,488.27,487.08,279.00,280.38,282.09,9.33,11.06,7.88
