time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-02-28 19:30:00",0,0,0,285055.69,285080.47,24.77,16395.54,2460.34,0.04,8130.69,300298.63,300707.16,408.53,22.03,-1.09,22.05,1.00,489.76,282.65,27.13,60.02,21.81,-1.06,21.84,28.67,0.52,28.67,-15.96,-1.21,15.96,110786.19,119732.33,54561.96,4.19,2.44,18.14,6251.66,7590.20,2553.68,212.78,53.57,2193.99,0.01,0.01,0.01,3925.28,3466.31,739.10,116246.30,126165.43,56268.91,214.66,55.43,2195.67,6.98,8.23,6.82,-0.42,-0.43,-0.24,6.99,8.24,6.82,1.00,1.00,1.00,486.37,492.28,490.61,281.13,282.73,284.08,25.97,30.21,25.22
"2021-02-28 19:45:00",0,0,0,285061.03,285085.81,24.77,16395.54,2460.34,0.04,8130.95,300303.97,300712.50,408.53,16.80,-0.68,16.81,1.00,488.99,282.21,20.56,60.02,21.94,-1.06,21.96,28.67,0.52,28.67,-15.96,-1.21,15.96,110787.88,119734.33,54563.61,4.19,2.44,18.14,6251.66,7590.20,2553.68,212.78,53.57,2193.99,0.01,0.01,0.01,3925.38,3466.41,739.16,116247.98,126167.43,56270.55,214.66,55.43,2195.67,6.85,6.60,3.35,-0.39,-0.28,-0.01,6.86,6.61,3.35,1.00,1.00,1.00,486.18,490.94,489.84,281.39,282.62,282.61,25.34,24.10,12.23
"2021-02-28 20:00:00",0,0,0,285066.53,285091.31,24.77,16395.54,2460.34,0.04,8131.22,300309.47,300718.00,408.53,22.65,-1.13,22.68,1.00,489.54,282.52,27.86,60.01,21.20,-1.02,21.22,28.67,0.52,28.67,-15.96,-1.21,15.96,110789.63,119736.38,54565.32,4.19,2.44,18.14,6251.66,7590.20,2553.68,212.78,53.57,2193.99,0.01,0.01,0.01,3925.49,3466.51,739.23,116249.73,126169.48,56272.27,214.66,55.43,2195.67,7.09,8.46,7.08,-0.44,-0.41,-0.27,7.11,8.47,7.09,1.00,1.00,1.00,486.99,491.84,489.78,280.91,282.72,283.93,26.47,30.97,26.16
"2021-02-28 20:15:00",0,0,0,285071.34,285096.13,24.77,16395.54,2460.34,0.04,8131.44,300314.28,300722.81,408.53,22.57,-1.15,22.60,1.00,489.03,282.23,27.79,60.00,22.12,-1.08,22.15,28.67,0.52,28.67,-15.96,-1.21,15.96,110791.13,119738.16,54566.80,4.19,2.44,18.14,6251.66,7590.20,2553.68,212.78,53.57,2193.99,0.01,0.01,0.01,3925.57,3466.59,739.28,116251.24,126171.27,56273.75,214.66,55.43,2195.67,7.24,8.28,7.05,-0.46,-0.43,-0.27,7.25,8.29,7.05,1.00,1.00,1.00,486.12,490.89,490.07,280.89,282.31,283.47,26.87,30.46,26.05
"2021-02-28 20:30:00",0,0,0,285075.41,285100.19,24.77,16395.55,2460.34,0.04,8131.63,300318.38,300726.91,408.53,4.48,0.00,4.48,1.00,487.30,281.23,5.84,60.01,19.53,-0.92,19.55,28.67,0.52,28.67,-15.96,-1.21,15.96,110792.42,119739.69,54568.07,4.19,2.44,18.14,6251.66,7590.20,2553.69,212.78,53.57,2193.99,0.01,0.01,0.01,3925.65,3466.66,739.32,116252.53,126172.79,56275.02,214.66,55.43,2195.67,1.47,1.68,1.33,-0.05,0.00,0.05,1.47,1.68,1.33,1.00,1.00,1.00,484.39,488.94,488.57,280.10,280.97,282.61,5.73,6.47,5.33
"2021-02-28 20:45:00",0,0,0,285080.34,285105.13,24.77,16395.55,2460.34,0.04,8131.87,300323.31,300731.84,408.53,21.63,-1.05,21.66,1.00,490.30,282.96,26.65,60.02,13.71,-0.58,13.70,28.67,0.52,28.67,-15.96,-1.21,15.96,110794.02,119741.55,54569.58,4.19,2.44,18.14,6251.66,7590.20,2553.69,212.78,53.57,2193.99,0.01,0.01,0.01,3925.75,3466.75,739.37,116254.13,126174.68,56276.53,214.66,55.43,2195.67,6.86,8.11,6.67,-0.42,-0.40,-0.24,6.87,8.12,6.67,1.00,1.00,1.00,487.17,492.60,491.13,281.38,283.17,284.33,25.56,29.68,24.72
"2021-02-28 21:00:00",0,0,0,285085.66,285110.44,24.77,16395.55,2460.34,0.04,8132.14,300328.63,300737.16,408.53,20.53,-1.03,20.56,1.00,490.52,283.09,25.28,60.02,21.94,-1.09,21.97,28.67,0.52,28.67,-15.96,-1.21,15.96,110795.70,119743.55,54571.22,4.19,2.44,18.14,6251.66,7590.20,2553.69,212.78,53.57,2193.99,0.01,0.01,0.01,3925.85,3466.85,739.44,116255.81,126176.66,56278.17,214.66,55.43,2195.67,6.56,7.67,6.37,-0.40,-0.37,-0.25,6.57,7.68,6.37,1.00,1.00,1.00,487.60,492.56,491.39,281.47,283.33,284.45,24.40,28.11,23.35
"2021-02-28 21:15:00",0,0,0,285090.75,285115.53,24.77,16395.55,2460.34,0.04,8132.40,300333.72,300742.25,408.53,19.92,-1.04,19.94,1.00,490.70,283.19,24.62,60.01,20.79,-1.05,20.82,28.67,0.52,28.67,-15.96,-1.21,15.96,110797.31,119745.45,54572.79,4.19,2.44,18.14,6251.66,7590.20,2553.69,212.78,53.57,2193.99,0.01,0.01,0.01,3925.95,3466.94,739.50,116257.44,126178.56,56279.74,214.66,55.43,2195.67,6.42,7.57,5.93,-0.40,-0.39,-0.25,6.43,7.58,5.94,1.00,1.00,1.00,487.99,492.84,491.26,281.67,283.65,284.25,23.93,27.74,22.18
"2021-02-28 21:30:00",0,0,0,285095.53,285120.31,24.77,16395.55,2460.34,0.04,8132.64,300338.50,300747.03,408.53,19.40,-1.06,19.42,1.00,491.19,283.47,24.02,60.01,19.84,-1.02,19.86,28.67,0.52,28.67,-15.96,-1.21,15.96,110798.81,119747.23,54574.25,4.19,2.44,18.14,6251.66,7590.20,2553.69,212.78,53.57,2193.99,0.01,0.01,0.01,3926.05,3467.04,739.55,116258.95,126180.35,56281.20,214.66,55.43,2195.67,6.12,7.24,6.04,-0.40,-0.37,-0.28,6.13,7.25,6.04,1.00,1.00,1.00,488.17,493.11,492.29,281.96,283.66,284.80,22.90,26.61,22.55
"2021-02-28 21:45:00",0,0,0,285100.22,285125.00,24.77,16395.55,2460.34,0.04,8132.89,300343.22,300751.75,408.53,18.57,-0.99,18.60,1.00,490.90,283.31,23.08,60.01,19.04,-1.00,19.06,28.67,0.52,28.67,-15.96,-1.21,15.96,110800.31,119749.00,54575.71,4.19,2.44,18.14,6251.66,7590.20,2553.69,212.78,53.57,2193.99,0.01,0.01,0.01,3926.15,3467.13,739.61,116260.44,126182.13,56282.67,214.66,55.43,2195.67,5.85,6.94,5.78,-0.38,-0.37,-0.23,5.86,6.95,5.78,1.00,1.00,1.00,488.03,492.99,491.69,281.84,283.53,284.55,21.98,25.60,21.65
