time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-01 01:30:00",0,0,0,285131.81,285156.59,24.77,16395.90,2460.35,0.04,8134.35,300375.03,300783.56,408.53,0.02,0.42,0.42,0.04,480.87,277.52,0.52,60.01,0.02,0.41,0.41,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.29,119760.84,54585.45,4.19,2.44,18.14,6251.73,7590.32,2553.86,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.48,126194.06,56292.51,214.66,55.43,2195.67,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.96,482.55,482.09,276.58,277.11,278.86,0.39,0.57,0.60
"2021-03-01 01:45:00",0,0,0,285131.81,285156.59,24.77,16396.01,2460.35,0.04,8134.35,300375.13,300783.66,408.53,0.02,0.42,0.42,0.04,480.50,277.30,0.52,59.93,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.29,119760.84,54585.45,4.19,2.44,18.14,6251.75,7590.36,2553.90,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.51,126194.10,56292.55,214.66,55.43,2195.67,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.59,482.40,481.52,276.23,277.05,278.63,0.39,0.57,0.60
"2021-03-01 02:00:00",0,0,0,285131.81,285156.59,24.77,16396.11,2460.35,0.04,8134.35,300375.25,300783.78,408.53,0.02,0.42,0.42,0.04,480.81,277.48,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.29,119760.85,54585.45,4.19,2.44,18.14,6251.78,7590.40,2553.94,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.53,126194.13,56292.59,214.66,55.43,2195.67,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.64,482.88,482.16,276.41,277.12,279.06,0.39,0.57,0.60
"2021-03-01 02:15:00",0,0,0,285131.81,285156.59,24.77,16396.22,2460.35,0.04,8134.35,300375.34,300783.88,408.53,0.02,0.42,0.42,0.04,480.00,277.01,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.29,119760.85,54585.45,4.19,2.44,18.14,6251.80,7590.44,2553.98,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.55,126194.17,56292.63,214.66,55.43,2195.67,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,477.02,481.59,481.31,276.09,276.54,278.36,0.39,0.57,0.60
"2021-03-01 02:30:00",0,0,0,285131.81,285156.59,24.77,16396.32,2460.35,0.04,8134.35,300375.44,300783.97,408.53,0.03,0.42,0.42,0.07,480.42,277.26,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.30,119760.85,54585.45,4.19,2.44,18.14,6251.83,7590.47,2554.02,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.58,126194.21,56292.67,214.66,55.43,2195.67,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.08,0.07,0.06,477.29,482.55,481.43,276.21,276.76,278.79,0.37,0.58,0.62
"2021-03-01 02:45:00",0,0,0,285131.81,285156.59,24.77,16396.42,2460.35,0.04,8134.35,300375.56,300784.09,408.53,0.02,0.42,0.42,0.05,480.54,277.33,0.52,59.88,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.30,119760.85,54585.45,4.19,2.44,18.14,6251.86,7590.51,2554.06,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.61,126194.26,56292.71,214.66,55.43,2195.68,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,477.73,482.09,481.82,276.47,276.87,278.65,0.39,0.57,0.60
"2021-03-01 03:00:00",0,0,0,285131.81,285156.59,24.77,16396.53,2460.35,0.04,8134.35,300375.69,300784.22,408.53,0.02,0.42,0.42,0.04,480.66,277.39,0.52,59.98,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.30,119760.86,54585.46,4.19,2.44,18.14,6251.88,7590.55,2554.10,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.64,126194.29,56292.75,214.66,55.43,2195.68,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,477.72,482.55,481.97,276.40,277.10,278.84,0.40,0.57,0.60
"2021-03-01 03:15:00",0,0,0,285131.84,285156.63,24.77,16396.63,2460.35,0.04,8134.35,300375.78,300784.31,408.53,0.02,0.42,0.42,0.04,480.68,277.40,0.52,59.96,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.30,119760.86,54585.46,4.19,2.44,18.14,6251.91,7590.59,2554.14,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.66,126194.33,56292.79,214.66,55.43,2195.68,0.01,0.01,0.00,0.10,0.16,0.16,0.10,0.16,0.16,0.05,0.06,0.02,477.91,482.76,481.36,276.18,277.29,278.74,0.39,0.58,0.60
"2021-03-01 03:30:00",0,0,0,285131.84,285156.63,24.77,16396.73,2460.35,0.04,8134.35,300375.88,300784.41,408.53,0.02,0.42,0.42,0.04,481.21,277.71,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.30,119760.86,54585.46,4.19,2.44,18.14,6251.93,7590.62,2554.18,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.69,126194.37,56292.83,214.66,55.43,2195.68,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,478.17,483.06,482.39,276.67,277.33,279.13,0.39,0.57,0.60
"2021-03-01 03:45:00",0,0,0,285131.84,285156.63,24.77,16396.84,2460.35,0.04,8134.35,300375.97,300784.50,408.53,0.02,0.42,0.42,0.05,481.14,277.67,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.30,119760.86,54585.46,4.19,2.44,18.14,6251.96,7590.66,2554.22,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116270.71,126194.41,56292.87,214.66,55.43,2195.68,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.02,478.16,483.35,481.92,276.46,277.48,279.08,0.39,0.57,0.61
