time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-01 13:30:00",0,0,0,285132.00,285156.78,24.77,16400.96,2460.36,0.04,8134.35,300380.09,300788.63,408.53,0.01,0.42,0.42,0.03,478.89,276.37,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.34,119760.95,54585.51,4.19,2.44,18.14,6252.98,7592.16,2555.82,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116271.73,126195.90,56294.47,214.67,55.43,2195.68,0.00,0.01,0.00,0.11,0.15,0.15,0.11,0.16,0.15,0.02,0.05,0.02,475.98,480.57,480.11,275.35,276.03,277.74,0.42,0.58,0.57
"2021-03-01 13:45:00",0,0,0,285132.03,285156.81,24.77,16401.06,2460.36,0.04,8134.35,300380.22,300788.75,408.53,0.02,0.42,0.42,0.04,483.46,279.01,0.53,59.95,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.34,119760.95,54585.52,4.19,2.44,18.14,6253.01,7592.20,2555.86,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116271.76,126195.95,56294.51,214.67,55.43,2195.68,0.00,0.01,0.00,0.11,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,480.45,485.42,484.49,278.00,278.63,280.40,0.40,0.58,0.61
"2021-03-01 14:00:00",0,0,0,285132.03,285156.81,24.77,16401.17,2460.36,0.04,8134.35,300380.31,300788.84,408.53,0.02,0.42,0.42,0.05,482.32,278.35,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.35,119760.95,54585.52,4.19,2.44,18.14,6253.03,7592.24,2555.90,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116271.79,126195.98,56294.55,214.67,55.43,2195.68,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,479.53,484.08,483.35,277.48,277.97,279.60,0.39,0.58,0.61
"2021-03-01 14:15:00",0,0,0,285132.03,285156.81,24.77,16401.27,2460.36,0.04,8134.35,300380.41,300788.94,408.53,0.02,0.42,0.42,0.04,482.34,278.36,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.35,119760.95,54585.52,4.19,2.44,18.14,6253.06,7592.27,2555.94,212.78,53.58,2194.00,0.01,0.01,0.01,3926.79,3467.69,739.88,116271.81,126196.02,56294.59,214.67,55.43,2195.68,0.01,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.05,0.05,0.02,479.43,484.22,483.38,277.28,277.97,279.84,0.40,0.59,0.60
"2021-03-01 14:30:00",0,0,0,285132.03,285156.81,24.77,16401.37,2460.36,0.04,8134.35,300380.50,300789.03,408.53,0.21,0.31,0.37,0.56,481.85,278.08,2.04,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.35,119760.96,54585.52,4.19,2.44,18.14,6253.08,7592.31,2555.98,212.78,53.58,2194.01,0.01,0.01,0.01,3926.79,3467.69,739.88,116271.84,126196.05,56294.63,214.67,55.43,2195.68,0.06,0.09,0.06,0.02,0.15,0.14,0.06,0.17,0.16,0.96,0.52,0.39,478.51,484.90,482.13,276.56,277.97,279.71,2.02,1.91,2.20
"2021-03-01 14:45:00",0,0,0,285132.16,285156.94,24.77,16401.44,2460.36,0.04,8134.35,300380.66,300789.19,408.53,0.48,0.31,0.57,0.84,482.33,278.36,2.15,60.02,0.16,0.34,0.39,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.39,119761.01,54585.55,4.19,2.44,18.14,6253.09,7592.34,2556.01,212.78,53.58,2194.01,0.01,0.01,0.01,3926.79,3467.69,739.88,116271.87,126196.11,56294.68,214.67,55.43,2195.68,0.15,0.19,0.15,0.03,0.14,0.14,0.15,0.24,0.20,0.98,0.80,0.74,478.88,484.91,483.19,277.14,278.06,279.87,2.10,2.08,2.28
"2021-03-01 15:00:00",0,0,0,285132.28,285157.06,24.77,16401.52,2460.36,0.04,8134.35,300380.81,300789.34,408.53,0.73,0.28,0.76,0.93,482.58,278.50,2.28,60.01,0.60,0.30,0.68,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.43,119761.06,54585.60,4.19,2.44,18.14,6253.09,7592.38,2556.04,212.78,53.58,2194.01,0.01,0.01,0.01,3926.79,3467.69,739.88,116271.91,126196.18,56294.73,214.67,55.43,2195.68,0.22,0.28,0.23,0.02,0.12,0.14,0.22,0.30,0.27,1.00,0.92,0.85,478.81,484.86,482.88,276.99,278.01,279.82,2.25,2.21,2.39
"2021-03-01 15:15:00",0,0,0,285132.56,285157.34,24.77,16401.58,2460.36,0.04,8134.35,300381.13,300789.66,408.53,1.51,0.23,1.53,0.99,482.20,278.28,2.88,60.02,0.66,0.29,0.72,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.51,119761.16,54585.68,4.19,2.44,18.14,6253.10,7592.41,2556.07,212.78,53.58,2194.01,0.01,0.01,0.01,3926.79,3467.69,739.88,116272.00,126196.29,56294.83,214.67,55.43,2195.68,0.47,0.57,0.47,0.01,0.10,0.12,0.47,0.58,0.48,1.00,0.99,0.97,479.04,484.57,482.99,276.96,277.97,279.91,2.84,2.85,2.94
"2021-03-01 15:30:00",0,0,0,285133.03,285157.81,24.77,16401.63,2460.36,0.04,8134.35,300381.56,300790.09,408.53,2.11,0.17,2.12,1.00,482.12,278.24,3.40,60.01,1.38,0.24,1.40,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.66,119761.34,54585.83,4.19,2.44,18.14,6253.10,7592.43,2556.10,212.78,53.58,2194.01,0.01,0.01,0.01,3926.79,3467.69,739.88,116272.14,126196.46,56294.97,214.67,55.43,2195.68,0.66,0.79,0.66,-0.00,0.07,0.11,0.66,0.79,0.67,1.00,1.00,0.99,478.17,484.87,483.31,276.88,277.82,280.01,3.34,3.50,3.36
"2021-03-01 15:45:00",0,0,0,285133.63,285158.41,24.77,16401.67,2460.36,0.04,8134.35,300382.16,300790.69,408.53,2.22,0.16,2.23,1.00,483.32,278.93,3.50,60.01,2.24,0.18,2.25,28.67,0.52,28.67,-15.96,-1.21,15.96,110810.84,119761.55,54586.01,4.19,2.44,18.14,6253.10,7592.45,2556.12,212.78,53.58,2194.01,0.01,0.01,0.01,3926.79,3467.69,739.88,116272.33,126196.69,56295.16,214.67,55.43,2195.68,0.69,0.84,0.69,-0.00,0.08,0.09,0.69,0.84,0.70,1.00,1.00,0.99,480.03,485.72,484.20,277.62,278.67,280.49,3.41,3.61,3.47
"2021-03-01 16:00:00",0,0,0,285134.31,285159.09,24.77,16401.71,2460.36,0.04,8134.36,300382.84,300791.38,408.53,3.77,0.08,3.76,1.00,482.84,278.65,5.06,59.95,2.23,0.16,2.24,28.67,0.52,28.67,-15.96,-1.21,15.96,110811.05,119761.81,54586.22,4.19,2.44,18.14,6253.10,7592.46,2556.14,212.78,53.58,2194.01,0.01,0.01,0.01,3926.79,3467.69,739.88,116272.54,126196.95,56295.38,214.67,55.43,2195.68,1.18,1.42,1.16,-0.03,0.04,0.07,1.18,1.42,1.17,1.00,1.00,1.00,479.81,485.17,484.14,277.58,278.45,280.28,4.88,5.51,4.82
"2021-03-01 16:15:00",0,0,0,285135.78,285160.56,24.77,16401.73,2460.36,0.04,8134.38,300384.31,300792.84,408.53,8.73,-0.29,8.73,1.00,484.52,279.63,11.49,60.01,3.61,0.10,3.61,28.67,0.52,28.67,-15.96,-1.21,15.96,110811.51,119762.37,54586.68,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3926.80,3467.70,739.88,116273.00,126197.49,56295.83,214.67,55.43,2195.68,2.74,3.31,2.67,-0.15,-0.12,-0.01,2.75,3.31,2.67,1.00,1.00,1.00,481.06,487.03,485.48,278.23,279.55,281.09,11.01,12.76,10.70
"2021-03-01 16:30:00",0,0,0,285138.84,285163.63,24.77,16401.73,2460.36,0.04,8134.50,300387.38,300795.91,408.53,12.59,-0.52,12.60,1.00,485.29,280.07,16.15,60.01,9.13,-0.24,9.13,28.67,0.52,28.67,-15.96,-1.21,15.96,110812.49,119763.53,54587.62,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3926.86,3467.75,739.89,116273.98,126198.66,56296.77,214.67,55.43,2195.68,3.98,4.71,3.89,-0.22,-0.24,-0.06,3.99,4.72,3.89,1.00,1.00,1.00,482.07,487.59,486.20,278.68,279.95,281.56,15.27,18.31,14.86
"2021-03-01 16:45:00",0,0,0,285142.06,285166.84,24.77,16401.73,2460.36,0.04,8134.64,300390.59,300799.13,408.53,15.55,-0.77,15.57,1.00,485.94,280.44,20.02,59.99,11.54,-0.45,11.55,28.67,0.52,28.67,-15.96,-1.21,15.96,110813.51,119764.75,54588.58,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3926.93,3467.81,739.91,116275.01,126199.88,56297.73,214.67,55.43,2195.68,4.91,5.89,4.81,-0.33,-0.28,-0.14,4.91,5.89,4.77,1.00,1.00,1.00,483.13,488.04,486.64,279.07,280.49,281.77,19.17,22.33,18.57
"2021-03-01 17:00:00",0,0,0,285145.84,285170.63,24.77,16401.73,2460.36,0.04,8134.82,300394.41,300802.94,408.53,15.73,-0.78,15.75,1.00,487.10,281.11,20.16,60.02,15.01,-0.71,15.02,28.67,0.52,28.67,-15.96,-1.21,15.96,110814.71,119766.19,54589.74,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.00,3467.88,739.94,116276.20,126201.32,56298.89,214.67,55.43,2195.68,4.95,6.01,4.78,-0.35,-0.27,-0.16,4.96,6.01,4.78,1.00,1.00,1.00,483.91,489.35,487.30,279.26,281.21,282.44,19.30,22.66,18.56
"2021-03-01 17:15:00",0,0,0,285149.22,285174.00,24.77,16401.73,2460.36,0.04,8134.98,300397.75,300806.28,408.53,10.75,-0.42,10.76,1.00,486.06,280.51,13.83,60.02,14.31,-0.66,14.33,28.67,0.52,28.67,-15.96,-1.21,15.96,110815.77,119767.46,54590.78,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.07,3467.94,739.97,116277.26,126202.60,56299.93,214.67,55.43,2195.68,3.28,4.05,3.42,-0.23,-0.15,-0.04,3.29,4.05,3.42,1.00,1.00,1.00,483.15,488.67,486.37,278.92,280.55,282.06,12.92,15.31,13.25
"2021-03-01 17:30:00",0,0,0,285152.16,285176.94,24.77,16401.73,2460.36,0.04,8135.10,300400.72,300809.25,408.53,13.49,-0.59,13.50,1.00,486.58,280.81,17.20,59.94,12.25,-0.54,12.26,28.67,0.52,28.67,-15.96,-1.21,15.96,110816.70,119768.57,54591.70,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.13,3467.98,739.99,116278.19,126203.71,56300.84,214.67,55.43,2195.68,4.20,4.99,4.31,-0.24,-0.25,-0.09,4.20,4.99,4.31,1.00,1.00,1.00,483.54,489.09,487.11,279.15,280.85,282.44,16.03,19.24,16.31
"2021-03-01 17:45:00",0,0,0,285156.25,285181.03,24.77,16401.73,2460.36,0.04,8135.30,300404.81,300813.34,408.53,13.51,-0.56,13.60,1.00,486.24,280.62,17.32,60.01,14.09,-0.64,14.10,28.67,0.52,28.67,-15.96,-1.21,15.96,110817.98,119770.11,54592.97,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.21,3468.06,740.03,116279.47,126205.24,56302.12,214.67,55.43,2195.68,4.19,5.09,4.24,-0.22,-0.26,-0.08,4.19,5.09,4.24,1.00,1.00,1.00,483.12,488.89,487.54,279.19,280.72,282.41,15.98,19.62,16.08
"2021-03-01 18:00:00",0,0,0,285159.22,285184.00,24.77,16401.73,2460.36,0.04,8135.42,300407.78,300816.31,408.53,10.74,-0.37,10.72,1.00,486.02,280.49,13.82,60.01,14.63,-0.67,14.64,28.67,0.52,28.67,-15.96,-1.21,15.96,110818.89,119771.22,54593.89,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.27,3468.11,740.04,116280.40,126206.36,56303.05,214.67,55.43,2195.68,3.39,3.97,3.38,-0.19,-0.14,-0.04,3.40,3.97,3.38,1.00,1.00,1.00,482.91,488.53,486.63,278.95,280.35,282.16,13.28,15.06,13.13
"2021-03-01 18:15:00",0,0,0,285161.91,285186.69,24.77,16401.73,2460.36,0.04,8135.52,300410.50,300819.03,408.53,10.33,-0.39,10.34,1.00,487.10,281.11,13.34,60.01,11.20,-0.43,11.21,28.67,0.52,28.67,-15.96,-1.21,15.96,110819.74,119772.23,54594.74,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.32,3468.14,740.05,116281.24,126207.37,56303.89,214.67,55.43,2195.68,3.22,3.86,3.25,-0.21,-0.14,-0.04,3.22,3.86,3.25,1.00,1.00,1.00,483.82,489.76,487.71,279.57,280.99,282.76,12.68,14.69,12.66
"2021-03-01 18:30:00",0,0,0,285164.75,285189.53,24.77,16401.73,2460.36,0.04,8135.63,300413.31,300821.84,408.53,9.99,-0.36,9.99,1.00,486.39,280.70,12.98,60.01,10.81,-0.40,10.82,28.67,0.52,28.67,-15.96,-1.21,15.96,110820.61,119773.29,54595.63,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.37,3468.19,740.07,116282.12,126208.42,56304.79,214.67,55.43,2195.68,3.06,3.76,3.17,-0.19,-0.14,-0.04,3.06,3.77,3.17,1.00,1.00,1.00,483.35,488.67,487.16,279.27,280.57,282.27,12.15,14.37,12.41
"2021-03-01 18:45:00",0,0,0,285168.56,285193.34,24.77,16401.73,2460.36,0.04,8135.81,300417.16,300825.69,408.53,17.16,-0.82,17.18,1.00,487.86,281.55,21.96,60.01,12.04,-0.51,12.05,28.67,0.52,28.67,-15.96,-1.21,15.96,110821.80,119774.73,54596.84,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.45,3468.26,740.10,116283.31,126209.86,56305.99,214.67,55.43,2195.68,5.48,6.45,5.42,-0.35,-0.29,-0.22,5.49,6.46,5.42,1.00,1.00,1.00,485.35,490.70,489.48,280.35,281.96,283.46,21.23,24.35,20.88
"2021-03-01 19:00:00",0,0,0,285173.00,285197.78,24.77,16401.73,2460.36,0.04,8136.03,300421.56,300830.09,408.53,14.79,-0.77,14.81,1.00,488.51,281.92,19.28,60.02,17.38,-0.86,17.40,28.67,0.52,28.67,-15.96,-1.21,15.96,110823.20,119776.39,54598.18,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.54,3468.34,740.15,116284.71,126211.53,56307.34,214.67,55.43,2195.68,4.68,5.69,4.42,-0.33,-0.26,-0.18,4.69,5.69,4.43,1.00,1.00,1.00,485.47,490.36,489.69,280.45,281.87,283.45,18.51,21.72,17.59
"2021-03-01 19:15:00",0,0,0,285177.00,285201.78,24.77,16401.73,2460.36,0.04,8136.22,300425.56,300834.09,408.53,22.23,-1.08,22.25,1.00,488.85,282.12,27.70,60.01,16.28,-0.80,16.30,28.67,0.52,28.67,-15.96,-1.21,15.96,110824.46,119777.91,54599.40,4.19,2.44,18.14,6253.10,7592.47,2556.16,212.78,53.58,2194.01,0.01,0.01,0.01,3927.63,3468.41,740.18,116285.98,126213.05,56308.56,214.67,55.43,2195.68,6.94,8.32,6.97,-0.42,-0.40,-0.26,6.95,8.33,6.97,1.00,1.00,1.00,485.76,491.01,489.78,280.57,282.11,283.68,26.22,30.78,26.10
