time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-02 10:30:00",0,0,0,285242.38,285267.16,24.77,16405.97,2460.37,0.04,8138.97,300494.84,300903.38,408.54,0.02,0.42,0.42,0.04,484.66,279.71,0.52,60.02,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.97,119802.46,54619.75,4.19,2.44,18.14,6254.10,7594.01,2557.87,212.78,53.58,2194.01,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.45,126239.02,56330.42,214.67,55.43,2195.69,0.01,0.01,0.00,0.10,0.16,0.16,0.11,0.15,0.17,0.03,0.05,0.03,482.23,486.24,485.52,278.92,279.44,280.76,0.39,0.56,0.61
"2021-03-02 10:45:00",0,0,0,285242.41,285267.19,24.77,16406.08,2460.37,0.04,8138.97,300494.97,300903.50,408.54,0.02,0.43,0.42,0.06,484.61,279.68,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.97,119802.46,54619.75,4.19,2.44,18.14,6254.13,7594.05,2557.91,212.78,53.58,2194.01,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.48,126239.05,56330.46,214.67,55.43,2195.69,0.01,0.01,0.00,0.10,0.16,0.16,0.10,0.16,0.16,0.07,0.05,0.02,482.30,486.49,485.34,278.70,279.51,280.99,0.38,0.61,0.59
"2021-03-02 11:00:00",0,0,0,285242.41,285267.19,24.77,16406.18,2460.37,0.04,8138.97,300495.06,300903.59,408.54,0.02,0.42,0.42,0.05,484.22,279.45,0.52,60.01,0.02,0.42,0.43,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.97,119802.47,54619.75,4.19,2.44,18.14,6254.15,7594.08,2557.95,212.78,53.58,2194.01,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.50,126239.09,56330.50,214.67,55.43,2195.69,0.01,0.01,0.01,0.11,0.15,0.16,0.11,0.15,0.16,0.05,0.06,0.03,481.68,485.90,485.10,278.56,279.14,280.67,0.39,0.57,0.60
"2021-03-02 11:15:00",0,0,0,285242.41,285267.19,24.77,16406.29,2460.38,0.04,8138.97,300495.16,300903.69,408.54,0.02,0.43,0.43,0.04,483.72,279.16,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.97,119802.47,54619.75,4.19,2.44,18.14,6254.18,7594.12,2557.99,212.78,53.58,2194.01,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.52,126239.13,56330.54,214.67,55.43,2195.69,0.01,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.06,0.05,0.02,481.37,485.17,484.62,278.33,278.81,280.35,0.39,0.58,0.59
"2021-03-02 11:30:00",0,0,0,285242.41,285267.19,24.77,16406.39,2460.38,0.04,8138.97,300495.28,300903.81,408.54,0.02,0.42,0.42,0.05,483.66,279.13,0.52,60.06,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.97,119802.47,54619.75,4.19,2.44,18.14,6254.20,7594.16,2558.03,212.78,53.58,2194.02,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.55,126239.16,56330.58,214.67,55.43,2195.69,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.02,0.05,0.01,481.25,485.59,484.14,278.11,278.92,280.35,0.38,0.58,0.61
"2021-03-02 11:45:00",0,0,0,285242.41,285267.19,24.77,16406.50,2460.38,0.04,8138.97,300495.38,300903.91,408.54,0.02,0.42,0.42,0.04,481.96,278.15,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.97,119802.47,54619.75,4.19,2.44,18.14,6254.23,7594.20,2558.07,212.78,53.58,2194.02,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.58,126239.20,56330.62,214.67,55.43,2195.69,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.04,479.15,483.37,482.92,277.26,277.58,279.35,0.39,0.57,0.61
"2021-03-02 12:00:00",0,0,0,285242.41,285267.19,24.77,16406.60,2460.38,0.04,8138.97,300495.47,300904.00,408.54,0.02,0.42,0.42,0.04,481.83,278.07,0.53,59.93,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.98,119802.48,54619.75,4.19,2.44,18.14,6254.25,7594.24,2558.11,212.78,53.58,2194.02,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.61,126239.24,56330.66,214.67,55.43,2195.69,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.05,0.05,0.03,479.02,483.41,483.07,277.20,277.57,279.44,0.40,0.58,0.60
"2021-03-02 12:15:00",0,0,0,285242.41,285267.19,24.77,16406.71,2460.38,0.04,8138.97,300495.63,300904.16,408.54,0.02,0.42,0.42,0.04,480.92,277.54,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.98,119802.48,54619.75,4.19,2.44,18.14,6254.28,7594.28,2558.15,212.78,53.58,2194.02,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.63,126239.28,56330.70,214.67,55.43,2195.69,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,478.22,482.58,481.96,276.63,277.17,278.84,0.40,0.57,0.60
"2021-03-02 12:30:00",0,0,0,285242.44,285267.22,24.77,16406.81,2460.38,0.04,8138.97,300495.72,300904.25,408.54,0.02,0.42,0.42,0.04,479.99,277.01,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.98,119802.48,54619.75,4.19,2.44,18.14,6254.31,7594.31,2558.19,212.79,53.58,2194.02,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.66,126239.32,56330.74,214.67,55.43,2195.69,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,477.52,481.41,480.64,276.15,276.65,277.99,0.39,0.57,0.60
"2021-03-02 12:45:00",0,0,0,285242.44,285267.22,24.77,16406.91,2460.38,0.04,8138.97,300495.81,300904.34,408.54,0.02,0.42,0.42,0.04,481.47,277.86,0.53,59.94,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.21,15.96,110844.98,119802.48,54619.76,4.19,2.44,18.14,6254.33,7594.35,2558.23,212.79,53.58,2194.02,0.01,0.01,0.01,3928.82,3469.43,740.72,116307.69,126239.36,56330.79,214.67,55.43,2195.69,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,478.89,483.50,482.53,277.05,277.60,279.23,0.39,0.57,0.61
