time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-02 16:30:00",0,0,0,285249.09,285273.88,24.77,16407.78,2460.38,0.04,8139.06,300503.16,300911.69,408.54,8.15,-0.30,8.16,1.00,486.42,280.72,10.37,60.01,4.48,-0.05,4.48,28.67,0.52,28.67,-15.96,-1.21,15.96,110847.07,119804.99,54621.84,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3928.89,3469.45,740.72,116309.95,126242.10,56333.13,214.67,55.43,2195.69,2.59,3.08,2.48,-0.12,-0.19,-0.01,2.58,3.07,2.51,1.00,1.00,1.00,483.47,488.67,487.11,279.21,280.70,282.24,9.67,12.06,9.39
"2021-03-02 16:45:00",0,0,0,285252.00,285276.78,24.77,16407.78,2460.38,0.04,8139.23,300506.03,300914.56,408.54,12.81,-0.74,12.83,1.00,487.33,281.25,16.23,60.02,7.44,-0.29,7.44,28.67,0.52,28.67,-15.96,-1.21,15.96,110847.98,119806.07,54622.72,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3928.96,3469.52,740.75,116310.85,126243.19,56334.02,214.67,55.43,2195.69,4.09,4.81,3.92,-0.27,-0.33,-0.14,4.10,4.82,3.92,1.00,1.00,1.00,483.92,489.59,488.01,279.60,281.10,282.76,15.56,18.53,14.87
"2021-03-02 17:00:00",0,0,0,285255.53,285280.31,24.77,16407.78,2460.38,0.04,8139.46,300509.59,300918.13,408.54,14.63,-0.98,14.66,1.00,487.57,281.38,18.84,60.01,12.90,-0.79,12.92,28.67,0.52,28.67,-15.96,-1.21,15.96,110849.10,119807.41,54623.79,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3929.05,3469.61,740.80,116311.98,126244.53,56335.09,214.67,55.43,2195.69,4.64,5.54,4.45,-0.35,-0.39,-0.23,4.65,5.55,4.45,1.00,1.00,1.00,484.14,489.80,488.76,280.09,281.22,282.85,18.09,21.06,17.36
"2021-03-02 17:15:00",0,0,0,285259.06,285283.84,24.77,16407.78,2460.38,0.04,8139.69,300513.16,300921.69,408.54,15.29,-1.02,15.32,1.00,487.92,281.58,19.61,60.02,14.46,-0.94,14.49,28.67,0.52,28.67,-15.96,-1.21,15.96,110850.23,119808.76,54624.88,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3929.13,3469.71,740.85,116313.11,126245.88,56336.18,214.67,55.43,2195.69,4.79,5.81,4.68,-0.37,-0.41,-0.24,4.81,5.82,4.69,1.00,1.00,1.00,484.72,490.84,488.21,279.78,281.90,283.08,18.65,21.98,18.22
"2021-03-02 17:30:00",0,0,0,285261.97,285286.75,24.77,16407.78,2460.38,0.04,8139.86,300516.06,300924.59,408.54,11.27,-0.64,11.29,1.00,488.14,281.71,14.35,60.01,13.82,-0.88,13.85,28.67,0.52,28.67,-15.96,-1.21,15.96,110851.14,119809.84,54625.79,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3929.20,3469.78,740.88,116314.02,126246.98,56337.09,214.67,55.43,2195.69,3.66,4.28,3.52,-0.27,-0.26,-0.12,3.61,4.21,3.47,1.00,1.00,1.00,485.14,490.75,488.53,280.13,281.86,283.14,13.81,15.91,13.34
"2021-03-02 17:45:00",0,0,0,285264.06,285288.84,24.77,16407.78,2460.38,0.04,8139.95,300518.13,300926.66,408.54,15.33,-1.01,15.29,1.00,488.02,281.64,19.56,60.09,9.67,-0.53,9.68,28.67,0.52,28.67,-15.96,-1.21,15.96,110851.80,119810.62,54626.45,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3929.24,3469.82,740.89,116314.69,126247.74,56337.75,214.67,55.43,2195.69,4.96,5.49,4.89,-0.39,-0.37,-0.26,4.98,5.50,4.89,1.00,1.00,1.00,484.83,490.46,488.57,279.98,281.62,283.22,19.13,20.95,18.84
"2021-03-02 18:00:00",0,0,0,285268.56,285293.34,24.77,16407.78,2460.38,0.04,8140.25,300522.66,300931.19,408.54,19.10,-1.26,19.14,1.00,489.37,282.42,23.94,60.01,11.90,-0.66,11.92,28.67,0.52,28.67,-15.96,-1.21,15.96,110853.22,119812.27,54627.86,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3929.34,3469.93,740.97,116316.11,126249.41,56339.17,214.67,55.43,2195.69,6.02,7.10,5.98,-0.43,-0.48,-0.35,6.04,7.12,5.99,1.00,1.00,1.00,485.89,491.67,490.54,280.84,282.33,284.09,22.76,26.52,22.53
"2021-03-02 18:15:00",0,0,0,285273.44,285298.22,24.77,16407.78,2460.38,0.04,8140.56,300527.56,300936.09,408.54,20.46,-1.30,20.50,1.00,489.28,282.37,25.49,59.92,18.64,-1.21,18.68,28.67,0.52,28.67,-15.96,-1.21,15.96,110854.75,119814.10,54629.38,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3929.46,3470.06,741.05,116317.65,126251.23,56340.69,214.67,55.43,2195.69,6.45,7.63,6.38,-0.47,-0.50,-0.33,6.47,7.65,6.39,1.00,1.00,1.00,486.28,491.40,490.15,280.87,282.40,283.83,24.24,28.32,23.90
"2021-03-02 18:30:00",0,0,0,285278.63,285303.41,24.77,16407.78,2460.38,0.04,8140.90,300532.72,300941.25,408.54,20.90,-1.39,20.94,1.00,489.76,282.65,25.97,60.01,20.13,-1.31,20.17,28.67,0.52,28.67,-15.96,-1.31,15.96,110856.39,119816.04,54631.00,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3929.57,3470.19,741.14,116319.29,126253.17,56342.31,214.67,55.43,2195.69,6.59,7.81,6.51,-0.48,-0.52,-0.35,6.61,7.82,6.52,1.00,1.00,1.00,486.32,491.79,490.15,280.75,282.61,283.99,24.73,28.89,24.32
"2021-03-02 18:45:00",0,0,0,285283.78,285308.56,24.77,16407.78,2460.38,0.04,8141.23,300537.88,300946.41,408.54,21.62,-1.41,21.65,1.00,490.30,282.96,26.77,60.02,20.84,-1.35,20.89,28.67,0.52,28.67,-15.96,-1.35,15.96,110858.02,119817.95,54632.59,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3929.69,3470.32,741.22,116320.91,126255.09,56343.91,214.67,55.43,2195.69,6.83,8.07,6.72,-0.48,-0.56,-0.37,6.85,8.09,6.73,1.00,1.00,1.00,487.56,492.42,491.09,281.41,283.20,284.37,25.54,29.77,25.06
