time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-02 19:30:00",0,0,0,285297.81,285322.59,24.77,16407.78,2460.38,0.04,8142.15,300552.00,300960.53,408.54,20.92,-1.31,21.03,1.00,487.18,281.16,26.24,60.01,18.74,-1.21,18.78,28.67,0.52,28.67,-15.96,-1.35,15.96,110862.45,119823.20,54636.96,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.02,3470.68,741.44,116325.38,126260.37,56348.28,214.67,55.43,2195.69,6.58,7.83,6.51,-0.46,-0.52,-0.33,6.60,7.84,6.52,1.00,1.00,1.00,484.65,489.55,487.55,279.54,281.58,282.48,24.84,29.09,24.48
"2021-03-02 19:45:00",0,0,0,285303.06,285327.84,24.77,16407.78,2460.38,0.04,8142.48,300557.25,300965.78,408.54,21.32,-1.31,21.38,1.00,487.98,281.62,26.63,60.02,20.85,-1.32,20.90,28.67,0.52,28.67,-15.96,-1.35,15.96,110864.12,119825.16,54638.60,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.13,3470.81,741.53,116327.03,126262.32,56349.92,214.67,55.43,2195.69,6.73,7.95,6.63,-0.47,-0.50,-0.34,6.75,7.97,6.64,1.00,1.00,1.00,485.05,490.75,487.74,279.72,282.03,282.88,25.43,29.57,24.87
"2021-03-02 20:00:00",0,0,0,285308.31,285333.09,24.77,16407.78,2460.38,0.04,8142.80,300562.50,300971.03,408.54,22.02,-1.34,22.06,1.00,488.46,281.89,27.39,59.99,20.45,-1.30,20.49,28.67,0.52,28.67,-15.96,-1.35,15.96,110865.78,119827.12,54640.22,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.25,3470.94,741.61,116328.71,126264.28,56351.54,214.67,55.43,2195.69,6.96,8.22,6.84,-0.47,-0.52,-0.35,6.98,8.23,6.85,1.00,1.00,1.00,485.63,490.59,489.14,280.36,282.09,283.23,26.15,30.44,25.59
"2021-03-02 20:15:00",0,0,0,285313.53,285338.31,24.77,16407.78,2460.38,0.04,8143.14,300567.75,300976.28,408.54,20.09,-1.30,20.13,1.00,487.02,281.06,25.27,60.01,21.48,-1.34,21.52,28.67,0.52,28.67,-15.96,-1.35,15.96,110867.43,119829.06,54641.85,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.37,3471.08,741.69,116330.35,126266.23,56353.17,214.67,55.43,2195.69,6.29,7.51,6.28,-0.46,-0.51,-0.32,6.31,7.53,6.29,1.00,1.00,1.00,484.33,489.22,487.50,279.38,281.40,282.41,23.92,28.10,23.80
"2021-03-02 20:30:00",0,0,0,285318.84,285343.63,24.77,16407.78,2460.38,0.04,8143.48,300573.03,300981.56,408.54,21.09,-1.34,21.14,1.00,487.73,281.47,26.44,60.02,20.76,-1.35,20.80,28.67,0.52,28.67,-15.96,-1.35,15.96,110869.10,119831.04,54643.50,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.49,3471.21,741.78,116332.03,126268.21,56354.82,214.67,55.43,2195.69,6.68,7.86,6.56,-0.47,-0.55,-0.35,6.70,7.89,6.55,1.00,1.00,1.00,484.68,489.84,488.67,279.96,281.66,282.81,25.25,29.38,24.68
"2021-03-02 20:45:00",0,0,0,285324.06,285348.84,24.77,16407.78,2460.38,0.04,8143.82,300578.28,300986.81,408.54,20.76,-1.38,20.81,1.00,487.10,281.11,26.06,60.01,21.13,-1.36,21.18,28.67,0.52,28.67,-15.96,-1.36,15.96,110870.75,119832.99,54645.12,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.61,3471.34,741.87,116333.69,126270.17,56356.45,214.67,55.43,2195.69,6.56,7.76,6.44,-0.49,-0.54,-0.35,6.58,7.78,6.45,1.00,1.00,1.00,484.35,489.18,488.10,279.73,281.28,282.51,24.83,29.00,24.32
"2021-03-02 21:00:00",0,0,0,285329.19,285353.97,24.77,16407.78,2460.38,0.04,8144.15,300583.38,300991.91,408.54,20.26,-1.29,20.30,1.00,486.93,281.01,25.45,60.01,20.77,-1.35,20.82,28.67,0.52,28.67,-15.96,-1.36,15.96,110872.37,119834.90,54646.71,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.73,3471.48,741.95,116335.30,126272.09,56358.04,214.67,55.43,2195.69,6.38,7.56,6.31,-0.45,-0.52,-0.32,6.40,7.58,6.32,1.00,1.00,1.00,484.27,488.44,488.07,279.69,281.08,282.27,24.19,28.28,23.87
"2021-03-02 21:15:00",0,0,0,285334.16,285358.94,24.77,16407.78,2460.38,0.04,8144.48,300588.38,300996.91,408.54,19.39,-1.28,19.44,1.00,487.06,281.09,24.49,60.02,20.25,-1.32,20.29,28.67,0.52,28.67,-15.96,-1.36,15.96,110873.92,119836.75,54648.25,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.84,3471.60,742.03,116336.87,126273.95,56359.59,214.67,55.43,2195.69,6.13,7.23,6.03,-0.46,-0.52,-0.30,6.14,7.25,6.04,1.00,1.00,1.00,484.13,489.33,487.72,279.75,281.09,282.42,23.36,27.24,22.88
"2021-03-02 21:30:00",0,0,0,285338.91,285363.69,24.77,16407.78,2460.38,0.04,8144.80,300593.16,301001.69,408.54,18.74,-1.29,18.79,1.00,487.40,281.28,23.76,60.01,19.49,-1.30,19.54,28.67,0.52,28.67,-15.96,-1.36,15.96,110875.44,119838.53,54649.74,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3930.96,3471.73,742.12,116338.38,126275.73,56361.07,214.67,55.43,2195.69,5.91,7.00,5.85,-0.48,-0.49,-0.31,5.93,7.00,5.85,1.00,1.00,1.00,484.83,489.58,487.79,279.71,281.47,282.67,22.66,26.32,22.29
"2021-03-02 21:45:00",0,0,0,285343.50,285368.28,24.77,16407.78,2460.38,0.04,8145.12,300597.72,301006.25,408.54,17.92,-1.23,17.96,1.00,485.72,280.31,22.91,60.01,18.81,-1.27,18.85,28.67,0.52,28.67,-15.96,-1.36,15.96,110876.88,119840.23,54651.17,4.19,2.44,18.14,6254.51,7594.64,2558.64,212.79,53.58,2194.02,0.01,0.01,0.01,3931.07,3471.85,742.19,116339.83,126277.44,56362.50,214.67,55.43,2195.69,5.64,6.69,5.59,-0.44,-0.48,-0.30,5.66,6.71,5.59,1.00,1.00,1.00,482.88,487.74,486.16,278.81,280.44,281.47,21.80,25.43,21.49
