time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-03 07:30:00",0,0,0,285369.28,285394.06,24.77,16410.67,2460.39,0.04,8146.53,300626.16,301034.69,408.54,0.02,0.42,0.42,0.03,483.53,279.06,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.96,119849.89,54659.22,4.19,2.44,18.14,6255.19,7595.67,2559.81,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.56,126288.05,56371.61,214.67,55.44,2195.70,0.01,0.01,0.00,0.10,0.16,0.16,0.10,0.16,0.16,0.06,0.06,0.03,480.85,485.28,483.85,277.86,278.76,280.18,0.38,0.57,0.59
"2021-03-03 07:45:00",0,0,0,285369.31,285394.09,24.77,16410.77,2460.39,0.04,8146.53,300626.31,301034.84,408.54,0.01,0.42,0.42,0.04,483.16,278.84,0.52,59.98,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.97,119849.90,54659.22,4.19,2.44,18.14,6255.21,7595.71,2559.85,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.59,126288.09,56371.65,214.67,55.44,2195.70,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.05,0.02,480.36,484.97,484.15,277.84,278.50,280.18,0.39,0.56,0.59
"2021-03-03 08:00:00",0,0,0,285369.31,285394.09,24.77,16410.88,2460.39,0.04,8146.53,300626.41,301034.94,408.54,0.02,0.42,0.42,0.04,483.62,279.11,0.52,59.92,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.97,119849.90,54659.22,4.19,2.44,18.14,6255.24,7595.75,2559.89,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.63,126288.13,56371.69,214.67,55.44,2195.70,0.00,0.01,0.01,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,480.96,485.27,484.64,278.23,278.72,280.38,0.39,0.57,0.60
"2021-03-03 08:15:00",0,0,0,285369.31,285394.09,24.77,16410.98,2460.39,0.04,8146.53,300626.50,301035.03,408.54,0.02,0.42,0.42,0.04,483.43,278.99,0.52,59.92,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.97,119849.90,54659.23,4.19,2.44,18.14,6255.26,7595.79,2559.93,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.65,126288.16,56371.73,214.67,55.44,2195.70,0.00,0.01,0.01,0.10,0.15,0.16,0.11,0.15,0.16,0.05,0.05,0.03,480.64,485.36,484.27,277.95,278.68,280.35,0.39,0.57,0.60
"2021-03-03 08:30:00",0,0,0,285369.31,285394.09,24.77,16411.09,2460.39,0.04,8146.53,300626.63,301035.16,408.54,0.02,0.42,0.42,0.04,483.78,279.20,0.52,59.93,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.97,119849.90,54659.23,4.19,2.44,18.14,6255.29,7595.82,2559.97,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.67,126288.20,56371.77,214.67,55.44,2195.70,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,480.71,485.73,484.67,278.05,278.76,280.65,0.39,0.57,0.60
"2021-03-03 08:45:00",0,0,0,285369.31,285394.09,24.77,16411.19,2460.39,0.04,8146.53,300626.72,301035.25,408.54,0.02,0.43,0.43,0.04,484.35,279.52,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.97,119849.91,54659.23,4.19,2.44,18.14,6255.32,7595.86,2560.02,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.70,126288.23,56371.82,214.67,55.44,2195.70,0.00,0.01,0.00,0.11,0.15,0.17,0.11,0.15,0.17,0.04,0.05,0.03,481.72,486.24,485.08,278.51,279.28,280.78,0.39,0.57,0.60
"2021-03-03 09:00:00",0,0,0,285369.31,285394.09,24.77,16411.30,2460.39,0.04,8146.53,300626.81,301035.34,408.54,0.01,0.43,0.43,0.03,483.57,279.08,0.52,59.95,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.97,119849.91,54659.23,4.19,2.44,18.14,6255.34,7595.90,2560.06,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.73,126288.28,56371.86,214.67,55.44,2195.70,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.03,0.05,0.02,480.56,485.44,484.72,277.97,278.64,280.63,0.40,0.58,0.59
"2021-03-03 09:15:00",0,0,0,285369.31,285394.09,24.77,16411.40,2460.39,0.04,8146.53,300626.94,301035.47,408.54,0.02,0.42,0.42,0.04,483.35,278.95,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.98,119849.91,54659.23,4.19,2.44,18.14,6255.37,7595.94,2560.10,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.75,126288.32,56371.90,214.67,55.44,2195.70,0.00,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.04,0.05,0.04,480.59,485.48,483.97,277.89,278.75,280.20,0.38,0.56,0.62
"2021-03-03 09:30:00",0,0,0,285369.34,285394.13,24.77,16411.51,2460.39,0.04,8146.53,300627.03,301035.56,408.54,0.02,0.42,0.42,0.04,483.46,279.01,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.98,119849.91,54659.23,4.19,2.44,18.14,6255.40,7595.98,2560.14,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.77,126288.35,56371.94,214.67,55.44,2195.70,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,480.72,485.32,484.55,278.08,278.64,280.43,0.38,0.57,0.60
"2021-03-03 09:45:00",0,0,0,285369.34,285394.13,24.77,16411.62,2460.39,0.04,8146.53,300627.13,301035.66,408.54,0.02,0.42,0.42,0.05,483.19,278.85,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110884.98,119849.91,54659.23,4.19,2.44,18.14,6255.42,7596.02,2560.18,212.79,53.58,2194.02,0.01,0.01,0.01,3931.62,3472.42,742.49,116348.80,126288.39,56371.98,214.67,55.44,2195.70,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.05,0.06,0.03,480.17,485.18,484.20,277.79,278.42,280.35,0.38,0.57,0.60
