time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-03 20:15:00",0,0,0,285450.66,285475.44,24.77,16413.71,2460.39,0.04,8150.14,300710.44,301118.97,408.54,19.76,-0.91,19.78,1.00,487.76,281.49,25.15,60.02,20.30,-0.93,20.33,28.67,0.52,28.67,-15.96,-1.36,15.96,110910.72,119880.65,54684.08,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.12,3473.79,743.22,116375.05,126319.82,56397.59,214.68,55.44,2195.70,6.26,7.51,6.04,-0.37,-0.33,-0.19,6.28,7.51,5.99,1.00,1.00,1.00,484.63,489.91,488.73,280.05,281.62,282.80,24.23,28.18,23.03
"2021-03-03 20:30:00",0,0,0,285455.59,285480.38,24.77,16413.71,2460.39,0.04,8150.36,300715.34,301123.88,408.54,19.43,-0.91,19.45,1.00,488.35,281.83,24.76,60.01,19.77,-0.91,19.79,28.67,0.52,28.67,-15.96,-1.36,15.96,110912.27,119882.50,54685.61,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.21,3473.88,743.27,116376.61,126321.69,56399.11,214.68,55.44,2195.70,6.16,7.37,5.93,-0.35,-0.35,-0.21,6.17,7.38,5.94,1.00,1.00,1.00,485.27,489.91,489.70,280.52,281.76,283.12,23.81,27.71,22.91
"2021-03-03 20:45:00",0,0,0,285460.47,285485.25,24.77,16413.71,2460.39,0.04,8150.59,300720.25,301128.78,408.54,19.25,-0.83,19.27,1.00,487.09,281.10,24.55,59.99,19.68,-0.91,19.70,28.67,0.52,28.67,-15.96,-1.36,15.96,110913.80,119884.34,54687.10,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.30,3473.97,743.32,116378.15,126323.52,56400.61,214.68,55.44,2195.70,6.10,7.28,5.87,-0.33,-0.33,-0.17,6.11,7.29,5.87,1.00,1.00,1.00,484.34,489.54,487.38,279.42,281.41,282.48,23.63,27.40,22.63
"2021-03-03 21:00:00",0,0,0,285465.19,285489.97,24.77,16413.71,2460.39,0.04,8150.80,300724.97,301133.50,408.54,18.80,-0.85,18.81,1.00,487.76,281.49,24.08,60.01,19.23,-0.89,19.25,28.67,0.52,28.67,-15.96,-1.36,15.96,110915.30,119886.13,54688.53,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.39,3474.05,743.37,116379.65,126325.31,56402.04,214.68,55.44,2195.70,5.92,7.08,5.79,-0.33,-0.33,-0.19,5.93,7.09,5.80,1.00,1.00,1.00,484.87,489.60,488.81,280.10,281.61,282.77,23.03,26.75,22.45
"2021-03-03 21:15:00",0,0,0,285469.78,285494.56,24.77,16413.71,2460.39,0.04,8151.01,300729.56,301138.09,408.54,17.99,-0.83,18.01,1.00,487.26,281.20,23.18,60.01,18.73,-0.85,18.75,28.67,0.52,28.67,-15.96,-1.36,15.96,110916.75,119887.85,54689.96,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.47,3474.13,743.41,116381.09,126327.05,56403.48,214.68,55.44,2195.70,5.67,6.82,5.50,-0.34,-0.32,-0.18,5.68,6.82,5.50,1.00,1.00,1.00,484.56,489.16,488.07,279.74,281.31,282.57,22.22,25.86,21.47
"2021-03-03 21:30:00",0,0,0,285474.19,285498.97,24.77,16413.71,2460.39,0.04,8151.21,300733.94,301142.47,408.54,17.25,-0.81,17.27,1.00,487.67,281.44,22.32,60.01,18.15,-0.83,18.16,28.67,0.52,28.67,-15.96,-1.36,15.96,110918.13,119889.52,54691.30,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.55,3474.21,743.45,116382.48,126328.71,56404.82,214.68,55.44,2195.70,5.45,6.55,5.25,-0.35,-0.30,-0.16,5.46,6.55,5.25,1.00,1.00,1.00,484.91,489.83,488.02,279.94,281.45,282.78,21.50,24.92,20.57
"2021-03-03 21:45:00",0,0,0,285478.47,285503.25,24.77,16413.71,2460.39,0.04,8151.41,300738.25,301146.78,408.54,16.95,-0.77,16.96,1.00,487.53,281.36,21.98,60.01,17.28,-0.79,17.30,28.67,0.52,28.67,-15.96,-1.36,15.96,110919.48,119891.13,54692.62,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.63,3474.28,743.49,116383.83,126330.33,56406.13,214.68,55.44,2195.70,5.35,6.43,5.16,-0.32,-0.29,-0.16,5.36,6.44,5.16,1.00,1.00,1.00,484.99,489.24,488.35,280.00,281.46,282.60,21.10,24.52,20.31
"2021-03-03 22:00:00",0,0,0,285482.50,285507.28,24.77,16413.71,2460.39,0.04,8151.60,300742.31,301150.84,408.54,15.84,-0.76,15.86,1.00,487.34,281.25,20.86,60.02,16.95,-0.79,16.97,28.67,0.52,28.67,-15.96,-1.36,15.96,110920.77,119892.68,54693.85,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.71,3474.36,743.53,116385.12,126331.88,56407.36,214.68,55.44,2195.70,4.99,5.96,4.90,-0.32,-0.28,-0.16,5.00,5.96,4.91,1.00,1.00,1.00,484.96,489.12,487.96,280.05,281.28,282.43,19.99,23.01,19.58
"2021-03-03 22:15:00",0,0,0,285486.28,285511.06,24.77,16413.71,2460.39,0.04,8151.79,300746.06,301154.59,408.54,14.43,-0.72,14.44,1.00,486.66,280.86,19.27,60.01,15.67,-0.75,15.69,28.67,0.52,28.67,-15.96,-1.36,15.96,110921.95,119894.11,54695.01,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.79,3474.43,743.57,116386.30,126333.30,56408.52,214.68,55.44,2195.70,4.55,5.48,4.40,-0.31,-0.27,-0.14,4.56,5.48,4.40,1.00,1.00,1.00,484.04,488.43,487.50,279.70,280.81,282.06,18.53,21.38,17.89
"2021-03-03 22:30:00",0,0,0,285489.81,285514.59,24.77,16413.71,2460.39,0.04,8151.95,300749.63,301158.16,408.54,14.17,-0.67,14.19,1.00,487.37,281.26,18.55,59.95,14.69,-0.72,14.71,28.67,0.52,28.67,-15.96,-1.36,15.96,110923.07,119895.45,54696.09,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.87,3474.49,743.59,116387.42,126334.65,56409.61,214.68,55.44,2195.70,4.41,5.28,4.48,-0.30,-0.26,-0.11,4.42,5.29,4.48,1.00,1.00,1.00,485.25,489.28,488.32,280.27,281.41,282.53,17.91,20.66,17.10
"2021-03-03 22:45:00",0,0,0,285493.22,285518.00,24.77,16413.71,2460.39,0.04,8152.10,300753.03,301161.56,408.54,12.85,-0.52,12.86,1.00,486.27,280.63,16.80,60.01,13.99,-0.65,14.00,28.67,0.52,28.67,-15.96,-1.36,15.96,110924.13,119896.71,54697.16,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.93,3474.55,743.62,116388.48,126335.91,56410.68,214.68,55.44,2195.70,4.02,4.76,4.07,-0.22,-0.23,-0.08,4.03,4.76,4.07,1.00,1.00,1.00,483.72,488.27,486.83,279.36,280.57,281.97,15.72,18.91,15.76
"2021-03-03 23:00:00",0,0,0,285496.25,285521.03,24.77,16413.71,2460.39,0.04,8152.23,300756.06,301164.59,408.54,11.46,-0.52,11.47,1.00,482.51,278.46,15.15,59.98,13.05,-0.54,13.06,28.67,0.52,28.67,-15.96,-1.36,15.96,110925.09,119897.85,54698.09,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3933.99,3474.61,743.63,116389.45,126337.05,56411.61,214.68,55.44,2195.70,3.59,4.28,3.60,-0.23,-0.22,-0.07,3.59,4.28,3.60,1.00,1.00,1.00,480.08,484.20,483.26,277.38,278.32,279.69,14.13,17.22,14.11
"2021-03-03 23:15:00",0,0,0,285498.84,285523.63,24.77,16413.71,2460.39,0.04,8152.33,300758.66,301167.19,408.54,9.88,-0.40,9.89,1.00,482.65,278.54,13.07,60.01,11.54,-0.48,11.55,28.67,0.52,28.67,-15.96,-1.36,15.96,110925.90,119898.84,54698.89,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3934.04,3474.65,743.65,116390.26,126338.04,56412.41,214.68,55.44,2195.70,3.11,3.74,3.03,-0.20,-0.13,-0.06,3.12,3.74,3.03,1.00,1.00,1.00,479.76,484.49,483.69,277.31,278.35,279.95,12.54,14.48,12.19
"2021-03-03 23:30:00",0,0,0,285501.28,285526.06,24.77,16413.71,2460.39,0.04,8152.42,300761.09,301169.63,408.54,8.97,-0.33,8.98,1.00,482.71,278.58,12.03,60.01,10.02,-0.39,10.03,28.67,0.52,28.67,-15.96,-1.36,15.96,110926.66,119899.75,54699.65,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3934.09,3474.68,743.66,116391.02,126338.95,56413.16,214.68,55.44,2195.70,2.79,3.35,2.83,-0.19,-0.11,-0.02,2.80,3.35,2.83,1.00,1.00,1.00,479.83,484.93,483.39,277.33,278.41,280.01,11.47,13.14,11.48
"2021-03-03 23:45:00",0,0,0,285503.28,285528.06,24.77,16413.71,2460.39,0.04,8152.49,300763.09,301171.63,408.54,7.32,-0.17,7.32,1.00,481.95,278.14,9.56,59.90,9.08,-0.33,9.09,28.67,0.52,28.67,-15.96,-1.36,15.96,110927.30,119900.51,54700.27,4.19,2.44,18.14,6255.91,7596.76,2561.04,212.79,53.58,2194.02,0.01,0.01,0.01,3934.12,3474.70,743.66,116391.66,126339.71,56413.79,214.68,55.44,2195.70,2.28,2.72,2.31,-0.10,-0.09,0.02,2.28,2.72,2.31,1.00,1.00,1.00,479.21,483.84,482.79,276.95,277.89,279.57,8.81,11.01,8.86
"2021-03-04 00:00:00",0,0,0,285504.88,285529.66,24.77,16413.72,2460.39,0.04,8152.52,300764.69,301173.22,408.54,5.48,-0.04,5.48,1.00,481.02,277.60,7.24,59.87,7.52,-0.17,7.52,28.67,0.52,28.67,-15.96,-1.36,15.96,110927.79,119901.11,54700.77,4.19,2.44,18.14,6255.91,7596.76,2561.05,212.79,53.58,2194.02,0.01,0.01,0.01,3934.14,3474.72,743.66,116392.15,126340.31,56414.28,214.68,55.44,2195.70,1.72,2.07,1.69,-0.06,-0.02,0.04,1.72,2.07,1.69,1.00,1.00,1.00,478.16,482.80,482.08,276.49,277.26,279.04,6.88,8.10,6.74
