time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-04 14:15:00",0,0,0,285507.75,285532.53,24.77,16419.40,2460.41,0.04,8152.54,300772.84,301181.38,408.55,0.01,0.42,0.42,0.02,482.40,278.40,0.53,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110928.66,119902.21,54701.65,4.19,2.44,18.14,6257.28,7598.82,2563.30,212.80,53.58,2194.03,0.01,0.01,0.01,3934.16,3474.72,743.66,116394.32,126343.32,56417.26,214.68,55.44,2195.71,0.00,0.01,0.01,0.10,0.14,0.17,0.11,0.15,0.16,0.01,0.04,0.01,478.97,484.63,483.61,277.12,278.04,280.03,0.41,0.58,0.60
"2021-03-04 14:30:00",0,0,0,285507.81,285532.59,24.77,16419.48,2460.41,0.04,8152.54,300772.97,301181.50,408.55,0.27,0.29,0.40,0.70,481.32,277.77,2.14,60.01,0.04,0.40,0.41,28.67,0.52,28.67,-15.96,-1.36,15.96,110928.68,119902.23,54701.67,4.19,2.44,18.14,6257.29,7598.85,2563.34,212.80,53.58,2194.03,0.01,0.01,0.01,3934.16,3474.72,743.66,116394.35,126343.36,56417.30,214.68,55.44,2195.71,0.08,0.10,0.08,0.04,0.11,0.14,0.09,0.15,0.16,0.92,0.67,0.49,478.35,484.05,482.01,276.45,277.66,279.47,1.93,2.30,2.18
"2021-03-04 14:45:00",0,0,0,285507.91,285532.69,24.77,16419.55,2460.41,0.04,8152.54,300773.13,301181.66,408.55,0.61,0.25,0.66,0.92,480.81,277.48,2.30,59.94,0.35,0.30,0.46,28.67,0.52,28.67,-15.96,-1.36,15.96,110928.72,119902.29,54701.71,4.19,2.44,18.14,6257.30,7598.88,2563.37,212.80,53.58,2194.03,0.01,0.01,0.01,3934.16,3474.72,743.66,116394.39,126343.41,56417.35,214.68,55.44,2195.71,0.19,0.23,0.19,0.03,0.09,0.13,0.19,0.25,0.23,0.99,0.93,0.82,477.32,483.39,481.72,276.09,277.19,279.16,2.10,2.51,2.29
"2021-03-04 15:00:00",0,0,0,285508.13,285532.91,24.77,16419.61,2460.41,0.04,8152.54,300773.31,301181.84,408.55,0.98,0.24,1.01,0.97,481.70,277.99,2.59,60.02,0.62,0.26,0.67,28.67,0.52,28.67,-15.96,-1.36,15.96,110928.77,119902.37,54701.77,4.19,2.44,18.14,6257.31,7598.90,2563.40,212.80,53.58,2194.03,0.01,0.01,0.01,3934.16,3474.72,743.66,116394.45,126343.49,56417.42,214.68,55.44,2195.71,0.30,0.38,0.30,0.03,0.10,0.11,0.31,0.39,0.32,1.00,0.97,0.93,478.12,483.63,483.33,276.81,277.46,279.70,2.41,2.81,2.56
"2021-03-04 15:15:00",0,0,0,285508.41,285533.19,24.77,16419.67,2460.41,0.04,8152.54,300773.63,301182.16,408.55,1.44,0.19,1.46,0.99,481.13,277.67,2.92,60.01,0.94,0.24,0.97,28.67,0.52,28.67,-15.96,-1.36,15.96,110928.87,119902.47,54701.86,4.19,2.44,18.14,6257.32,7598.92,2563.43,212.80,53.58,2194.03,0.01,0.01,0.01,3934.16,3474.72,743.66,116394.54,126343.61,56417.52,214.68,55.44,2195.71,0.45,0.54,0.45,0.02,0.06,0.11,0.45,0.55,0.46,1.00,0.99,0.97,477.11,483.52,482.75,276.37,277.12,279.50,2.76,3.17,2.83
"2021-03-04 15:30:00",0,0,0,285508.94,285533.72,24.77,16419.71,2460.41,0.04,8152.54,300774.13,301182.66,408.55,2.67,0.13,2.68,1.00,485.61,280.25,4.13,60.02,1.43,0.20,1.44,28.67,0.52,28.67,-15.96,-1.36,15.96,110929.03,119902.67,54702.02,4.19,2.44,18.14,6257.32,7598.93,2563.46,212.80,53.58,2194.03,0.01,0.01,0.01,3934.16,3474.72,743.66,116394.70,126343.80,56417.69,214.68,55.44,2195.71,0.83,1.00,0.83,-0.01,0.04,0.10,0.83,1.00,0.84,1.00,1.00,0.99,482.24,488.45,486.51,278.87,280.16,281.93,3.93,4.51,3.96
"2021-03-04 15:45:00",0,0,0,285509.75,285534.53,24.77,16419.74,2460.41,0.04,8152.55,300774.97,301183.50,408.55,3.55,0.06,3.55,1.00,486.60,280.82,5.02,60.01,2.56,0.13,2.56,28.67,0.52,28.67,-15.96,-1.36,15.96,110929.29,119902.98,54702.28,4.19,2.44,18.14,6257.32,7598.94,2563.48,212.80,53.58,2194.03,0.01,0.01,0.01,3934.17,3474.72,743.66,116394.96,126344.12,56417.94,214.68,55.44,2195.71,1.10,1.33,1.11,-0.03,0.02,0.07,1.10,1.33,1.11,1.00,1.00,1.00,483.22,489.08,487.50,279.39,280.62,282.45,4.75,5.52,4.78
"2021-03-04 16:00:00",0,0,0,285511.16,285535.94,24.77,16419.75,2460.41,0.04,8152.57,300776.38,301184.91,408.55,7.90,-0.19,7.90,1.00,485.92,280.43,10.18,60.08,3.74,0.07,3.75,28.67,0.52,28.67,-15.96,-1.36,15.96,110929.73,119903.51,54702.71,4.19,2.44,18.14,6257.32,7598.94,2563.49,212.80,53.58,2194.03,0.01,0.01,0.01,3934.18,3474.73,743.66,116395.41,126344.65,56418.38,214.68,55.44,2195.71,2.54,3.00,2.36,-0.10,-0.13,0.04,2.54,3.00,2.36,1.00,1.00,1.00,483.00,488.88,485.88,278.74,280.64,281.91,9.64,11.98,8.92
"2021-03-04 16:15:00",0,0,0,285512.50,285537.28,24.77,16419.76,2460.41,0.04,8152.59,300777.72,301186.25,408.55,5.26,0.01,5.26,1.00,487.22,281.18,6.88,60.02,6.38,-0.10,6.38,28.67,0.52,28.67,-15.96,-1.36,15.96,110930.15,119904.02,54703.13,4.19,2.44,18.14,6257.32,7598.94,2563.50,212.80,53.58,2194.03,0.01,0.01,0.01,3934.20,3474.73,743.66,116395.83,126345.16,56418.79,214.68,55.44,2195.71,1.63,1.98,1.65,-0.05,0.00,0.06,1.63,1.98,1.65,1.00,1.00,1.00,484.03,489.74,487.88,279.63,281.01,282.88,6.48,7.64,6.51
"2021-03-04 16:30:00",0,0,0,285514.25,285539.03,24.77,16419.77,2460.41,0.04,8152.63,300779.44,301187.97,408.55,7.73,-0.18,7.65,1.00,488.21,281.75,9.89,60.02,5.27,-0.01,5.27,28.67,0.52,28.67,-15.96,-1.36,15.96,110930.70,119904.68,54703.67,4.19,2.44,18.14,6257.32,7598.94,2563.51,212.80,53.58,2194.03,0.01,0.01,0.01,3934.22,3474.75,743.66,116396.38,126345.81,56419.33,214.68,55.44,2195.71,2.48,2.87,2.38,-0.07,-0.12,0.02,2.48,2.88,2.38,1.00,1.00,1.00,485.10,491.04,489.03,280.27,281.74,283.55,9.40,11.61,8.98
