time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-06 04:30:00",0,0,0,285637.22,285662.00,24.77,16428.48,2460.47,0.04,8156.96,300909.75,301318.31,408.55,0.02,0.43,0.43,0.06,487.90,281.57,0.52,60.03,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.10,119950.85,54742.05,4.19,2.44,18.14,6259.20,7602.08,2567.20,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.56,126394.67,56460.61,214.70,55.44,2195.75,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.07,0.06,0.04,485.34,489.84,488.51,280.57,281.32,282.83,0.38,0.58,0.61
"2021-03-06 04:45:00",0,0,0,285637.22,285662.00,24.77,16428.59,2460.47,0.04,8156.96,300909.88,301318.44,408.55,0.02,0.43,0.43,0.05,487.97,281.62,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.11,119950.85,54742.05,4.19,2.44,18.14,6259.22,7602.12,2567.24,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.59,126394.71,56460.66,214.70,55.44,2195.75,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.06,0.05,485.36,489.82,488.74,280.75,281.28,282.82,0.38,0.57,0.62
"2021-03-06 05:00:00",0,0,0,285637.22,285662.00,24.77,16428.69,2460.47,0.04,8156.96,300909.97,301318.53,408.55,0.02,0.43,0.43,0.04,487.54,281.37,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.11,119950.86,54742.05,4.19,2.44,18.14,6259.25,7602.16,2567.29,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.62,126394.75,56460.70,214.70,55.44,2195.75,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.04,0.02,484.81,489.17,488.64,280.38,280.97,282.75,0.41,0.58,0.59
"2021-03-06 05:15:00",0,0,0,285637.22,285662.00,24.77,16428.80,2460.47,0.04,8156.96,300910.06,301318.63,408.55,0.02,0.43,0.43,0.05,486.96,281.03,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.11,119950.86,54742.05,4.19,2.44,18.14,6259.28,7602.20,2567.33,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.65,126394.79,56460.74,214.70,55.44,2195.75,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.03,484.04,488.53,488.32,280.21,280.43,282.47,0.39,0.57,0.60
"2021-03-06 05:30:00",0,0,0,285637.25,285662.03,24.77,16428.91,2460.47,0.04,8156.96,300910.22,301318.78,408.55,0.02,0.43,0.43,0.05,487.90,281.58,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.11,119950.86,54742.05,4.19,2.44,18.14,6259.30,7602.24,2567.37,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.67,126394.83,56460.78,214.70,55.44,2195.75,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.06,0.04,484.95,489.50,489.25,280.78,280.96,282.98,0.39,0.57,0.61
"2021-03-06 05:45:00",0,0,0,285637.25,285662.03,24.77,16429.02,2460.47,0.04,8156.96,300910.31,301318.88,408.55,0.02,0.43,0.43,0.04,486.11,280.54,0.52,60.02,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.11,119950.87,54742.05,4.19,2.44,18.14,6259.33,7602.27,2567.41,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.70,126394.86,56460.82,214.70,55.44,2195.75,0.01,0.01,0.01,0.10,0.15,0.17,0.11,0.16,0.16,0.05,0.06,0.02,483.39,487.96,486.88,279.63,280.17,281.76,0.38,0.56,0.61
"2021-03-06 06:00:00",0,0,0,285637.25,285662.03,24.77,16429.12,2460.47,0.04,8156.96,300910.41,301318.97,408.55,0.02,0.43,0.43,0.04,485.85,280.39,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.11,119950.87,54742.05,4.19,2.44,18.14,6259.36,7602.31,2567.45,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.73,126394.90,56460.87,214.70,55.44,2195.75,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.05,0.02,483.19,487.72,486.99,279.46,280.08,281.84,0.40,0.58,0.59
"2021-03-06 06:15:00",0,0,0,285637.25,285662.03,24.77,16429.23,2460.47,0.04,8156.96,300910.53,301319.09,408.55,0.02,0.43,0.43,0.04,486.44,280.73,0.52,59.91,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.11,119950.87,54742.05,4.19,2.44,18.14,6259.38,7602.35,2567.49,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.75,126394.95,56460.91,214.70,55.44,2195.75,0.01,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.05,0.05,0.03,483.54,488.22,487.57,279.79,280.27,282.14,0.39,0.57,0.60
"2021-03-06 06:30:00",0,0,0,285637.25,285662.03,24.77,16429.33,2460.47,0.04,8156.96,300910.63,301319.19,408.55,0.02,0.43,0.43,0.05,486.76,280.92,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.12,119950.87,54742.05,4.19,2.44,18.14,6259.41,7602.39,2567.54,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.77,126394.98,56460.95,214.70,55.44,2195.75,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.07,0.06,0.04,483.99,488.60,487.69,279.97,280.48,282.30,0.38,0.58,0.61
"2021-03-06 06:45:00",0,0,0,285637.25,285662.03,24.77,16429.44,2460.47,0.04,8156.96,300910.75,301319.31,408.55,0.02,0.43,0.43,0.04,486.91,281.00,0.52,60.01,0.02,0.43,0.43,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.12,119950.88,54742.06,4.19,2.44,18.14,6259.44,7602.43,2567.58,212.82,53.58,2194.07,0.01,0.01,0.01,3936.20,3476.44,744.32,116436.80,126395.02,56460.99,214.70,55.44,2195.75,0.00,0.01,0.01,0.11,0.16,0.17,0.11,0.16,0.17,0.04,0.05,0.03,483.74,488.86,488.13,279.96,280.51,282.55,0.39,0.57,0.60
