time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-06 12:45:00",0,0,0,285637.38,285662.16,24.77,16432.00,2460.48,0.04,8156.96,300913.31,301321.88,408.55,0.02,0.42,0.42,0.04,482.21,278.29,0.52,59.97,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.15,119950.92,54742.09,4.19,2.44,18.14,6260.07,7603.36,2568.57,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.44,126395.95,56461.98,214.71,55.44,2195.75,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,479.63,484.04,482.97,277.30,278.05,279.52,0.39,0.57,0.59
"2021-03-06 13:00:00",0,0,0,285637.38,285662.16,24.77,16432.10,2460.48,0.04,8156.96,300913.41,301321.97,408.55,0.02,0.42,0.42,0.05,482.34,278.36,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.15,119950.92,54742.09,4.19,2.44,18.14,6260.09,7603.40,2568.61,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.46,126395.99,56462.02,214.71,55.44,2195.75,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,479.68,484.04,483.28,277.48,277.98,279.63,0.39,0.57,0.60
"2021-03-06 13:15:00",0,0,0,285637.38,285662.16,24.77,16432.21,2460.48,0.04,8156.96,300913.50,301322.06,408.55,0.02,0.42,0.42,0.05,481.78,278.04,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.15,119950.94,54742.09,4.19,2.44,18.14,6260.12,7603.44,2568.65,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.48,126396.03,56462.06,214.71,55.44,2195.75,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.06,0.06,0.03,479.07,483.91,482.35,276.91,277.88,279.34,0.38,0.57,0.60
"2021-03-06 13:30:00",0,0,0,285637.38,285662.16,24.77,16432.31,2460.48,0.04,8156.96,300913.59,301322.16,408.55,0.02,0.42,0.42,0.04,481.42,277.84,0.52,59.90,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.15,119950.94,54742.09,4.19,2.44,18.14,6260.15,7603.47,2568.69,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.51,126396.07,56462.10,214.71,55.44,2195.75,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,478.88,483.02,482.36,276.99,277.49,279.02,0.39,0.57,0.60
"2021-03-06 13:45:00",0,0,0,285637.41,285662.19,24.77,16432.41,2460.48,0.04,8156.96,300913.72,301322.28,408.55,0.02,0.42,0.42,0.05,480.79,277.47,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.15,119950.94,54742.09,4.19,2.44,18.14,6260.17,7603.51,2568.73,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.54,126396.10,56462.14,214.71,55.44,2195.75,0.01,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.06,0.03,477.99,482.92,481.47,276.36,277.26,278.80,0.38,0.57,0.60
"2021-03-06 14:00:00",0,0,0,285637.41,285662.19,24.77,16432.52,2460.48,0.04,8156.96,300913.81,301322.38,408.55,0.01,0.42,0.42,0.03,480.81,277.48,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.15,119950.94,54742.09,4.19,2.44,18.14,6260.20,7603.55,2568.77,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.56,126396.14,56462.19,214.71,55.44,2195.75,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.02,477.68,482.33,481.84,276.32,276.96,278.83,0.40,0.57,0.58
"2021-03-06 14:15:00",0,0,0,285637.41,285662.19,24.77,16432.62,2460.48,0.04,8156.96,300913.91,301322.47,408.55,0.01,0.42,0.42,0.03,481.03,277.61,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.16,119950.95,54742.10,4.19,2.44,18.14,6260.22,7603.59,2568.81,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.59,126396.18,56462.23,214.71,55.44,2195.75,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.02,0.05,0.02,478.08,482.94,482.05,276.58,277.27,278.97,0.39,0.56,0.60
"2021-03-06 14:30:00",0,0,0,285637.41,285662.19,24.77,16432.73,2460.48,0.04,8156.96,300914.00,301322.56,408.55,0.02,0.42,0.42,0.04,480.08,277.06,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.16,119950.95,54742.10,4.19,2.44,18.14,6260.25,7603.63,2568.85,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.62,126396.22,56462.27,214.71,55.44,2195.75,0.01,0.01,0.00,0.11,0.15,0.16,0.11,0.16,0.16,0.05,0.05,0.02,477.25,482.10,480.88,275.84,276.84,278.50,0.39,0.57,0.58
"2021-03-06 14:45:00",0,0,0,285637.41,285662.19,24.77,16432.82,2460.48,0.04,8156.96,300914.09,301322.66,408.55,0.18,0.26,0.32,0.56,483.31,278.93,1.51,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.16,119950.95,54742.10,4.19,2.44,18.14,6260.27,7603.66,2568.89,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.64,126396.26,56462.30,214.71,55.44,2195.75,0.06,0.07,0.06,0.03,0.10,0.14,0.06,0.11,0.16,0.84,0.64,0.37,480.32,485.60,484.01,277.72,278.84,280.23,1.29,1.66,1.57
"2021-03-06 15:00:00",0,0,0,285637.50,285662.28,24.77,16432.88,2460.48,0.04,8156.96,300914.25,301322.81,408.55,0.50,0.24,0.56,0.90,483.00,278.75,1.63,60.12,0.14,0.30,0.35,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.18,119950.98,54742.13,4.19,2.44,18.14,6260.28,7603.68,2568.92,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.66,126396.30,56462.35,214.71,55.44,2195.75,0.15,0.19,0.16,0.04,0.08,0.13,0.16,0.21,0.20,0.97,0.93,0.77,480.18,485.46,483.80,277.48,278.79,280.23,1.42,1.79,1.67
"2021-03-06 15:15:00",0,0,0,285637.69,285662.47,24.77,16432.94,2460.48,0.04,8156.96,300914.44,301323.00,408.55,1.07,0.21,1.09,0.98,481.93,278.13,2.04,60.04,0.47,0.25,0.53,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.24,119951.05,54742.19,4.19,2.44,18.14,6260.29,7603.70,2568.95,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.73,126396.37,56462.41,214.71,55.44,2195.75,0.33,0.40,0.33,0.02,0.07,0.12,0.33,0.41,0.35,1.00,0.99,0.94,478.88,484.25,482.67,276.81,277.99,279.60,1.87,2.22,2.02
"2021-03-06 15:30:00",0,0,0,285638.06,285662.84,24.77,16432.98,2460.48,0.04,8156.96,300914.78,301323.34,408.55,1.90,0.12,1.90,1.00,483.08,278.79,2.86,59.90,1.00,0.21,1.02,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.36,119951.18,54742.30,4.19,2.44,18.14,6260.29,7603.71,2568.98,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.84,126396.50,56462.53,214.71,55.44,2195.75,0.59,0.72,0.60,-0.00,0.03,0.09,0.59,0.72,0.60,1.00,1.00,0.99,480.16,485.34,483.74,277.41,278.78,280.19,2.64,3.14,2.79
"2021-03-06 15:45:00",0,0,0,285638.53,285663.31,24.77,16433.01,2460.48,0.04,8156.96,300915.25,301323.81,408.55,2.11,0.10,2.12,1.00,483.37,278.96,3.07,60.01,1.72,0.14,1.72,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.50,119951.37,54742.45,4.19,2.44,18.14,6260.29,7603.72,2569.00,212.82,53.58,2194.08,0.01,0.01,0.01,3936.20,3476.44,744.32,116437.98,126396.69,56462.68,214.71,55.44,2195.75,0.66,0.79,0.66,-0.00,0.02,0.09,0.66,0.79,0.67,1.00,1.00,0.99,480.39,485.55,484.18,277.67,278.82,280.39,2.86,3.37,2.98
"2021-03-06 16:00:00",0,0,0,285639.22,285664.00,24.77,16433.03,2460.48,0.04,8156.96,300915.97,301324.53,408.55,3.71,-0.00,3.71,1.00,483.71,279.16,4.83,60.01,2.07,0.11,2.08,28.67,0.52,28.67,-15.96,-1.36,15.96,110969.73,119951.63,54742.68,4.19,2.44,18.14,6260.29,7603.72,2569.02,212.82,53.58,2194.08,0.01,0.01,0.01,3936.21,3476.44,744.32,116438.20,126396.95,56462.90,214.71,55.44,2195.75,1.16,1.39,1.16,-0.05,-0.00,0.05,1.16,1.39,1.16,1.00,1.00,1.00,481.01,485.73,484.40,277.85,279.10,280.53,4.54,5.35,4.59
"2021-03-06 16:15:00",0,0,0,285640.13,285664.91,24.77,16433.05,2460.48,0.04,8156.97,300916.88,301325.44,408.55,3.98,-0.00,3.98,1.00,483.59,279.09,5.15,60.02,3.29,0.03,3.29,28.67,0.52,28.67,-15.96,-1.36,15.96,110970.01,119951.97,54742.95,4.19,2.44,18.14,6260.29,7603.72,2569.03,212.82,53.58,2194.08,0.01,0.01,0.01,3936.22,3476.44,744.32,116438.48,126397.29,56463.19,214.71,55.44,2195.75,1.25,1.49,1.24,-0.04,-0.02,0.05,1.25,1.49,1.24,1.00,1.00,1.00,480.56,485.68,484.52,277.89,278.91,280.46,4.85,5.72,4.86
