time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-04-09 00:45:00",0,0,0,290102.44,290127.22,24.79,16623.37,2461.20,0.04,8370.87,305551.50,305960.19,408.68,3.89,-0.02,3.89,1.00,485.40,280.13,5.24,60.00,5.92,-0.15,5.93,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.05,121621.60,56133.58,4.20,2.44,18.14,6303.80,7672.05,2647.53,213.02,53.63,2194.55,0.01,0.01,0.01,4022.22,3560.28,788.36,117883.70,128129.21,57921.21,214.90,55.49,2196.22,1.21,1.46,1.22,-0.05,-0.02,0.05,1.21,1.46,1.23,1.00,1.00,1.00,482.95,486.58,486.67,279.40,279.71,281.28,4.95,5.78,4.99
"2021-04-09 01:00:00",0,0,0,290103.22,290128.00,24.79,16623.39,2461.20,0.04,8370.88,305552.28,305960.97,408.68,2.47,0.08,2.47,1.00,485.29,280.06,3.70,59.93,4.26,-0.04,4.26,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.30,121621.89,56133.83,4.20,2.44,18.14,6303.80,7672.05,2647.54,213.02,53.63,2194.55,0.01,0.01,0.01,4022.23,3560.28,788.36,117883.95,128129.52,57921.46,214.90,55.49,2196.22,0.77,0.93,0.78,-0.02,0.02,0.08,0.77,0.93,0.78,1.00,1.00,1.00,482.54,486.81,486.87,279.30,279.60,281.50,3.49,4.04,3.56
"2021-04-09 01:15:00",0,0,0,290103.69,290128.47,24.79,16623.42,2461.20,0.04,8370.88,305552.78,305961.47,408.68,1.33,0.15,1.34,0.99,484.46,279.59,2.64,60.01,2.78,0.06,2.79,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.44,121622.07,56133.98,4.20,2.44,18.14,6303.80,7672.06,2647.56,213.02,53.63,2194.55,0.01,0.01,0.01,4022.24,3560.28,788.36,117884.09,128129.70,57921.61,214.90,55.49,2196.22,0.41,0.50,0.42,0.01,0.05,0.09,0.41,0.50,0.43,1.00,0.99,0.98,481.81,485.64,485.34,278.63,279.16,280.63,2.47,2.83,2.60
"2021-04-09 01:30:00",0,0,0,290103.94,290128.72,24.79,16623.47,2461.20,0.04,8370.88,305553.00,305961.69,408.68,0.60,0.21,0.63,0.94,484.18,279.43,2.09,60.01,1.57,0.14,1.58,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.51,121622.16,56134.05,4.20,2.44,18.14,6303.80,7672.08,2647.59,213.02,53.63,2194.55,0.01,0.01,0.01,4022.24,3560.28,788.36,117884.16,128129.78,57921.69,214.90,55.49,2196.22,0.18,0.23,0.19,0.02,0.08,0.11,0.18,0.24,0.22,0.99,0.94,0.86,481.42,485.68,485.46,278.58,279.02,280.69,1.93,2.23,2.10
"2021-04-09 01:45:00",0,0,0,290104.03,290128.81,24.79,16623.53,2461.20,0.04,8370.88,305553.13,305961.81,408.68,0.22,0.27,0.35,0.62,485.09,279.95,1.94,59.90,0.75,0.21,0.78,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.53,121622.20,56134.08,4.20,2.44,18.14,6303.81,7672.10,2647.62,213.02,53.63,2194.55,0.01,0.01,0.01,4022.24,3560.28,788.36,117884.19,128129.82,57921.73,214.90,55.49,2196.22,0.06,0.09,0.07,0.03,0.11,0.14,0.07,0.14,0.16,0.92,0.64,0.43,482.38,486.66,486.23,279.11,279.61,281.13,1.77,2.05,1.99
"2021-04-09 02:00:00",0,0,0,290104.06,290128.84,24.79,16623.60,2461.20,0.04,8370.88,305553.19,305961.88,408.68,0.02,0.23,0.23,0.08,484.49,279.61,1.89,60.00,0.29,0.26,0.40,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.54,121622.20,56134.09,4.20,2.44,18.14,6303.82,7672.12,2647.66,213.02,53.63,2194.55,0.01,0.01,0.01,4022.24,3560.28,788.36,117884.20,128129.85,57921.77,214.90,55.49,2196.22,0.00,0.01,0.00,0.02,0.09,0.12,0.02,0.09,0.12,0.08,0.15,0.01,482.12,485.92,485.94,279.08,279.28,280.75,1.71,1.99,1.94
"2021-04-09 02:15:00",0,0,0,290104.06,290128.84,24.79,16623.69,2461.20,0.04,8370.88,305553.28,305961.97,408.69,0.01,0.42,0.42,0.03,484.11,279.38,0.53,60.01,0.07,0.26,0.27,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.54,121622.21,56134.09,4.20,2.44,18.14,6303.84,7672.15,2647.69,213.02,53.63,2194.55,0.01,0.01,0.01,4022.24,3560.28,788.36,117884.22,128129.88,57921.81,214.90,55.49,2196.23,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.03,0.05,0.02,481.33,485.30,485.47,278.61,278.92,280.49,0.40,0.58,0.60
"2021-04-09 02:30:00",0,0,0,290104.06,290128.84,24.79,16623.79,2461.20,0.04,8370.88,305553.38,305962.06,408.69,0.02,0.42,0.42,0.04,483.07,278.79,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.54,121622.21,56134.09,4.20,2.44,18.14,6303.87,7672.19,2647.73,213.02,53.63,2194.55,0.01,0.01,0.01,4022.24,3560.28,788.36,117884.24,128129.92,57921.85,214.90,55.49,2196.23,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,480.10,484.70,484.41,277.94,278.33,280.09,0.39,0.57,0.61
"2021-04-09 02:45:00",0,0,0,290104.06,290128.84,24.79,16623.90,2461.20,0.04,8370.88,305553.47,305962.16,408.69,0.02,0.42,0.42,0.04,483.88,279.25,0.52,60.02,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.55,121622.21,56134.09,4.20,2.44,18.14,6303.89,7672.23,2647.77,213.02,53.63,2194.55,0.01,0.01,0.01,4022.24,3560.28,788.36,117884.27,128129.96,57921.89,214.90,55.49,2196.23,0.00,0.01,0.00,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,481.22,485.39,485.04,278.46,278.94,280.36,0.39,0.57,0.60
"2021-04-09 03:00:00",0,0,0,290104.06,290128.84,24.79,16624.00,2461.20,0.04,8370.88,305553.59,305962.28,408.69,0.02,0.42,0.42,0.04,483.59,279.09,0.52,59.94,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.61,15.96,112372.55,121622.21,56134.09,4.20,2.44,18.14,6303.92,7672.27,2647.82,213.02,53.63,2194.55,0.01,0.01,0.01,4022.24,3560.28,788.36,117884.30,128130.00,57921.93,214.90,55.49,2196.23,0.00,0.01,0.00,0.10,0.15,0.16,0.11,0.15,0.16,0.04,0.05,0.03,480.70,485.36,484.71,278.12,278.81,280.33,0.39,0.57,0.60
